recording_id	canonical_recording_title	canonical_song_id	primary_group_id	primary_performer_id	recording_genre_id	release_id	label_id	recording_year	country	language	source_id	confidence	review_status	created_at	updated_at
REC000001	Pá Congrí	SONG000001	GRP0001		GEN0001		LBL000001	1944	Cuba	Spanish	SRC0003	high	approved	2026-06-16	2026-06-16
REC000002	Coquito Acaramelado	SONG000002	GRP0001		GEN0001		LBL000001	1944	Cuba	Spanish	SRC0003	high	approved	2026-06-16	2026-06-16
REC000003	!Ay! No No	SONG000003					LBL000003				SRC0001	high	approved	2026-06-16	2026-06-16
REC000004	15 De Septiembre	SONG000004		PER000225			LBL000003				SRC0001	high	approved	2026-06-16	2026-06-16
REC000005	A Callarse	SONG000005		PER000236			LBL000003				SRC0001	high	approved	2026-06-16	2026-06-16
REC000006	A Donde Iran	SONG000006		PER000107			LBL000003				SRC0001	high	approved	2026-06-16	2026-06-16
REC000007	A Grito Abierto	SONG000007		PER000231			LBL000003				SRC0001	high	approved	2026-06-16	2026-06-16
REC000008	A Huarachazo Limpio	SONG000008	GRP0162				LBL000003				SRC0001	high	approved	2026-06-16	2026-06-16
REC000009	A La Guerra Me Llevan	SONG000009					LBL000003				SRC0001	high	approved	2026-06-16	2026-06-16
REC000010	A La Guerra Me Llevan	SONG000009					LBL000003				SRC0001	high	approved	2026-06-16	2026-06-16
REC000011	A La Hora Del Rosario	SONG000010		PER000149			LBL000003				SRC0001	high	approved	2026-06-16	2026-06-16
REC000012	A La Hora Del Rosario	SONG000010		PER000149			LBL000003				SRC0001	high	approved	2026-06-16	2026-06-16
REC000013	A La Hora Del Rosario	SONG000010		PER000149			LBL000003				SRC0001	high	approved	2026-06-16	2026-06-16
REC000014	A La Hora Del Rosario	SONG000010		PER000149			LBL000003				SRC0001	high	approved	2026-06-16	2026-06-16
REC000015	A La Luz De Los Cocuyos	SONG000011		PER000149			LBL000003				SRC0001	high	approved	2026-06-16	2026-06-16
REC000016	A La Mala	SONG000012		PER000130			LBL000003				SRC0001	high	approved	2026-06-16	2026-06-16
