release_id	canonical_release_title	release_type	label_id	catalog_number	release_year	country	source_id	confidence	review_status	created_at	updated_at
REL000001	14 Cañonazos Bailables Vol 65	LP		202450	2025		SRC0002	high	approved	2026-06-17	2026-06-17
REL000002	La Cumbia Une a Latinamérica	LP	LBL000004	202446	2024		SRC0002	high	approved	2026-06-17	2026-06-17
REL000003	LP - Cumbia y Nada Más	LP	LBL000004				SRC0002	high	approved	2026-06-17	2026-06-17
REL000004	LP - Historia Musical	LP	LBL000004				SRC0002	high	approved	2026-06-17	2026-06-17
REL000005	Colección 100 Exitos de La Sonora Matancera	USB	LBL000004				SRC0002	high	approved	2026-06-17	2026-06-17
REL000006	Colección 100 Exitos del Siglo: Joe Arroyo	USB	LBL000004				SRC0002	high	approved	2026-06-17	2026-06-17
REL000007	Colección 100 Exitos de Los Corraleros de Majagual	USB	LBL000004				SRC0002	high	approved	2026-06-17	2026-06-17
REL000008	Colección 100 Exitos – Cuatro Grandes de la Música Tropical	USB	LBL000004				SRC0002	high	approved	2026-06-17	2026-06-17
REL000009	Colección 100 - Homenaje a Toño Fuentes	USB	LBL000004				SRC0002	high	approved	2026-06-17	2026-06-17
REL000010	Colección 100 Mejores Canciones de Música Colombiana del Siglo	USB	LBL000004	GE5007			SRC0002	high	approved	2026-06-17	2026-06-17
REL000011	Colección 100 Éxitos del Siglo | Helenita Vargas	USB	LBL000004	GE5034			SRC0002	high	approved	2026-06-17	2026-06-17
REL000012	Colección 100 Éxitos de Música Cubana	USB	LBL000004	GE5029			SRC0002	high	approved	2026-06-17	2026-06-17
REL000013	Colección 100 - Que Viva Diciembre	USB	LBL000004	GE5028			SRC0002	high	approved	2026-06-17	2026-06-17
REL000014	Colección 100 Cumbias, Porros y Gaitas del Siglo	USB	LBL000004	GE5015			SRC0002	high	approved	2026-06-17	2026-06-17
REL000015	Colección 100 Canciones Infantiles	USB	LBL000004	GE5011			SRC0002	high	approved	2026-06-17	2026-06-17
REL000016	Colección 100 Parranderas del Siglo	USB	LBL000004	GE5018			SRC0002	high	approved	2026-06-17	2026-06-17
REL000017	Colección 100 Exitos de Diciembre	USB	LBL000004	GE5017			SRC0002	high	approved	2026-06-17	2026-06-17
REL000018	Colección 100 Villancicos del Siglo	USB	LBL000004	GE5013			SRC0002	high	approved	2026-06-17	2026-06-17
REL000019	Colección 100 Exitos de Pastor López	USB	LBL000004	GE5012			SRC0002	high	approved	2026-06-17	2026-06-17
REL000020	Siembra	LP					SRC0003	high	approved	2026-06-17	2026-06-17
REL000021	Celia & Johnny	LP					SRC0003	high	approved	2026-06-17	2026-06-17
REL000022	Live At Yankee Stadium Vol. 1	LP					SRC0003	high	approved	2026-06-17	2026-06-17
REL000023	Live At Yankee Stadium Vol. 2	LP					SRC0003	high	approved	2026-06-17	2026-06-17
REL000024	Cosa Nuestra	LP					SRC0003	high	approved	2026-06-17	2026-06-17
REL000025	Asalto Navideño	LP					SRC0003	high	approved	2026-06-17	2026-06-17
REL000026	El Juicio	LP					SRC0003	high	approved	2026-06-17	2026-06-17
REL000027	Rey Del Bajo		LBL000005				SRC0003	high	approved	2026-06-17	2026-06-17
REL000028	Cheo		LBL000005				SRC0003	high	approved	2026-06-17	2026-06-17
REL000029	Estampas		LBL000005				SRC0003	high	approved	2026-06-17	2026-06-17
REL000030	Sentimiento Tú		LBL000005				SRC0003	high	approved	2026-06-17	2026-06-17
REL000031	Felicidades		LBL000005				SRC0003	high	approved	2026-06-17	2026-06-17
REL000032	La Voz		LBL000005				SRC0003	high	approved	2026-06-17	2026-06-17
