group_id	canonical_group_name	alternate_names	group_type	country	primary_genre_id	source_id	confidence	review_status	created_at	updated_at
GRP0204	Lola Beltran Y Trio Hnos. Michel		recovered_group			SRC0001	medium-high	staged	2026-06-17	2026-06-17
GRP0205	Orquesta De Juan Garcia Medeles		recovered_group			SRC0001	medium-high	staged	2026-06-17	2026-06-17
GRP0206	Orquesta Cha, Cha, Cha Continental		recovered_group			SRC0001	medium-high	staged	2026-06-17	2026-06-17
GRP0207	Mariachi Blanco Y Negro		recovered_group			SRC0001	medium-high	staged	2026-06-17	2026-06-17
GRP0208	Orquesta De Juan S. Garrido		recovered_group			SRC0001	medium-high	staged	2026-06-17	2026-06-17
GRP0209	Orquesta De Ramon Marquez		recovered_group			SRC0001	medium-high	staged	2026-06-17	2026-06-17
GRP0210	Orquesta Cubana De Domingo Vernier		recovered_group			SRC0001	medium-high	staged	2026-06-17	2026-06-17
GRP0211	Cuarteto Armonico		recovered_group			SRC0001	medium-high	staged	2026-06-17	2026-06-17
GRP0212	Orquesta De Memo Salamanca		recovered_group			SRC0001	medium-high	staged	2026-06-17	2026-06-17
GRP0213	Orquesta De Abel Domínguez		recovered_group			SRC0001	medium-high	staged	2026-06-17	2026-06-17
GRP0214	Orquesta Hermanos Marquez		recovered_group			SRC0001	medium-high	staged	2026-06-17	2026-06-17
GRP0215	Orquesta Tropical Maravilla		recovered_group			SRC0001	medium-high	staged	2026-06-17	2026-06-17
GRP0216	Orquesta De Noe Fajardo		recovered_group			SRC0001	medium-high	staged	2026-06-17	2026-06-17
GRP0217	Orquesta Tropical		recovered_group			SRC0001	medium-high	staged	2026-06-17	2026-06-17
GRP0218	Cuarteto Armonico - Hermanas Cora		recovered_group			SRC0001	medium-high	staged	2026-06-17	2026-06-17
GRP0219	Mariachi Oro Y Plata De Pepe Chávez		recovered_group			SRC0001	medium-high	staged	2026-06-17	2026-06-17
GRP0220	Marimba Orquesta De Los Hermanos Paniagua		recovered_group			SRC0001	medium-high	staged	2026-06-17	2026-06-17
GRP0221	Orquesta De Miguel Angel Pazos		recovered_group			SRC0001	medium-high	staged	2026-06-17	2026-06-17
GRP0222	Orquesta De Antonio Escobar		recovered_group			SRC0001	medium-high	staged	2026-06-17	2026-06-17
GRP0223	Orquesta Marimba De Abel Dominguez		recovered_group			SRC0001	medium-high	staged	2026-06-17	2026-06-17
GRP0224	Marimba Orquesta De Hermanos Paniagua		recovered_group			SRC0001	medium-high	staged	2026-06-17	2026-06-17
GRP0225	Orquesta De Ismael Diaz		recovered_group			SRC0001	medium-high	staged	2026-06-17	2026-06-17
GRP0226	Cuarteto Orizaba		recovered_group			SRC0001	medium-high	staged	2026-06-17	2026-06-17
GRP0227	Orquesta De Cuerdas Y Alientos De Alejandro Perucho		recovered_group			SRC0001	medium-high	staged	2026-06-17	2026-06-17
GRP0228	Orquesta Sinfonica De Daniel Pérez Castañeda		recovered_group			SRC0001	medium-high	staged	2026-06-17	2026-06-17
GRP0229	Orquesta J. S. Garrido		recovered_group			SRC0001	medium-high	staged	2026-06-17	2026-06-17
GRP0230	Cuarteto Metropolitano De Felipe Bermejo		recovered_group			SRC0001	medium-high	staged	2026-06-17	2026-06-17
GRP0231	Orquesta Cubana De Domingo Vernier Mango		recovered_group			SRC0001	medium-high	staged	2026-06-17	2026-06-17
GRP0232	Cuarteto Ruffino		recovered_group			SRC0001	medium-high	staged	2026-06-17	2026-06-17
GRP0233	Orquesta De Filiberto Cedillo		recovered_group			SRC0001	medium-high	staged	2026-06-17	2026-06-17
GRP0234	Orquesta De Joaquin P.Monroy		recovered_group			SRC0001	medium-high	staged	2026-06-17	2026-06-17
GRP0235	Orquesta Internacional		recovered_group			SRC0001	medium-high	staged	2026-06-17	2026-06-17
GRP0236	Orquesta Posadas		recovered_group			SRC0001	medium-high	staged	2026-06-17	2026-06-17
GRP0237	Orquesta Mexicana De Raul Diaz El Mago		recovered_group			SRC0001	medium-high	staged	2026-06-17	2026-06-17
GRP0238	Conjunto De Cuerdas Y Arpa Grande De Antioco Garibay Y Leandro Corona		recovered_group			SRC0001	medium-high	staged	2026-06-17	2026-06-17
GRP0239	Marimba Orquesta De Los Hnos. Dominguez		recovered_group			SRC0001	medium-high	staged	2026-06-17	2026-06-17
GRP0240	Orquesta Juan S. Garrido		recovered_group			SRC0001	medium-high	staged	2026-06-17	2026-06-17
GRP0241	Orquesta De Arturo Nuñez		recovered_group			SRC0001	medium-high	staged	2026-06-17	2026-06-17
GRP0242	Conjunto De Cuerdas Y Arpa Grande De Antioco Garibay		recovered_group			SRC0001	medium-high	staged	2026-06-17	2026-06-17
GRP0243	Orquesta Tropical De Chucho Rodriguez		recovered_group			SRC0001	medium-high	staged	2026-06-17	2026-06-17
GRP0244	Orquesta De Cuerdas Y Alientos De Aurelio De La Cruz		recovered_group			SRC0001	medium-high	staged	2026-06-17	2026-06-17
GRP0245	Orquesta De Cuerdas De Gervasio Lopez		recovered_group			SRC0001	medium-high	staged	2026-06-17	2026-06-17
GRP0246	Orquesta De Alberto Dominguez		recovered_group			SRC0001	medium-high	staged	2026-06-17	2026-06-17
GRP0247	Orquesta De Pepe De Le Vega		recovered_group			SRC0001	medium-high	staged	2026-06-17	2026-06-17
GRP0248	Orquesta Alejandro Cardona		recovered_group			SRC0001	medium-high	staged	2026-06-17	2026-06-17
