performer_id	canonical_performer_name	alternate_names	performer_type	country	primary_genre_id	source_id	confidence	review_status	created_at	updated_at
PER000001	Celia Cruz	Úrsula Hilaria Celia de la Caridad Cruz Alfonso	vocalist	Cuba	GEN0001	SRC0003	high	approved	2026-06-16	2026-06-16
PER000002	Daniel Santos	Daniel Doroteo Santos Betancourt	vocalist	Puerto Rico	GEN0002	SRC0003	high	approved	2026-06-16	2026-06-16
PER000003	Bienvenido Granda	Bienvenido Rosendo Granda Aguilera	vocalist	Cuba	GEN0001	SRC0003	high	approved	2026-06-16	2026-06-16
PER000004	A. De Montenegro		vocalist			SRC0001	high	raw_extracted	2026-06-16	2026-06-16
PER000005	Abel Domínguez		vocalist			SRC0001	high	raw_extracted	2026-06-16	2026-06-16
PER000006	Adelita		vocalist			SRC0001	high	raw_extracted	2026-06-16	2026-06-16
PER000007	Adrian Gallardo		vocalist			SRC0001	high	raw_extracted	2026-06-16	2026-06-16
PER000008	Agueda Curiel		vocalist			SRC0001	high	raw_extracted	2026-06-16	2026-06-16
PER000009	Agustín Lara		vocalist			SRC0001	high	raw_extracted	2026-06-16	2026-06-16
PER000010	Alberto Dominguez		vocalist			SRC0001	high	raw_extracted	2026-06-16	2026-06-16
PER000011	Alberto Suarez		vocalist			SRC0001	high	raw_extracted	2026-06-16	2026-06-16
PER000012	Alejandro De Montenegro		vocalist			SRC0001	high	raw_extracted	2026-06-16	2026-06-16
PER000013	Alejandro Martinez		vocalist			SRC0001	high	raw_extracted	2026-06-16	2026-06-16
PER000014	Alejandro Montenegro		vocalist			SRC0001	high	raw_extracted	2026-06-16	2026-06-16
PER000015	Alex Sosa		vocalist			SRC0001	high	raw_extracted	2026-06-16	2026-06-16
PER000016	Alfonso Bruschetta		vocalist			SRC0001	high	raw_extracted	2026-06-16	2026-06-16
PER000017	Alfonso Ortiz Tirado		vocalist			SRC0001	high	raw_extracted	2026-06-16	2026-06-16
PER000018	Alicia Maria		vocalist			SRC0001	high	raw_extracted	2026-06-16	2026-06-16
PER000019	Amalia Macias		vocalist			SRC0001	high	raw_extracted	2026-06-16	2026-06-16
PER000020	Amparo Montes		vocalist			SRC0001	high	raw_extracted	2026-06-16	2026-06-16
PER000021	Ana María		vocalist			SRC0001	high	raw_extracted	2026-06-16	2026-06-16
PER000022	Andrés Huesca		vocalist			SRC0001	high	raw_extracted	2026-06-16	2026-06-16
PER000023	Angel Infante		vocalist			SRC0001	high	raw_extracted	2026-06-16	2026-06-16
PER000024	Angel Montañez		vocalist			SRC0001	high	raw_extracted	2026-06-16	2026-06-16
PER000025	Anselmo Alvarado		vocalist			SRC0001	high	raw_extracted	2026-06-16	2026-06-16
PER000026	Antar Daly		vocalist			SRC0001	high	raw_extracted	2026-06-16	2026-06-16
PER000027	Antinoco Garibay		vocalist			SRC0001	high	raw_extracted	2026-06-16	2026-06-16
PER000028	Antonio Badu		vocalist			SRC0001	high	raw_extracted	2026-06-16	2026-06-16
PER000029	Antonio Tanguma		vocalist			SRC0001	high	raw_extracted	2026-06-16	2026-06-16
PER000030	Armando Blancarte		vocalist			SRC0001	high	raw_extracted	2026-06-16	2026-06-16
PER000031	Beatriz Adriana		vocalist			SRC0001	high	raw_extracted	2026-06-16	2026-06-16
PER000032	Beatriz Eugenia		vocalist			SRC0001	high	raw_extracted	2026-06-16	2026-06-16
PER000033	Blas Salazar		vocalist			SRC0001	high	raw_extracted	2026-06-16	2026-06-16
PER000034	Bulmaro Paleo		vocalist			SRC0001	high	raw_extracted	2026-06-16	2026-06-16
PER000035	Carlos Alas Del Casino		vocalist			SRC0001	high	raw_extracted	2026-06-16	2026-06-16
PER000036	Carlos Madrigal		vocalist			SRC0001	high	raw_extracted	2026-06-16	2026-06-16
PER000037	Carlos Spaventa		vocalist			SRC0001	high	raw_extracted	2026-06-16	2026-06-16
PER000038	Carlos Valadez		vocalist			SRC0001	high	raw_extracted	2026-06-16	2026-06-16
PER000039	Carmela		vocalist			SRC0001	high	raw_extracted	2026-06-16	2026-06-16
PER000040	Carmen Cardenal		vocalist			SRC0001	high	raw_extracted	2026-06-16	2026-06-16
PER000041	Carmen Del Real		vocalist			SRC0001	high	raw_extracted	2026-06-16	2026-06-16
