performer_id	canonical_performer_name	alternate_names	performer_type	country	primary_genre_id	source_id	confidence	review_status	created_at	updated_at
PER000282	Hermanos Zaizar - Prieta Linda		recovered_performer			SRC0001	medium-high	staged	2026-06-17	2026-06-17
PER000283	Pimentel - Ledezma		recovered_performer			SRC0001	medium-high	staged	2026-06-17	2026-06-17
PER000284	Emilio Tuero - Hnas. Aguila		recovered_performer			SRC0001	medium-high	staged	2026-06-17	2026-06-17
PER000285	Juan Arvizú - Mario Talavera		recovered_performer			SRC0001	medium-high	staged	2026-06-17	2026-06-17
PER000286	Luis Aquiles Orchestra		recovered_performer			SRC0001	medium-high	staged	2026-06-17	2026-06-17
PER000287	D’Artega Orchestra		recovered_performer			SRC0001	medium-high	staged	2026-06-17	2026-06-17
PER000288	Carlos Madrigal - Emilio Galvez		recovered_performer			SRC0001	medium-high	staged	2026-06-17	2026-06-17
PER000289	Montane - Andrade - Jimenez		recovered_performer			SRC0001	medium-high	staged	2026-06-17	2026-06-17
PER000290	Prieta Linda - Hermanos Zaizar		recovered_performer			SRC0001	medium-high	staged	2026-06-17	2026-06-17
PER000291	N. Farjardo - L. Bravo - A. Islas		recovered_performer			SRC0001	medium-high	staged	2026-06-17	2026-06-17
PER000292	Bob & Tony		recovered_performer			SRC0001	medium-high	staged	2026-06-17	2026-06-17
