performer_id	canonical_performer_name	alternate_names	performer_type	country	primary_genre_id	source_id	confidence	review_status	created_at	updated_at
PER000293	Alarcon Leal Y La Tamaulipeca		gemini_reviewed_duo			SRC0001	medium	staged	2026-06-17	2026-06-17
PER000294	Alegres De Terán Y Marcelo Y Aurelia		gemini_reviewed_multiple_performers			SRC0001	medium	staged	2026-06-17	2026-06-17
PER000295	Angelina Y Tono		gemini_reviewed_duo			SRC0001	medium	staged	2026-06-17	2026-06-17
PER000296	Beatriz Adriana Y Pedro Infante		gemini_reviewed_duo			SRC0001	medium	staged	2026-06-17	2026-06-17
PER000297	Beatriz Eugenia y Luis Lozano		gemini_reviewed_duo			SRC0001	medium	staged	2026-06-17	2026-06-17
PER000298	Bertha Y Juan		gemini_reviewed_duo			SRC0001	medium	staged	2026-06-17	2026-06-17
PER000299	Carlos Y Gela		gemini_reviewed_duo			SRC0001	medium	staged	2026-06-17	2026-06-17
PER000300	Cirila Y Celedonio		gemini_reviewed_duo			SRC0001	medium	staged	2026-06-17	2026-06-17
PER000301	Cuates Castilla Y Ana Morena		gemini_reviewed_multiple_performers			SRC0001	medium	staged	2026-06-17	2026-06-17
PER000302	Cuco Y Lupe		gemini_reviewed_duo			SRC0001	medium	staged	2026-06-17	2026-06-17
PER000303	Dueto Adan Y Eva		gemini_reviewed_duo			SRC0001	medium	staged	2026-06-17	2026-06-17
PER000304	Dueto Aguila Y Sol		gemini_reviewed_duo			SRC0001	medium	staged	2026-06-17	2026-06-17
PER000305	Dueto Blanco Y Negro		gemini_reviewed_duo			SRC0001	medium	staged	2026-06-17	2026-06-17
PER000306	Dueto Carlos Y Alicia		gemini_reviewed_duo			SRC0001	medium	staged	2026-06-17	2026-06-17
PER000307	Dueto Sanchez Y Galvez		gemini_reviewed_duo			SRC0001	medium	staged	2026-06-17	2026-06-17
PER000308	Dueto Timbre Y Sobre		gemini_reviewed_duo			SRC0001	medium	staged	2026-06-17	2026-06-17
PER000309	El Charro Y La Adelita		gemini_reviewed_duo			SRC0001	medium	staged	2026-06-17	2026-06-17
PER000310	Erendira Y Rene		gemini_reviewed_duo			SRC0001	medium	staged	2026-06-17	2026-06-17
PER000311	Hermanas Cora Y Hermanos Zaizar		gemini_reviewed_multiple_performers			SRC0001	medium	staged	2026-06-17	2026-06-17
PER000312	La Panchita Y Amapola		gemini_reviewed_duo			SRC0001	medium	staged	2026-06-17	2026-06-17
PER000313	La Prieta Linda y Hermanos Zaizar		gemini_reviewed_multiple_performers			SRC0001	medium	staged	2026-06-17	2026-06-17
PER000314	Laurita y Ray		gemini_reviewed_duo			SRC0001	medium	staged	2026-06-17	2026-06-17
PER000315	Lola Beltran Y Hnos. Michel		gemini_reviewed_multiple_performers			SRC0001	medium	staged	2026-06-17	2026-06-17
PER000316	Lola Beltran y Los Tres Cotorros		gemini_reviewed_multiple_performers			SRC0001	medium	staged	2026-06-17	2026-06-17
PER000317	Lola Beltran Y Prieta Linda		gemini_reviewed_duo			SRC0001	medium	staged	2026-06-17	2026-06-17
PER000318	Luis Aguilar - Emilio Galvez y Roberto G. Rivera		gemini_reviewed_multiple_performers			SRC0001	medium	staged	2026-06-17	2026-06-17
PER000319	Lupe y Bella		gemini_reviewed_duo			SRC0001	medium	staged	2026-06-17	2026-06-17
PER000320	Manuel Nuñez Y Goty		gemini_reviewed_duo			SRC0001	medium	staged	2026-06-17	2026-06-17
PER000321	Martha Y Felipe		gemini_reviewed_duo			SRC0001	medium	staged	2026-06-17	2026-06-17
PER000322	Martin Y Catita		gemini_reviewed_duo			SRC0001	medium	staged	2026-06-17	2026-06-17
PER000323	Martin Y Eloisa		gemini_reviewed_duo			SRC0001	medium	staged	2026-06-17	2026-06-17
PER000324	Martin Y Malena		gemini_reviewed_duo			SRC0001	medium	staged	2026-06-17	2026-06-17
PER000325	Martin Y Martita		gemini_reviewed_duo			SRC0001	medium	staged	2026-06-17	2026-06-17
PER000326	Pedro Patricio Y Panfilo Patricio		gemini_reviewed_duo			SRC0001	medium	staged	2026-06-17	2026-06-17
PER000327	Pepe Y Lulu		gemini_reviewed_duo			SRC0001	medium	staged	2026-06-17	2026-06-17
PER000328	Pimentel Y Ledezma		gemini_reviewed_duo			SRC0001	medium	staged	2026-06-17	2026-06-17
PER000329	Poncho Y Martha		gemini_reviewed_duo			SRC0001	medium	staged	2026-06-17	2026-06-17
PER000330	Rodolfo y Beatriz		gemini_reviewed_duo			SRC0001	medium	staged	2026-06-17	2026-06-17
PER000331	Tere Y Maricela		gemini_reviewed_duo			SRC0001	medium	staged	2026-06-17	2026-06-17
PER000332	Victor Cordero Y Martita		gemini_reviewed_duo			SRC0001	medium	staged	2026-06-17	2026-06-17
