recording_id	canonical_recording_title	canonical_song_id	primary_group_id	primary_performer_id	recording_genre_id	release_id	label_id	recording_year	country	language	source_id	confidence	review_status	created_at	updated_at
REC000008	A Huarachazo Limpio		GRP0162				LBL000003				SRC0001	high	approved	2026-06-16	2026-06-16
REC000017	A La Orilla De Un Palmar		GRP0201				LBL000003				SRC0001	high	approved	2026-06-16	2026-06-16
REC000029	A Mano Estamos		GRP0071				LBL000003				SRC0001	high	approved	2026-06-16	2026-06-16
REC000030	A Mano Quedamos		GRP0071				LBL000003				SRC0001	high	approved	2026-06-16	2026-06-16
REC000031	A Mano Quedamos		GRP0071				LBL000003				SRC0001	high	approved	2026-06-16	2026-06-16
REC000033	A Mi Manera - My Way		GRP0099				LBL000003				SRC0001	high	approved	2026-06-16	2026-06-16
REC000036	A Pedazos		GRP0103				LBL000003				SRC0001	high	approved	2026-06-16	2026-06-16
REC000071	Aconsejala		GRP0098				LBL000003				SRC0001	high	approved	2026-06-16	2026-06-16
REC000077	Adelita		GRP0154				LBL000003				SRC0001	high	approved	2026-06-16	2026-06-16
REC000080	Adios		GRP0126				LBL000003				SRC0001	high	approved	2026-06-16	2026-06-16
REC000089	Adios Mariquita Linda		GRP0014				LBL000003				SRC0001	high	approved	2026-06-16	2026-06-16
REC000093	Adios Mi Chatita		GRP0121				LBL000003				SRC0001	high	approved	2026-06-16	2026-06-16
REC000101	Adios Vida Mia		GRP0081				LBL000003				SRC0001	high	approved	2026-06-16	2026-06-16
REC000105	Adivinanza		GRP0126				LBL000003				SRC0001	high	approved	2026-06-16	2026-06-16
REC000107	Adolorido		GRP0014				LBL000003				SRC0001	high	approved	2026-06-16	2026-06-16
REC000112	Agua Nieve		GRP0135				LBL000003				SRC0001	high	approved	2026-06-16	2026-06-16
REC000119	Ah! Pa’ Pulguita		GRP0081				LBL000003				SRC0001	high	approved	2026-06-16	2026-06-16
REC000120	Ah! Que Diantre De Maria		GRP0126				LBL000003				SRC0001	high	approved	2026-06-16	2026-06-16
REC000126	Ahora Que Traigo Ganas		GRP0067				LBL000003				SRC0001	high	approved	2026-06-16	2026-06-16
REC000129	Ahora Tengo Un Amor		GRP0079				LBL000003				SRC0001	high	approved	2026-06-16	2026-06-16
REC000140	Al Mirarme En Tus Ojos		GRP0110				LBL000003				SRC0001	high	approved	2026-06-16	2026-06-16
REC000141	Al Morir La Tarde		GRP0184				LBL000003				SRC0001	high	approved	2026-06-16	2026-06-16
REC000147	Al Pie De Un Crucifijo		GRP0098				LBL000003				SRC0001	high	approved	2026-06-16	2026-06-16
REC000149	Al Sur Del Bravo		GRP0081				LBL000003				SRC0001	high	approved	2026-06-16	2026-06-16
REC000153	Alazan Del 56 Regimiento		GRP0081				LBL000003				SRC0001	high	approved	2026-06-16	2026-06-16
REC000154	Albricias		GRP0126				LBL000003				SRC0001	high	approved	2026-06-16	2026-06-16
REC000159	Alegres Michoacanas		GRP0162				LBL000003				SRC0001	high	approved	2026-06-16	2026-06-16
REC000160	Alegrias Del Charro		GRP0025				LBL000003				SRC0001	high	approved	2026-06-16	2026-06-16
REC000164	Alfonso Ramirez		GRP0145				LBL000003				SRC0001	high	approved	2026-06-16	2026-06-16
REC000166	Algun Dia		GRP0163				LBL000003				SRC0001	high	approved	2026-06-16	2026-06-16
REC000172	Alla Tu		GRP0094				LBL000003				SRC0001	high	approved	2026-06-16	2026-06-16
REC000174	Allí Viene Martín Corona		GRP0051				LBL000003				SRC0001	high	approved	2026-06-16	2026-06-16
REC000180	Alma De Cristal		GRP0094				LBL000003				SRC0001	high	approved	2026-06-16	2026-06-16
