recording_id	canonical_recording_title	canonical_song_id	primary_group_id	primary_performer_id	recording_genre_id	release_id	label_id	recording_year	country	language	source_id	confidence	review_status	created_at	updated_at
REC000004	15 De Septiembre			PER000225			LBL000003				SRC0001	high	approved	2026-06-16	2026-06-16
REC000005	A Callarse			PER000236			LBL000003				SRC0001	high	approved	2026-06-16	2026-06-16
REC000006	A Donde Iran			PER000107			LBL000003				SRC0001	high	approved	2026-06-16	2026-06-16
REC000007	A Grito Abierto			PER000231			LBL000003				SRC0001	high	approved	2026-06-16	2026-06-16
REC000011	A La Hora Del Rosario			PER000149			LBL000003				SRC0001	high	approved	2026-06-16	2026-06-16
REC000012	A La Hora Del Rosario			PER000149			LBL000003				SRC0001	high	approved	2026-06-16	2026-06-16
REC000013	A La Hora Del Rosario			PER000149			LBL000003				SRC0001	high	approved	2026-06-16	2026-06-16
REC000014	A La Hora Del Rosario			PER000149			LBL000003				SRC0001	high	approved	2026-06-16	2026-06-16
REC000015	A La Luz De Los Cocuyos			PER000149			LBL000003				SRC0001	high	approved	2026-06-16	2026-06-16
REC000016	A La Mala			PER000130			LBL000003				SRC0001	high	approved	2026-06-16	2026-06-16
REC000018	A La Orilla Del Mar			PER000225			LBL000003				SRC0001	high	approved	2026-06-16	2026-06-16
REC000019	A La Orilla Del Mar			PER000225			LBL000003				SRC0001	high	approved	2026-06-16	2026-06-16
REC000020	A La Orilla Del Mar			PER000225			LBL000003				SRC0001	high	approved	2026-06-16	2026-06-16
REC000021	A La Orilla Del Mar			PER000225			LBL000003				SRC0001	high	approved	2026-06-16	2026-06-16
REC000022	A La Orilla Del Mar			PER000225			LBL000003				SRC0001	high	approved	2026-06-16	2026-06-16
REC000023	A La Orilla Del Mar			PER000225			LBL000003				SRC0001	high	approved	2026-06-16	2026-06-16
REC000024	A Los Amigos Que Tengo			PER000225			LBL000003				SRC0001	high	approved	2026-06-16	2026-06-16
REC000026	A Los Cuatro Vientos			PER000225			LBL000003				SRC0001	high	approved	2026-06-16	2026-06-16
REC000027	A Los Cuatro Vientos			PER000149			LBL000003				SRC0001	high	approved	2026-06-16	2026-06-16
REC000028	A Los Cuatro Vientos			PER000225			LBL000003				SRC0001	high	approved	2026-06-16	2026-06-16
REC000032	A Medias De La Noche			PER000052			LBL000003				SRC0001	high	approved	2026-06-16	2026-06-16
REC000034	A Mi No Me Interesa			PER000094			LBL000003				SRC0001	high	approved	2026-06-16	2026-06-16
REC000035	A Orillas Del Papaloapan			PER000110			LBL000003				SRC0001	high	approved	2026-06-16	2026-06-16
REC000037	A Poco No			PER000149			LBL000003				SRC0001	high	approved	2026-06-16	2026-06-16
REC000038	A Poco No			PER000031			LBL000003				SRC0001	high	approved	2026-06-16	2026-06-16
REC000039	A Poco No			PER000149			LBL000003				SRC0001	high	approved	2026-06-16	2026-06-16
REC000040	A Poco No			PER000031			LBL000003				SRC0001	high	approved	2026-06-16	2026-06-16
REC000041	A Prision Perpetua			PER000131			LBL000003				SRC0001	high	approved	2026-06-16	2026-06-16
REC000042	A Punto De Gritar			PER000107			LBL000003				SRC0001	high	approved	2026-06-16	2026-06-16
REC000043	A Punto De Llorar			PER000149			LBL000003				SRC0001	high	approved	2026-06-16	2026-06-16
REC000044	A Punto De Llorar			PER000149			LBL000003				SRC0001	high	approved	2026-06-16	2026-06-16
REC000045	A Puño Limpio			PER000249			LBL000003				SRC0001	high	approved	2026-06-16	2026-06-16
REC000047	A Rienda Suelta			PER000127			LBL000003				SRC0001	high	approved	2026-06-16	2026-06-16
REC000048	A San Pedro			PER000265			LBL000003				SRC0001	high	approved	2026-06-16	2026-06-16
REC000049	A Solas Contigo			PER000205			LBL000003				SRC0001	high	approved	2026-06-16	2026-06-16
REC000050	A Su Salud			PER000131			LBL000003				SRC0001	high	approved	2026-06-16	2026-06-16
REC000051	A Ti Que			PER000107			LBL000003				SRC0001	high	approved	2026-06-16	2026-06-16
REC000052	A Todo Dar			PER000225			LBL000003				SRC0001	high	approved	2026-06-16	2026-06-16
REC000053	A Todo Dar			PER000174			LBL000003				SRC0001	high	approved	2026-06-16	2026-06-16
REC000054	A Todo Dar			PER000174			LBL000003				SRC0001	high	approved	2026-06-16	2026-06-16
REC000055	A Traves De Mi Llanto			PER000052			LBL000003				SRC0001	high	approved	2026-06-16	2026-06-16
REC000056	A Un Corazón			PER000127			LBL000003				SRC0001	high	approved	2026-06-16	2026-06-16
REC000057	A Un Corazón			PER000127			LBL000003				SRC0001	high	approved	2026-06-16	2026-06-16
REC000058	A Una Ola			PER000164			LBL000003				SRC0001	high	approved	2026-06-16	2026-06-16
REC000059	A Venezuela			PER000261			LBL000003				SRC0001	high	approved	2026-06-16	2026-06-16
REC000060	A Ver Que Pasa			PER000139			LBL000003				SRC0001	high	approved	2026-06-16	2026-06-16
REC000061	Abranse Que Vengo Herido			PER000225			LBL000003				SRC0001	high	approved	2026-06-16	2026-06-16
REC000062	Abre Tus Ojos			PER000238			LBL000003				SRC0001	high	approved	2026-06-16	2026-06-16
REC000063	Aburrido Me Voy			PER000149			LBL000003				SRC0001	high	approved	2026-06-16	2026-06-16
REC000064	Aburrido Me Voy			PER000149			LBL000003				SRC0001	high	approved	2026-06-16	2026-06-16
REC000065	Aburrido Me Voy			PER000149			LBL000003				SRC0001	high	approved	2026-06-16	2026-06-16
REC000067	Acabaste!			PER000178			LBL000003				SRC0001	high	approved	2026-06-16	2026-06-16
REC000068	Acariciame			PER000249			LBL000003				SRC0001	high	approved	2026-06-16	2026-06-16
REC000069	Aceptame			PER000031			LBL000003				SRC0001	high	approved	2026-06-16	2026-06-16
REC000070	Aceptame			PER000031			LBL000003				SRC0001	high	approved	2026-06-16	2026-06-16
REC000072	Acuerdate			PER000205			LBL000003				SRC0001	high	approved	2026-06-16	2026-06-16
REC000073	Acuerdate De Mi			PER000052			LBL000003				SRC0001	high	approved	2026-06-16	2026-06-16
REC000075	Adelante			PER000127			LBL000003				SRC0001	high	approved	2026-06-16	2026-06-16
REC000078	Adios			PER000249			LBL000003				SRC0001	high	approved	2026-06-16	2026-06-16
REC000081	Adios			PER000274			LBL000003				SRC0001	high	approved	2026-06-16	2026-06-16
REC000082	Adios			PER000250			LBL000003				SRC0001	high	approved	2026-06-16	2026-06-16
REC000083	Adios			PER000274			LBL000003				SRC0001	high	approved	2026-06-16	2026-06-16
REC000084	Adios A Mi Novia			PER000094			LBL000003				SRC0001	high	approved	2026-06-16	2026-06-16
REC000085	Adios Adios Adios			PER000052			LBL000003				SRC0001	high	approved	2026-06-16	2026-06-16
REC000086	Adios Angel Mio			PER000052			LBL000003				SRC0001	high	approved	2026-06-16	2026-06-16
REC000087	Adios Corazon			PER000176			LBL000003				SRC0001	high	approved	2026-06-16	2026-06-16
REC000088	Adios Lucrecia			PER000225			LBL000003				SRC0001	high	approved	2026-06-16	2026-06-16
REC000090	Adios Mariquita Linda			PER000052			LBL000003				SRC0001	high	approved	2026-06-16	2026-06-16
REC000091	Adios Mi Amor			PER000031			LBL000003				SRC0001	high	approved	2026-06-16	2026-06-16
REC000094	Adios Mi Juan			PER000176			LBL000003				SRC0001	high	approved	2026-06-16	2026-06-16
REC000095	Adios Mis Chorreadas			PER000225			LBL000003				SRC0001	high	approved	2026-06-16	2026-06-16
REC000096	Adios Mis Chorreadas			PER000225			LBL000003				SRC0001	high	approved	2026-06-16	2026-06-16
REC000097	Adios Mis Chorreadas			PER000225			LBL000003				SRC0001	high	approved	2026-06-16	2026-06-16
REC000099	Adios Nos Dijimos			PER000094			LBL000003				SRC0001	high	approved	2026-06-16	2026-06-16
REC000100	Adios Sylvia			PER000151			LBL000003				SRC0001	high	approved	2026-06-16	2026-06-16
REC000102	Adios Y Bienvenida			PER000031			LBL000003				SRC0001	high	approved	2026-06-16	2026-06-16
REC000103	Adios Y Buena Suerte			PER000177			LBL000003				SRC0001	high	approved	2026-06-16	2026-06-16
REC000104	Adios, Adios, Adios			PER000052			LBL000003				SRC0001	high	approved	2026-06-16	2026-06-16
REC000106	Adiós En El Puerto			PER000107			LBL000003				SRC0001	high	approved	2026-06-16	2026-06-16
REC000108	Adorado Tormento			PER000149			LBL000003				SRC0001	high	approved	2026-06-16	2026-06-16
REC000109	Adorado Tormento			PER000149			LBL000003				SRC0001	high	approved	2026-06-16	2026-06-16
REC000111	Agarro Parejo			PER000228			LBL000003				SRC0001	high	approved	2026-06-16	2026-06-16
REC000113	Agua!			PER000178			LBL000003				SRC0001	high	approved	2026-06-16	2026-06-16
REC000114	Aguanta Corazón			PER000036			LBL000003				SRC0001	high	approved	2026-06-16	2026-06-16
REC000115	Aguanta Corazón			PER000052			LBL000003				SRC0001	high	approved	2026-06-16	2026-06-16
REC000116	Aguila Real			PER000149			LBL000003				SRC0001	high	approved	2026-06-16	2026-06-16
REC000117	Agustina			PER000029			LBL000003				SRC0001	high	approved	2026-06-16	2026-06-16
REC000118	Ah Que Maria			PER000049			LBL000003				SRC0001	high	approved	2026-06-16	2026-06-16
REC000121	Ahi Lo Trais			PER000225			LBL000003				SRC0001	high	approved	2026-06-16	2026-06-16
REC000122	Ahora			PER000205			LBL000003				SRC0001	high	approved	2026-06-16	2026-06-16
REC000123	Ahora Mas Que Nunca			PER000041			LBL000003				SRC0001	high	approved	2026-06-16	2026-06-16
REC000125	Ahora Que Me Siento Nylon			PER000225			LBL000003				SRC0001	high	approved	2026-06-16	2026-06-16
REC000127	Ahora Si Va En Serio Mi Amor			PER000031			LBL000003				SRC0001	high	approved	2026-06-16	2026-06-16
REC000128	Ahora Soy Rico			PER000225			LBL000003				SRC0001	high	approved	2026-06-16	2026-06-16
REC000130	Ahora Y Siempre			PER000199			LBL000003				SRC0001	high	approved	2026-06-16	2026-06-16
REC000131	Al Calor De Las Copas			PER000052			LBL000003				SRC0001	high	approved	2026-06-16	2026-06-16
REC000132	Al Claro De La Luna			PER000089			LBL000003				SRC0001	high	approved	2026-06-16	2026-06-16
REC000133	Al Claro De La Luna			PER000210			LBL000003				SRC0001	high	approved	2026-06-16	2026-06-16
REC000134	Al Compas Del Tuñare			PER000277			LBL000003				SRC0001	high	approved	2026-06-16	2026-06-16
REC000135	Al Contado			PER000149			LBL000003				SRC0001	high	approved	2026-06-16	2026-06-16
