batch_recording_id	promotion_status	recording_id	canonical_recording_title	canonical_song_id	release_id	source_id	source_reference	match_basis	confidence	review_status
SRC0002-B0001-REC001	NEW	REC005503	Baila Kolombia	SONG004166	REL000001	SRC0002	https://tiendadiscosfuentes.com/productos/14-canonazos-bailables/lp-14-canonazos-bailables-vol-65/#track-A1	no_exact_normalized_recording_title_match	high	approved
SRC0002-B0001-REC002	NEW	REC005504	Perdona Si Te Ofendo	SONG004167	REL000001	SRC0002	https://tiendadiscosfuentes.com/productos/14-canonazos-bailables/lp-14-canonazos-bailables-vol-65/#track-A2	no_exact_normalized_recording_title_match	high	approved
SRC0002-B0001-REC003	NEW	REC005505	Desorden # 1	SONG004168	REL000001	SRC0002	https://tiendadiscosfuentes.com/productos/14-canonazos-bailables/lp-14-canonazos-bailables-vol-65/#track-A3	no_exact_normalized_recording_title_match	high	approved
SRC0002-B0001-REC004	NEW	REC005506	El Arrebato	SONG004169	REL000001	SRC0002	https://tiendadiscosfuentes.com/productos/14-canonazos-bailables/lp-14-canonazos-bailables-vol-65/#track-A4	no_exact_normalized_recording_title_match	high	approved
SRC0002-B0001-REC005	NEW	REC005507	Enamorao	SONG004170	REL000001	SRC0002	https://tiendadiscosfuentes.com/productos/14-canonazos-bailables/lp-14-canonazos-bailables-vol-65/#track-A5	no_exact_normalized_recording_title_match	high	approved
SRC0002-B0001-REC006	NEW	REC005508	Nadie Se Muere	SONG004171	REL000001	SRC0002	https://tiendadiscosfuentes.com/productos/14-canonazos-bailables/lp-14-canonazos-bailables-vol-65/#track-A6	no_exact_normalized_recording_title_match	high	approved
SRC0002-B0001-REC007	NEW	REC005509	Arrocito En Bajo	SONG004172	REL000001	SRC0002	https://tiendadiscosfuentes.com/productos/14-canonazos-bailables/lp-14-canonazos-bailables-vol-65/#track-A7	no_exact_normalized_recording_title_match	high	approved
SRC0002-B0001-REC008	NEW	REC005510	Los Gaiteros	SONG004173	REL000001	SRC0002	https://tiendadiscosfuentes.com/productos/14-canonazos-bailables/lp-14-canonazos-bailables-vol-65/#track-B1	no_exact_normalized_recording_title_match	high	approved
SRC0002-B0001-REC009	NEW	REC005511	Costeo	SONG004174	REL000001	SRC0002	https://tiendadiscosfuentes.com/productos/14-canonazos-bailables/lp-14-canonazos-bailables-vol-65/#track-B2	no_exact_normalized_recording_title_match	high	approved
SRC0002-B0001-REC010	NEW	REC005512	Alegría Y Amor	SONG004175	REL000001	SRC0002	https://tiendadiscosfuentes.com/productos/14-canonazos-bailables/lp-14-canonazos-bailables-vol-65/#track-B3	no_exact_normalized_recording_title_match	high	approved
SRC0002-B0001-REC011	NEW	REC005513	Newyorquina Chimba	SONG004176	REL000001	SRC0002	https://tiendadiscosfuentes.com/productos/14-canonazos-bailables/lp-14-canonazos-bailables-vol-65/#track-B4	no_exact_normalized_recording_title_match	high	approved
SRC0002-B0001-REC012	NEW	REC005514	Cajita De Cumbia	SONG004177	REL000001	SRC0002	https://tiendadiscosfuentes.com/productos/14-canonazos-bailables/lp-14-canonazos-bailables-vol-65/#track-B5	no_exact_normalized_recording_title_match	high	approved
SRC0002-B0001-REC013	NEW	REC005515	Tributo A Los Titanes	SONG004178	REL000001	SRC0002	https://tiendadiscosfuentes.com/productos/14-canonazos-bailables/lp-14-canonazos-bailables-vol-65/#track-B6	no_exact_normalized_recording_title_match	high	approved
SRC0002-B0001-REC014	NEW	REC005516	Potra	SONG004179	REL000001	SRC0002	https://tiendadiscosfuentes.com/productos/14-canonazos-bailables/lp-14-canonazos-bailables-vol-65/#track-B7	no_exact_normalized_recording_title_match	high	approved
