batch_recording_id	source_id	source_name	source_url	release_candidate_id	release_title	release_interpreter	release_genre	release_format	release_year	reference_number	side	track_number	global_track_number	raw_track_title	recording_title	artist_text	label_name	source_reference	evidence_text	confidence	review_status
SRC0002-B0002-REC001	SRC0002	Discos Fuentes	https://tiendadiscosfuentes.com/productos/vinilos/lp-la-cumbia-une-a-latinoamerica/	SRC0002-B0002-REL001	La Cumbia Une a Latinamérica	Los Cumbia Stars	Tropical – Bailable	LP Estereo 33 RPM	2024	202446	A	1	1	Tanto Que No Aguanto	Tanto Que No Aguanto	Los Cumbia Stars	Discos Fuentes	https://tiendadiscosfuentes.com/productos/vinilos/lp-la-cumbia-une-a-latinoamerica/#track-A1	Discos Fuentes shop product page: release='La Cumbia Une a Latinamérica', interpreter='Los Cumbia Stars', side='A', track='1', raw_track='Tanto Que No Aguanto', reference='202446'	high	staged_for_review
SRC0002-B0002-REC002	SRC0002	Discos Fuentes	https://tiendadiscosfuentes.com/productos/vinilos/lp-la-cumbia-une-a-latinoamerica/	SRC0002-B0002-REL001	La Cumbia Une a Latinamérica	Los Cumbia Stars	Tropical – Bailable	LP Estereo 33 RPM	2024	202446	A	2	2	Amapola | Feat. Papaya Dada (Ecuador)	Amapola	Los Cumbia Stars, Papaya Dada	Discos Fuentes	https://tiendadiscosfuentes.com/productos/vinilos/lp-la-cumbia-une-a-latinoamerica/#track-A2	Discos Fuentes shop product page: release='La Cumbia Une a Latinamérica', interpreter='Los Cumbia Stars', side='A', track='2', raw_track='Amapola | Feat. Papaya Dada (Ecuador)', reference='202446'	high	staged_for_review
SRC0002-B0002-REC003	SRC0002	Discos Fuentes	https://tiendadiscosfuentes.com/productos/vinilos/lp-la-cumbia-une-a-latinoamerica/	SRC0002-B0002-REL001	La Cumbia Une a Latinamérica	Los Cumbia Stars	Tropical – Bailable	LP Estereo 33 RPM	2024	202446	A	3	3	Mi Cocha Pechocha | Feat. Los Mirlos (Perú)	Mi Cocha Pechocha	Los Cumbia Stars, Los Mirlos	Discos Fuentes	https://tiendadiscosfuentes.com/productos/vinilos/lp-la-cumbia-une-a-latinoamerica/#track-A3	Discos Fuentes shop product page: release='La Cumbia Une a Latinamérica', interpreter='Los Cumbia Stars', side='A', track='3', raw_track='Mi Cocha Pechocha | Feat. Los Mirlos (Perú)', reference='202446'	high	staged_for_review
SRC0002-B0002-REC004	SRC0002	Discos Fuentes	https://tiendadiscosfuentes.com/productos/vinilos/lp-la-cumbia-une-a-latinoamerica/	SRC0002-B0002-REL001	La Cumbia Une a Latinamérica	Los Cumbia Stars	Tropical – Bailable	LP Estereo 33 RPM	2024	202446	A	4	4	Sonidero | Feat. La Ronda Bogotá (México)	Sonidero	Los Cumbia Stars, La Ronda Bogotá	Discos Fuentes	https://tiendadiscosfuentes.com/productos/vinilos/lp-la-cumbia-une-a-latinoamerica/#track-A4	Discos Fuentes shop product page: release='La Cumbia Une a Latinamérica', interpreter='Los Cumbia Stars', side='A', track='4', raw_track='Sonidero | Feat. La Ronda Bogotá (México)', reference='202446'	high	staged_for_review
SRC0002-B0002-REC005	SRC0002	Discos Fuentes	https://tiendadiscosfuentes.com/productos/vinilos/lp-la-cumbia-une-a-latinoamerica/	SRC0002-B0002-REL001	La Cumbia Une a Latinamérica	Los Cumbia Stars	Tropical – Bailable	LP Estereo 33 RPM	2024	202446	A	5	5	La Canoa Se Va | Feat. Pascual Ilabaca (Chile)	La Canoa Se Va	Los Cumbia Stars, Pascual Ilabaca	Discos Fuentes	https://tiendadiscosfuentes.com/productos/vinilos/lp-la-cumbia-une-a-latinoamerica/#track-A5	Discos Fuentes shop product page: release='La Cumbia Une a Latinamérica', interpreter='Los Cumbia Stars', side='A', track='5', raw_track='La Canoa Se Va | Feat. Pascual Ilabaca (Chile)', reference='202446'	high	staged_for_review
SRC0002-B0002-REC006	SRC0002	Discos Fuentes	https://tiendadiscosfuentes.com/productos/vinilos/lp-la-cumbia-une-a-latinoamerica/	SRC0002-B0002-REL001	La Cumbia Une a Latinamérica	Los Cumbia Stars	Tropical – Bailable	LP Estereo 33 RPM	2024	202446	B	1	6	Raza | Feat. C4 Trío (Venezuela)	Raza	Los Cumbia Stars, C4 Trío	Discos Fuentes	https://tiendadiscosfuentes.com/productos/vinilos/lp-la-cumbia-une-a-latinoamerica/#track-B1	Discos Fuentes shop product page: release='La Cumbia Une a Latinamérica', interpreter='Los Cumbia Stars', side='B', track='1', raw_track='Raza | Feat. C4 Trío (Venezuela)', reference='202446'	high	staged_for_review
SRC0002-B0002-REC007	SRC0002	Discos Fuentes	https://tiendadiscosfuentes.com/productos/vinilos/lp-la-cumbia-une-a-latinoamerica/	SRC0002-B0002-REL001	La Cumbia Une a Latinamérica	Los Cumbia Stars	Tropical – Bailable	LP Estereo 33 RPM	2024	202446	B	2	7	Wepa | Feat. Onda Sabanera (Argentina)	Wepa	Los Cumbia Stars, Onda Sabanera	Discos Fuentes	https://tiendadiscosfuentes.com/productos/vinilos/lp-la-cumbia-une-a-latinoamerica/#track-B2	Discos Fuentes shop product page: release='La Cumbia Une a Latinamérica', interpreter='Los Cumbia Stars', side='B', track='2', raw_track='Wepa | Feat. Onda Sabanera (Argentina)', reference='202446'	high	staged_for_review
SRC0002-B0002-REC008	SRC0002	Discos Fuentes	https://tiendadiscosfuentes.com/productos/vinilos/lp-la-cumbia-une-a-latinoamerica/	SRC0002-B0002-REL001	La Cumbia Une a Latinamérica	Los Cumbia Stars	Tropical – Bailable	LP Estereo 33 RPM	2024	202446	B	3	8	Coqueto | Feat. Alemor (Colombia)	Coqueto	Los Cumbia Stars, Alemor	Discos Fuentes	https://tiendadiscosfuentes.com/productos/vinilos/lp-la-cumbia-une-a-latinoamerica/#track-B3	Discos Fuentes shop product page: release='La Cumbia Une a Latinamérica', interpreter='Los Cumbia Stars', side='B', track='3', raw_track='Coqueto | Feat. Alemor (Colombia)', reference='202446'	high	staged_for_review
SRC0002-B0002-REC009	SRC0002	Discos Fuentes	https://tiendadiscosfuentes.com/productos/vinilos/lp-la-cumbia-une-a-latinoamerica/	SRC0002-B0002-REL001	La Cumbia Une a Latinamérica	Los Cumbia Stars	Tropical – Bailable	LP Estereo 33 RPM	2024	202446	B	4	9	Y Volver | Feat. Cumbia Club (Uruguay)	Y Volver	Los Cumbia Stars, Cumbia Club	Discos Fuentes	https://tiendadiscosfuentes.com/productos/vinilos/lp-la-cumbia-une-a-latinoamerica/#track-B4	Discos Fuentes shop product page: release='La Cumbia Une a Latinamérica', interpreter='Los Cumbia Stars', side='B', track='4', raw_track='Y Volver | Feat. Cumbia Club (Uruguay)', reference='202446'	high	staged_for_review
SRC0002-B0002-REC010	SRC0002	Discos Fuentes	https://tiendadiscosfuentes.com/productos/vinilos/lp-la-cumbia-une-a-latinoamerica/	SRC0002-B0002-REL001	La Cumbia Une a Latinamérica	Los Cumbia Stars	Tropical – Bailable	LP Estereo 33 RPM	2024	202446	B	5	10	Tierra Mala | Feat. Aye Alfonso (Paraguay)	Tierra Mala	Los Cumbia Stars, Aye Alfonso	Discos Fuentes	https://tiendadiscosfuentes.com/productos/vinilos/lp-la-cumbia-une-a-latinoamerica/#track-B5	Discos Fuentes shop product page: release='La Cumbia Une a Latinamérica', interpreter='Los Cumbia Stars', side='B', track='5', raw_track='Tierra Mala | Feat. Aye Alfonso (Paraguay)', reference='202446'	high	staged_for_review
