batch_song_id	source_id	source_name	source_url	canonical_song_title_candidate	raw_track_title	release_candidate_id	release_title	side	track_number	source_reference	evidence_text	confidence	review_status
SRC0002-B0003-SONG001	SRC0002	Discos Fuentes	https://tiendadiscosfuentes.com/productos/vinilos/lp-cumbia-y-nada-mas/	La Danza del Mono	La Danza del Mono	SRC0002-B0003-REL001	LP - Cumbia y Nada Más	A	1	https://tiendadiscosfuentes.com/productos/vinilos/lp-cumbia-y-nada-mas/#track-A1	Discos Fuentes shop product page: release='LP - Cumbia y Nada Más', track='A1', raw_track='La Danza del Mono'	high	staged_for_review
SRC0002-B0003-SONG002	SRC0002	Discos Fuentes	https://tiendadiscosfuentes.com/productos/vinilos/lp-cumbia-y-nada-mas/	Cumbia y Nada Más	Cumbia y Nada Más	SRC0002-B0003-REL001	LP - Cumbia y Nada Más	A	2	https://tiendadiscosfuentes.com/productos/vinilos/lp-cumbia-y-nada-mas/#track-A2	Discos Fuentes shop product page: release='LP - Cumbia y Nada Más', track='A2', raw_track='Cumbia y Nada Más'	high	staged_for_review
SRC0002-B0003-SONG003	SRC0002	Discos Fuentes	https://tiendadiscosfuentes.com/productos/vinilos/lp-cumbia-y-nada-mas/	Trueno	Trueno	SRC0002-B0003-REL001	LP - Cumbia y Nada Más	A	3	https://tiendadiscosfuentes.com/productos/vinilos/lp-cumbia-y-nada-mas/#track-A3	Discos Fuentes shop product page: release='LP - Cumbia y Nada Más', track='A3', raw_track='Trueno'	high	staged_for_review
SRC0002-B0003-SONG004	SRC0002	Discos Fuentes	https://tiendadiscosfuentes.com/productos/vinilos/lp-cumbia-y-nada-mas/	Cumbia de Mis Penas	Cumbia de Mis Penas	SRC0002-B0003-REL001	LP - Cumbia y Nada Más	A	4	https://tiendadiscosfuentes.com/productos/vinilos/lp-cumbia-y-nada-mas/#track-A4	Discos Fuentes shop product page: release='LP - Cumbia y Nada Más', track='A4', raw_track='Cumbia de Mis Penas'	high	staged_for_review
SRC0002-B0003-SONG005	SRC0002	Discos Fuentes	https://tiendadiscosfuentes.com/productos/vinilos/lp-cumbia-y-nada-mas/	Afrocumbé	Afrocumbé	SRC0002-B0003-REL001	LP - Cumbia y Nada Más	A	5	https://tiendadiscosfuentes.com/productos/vinilos/lp-cumbia-y-nada-mas/#track-A5	Discos Fuentes shop product page: release='LP - Cumbia y Nada Más', track='A5', raw_track='Afrocumbé'	high	staged_for_review
SRC0002-B0003-SONG006	SRC0002	Discos Fuentes	https://tiendadiscosfuentes.com/productos/vinilos/lp-cumbia-y-nada-mas/	La Chula Loba	La Chula Loba	SRC0002-B0003-REL001	LP - Cumbia y Nada Más	B	1	https://tiendadiscosfuentes.com/productos/vinilos/lp-cumbia-y-nada-mas/#track-B1	Discos Fuentes shop product page: release='LP - Cumbia y Nada Más', track='B1', raw_track='La Chula Loba'	high	staged_for_review
SRC0002-B0003-SONG007	SRC0002	Discos Fuentes	https://tiendadiscosfuentes.com/productos/vinilos/lp-cumbia-y-nada-mas/	El Aguacero	El Aguacero	SRC0002-B0003-REL001	LP - Cumbia y Nada Más	B	2	https://tiendadiscosfuentes.com/productos/vinilos/lp-cumbia-y-nada-mas/#track-B2	Discos Fuentes shop product page: release='LP - Cumbia y Nada Más', track='B2', raw_track='El Aguacero'	high	staged_for_review
SRC0002-B0003-SONG008	SRC0002	Discos Fuentes	https://tiendadiscosfuentes.com/productos/vinilos/lp-cumbia-y-nada-mas/	Mardito	Mardito	SRC0002-B0003-REL001	LP - Cumbia y Nada Más	B	3	https://tiendadiscosfuentes.com/productos/vinilos/lp-cumbia-y-nada-mas/#track-B3	Discos Fuentes shop product page: release='LP - Cumbia y Nada Más', track='B3', raw_track='Mardito'	high	staged_for_review
SRC0002-B0003-SONG009	SRC0002	Discos Fuentes	https://tiendadiscosfuentes.com/productos/vinilos/lp-cumbia-y-nada-mas/	Cajita de Cumbia	Cajita de Cumbia	SRC0002-B0003-REL001	LP - Cumbia y Nada Más	B	4	https://tiendadiscosfuentes.com/productos/vinilos/lp-cumbia-y-nada-mas/#track-B4	Discos Fuentes shop product page: release='LP - Cumbia y Nada Más', track='B4', raw_track='Cajita de Cumbia'	high	staged_for_review
SRC0002-B0003-SONG010	SRC0002	Discos Fuentes	https://tiendadiscosfuentes.com/productos/vinilos/lp-cumbia-y-nada-mas/	Chiribiquete	Chiribiquete	SRC0002-B0003-REL001	LP - Cumbia y Nada Más	B	5	https://tiendadiscosfuentes.com/productos/vinilos/lp-cumbia-y-nada-mas/#track-B5	Discos Fuentes shop product page: release='LP - Cumbia y Nada Más', track='B5', raw_track='Chiribiquete'	high	staged_for_review
SRC0002-B0003-SONG011	SRC0002	Discos Fuentes	https://tiendadiscosfuentes.com/productos/vinilos/lp-cumbia-y-nada-mas/	Kadett Cabalga	Kadett Cabalga	SRC0002-B0003-REL001	LP - Cumbia y Nada Más	B	6	https://tiendadiscosfuentes.com/productos/vinilos/lp-cumbia-y-nada-mas/#track-B6	Discos Fuentes shop product page: release='LP - Cumbia y Nada Más', track='B6', raw_track='Kadett Cabalga'	high	staged_for_review
SRC0002-B0003-SONG012	SRC0002	Discos Fuentes	https://tiendadiscosfuentes.com/productos/vinilos/lp-historia-musical-los-50-de-joselito/	Dame Tu Mujer José	Dame Tu Mujer José	SRC0002-B0003-REL002	LP - Historia Musical	A	1	https://tiendadiscosfuentes.com/productos/vinilos/lp-historia-musical-los-50-de-joselito/#track-A1	Discos Fuentes shop product page: release='LP - Historia Musical', track='A1', raw_track='Dame Tu Mujer José'	high	staged_for_review
SRC0002-B0003-SONG013	SRC0002	Discos Fuentes	https://tiendadiscosfuentes.com/productos/vinilos/lp-historia-musical-los-50-de-joselito/	El Pájaro Amarillo	El Pájaro Amarillo	SRC0002-B0003-REL002	LP - Historia Musical	A	2	https://tiendadiscosfuentes.com/productos/vinilos/lp-historia-musical-los-50-de-joselito/#track-A2	Discos Fuentes shop product page: release='LP - Historia Musical', track='A2', raw_track='El Pájaro Amarillo'	high	staged_for_review
SRC0002-B0003-SONG014	SRC0002	Discos Fuentes	https://tiendadiscosfuentes.com/productos/vinilos/lp-historia-musical-los-50-de-joselito/	María Teresa	María Teresa	SRC0002-B0003-REL002	LP - Historia Musical	A	3	https://tiendadiscosfuentes.com/productos/vinilos/lp-historia-musical-los-50-de-joselito/#track-A3	Discos Fuentes shop product page: release='LP - Historia Musical', track='A3', raw_track='María Teresa'	high	staged_for_review
