batch_song_id	promotion_status	master_song_id	canonical_song_title_candidate	match_basis	source_id	source_name	source_url	release_candidate_id	release_title	side	track_number	source_reference	evidence_text	confidence	review_status
SRC0002-B0005-SONG001	NEW	SONG004300	Echele Agua a la Sopa	new_song_title	SRC0002	Discos Fuentes	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/coleccion-100-parranderas-del-siglo/	SRC0002-B0005-REL001	Colección 100 Parranderas del Siglo		1	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/coleccion-100-parranderas-del-siglo/#track-1	Discos Fuentes shop product page: release='Colección 100 Parranderas del Siglo', track='1', raw_track='Echele Agua a la Sopa'	high	staged_for_review
SRC0002-B0005-SONG002	NEW	SONG004301	El Enredo	new_song_title	SRC0002	Discos Fuentes	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/coleccion-100-parranderas-del-siglo/	SRC0002-B0005-REL001	Colección 100 Parranderas del Siglo		2	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/coleccion-100-parranderas-del-siglo/#track-2	Discos Fuentes shop product page: release='Colección 100 Parranderas del Siglo', track='2', raw_track='El Enredo'	high	staged_for_review
SRC0002-B0005-SONG003	NEW	SONG004302	El Duende Alegre	new_song_title	SRC0002	Discos Fuentes	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/coleccion-100-parranderas-del-siglo/	SRC0002-B0005-REL001	Colección 100 Parranderas del Siglo		3	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/coleccion-100-parranderas-del-siglo/#track-3	Discos Fuentes shop product page: release='Colección 100 Parranderas del Siglo', track='3', raw_track='El Duende Alegre'	high	staged_for_review
SRC0002-B0005-SONG004	NEW	SONG004303	La Encomienda	new_song_title	SRC0002	Discos Fuentes	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/coleccion-100-parranderas-del-siglo/	SRC0002-B0005-REL001	Colección 100 Parranderas del Siglo		4	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/coleccion-100-parranderas-del-siglo/#track-4	Discos Fuentes shop product page: release='Colección 100 Parranderas del Siglo', track='4', raw_track='La Encomienda'	high	staged_for_review
SRC0002-B0005-SONG005	NEW	SONG004304	La Dulce Toma	new_song_title	SRC0002	Discos Fuentes	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/coleccion-100-parranderas-del-siglo/	SRC0002-B0005-REL001	Colección 100 Parranderas del Siglo		5	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/coleccion-100-parranderas-del-siglo/#track-5	Discos Fuentes shop product page: release='Colección 100 Parranderas del Siglo', track='5', raw_track='La Dulce Toma'	high	staged_for_review
SRC0002-B0005-SONG006	MATCH_EXISTING	SONG004279	La Boquitrompona	normalized_song_title	SRC0002	Discos Fuentes	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/coleccion-100-parranderas-del-siglo/	SRC0002-B0005-REL001	Colección 100 Parranderas del Siglo		6	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/coleccion-100-parranderas-del-siglo/#track-6	Discos Fuentes shop product page: release='Colección 100 Parranderas del Siglo', track='6', raw_track='La Boquitrompona'	high	staged_for_review
SRC0002-B0005-SONG007	NEW	SONG004305	Que lo Diga Ella	new_song_title	SRC0002	Discos Fuentes	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/coleccion-100-parranderas-del-siglo/	SRC0002-B0005-REL001	Colección 100 Parranderas del Siglo		7	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/coleccion-100-parranderas-del-siglo/#track-7	Discos Fuentes shop product page: release='Colección 100 Parranderas del Siglo', track='7', raw_track='Que lo Diga Ella'	high	staged_for_review
SRC0002-B0005-SONG008	NEW	SONG004306	Las Piponchas	new_song_title	SRC0002	Discos Fuentes	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/coleccion-100-parranderas-del-siglo/	SRC0002-B0005-REL001	Colección 100 Parranderas del Siglo		8	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/coleccion-100-parranderas-del-siglo/#track-8	Discos Fuentes shop product page: release='Colección 100 Parranderas del Siglo', track='8', raw_track='Las Piponchas'	high	staged_for_review
SRC0002-B0005-SONG009	NEW	SONG004307	Ya Voy Toño	new_song_title	SRC0002	Discos Fuentes	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/coleccion-100-parranderas-del-siglo/	SRC0002-B0005-REL001	Colección 100 Parranderas del Siglo		9	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/coleccion-100-parranderas-del-siglo/#track-9	Discos Fuentes shop product page: release='Colección 100 Parranderas del Siglo', track='9', raw_track='Ya Voy Toño'	high	staged_for_review
SRC0002-B0005-SONG010	NEW	SONG004308	Mi Novia de Malas	new_song_title	SRC0002	Discos Fuentes	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/coleccion-100-parranderas-del-siglo/	SRC0002-B0005-REL001	Colección 100 Parranderas del Siglo		10	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/coleccion-100-parranderas-del-siglo/#track-10	Discos Fuentes shop product page: release='Colección 100 Parranderas del Siglo', track='10', raw_track='Mi Novia de Malas'	high	staged_for_review
SRC0002-B0005-SONG011	NEW	SONG004309	Feliz Nochebuena	new_song_title	SRC0002	Discos Fuentes	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/coleccion-100-exitos-de-diciembre-usb-8-gb/	SRC0002-B0005-REL002	Colección 100 Exitos de Diciembre		1	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/coleccion-100-exitos-de-diciembre-usb-8-gb/#track-1	Discos Fuentes shop product page: release='Colección 100 Exitos de Diciembre', track='1', raw_track='Feliz Nochebuena'	high	staged_for_review
SRC0002-B0005-SONG012	NEW	SONG004310	Bella es la Navidad	new_song_title	SRC0002	Discos Fuentes	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/coleccion-100-exitos-de-diciembre-usb-8-gb/	SRC0002-B0005-REL002	Colección 100 Exitos de Diciembre		2	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/coleccion-100-exitos-de-diciembre-usb-8-gb/#track-2	Discos Fuentes shop product page: release='Colección 100 Exitos de Diciembre', track='2', raw_track='Bella es la Navidad'	high	staged_for_review
SRC0002-B0005-SONG013	NEW	SONG004311	En la Nochebuena	new_song_title	SRC0002	Discos Fuentes	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/coleccion-100-exitos-de-diciembre-usb-8-gb/	SRC0002-B0005-REL002	Colección 100 Exitos de Diciembre		3	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/coleccion-100-exitos-de-diciembre-usb-8-gb/#track-3	Discos Fuentes shop product page: release='Colección 100 Exitos de Diciembre', track='3', raw_track='En la Nochebuena'	high	staged_for_review
