release_title	status	title
Así Se Compone Un Son	MATCH	Ahora Que Estoy Sabroso
Así Se Compone Un Son	MATCH	Ahora Sí
Así Se Compone Un Son	MATCH	Así Se Compone Un Son
Así Se Compone Un Son	MATCH	Cuídate Bien
Así Se Compone Un Son	MATCH	Las Cuarentas
Así Se Compone Un Son	MATCH	Me Voy Pa' Colombia
Así Se Compone Un Son	MATCH	Mulence
Así Se Compone Un Son	MATCH	Nicolás
Así Se Compone Un Son	MATCH	Sálvame
Así Se Compone Un Son	MATCH	Sonerito
Este Es Ismael Miranda	MATCH	Cipriano Armenteros
Este Es Ismael Miranda	MATCH	En Mi Viejo San Juan
Este Es Ismael Miranda	MATCH	La Cosa No Es Como Antes
Este Es Ismael Miranda	MATCH	Madre
Este Es Ismael Miranda	MATCH	María Luisa
Este Es Ismael Miranda	MATCH	Puerto Abandonado
Este Es Ismael Miranda	MATCH	Yo no Me Quejo
