recording_id	canonical_recording_title	canonical_song_id	primary_group_id	primary_performer_id	recording_genre_id	release_id	label_id	recording_year	country	language	source_id	confidence	review_status	created_at	updated_at
REC005885	El Nuevo Barretto	SONG004461		PER000336		REL000036	LBL000005	1968			SRC0003	high	approved	2026-06-17	2026-06-17
REC005886	Mercy, Mercy Baby	SONG004462		PER000336		REL000036	LBL000005	1968			SRC0003	high	approved	2026-06-17	2026-06-17
REC005887	Acid	SONG004463		PER000336		REL000036	LBL000005	1968			SRC0003	high	approved	2026-06-17	2026-06-17
REC005888	A Deeper Shade Of Soul	SONG004464		PER000336		REL000036	LBL000005	1968			SRC0003	high	approved	2026-06-17	2026-06-17
REC005889	Soul Drummers	SONG004465		PER000336		REL000036	LBL000005	1968			SRC0003	high	approved	2026-06-17	2026-06-17
REC005890	Sola Te Dejaré	SONG004466		PER000336		REL000036	LBL000005	1968			SRC0003	high	approved	2026-06-17	2026-06-17
REC005891	The Teacher Of Love	SONG004467		PER000336		REL000036	LBL000005	1968			SRC0003	high	approved	2026-06-17	2026-06-17
REC005892	Espíritu Libre	SONG004468		PER000336		REL000036	LBL000005	1968			SRC0003	high	approved	2026-06-17	2026-06-17
REC005893	No Quiero	SONG004469		PER000337		REL000037	LBL000005	1974			SRC0003	high	approved	2026-06-17	2026-06-17
REC005894	La Cartera	SONG004470		PER000337		REL000037	LBL000005	1974			SRC0003	high	approved	2026-06-17	2026-06-17
REC005895	Popo Pa' Mi	SONG004471		PER000337		REL000037	LBL000005	1974			SRC0003	high	approved	2026-06-17	2026-06-17
REC005896	El Paso De Encarnacion	SONG004472		PER000337		REL000037	LBL000005	1974			SRC0003	high	approved	2026-06-17	2026-06-17
REC005897	No Hay Amigo	SONG004473		PER000337		REL000037	LBL000005	1974			SRC0003	high	approved	2026-06-17	2026-06-17
