unit_candidate_id	scan_id	file_path	file_name	candidate_performer_text	candidate_recording_title	candidate_song_title	match_status	confidence	duplicate_group_size	review_status	notes
UNIT0108-MP3-001	88eda2fbe74b1ef2	/home/remo-speed/Music/Revisar/101 Mix C04/041. Celia Cruz & Sonora Matancera - Rumba Para Parejas ©1951.mp3	041. Celia Cruz & Sonora Matancera - Rumba Para Parejas ©1951.mp3	Celia Cruz & Sonora Matancera	Rumba Para Parejas	Rumba Para Parejas	unknown	medium-high	1	staged_for_review	
UNIT0108-MP3-002	bf60888821c4d19a	/home/remo-speed/Music/Revisar/101 Mix Varios 2308 Vol 1/02. Celia Cruz - Guede Zaina.mp3	02. Celia Cruz - Guede Zaina.mp3	Celia Cruz	Guede Zaina	Guede Zaina	unknown	medium-high	1	staged_for_review	
UNIT0108-MP3-003	cbadc4ba96ea7b43	/home/remo-speed/Music/Revisar/102 La mejor salsa PR/030. Celia Cruz & Jonny Pacheco - Kinshasa, October 1974.mp3	030. Celia Cruz & Jonny Pacheco - Kinshasa, October 1974.mp3	Celia Cruz & Johnny Pacheco	Kinshasa, October 1974	Kinshasa, October 1974	unknown	low	1	manual_review_required	title may be event/video rather than canonical recording
UNIT0108-MP3-004	4f1590c90fff80a8	/home/remo-speed/Music/Revisar/102 Salsa Guateque y Guaguanco/036. SOPITA EN BOTELLA -  CELIA  CRUZ.mp3	036. SOPITA EN BOTELLA -  CELIA  CRUZ.mp3	Celia Cruz	Sopita En Botella	Sopita En Botella	unknown	medium-high	2	staged_for_review	
UNIT0108-MP3-005	85dc642e8af33212	/home/remo-speed/Music/Revisar/103 Mix C04/044. El Pai y La Mai - Celia Cruz y La Sonora Matancera   Discos Fuentes.mp3	044. El Pai y La Mai - Celia Cruz y La Sonora Matancera   Discos Fuentes.mp3	Celia Cruz y La Sonora Matancera	El Pai y La Mai	El Pai y La Mai	unknown	medium-high	1	staged_for_review	
UNIT0108-MP3-006	eb3469cd75837b17	/home/remo-speed/Music/Revisar/103 Mix C04/44. Celia Cruz & Pete Conde Perdón  (Bolero).mp3	44. Celia Cruz & Pete Conde Perdón  (Bolero).mp3	Celia Cruz & Pete Conde	Perdón	Perdón	unknown	medium	1	staged_for_review	
UNIT0108-MP3-007	6feaf991a6a6ef52	/home/remo-speed/Music/Revisar/104 Mix C01/006. Dile Que Por Mi No Tema Celia Cruz.mp3	006. Dile Que Por Mi No Tema Celia Cruz.mp3	Celia Cruz	Dile Que Por Mi No Tema	Dile Que Por Mi No Tema	unknown	medium-high	3	staged_for_review	
UNIT0108-MP3-008	6f6699ae2f491736	/home/remo-speed/Music/Revisar/104 Mix C04/047. Juancito Trucupey - Celia Cruz Con La Sonora Matancera   Discos Fuentes.mp3	047. Juancito Trucupey - Celia Cruz Con La Sonora Matancera   Discos Fuentes.mp3	Celia Cruz Con La Sonora Matancera	Juancito Trucupey	Juancito Trucupey	unknown	medium-high	1	staged_for_review	
UNIT0108-MP3-009	af87523ffc42206d	/home/remo-speed/Music/Revisar/105 La mejor salsa PR/095. Super Salsa 1978 Puerto Rico - Hector Lavoe, Rueben Blades, Willy Colon, Celia Cruz, Yomo Toro.mp3	095. Super Salsa 1978 Puerto Rico - Hector Lavoe, Rueben Blades, Willy Colon, Celia Cruz, Yomo Toro.mp3	Hector Lavoe, Ruben Blades, Willie Colon, Celia Cruz, Yomo Toro	Super Salsa 1978 Puerto Rico	Super Salsa 1978 Puerto Rico	unknown	low	1	manual_review_required	multi-artist file; may be mix/live compilation rather than single recording
UNIT0108-MP3-010	edcb468cdb4ac570	/home/remo-speed/Music/Revisar/105 Mix C03/033. Laito Sureda y Celia Cruz Con La Sonora Matancera - En El Bajio.mp3	033. Laito Sureda y Celia Cruz Con La Sonora Matancera - En El Bajio.mp3	Laito Sureda y Celia Cruz Con La Sonora Matancera	En El Bajio	En El Bajio	unknown	medium	1	staged_for_review	
UNIT0108-MP3-011	99eef881d8599dcb	/home/remo-speed/Music/Revisar/105 Mix C04/049. Vallan Vallende - Celia Cruz Y La Sonora Matancera - Guaracha Cubana - Éxito Sonido La Changa.mp3	049. Vallan Vallende - Celia Cruz Y La Sonora Matancera - Guaracha Cubana - Éxito Sonido La Changa.mp3	Celia Cruz Y La Sonora Matancera	Vallan Vallende	Vallan Vallende	unknown	medium	1	staged_for_review	title spelling needs review
UNIT0108-MP3-012	9952211d07ca0353	/home/remo-speed/Music/Revisar/106 Mix C01/009. CELIA CRUZ - RITMO TAMBO Y FLORES.mp3	009. CELIA CRUZ - RITMO TAMBO Y FLORES.mp3	Celia Cruz	Ritmo Tambo Y Flores	Ritmo Tambo Y Flores	unknown	medium-high	1	staged_for_review	
UNIT0108-MP3-013	99490961463d1740	/home/remo-speed/Music/Revisar/106 Mix C01/08 Celia Cruz & La Sonora Matancera - Rock and Roll.mp3	08 Celia Cruz & La Sonora Matancera - Rock and Roll.mp3	Celia Cruz & La Sonora Matancera	Rock and Roll	Rock and Roll	unknown	medium-high	1	staged_for_review	
UNIT0108-MP3-014	1887d4749f4cd24c	/home/remo-speed/Music/Revisar/106 Salsa Guateque y Guaguanco/127. Celia Cruz y Willie Colón - Usted abusó.mp3	127. Celia Cruz y Willie Colón - Usted abusó.mp3	Celia Cruz y Willie Colón	Usted abusó	Usted abusó	unknown	medium-high	1	staged_for_review	
UNIT0108-MP3-015	c98aa371145912a1	/home/remo-speed/Music/Revisar/106 Salsa Guateque y Guaguanco/142. Te Busco - Celia Cruz (1925 - 2003).mp3	142. Te Busco - Celia Cruz (1925 - 2003).mp3	Celia Cruz	Te Busco	Te Busco	unknown	medium-high	1	staged_for_review	
UNIT0108-MP3-016	861ec0e36e577e25	/home/remo-speed/Music/Revisar/107 Mix C03/037. CELIA CRUZ - CAO CAO, MANI PICAO.mp3	037. CELIA CRUZ - CAO CAO, MANI PICAO.mp3	Celia Cruz	Cao Cao, Mani Picao	Cao Cao, Mani Picao	unknown	medium-high	1	staged_for_review	
UNIT0108-MP3-017	23f203f564bc47c1	/home/remo-speed/Music/Revisar/107 Mix Varios 2308 Vol 1/006. Dile Que Por Mi No Tema Celia Cruz.mp3	006. Dile Que Por Mi No Tema Celia Cruz.mp3	Celia Cruz	Dile Que Por Mi No Tema	Dile Que Por Mi No Tema	unknown	medium-high	3	staged_for_review	
UNIT0108-MP3-018	e1cefb7b15c09b45	/home/remo-speed/Music/Revisar/107 Salsa Guateque y Guaguanco/161. CUCALA -  CELIA CRUZ.mp3	161. CUCALA -  CELIA CRUZ.mp3	Celia Cruz	Cucala	Cucala	unknown	medium-high	1	staged_for_review	
UNIT0108-MP3-019	016118ae6d788256	/home/remo-speed/Music/Revisar/108 Mix C03/039. Celia cruz y la Sonora Matancera - La guagua.mp3	039. Celia cruz y la Sonora Matancera - La guagua.mp3	Celia cruz y la Sonora Matancera	Celia cruz y la Sonora Matancera - La guagua	Celia cruz y la Sonora Matancera - La guagua	unknown	medium	1	staged_for_review	manual extraction incomplete
UNIT0108-MP3-020	43a88abd3fee5365	/home/remo-speed/Music/Revisar/109 Mix Varios 2308 Vol 1/08. Celia Cruz - Sopita En Botella.mp3	08. Celia Cruz - Sopita En Botella.mp3	Celia Cruz	Sopita En Botella	Sopita En Botella	unknown	medium-high	2	staged_for_review	
UNIT0108-MP3-021	9d91f5c642aa8d7f	/home/remo-speed/Music/Revisar/109 Mix Varios 2308 Vol 1/09. Celia Cruz - Dile Que Por Mi No Tema.mp3	09. Celia Cruz - Dile Que Por Mi No Tema.mp3	Celia Cruz	Dile Que Por Mi No Tema	Dile Que Por Mi No Tema	unknown	medium-high	3	staged_for_review	
