promotion_candidate_id	source_unit_recording_candidate_id	canonical_recording_title	canonical_song_title	candidate_performer_text	primary_performer_id	primary_group_id	release_id	release_status	mp3_instances	confidence	promotion_status	review_notes
UNIT0109-READY-001	UNIT0108-REC-001	Dile Que Por Mi No Tema	Dile Que Por Mi No Tema	Celia Cruz	PER000001			no_release_evidence_from_unit0108	3	medium-high	promotion_ready	clean_new_candidate; title_normalized; performer_consistent; no_master_duplicate_detected
UNIT0109-READY-002	UNIT0108-REC-002	Sopita En Botella	Sopita En Botella	Celia Cruz	PER000001			no_release_evidence_from_unit0108	2	medium-high	promotion_ready	clean_new_candidate; title_normalized; performer_consistent; no_master_duplicate_detected
UNIT0109-READY-003	UNIT0108-REC-003	Cao Cao, Mani Picao	Cao Cao, Mani Picao	Celia Cruz	PER000001			no_release_evidence_from_unit0108	1	medium-high	promotion_ready	clean_new_candidate; title_normalized; performer_consistent; no_master_duplicate_detected
UNIT0109-READY-004	UNIT0108-REC-005	Cucala	Cucala	Celia Cruz	PER000001			no_release_evidence_from_unit0108	1	medium-high	promotion_ready	clean_new_candidate; title_normalized; performer_consistent; no_master_duplicate_detected
UNIT0109-READY-005	UNIT0108-REC-006	El Pai y La Mai	El Pai y La Mai	Celia Cruz y La Sonora Matancera	PER000001	GRP0001		no_release_evidence_from_unit0108	1	medium-high	promotion_ready	clean_new_candidate; title_normalized; performer_consistent; no_master_duplicate_detected
UNIT0109-READY-006	UNIT0108-REC-007	En El Bajio	En El Bajio	Laito Sureda y Celia Cruz Con La Sonora Matancera	PER000001	GRP0001		no_release_evidence_from_unit0108	1	medium	promotion_ready	clean_new_candidate; title_normalized; performer_consistent; no_master_duplicate_detected
UNIT0109-READY-007	UNIT0108-REC-008	Guede Zaina	Guede Zaina	Celia Cruz	PER000001			no_release_evidence_from_unit0108	1	medium-high	promotion_ready	clean_new_candidate; title_normalized; performer_consistent; no_master_duplicate_detected
UNIT0109-READY-008	UNIT0108-REC-009	Juancito Trucupey	Juancito Trucupey	Celia Cruz Con La Sonora Matancera	PER000001	GRP0001		no_release_evidence_from_unit0108	1	medium-high	promotion_ready	clean_new_candidate; title_normalized; performer_consistent; no_master_duplicate_detected
UNIT0109-READY-009	UNIT0108-REC-012	Ritmo Tambo Y Flores	Ritmo Tambo Y Flores	Celia Cruz	PER000001			no_release_evidence_from_unit0108	1	medium-high	promotion_ready	clean_new_candidate; title_normalized; performer_consistent; no_master_duplicate_detected
UNIT0109-READY-010	UNIT0108-REC-013	Rock and Roll	Rock and Roll	Celia Cruz & La Sonora Matancera	PER000001	GRP0001		no_release_evidence_from_unit0108	1	medium-high	promotion_ready	clean_new_candidate; title_normalized; performer_consistent; no_master_duplicate_detected
UNIT0109-READY-011	UNIT0108-REC-014	Rumba Para Parejas	Rumba Para Parejas	Celia Cruz & Sonora Matancera	PER000001	GRP0001		no_release_evidence_from_unit0108	1	medium-high	promotion_ready	clean_new_candidate; title_normalized; performer_consistent; no_master_duplicate_detected
UNIT0109-READY-012	UNIT0108-REC-016	Te Busco	Te Busco	Celia Cruz	PER000001			no_release_evidence_from_unit0108	1	medium-high	promotion_ready	clean_new_candidate; title_normalized; performer_consistent; no_master_duplicate_detected
UNIT0109-READY-013	UNIT0108-REC-017	Usted Abusó	Usted Abusó	Celia Cruz y Willie Colón	PER000001			no_release_evidence_from_unit0108	1	medium-high	promotion_ready	clean_new_candidate; title_normalized; performer_consistent; no_master_duplicate_detected
