group_id	canonical_group_name	alternate_names	group_type	country	primary_genre_id	source_id	confidence	review_status	created_at	updated_at
GRP0281	Rodolfo Aicardi y Su Típica RA7					SRC0002	medium	approved	2026-06-19	2026-06-19
GRP0282	Pacho Galán y Su Orquesta					SRC0002	medium	approved	2026-06-19	2026-06-19
GRP0283	Agustín Bedoya y Su Conjunto					SRC0002	medium	approved	2026-06-19	2026-06-19
GRP0284	Rodolfo Aicardi con el Grupo Monteadentro					SRC0002	medium	approved	2026-06-19	2026-06-19
GRP0285	Rodolfo Aicardi con Los Ídolos					SRC0002	medium	approved	2026-06-19	2026-06-19
GRP0286	La Sonora Matancera					SRC0002	medium	approved	2026-06-19	2026-06-19
GRP0287	Celina y Reutilio					SRC0002	medium	approved	2026-06-19	2026-06-19
GRP0288	Lito Barrientos y Su Orquesta					SRC0002	medium	approved	2026-06-19	2026-06-19
GRP0289	Clímaco Sarmiento y Su Orquesta					SRC0002	medium	approved	2026-06-19	2026-06-19
GRP0290	Pedro Laza y Sus Pelayeros					SRC0002	medium	approved	2026-06-19	2026-06-19
GRP0291	Joaquín Bedoya y Su Conjunto					SRC0002	medium	approved	2026-06-19	2026-06-19
GRP0292	Rodolfo Aicardi con Los Bestiales					SRC0002	medium	approved	2026-06-19	2026-06-19
GRP0293	Rodolfo Aicardi con Los Hermanos Aicardi					SRC0002	medium	approved	2026-06-19	2026-06-19
