unit_candidate_id	source_id	source_row	release_title	product_title	release_url	artist_name	candidate_title	review_class	review_detail	existing_recording_id	existing_song_id	matched_performer_id	matched_group_id	resolved_release_id	source_tracklist_status	source_extract_method	candidate_title_clean	extracted_artist_name	split_status	recovered_match_type	recovered_performer_id	recovered_group_id	recovered_entity_name	recovery_status	final_candidate_title	final_artist_name	final_performer_id	final_group_id	unit0119_status	unit0119_recheck_reasons	unit0120_status	unit0120_blockers
UNIT0113-04-001	SRC0002	4	USB - Colección 100 Exitos de Música Cubana	USB - Colección 100 Exitos de Música Cubana	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/usb-coleccion-100-exitos-de-musica-cubana/	Varios Artistas	El Carretero – Guillermo Portabales	performer_conflict	partial_or_estimated_source_tracklist;performer_or_group_not_resolved_to_authority					REL000012	partial_10_of_15	description_tab	El Carretero	Guillermo Portabales	split	none				split_only	El Carretero	Guillermo Portabales	PER000339		review_required	partial_source_tracklist	promotion_candidate	
UNIT0113-04-002	SRC0002	4	USB - Colección 100 Exitos de Música Cubana	USB - Colección 100 Exitos de Música Cubana	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/usb-coleccion-100-exitos-de-musica-cubana/	Varios Artistas	Malao de Caña – La Sonora Matancera	performer_conflict	partial_or_estimated_source_tracklist;performer_or_group_not_resolved_to_authority					REL000012	partial_10_of_15	description_tab	Malao de Caña	La Sonora Matancera	split	none				split_only	Malao de Caña	La Sonora Matancera		GRP0286	review_required	partial_source_tracklist	promotion_candidate	
UNIT0113-04-003	SRC0002	4	USB - Colección 100 Exitos de Música Cubana	USB - Colección 100 Exitos de Música Cubana	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/usb-coleccion-100-exitos-de-musica-cubana/	Varios Artistas	El Que Siembra Su Maíz – Orquesta de Bebo Valdés	performer_conflict	partial_or_estimated_source_tracklist;performer_or_group_not_resolved_to_authority					REL000012	partial_10_of_15	description_tab	El Que Siembra Su Maíz	Orquesta de Bebo Valdés	split	group		GRP0269	Orquesta de Bebo Valdés	recovered_entity	El Que Siembra Su Maíz	Orquesta de Bebo Valdés		GRP0269	review_required	partial_source_tracklist	promotion_candidate	
UNIT0113-04-004	SRC0002	4	USB - Colección 100 Exitos de Música Cubana	USB - Colección 100 Exitos de Música Cubana	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/usb-coleccion-100-exitos-de-musica-cubana/	Varios Artistas	A San Lázaro (Babalú) – Celina y Reutilio	performer_conflict	partial_or_estimated_source_tracklist;performer_or_group_not_resolved_to_authority					REL000012	partial_10_of_15	description_tab	A San Lázaro (Babalú)	Celina y Reutilio	split	none				split_only	A San Lázaro (Babalú)	Celina y Reutilio		GRP0287	review_required	partial_source_tracklist	promotion_candidate	
UNIT0113-04-005	SRC0002	4	USB - Colección 100 Exitos de Música Cubana	USB - Colección 100 Exitos de Música Cubana	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/usb-coleccion-100-exitos-de-musica-cubana/	Varios Artistas	Lupita – Fruko y Orquesta	performer_conflict	partial_or_estimated_source_tracklist;performer_or_group_not_resolved_to_authority					REL000012	partial_10_of_15	description_tab	Lupita	Fruko y Orquesta	split	group		GRP0270	Fruko y Orquesta	recovered_entity	Lupita	Fruko y Orquesta		GRP0270	review_required	partial_source_tracklist	promotion_candidate	
UNIT0113-04-006	SRC0002	4	USB - Colección 100 Exitos de Música Cubana	USB - Colección 100 Exitos de Música Cubana	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/usb-coleccion-100-exitos-de-musica-cubana/	Varios Artistas	Yo Tengo Pena – Los Compadres	performer_conflict	partial_or_estimated_source_tracklist;performer_or_group_not_resolved_to_authority					REL000012	partial_10_of_15	description_tab	Yo Tengo Pena	Los Compadres	split	group		GRP0271	Los Compadres	recovered_entity	Yo Tengo Pena	Los Compadres		GRP0271	review_required	partial_source_tracklist	promotion_candidate	
UNIT0113-04-007	SRC0002	4	USB - Colección 100 Exitos de Música Cubana	USB - Colección 100 Exitos de Música Cubana	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/usb-coleccion-100-exitos-de-musica-cubana/	Varios Artistas	Mira Que Eres LInda – Roberto Ledesma	performer_conflict	partial_or_estimated_source_tracklist;performer_or_group_not_resolved_to_authority					REL000012	partial_10_of_15	description_tab	Mira Que Eres LInda	Roberto Ledesma	split	none				split_only	Mira Que Eres LInda	Roberto Ledesma	PER000340		review_required	partial_source_tracklist	promotion_candidate	
UNIT0113-04-008	SRC0002	4	USB - Colección 100 Exitos de Música Cubana	USB - Colección 100 Exitos de Música Cubana	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/usb-coleccion-100-exitos-de-musica-cubana/	Varios Artistas	Alegre Petición – Trío Matamoros	performer_conflict	partial_or_estimated_source_tracklist;performer_or_group_not_resolved_to_authority					REL000012	partial_10_of_15	description_tab	Alegre Petición	Trío Matamoros	split	group		GRP0004	Trío Matamoros	recovered_entity	Alegre Petición	Trío Matamoros		GRP0004	review_required	partial_source_tracklist	promotion_candidate	
UNIT0113-04-009	SRC0002	4	USB - Colección 100 Exitos de Música Cubana	USB - Colección 100 Exitos de Música Cubana	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/usb-coleccion-100-exitos-de-musica-cubana/	Varios Artistas	Nuevamente – Orlando Contreras	performer_conflict	partial_or_estimated_source_tracklist;performer_or_group_not_resolved_to_authority					REL000012	partial_10_of_15	description_tab	Nuevamente	Orlando Contreras	split	none				split_only	Nuevamente	Orlando Contreras	PER000341		review_required	partial_source_tracklist	promotion_candidate	
UNIT0113-04-010	SRC0002	4	USB - Colección 100 Exitos de Música Cubana	USB - Colección 100 Exitos de Música Cubana	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/usb-coleccion-100-exitos-de-musica-cubana/	Varios Artistas	Adiós Compay Gato – Los Guaracheros de Oriente	performer_conflict	partial_or_estimated_source_tracklist;performer_or_group_not_resolved_to_authority					REL000012	partial_10_of_15	description_tab	Adiós Compay Gato	Los Guaracheros de Oriente	split	group		GRP0272	Los Guaracheros de Oriente	recovered_entity	Adiós Compay Gato	Los Guaracheros de Oriente		GRP0272	review_required	partial_source_tracklist	promotion_candidate	
