unit_candidate_id	source_id	source_row	release_title	product_title	release_url	artist_name	candidate_title	review_class	review_detail	existing_recording_id	existing_song_id	matched_performer_id	matched_group_id	resolved_release_id	source_tracklist_status	source_extract_method	candidate_title_clean	extracted_artist_name	split_status	recovered_match_type	recovered_performer_id	recovered_group_id	recovered_entity_name	recovery_status	final_candidate_title	final_artist_name	final_performer_id	final_group_id	unit0119_status	unit0119_recheck_reasons	unit0120_status	unit0120_blockers
UNIT0113-01-001	SRC0002	1	USB - Colección Música Colombiana	USB - Colección Música Colombiana	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/usb-coleccion-100-canciones-musica-colombiana/	Varios Intérpretes	Yo Tambien TuveVeinteAños	performer_conflict	performer_or_group_not_resolved_to_authority;release_not_resolved_to_authority;short_description_only_source						complete_or_exceeds_track_count	short_description	Yo Tambien TuveVeinteAños		no_split	none				not_recovered	Yo Tambien TuveVeinteAños				review_required	performer_or_group_unresolved;release_unresolved;short_description_only_source	review_required	missing_performer_group;short_description_only_source
UNIT0113-05-003	SRC0002	5	USB - Que Viva Diciembre	USB - Que Viva Diciembre	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/usb-que-viva-diciembre/	Varios Artistas	03 Amor Serrano Demo	performer_conflict	performer_or_group_not_resolved_to_authority;release_not_resolved_to_authority;short_description_only_source						complete_or_exceeds_track_count	short_description	03 Amor Serrano Demo		no_split	none				not_recovered	03 Amor Serrano Demo				review_required	performer_or_group_unresolved;release_unresolved;short_description_only_source	review_required	missing_performer_group;short_description_only_source
UNIT0113-12-001	SRC0002	12	USB - Colección 100 Exitos de Diciembre	USB - Colección 100 Exitos de Diciembre	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/coleccion-100-exitos-de-diciembre-usb-8-gb/	Varios Artistas	Feliz Nochebuena / Los Hispanos	performer_conflict	partial_or_estimated_source_tracklist;performer_or_group_not_resolved_to_authority					REL000017	partial_10_of_15	description_tab	Feliz Nochebuena / Los Hispanos		no_split	none				not_recovered	Feliz Nochebuena / Los Hispanos				review_required	performer_or_group_unresolved;partial_source_tracklist	review_required	missing_performer_group
UNIT0113-12-003	SRC0002	12	USB - Colección 100 Exitos de Diciembre	USB - Colección 100 Exitos de Diciembre	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/coleccion-100-exitos-de-diciembre-usb-8-gb/	Varios Artistas	En la Nochebuena / La Sonora Matancera	performer_conflict	partial_or_estimated_source_tracklist;performer_or_group_not_resolved_to_authority					REL000017	partial_10_of_15	description_tab	En la Nochebuena / La Sonora Matancera		no_split	none				not_recovered	En la Nochebuena / La Sonora Matancera				review_required	performer_or_group_unresolved;partial_source_tracklist	review_required	missing_performer_group
UNIT0113-12-004	SRC0002	12	USB - Colección 100 Exitos de Diciembre	USB - Colección 100 Exitos de Diciembre	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/coleccion-100-exitos-de-diciembre-usb-8-gb/	Varios Artistas	Ron de Vinola / Guillermo Buitrago	performer_conflict	partial_or_estimated_source_tracklist;performer_or_group_not_resolved_to_authority					REL000017	partial_10_of_15	description_tab	Ron de Vinola / Guillermo Buitrago		no_split	none				not_recovered	Ron de Vinola / Guillermo Buitrago				review_required	performer_or_group_unresolved;partial_source_tracklist	review_required	missing_performer_group
UNIT0113-12-005	SRC0002	12	USB - Colección 100 Exitos de Diciembre	USB - Colección 100 Exitos de Diciembre	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/coleccion-100-exitos-de-diciembre-usb-8-gb/	Varios Artistas	El Hijo Ausente / Pastor López y Su Combo	performer_conflict	partial_or_estimated_source_tracklist;performer_or_group_not_resolved_to_authority					REL000017	partial_10_of_15	description_tab	El Hijo Ausente / Pastor López y Su Combo		no_split	none				not_recovered	El Hijo Ausente / Pastor López y Su Combo				review_required	performer_or_group_unresolved;partial_source_tracklist	review_required	missing_performer_group
UNIT0113-12-006	SRC0002	12	USB - Colección 100 Exitos de Diciembre	USB - Colección 100 Exitos de Diciembre	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/coleccion-100-exitos-de-diciembre-usb-8-gb/	Varios Artistas	Maldita Navidad / Gabriel Romero y Su Orquesta	performer_conflict	partial_or_estimated_source_tracklist;performer_or_group_not_resolved_to_authority					REL000017	partial_10_of_15	description_tab	Maldita Navidad / Gabriel Romero y Su Orquesta		no_split	none				not_recovered	Maldita Navidad / Gabriel Romero y Su Orquesta				review_required	performer_or_group_unresolved;partial_source_tracklist	review_required	missing_performer_group
UNIT0113-12-007	SRC0002	12	USB - Colección 100 Exitos de Diciembre	USB - Colección 100 Exitos de Diciembre	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/coleccion-100-exitos-de-diciembre-usb-8-gb/	Varios Artistas	El Pesebre / Afrosound	performer_conflict	partial_or_estimated_source_tracklist;performer_or_group_not_resolved_to_authority					REL000017	partial_10_of_15	description_tab	El Pesebre / Afrosound		no_split	none				not_recovered	El Pesebre / Afrosound				review_required	performer_or_group_unresolved;partial_source_tracklist	review_required	missing_performer_group
UNIT0113-12-008	SRC0002	12	USB - Colección 100 Exitos de Diciembre	USB - Colección 100 Exitos de Diciembre	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/coleccion-100-exitos-de-diciembre-usb-8-gb/	Varios Artistas	Aires de Navidad / Los Titanes	performer_conflict	partial_or_estimated_source_tracklist;performer_or_group_not_resolved_to_authority					REL000017	partial_10_of_15	description_tab	Aires de Navidad / Los Titanes		no_split	none				not_recovered	Aires de Navidad / Los Titanes				review_required	performer_or_group_unresolved;partial_source_tracklist	review_required	missing_performer_group
UNIT0113-12-009	SRC0002	12	USB - Colección 100 Exitos de Diciembre	USB - Colección 100 Exitos de Diciembre	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/coleccion-100-exitos-de-diciembre-usb-8-gb/	Varios Artistas	Grito Vagabundo / Guillermo Buitrago	performer_conflict	partial_or_estimated_source_tracklist;performer_or_group_not_resolved_to_authority					REL000017	partial_10_of_15	description_tab	Grito Vagabundo / Guillermo Buitrago		no_split	none				not_recovered	Grito Vagabundo / Guillermo Buitrago				review_required	performer_or_group_unresolved;partial_source_tracklist	review_required	missing_performer_group
UNIT0113-12-010	SRC0002	12	USB - Colección 100 Exitos de Diciembre	USB - Colección 100 Exitos de Diciembre	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/coleccion-100-exitos-de-diciembre-usb-8-gb/	Varios Artistas	Pascua en Navidad / Luis Felipe González	performer_conflict	partial_or_estimated_source_tracklist;performer_or_group_not_resolved_to_authority					REL000017	partial_10_of_15	description_tab	Pascua en Navidad / Luis Felipe González		no_split	none				not_recovered	Pascua en Navidad / Luis Felipe González				review_required	performer_or_group_unresolved;partial_source_tracklist	review_required	missing_performer_group
UNIT0113-16-009	SRC0002	16	Íntimo - Siente el Vallenato	Íntimo - Siente el Vallenato	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/intimo-siente-el-vallenato/	Varios Artistas	También puedes escucharlo en las plataformas digitales:	performer_conflict	performer_or_group_not_resolved_to_authority;release_not_resolved_to_authority						complete_or_exceeds_track_count	description_tab	También puedes escucharlo en las plataformas digitales:		no_split	none				not_recovered	También puedes escucharlo en las plataformas digitales:				review_required	performer_or_group_unresolved;release_unresolved	review_required	missing_performer_group
UNIT0113-16-010	SRC0002	16	Íntimo - Siente el Vallenato	Íntimo - Siente el Vallenato	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/intimo-siente-el-vallenato/	Varios Artistas	ÍNTIMO – Siente el Vallenato	performer_conflict	performer_or_group_not_resolved_to_authority;release_not_resolved_to_authority						complete_or_exceeds_track_count	description_tab	ÍNTIMO	Siente el Vallenato	split	none				split_only	ÍNTIMO	Siente el Vallenato			review_required	performer_or_group_unresolved;release_unresolved	review_required	missing_performer_group
UNIT0113-17-001	SRC0002	17	USB - Colección 100 Exitos de Rodolfo Aicardi	USB - Colección 100 Exitos de Rodolfo Aicardi	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/coleccion-100-exitos-de-rodolfo-aicardi/	Rodolfo Aicardi	DISCO NUMERO 1	performer_conflict	performer_or_group_not_resolved_to_authority;release_not_resolved_to_authority						complete_or_exceeds_track_count	description_tab	DISCO NUMERO 1		no_split	none				not_recovered	DISCO NUMERO 1				review_required	performer_or_group_unresolved;release_unresolved	review_required	missing_performer_group
UNIT0113-17-005	SRC0002	17	USB - Colección 100 Exitos de Rodolfo Aicardi	USB - Colección 100 Exitos de Rodolfo Aicardi	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/coleccion-100-exitos-de-rodolfo-aicardi/	Rodolfo Aicardi	4. Triste Diciembre -Los Hispanos	performer_conflict	performer_or_group_not_resolved_to_authority;release_not_resolved_to_authority						complete_or_exceeds_track_count	description_tab	4. Triste Diciembre -Los Hispanos		no_split	none				not_recovered	4. Triste Diciembre -Los Hispanos				review_required	performer_or_group_unresolved;release_unresolved	review_required	missing_performer_group
UNIT0113-17-022	SRC0002	17	USB - Colección 100 Exitos de Rodolfo Aicardi	USB - Colección 100 Exitos de Rodolfo Aicardi	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/coleccion-100-exitos-de-rodolfo-aicardi/	Rodolfo Aicardi	DISCO NUMERO 2	performer_conflict	performer_or_group_not_resolved_to_authority;release_not_resolved_to_authority						complete_or_exceeds_track_count	description_tab	DISCO NUMERO 2		no_split	none				not_recovered	DISCO NUMERO 2				review_required	performer_or_group_unresolved;release_unresolved	review_required	missing_performer_group
UNIT0113-17-043	SRC0002	17	USB - Colección 100 Exitos de Rodolfo Aicardi	USB - Colección 100 Exitos de Rodolfo Aicardi	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/coleccion-100-exitos-de-rodolfo-aicardi/	Rodolfo Aicardi	DISCO NUMERO 3	performer_conflict	performer_or_group_not_resolved_to_authority;release_not_resolved_to_authority						complete_or_exceeds_track_count	description_tab	DISCO NUMERO 3		no_split	none				not_recovered	DISCO NUMERO 3				review_required	performer_or_group_unresolved;release_unresolved	review_required	missing_performer_group
