recording_id	canonical_recording_title	canonical_song_id	primary_group_id	primary_performer_id	recording_genre_id	release_id	label_id	recording_year	country	language	source_id	confidence	review_status	created_at	updated_at
REC005911	Bella es la Navida / Ricardo Ray			PER000342						Spanish	SRC0002	medium	approved	2026-06-19	2026-06-19
REC005912	1. La Cerveza		GRP0278							Spanish	SRC0002	medium	approved	2026-06-19	2026-06-19
REC005913	2. Plegaria		GRP0281							Spanish	SRC0002	medium	approved	2026-06-19	2026-06-19
REC005914	3. Ocho Dias		GRP0278							Spanish	SRC0002	medium	approved	2026-06-19	2026-06-19
REC005915	5. Boquita De Caramelo		GRP0278							Spanish	SRC0002	medium	approved	2026-06-19	2026-06-19
REC005916	6. Me Voy Pa Macondo		GRP0278							Spanish	SRC0002	medium	approved	2026-06-19	2026-06-19
REC005917	7. Tabaco Y Ron		GRP0281							Spanish	SRC0002	medium	approved	2026-06-19	2026-06-19
REC005918	8. Asi Empezaron Papa Y Mama		GRP0278							Spanish	SRC0002	medium	approved	2026-06-19	2026-06-19
REC005919	9. La Conoci Un Domingo		GRP0284							Spanish	SRC0002	medium	approved	2026-06-19	2026-06-19
REC005920	10. El Papelito Blanco		GRP0278							Spanish	SRC0002	medium	approved	2026-06-19	2026-06-19
REC005921	11. Olvidemos El Pasado		GRP0278							Spanish	SRC0002	medium	approved	2026-06-19	2026-06-19
REC005922	12. Cariñito		GRP0278							Spanish	SRC0002	medium	approved	2026-06-19	2026-06-19
REC005923	13. Fiesta En Mi Pueblo		GRP0278							Spanish	SRC0002	medium	approved	2026-06-19	2026-06-19
REC005924	14. Ojitos Hechiceros		GRP0281							Spanish	SRC0002	medium	approved	2026-06-19	2026-06-19
REC005925	15. Quiero Que Me Des Tu Amor		GRP0278							Spanish	SRC0002	medium	approved	2026-06-19	2026-06-19
REC005926	16. Los Cien Años De Macondo		GRP0278							Spanish	SRC0002	medium	approved	2026-06-19	2026-06-19
REC005927	17. Vagabundo Soy		GRP0281							Spanish	SRC0002	medium	approved	2026-06-19	2026-06-19
REC005928	18. La Colegiala		GRP0281							Spanish	SRC0002	medium	approved	2026-06-19	2026-06-19
REC005929	19. Por Favor Olvidame		GRP0281							Spanish	SRC0002	medium	approved	2026-06-19	2026-06-19
REC005930	20. Botellita De Ron		GRP0278							Spanish	SRC0002	medium	approved	2026-06-19	2026-06-19
REC005931	1. Adonay		GRP0278							Spanish	SRC0002	medium	approved	2026-06-19	2026-06-19
REC005932	2. El Preso		GRP0278							Spanish	SRC0002	medium	approved	2026-06-19	2026-06-19
REC005933	3. Daniela		GRP0278							Spanish	SRC0002	medium	approved	2026-06-19	2026-06-19
REC005934	4. Los Domingos		GRP0278							Spanish	SRC0002	medium	approved	2026-06-19	2026-06-19
REC005935	5. Feliz Nochebuena		GRP0278							Spanish	SRC0002	medium	approved	2026-06-19	2026-06-19
REC005936	6. Chan Con Chan		GRP0278							Spanish	SRC0002	medium	approved	2026-06-19	2026-06-19
REC005937	7. La Misma Vaina		GRP0278							Spanish	SRC0002	medium	approved	2026-06-19	2026-06-19
REC005938	8. Cantares De Navidad		GRP0278							Spanish	SRC0002	medium	approved	2026-06-19	2026-06-19
REC005939	9. Muchachita Celosa		GRP0278							Spanish	SRC0002	medium	approved	2026-06-19	2026-06-19
REC005940	10. Entre Que Si Y Que No		GRP0278							Spanish	SRC0002	medium	approved	2026-06-19	2026-06-19
REC005941	11. Agua De Cu		GRP0278							Spanish	SRC0002	medium	approved	2026-06-19	2026-06-19
REC005942	12. La Cinta Blanca		GRP0278							Spanish	SRC0002	medium	approved	2026-06-19	2026-06-19
REC005943	13. Enamorado		GRP0278							Spanish	SRC0002	medium	approved	2026-06-19	2026-06-19
REC005944	14. Ni Cuerpo Ni Corazon		GRP0278							Spanish	SRC0002	medium	approved	2026-06-19	2026-06-19
REC005945	15. Adios Adios Corazon		GRP0278							Spanish	SRC0002	medium	approved	2026-06-19	2026-06-19
REC005946	16. Pelaita		GRP0278							Spanish	SRC0002	medium	approved	2026-06-19	2026-06-19
REC005947	17. Sin Corazon En El Pecho		GRP0278							Spanish	SRC0002	medium	approved	2026-06-19	2026-06-19
REC005948	18. Carola		GRP0255							Spanish	SRC0002	medium	approved	2026-06-19	2026-06-19
REC005949	19. La Cuñadita		GRP0278							Spanish	SRC0002	medium	approved	2026-06-19	2026-06-19
REC005950	20. Cara Carita		GRP0281							Spanish	SRC0002	medium	approved	2026-06-19	2026-06-19
REC005951	1. El Lunarcito		GRP0278							Spanish	SRC0002	medium	approved	2026-06-19	2026-06-19
REC005952	2. Dile		GRP0278							Spanish	SRC0002	medium	approved	2026-06-19	2026-06-19
REC005953	3. Yo No Fui		GRP0278							Spanish	SRC0002	medium	approved	2026-06-19	2026-06-19
REC005954	4. Perdido Y Borracho		GRP0278							Spanish	SRC0002	medium	approved	2026-06-19	2026-06-19
REC005955	5. La Suegra			PER000338						Spanish	SRC0002	medium	approved	2026-06-19	2026-06-19
REC005956	6. Donde Estas Mariana		GRP0278							Spanish	SRC0002	medium	approved	2026-06-19	2026-06-19
REC005957	7. Ya Para Que		GRP0278							Spanish	SRC0002	medium	approved	2026-06-19	2026-06-19
REC005958	8. Penas Por Un Amor		GRP0278							Spanish	SRC0002	medium	approved	2026-06-19	2026-06-19
REC005959	9. Linda Rosa		GRP0278							Spanish	SRC0002	medium	approved	2026-06-19	2026-06-19
REC005960	11. Que Regrese		GRP0278							Spanish	SRC0002	medium	approved	2026-06-19	2026-06-19
REC005961	12. Voy Cantando		GRP0278							Spanish	SRC0002	medium	approved	2026-06-19	2026-06-19
REC005962	13. El Casado Arrepentido		GRP0278							Spanish	SRC0002	medium	approved	2026-06-19	2026-06-19
REC005963	14. Cumbia Marinera		GRP0278							Spanish	SRC0002	medium	approved	2026-06-19	2026-06-19
REC005964	15. El Maestro		GRP0278							Spanish	SRC0002	medium	approved	2026-06-19	2026-06-19
REC005965	16. El Tizon		GRP0255							Spanish	SRC0002	medium	approved	2026-06-19	2026-06-19
REC005966	17. Manuelito Barrios		GRP0278							Spanish	SRC0002	medium	approved	2026-06-19	2026-06-19
REC005967	18. Casi Casi		GRP0278							Spanish	SRC0002	medium	approved	2026-06-19	2026-06-19
REC005968	19. Entonces Cuando		GRP0278							Spanish	SRC0002	medium	approved	2026-06-19	2026-06-19
REC005969	20. La Bandolera		GRP0278							Spanish	SRC0002	medium	approved	2026-06-19	2026-06-19
REC005970	1. Ya Se Marcho		GRP0278							Spanish	SRC0002	medium	approved	2026-06-19	2026-06-19
REC005971	2. Masculino Y Femenino		GRP0278							Spanish	SRC0002	medium	approved	2026-06-19	2026-06-19
REC005972	3. El Cangrejito Enamorado		GRP0278							Spanish	SRC0002	medium	approved	2026-06-19	2026-06-19
REC005973	4. Se La Llevo El Tren		GRP0278							Spanish	SRC0002	medium	approved	2026-06-19	2026-06-19
REC005974	5. Lorenza		GRP0278							Spanish	SRC0002	medium	approved	2026-06-19	2026-06-19
REC005975	6. Linda Muchachita		GRP0281							Spanish	SRC0002	medium	approved	2026-06-19	2026-06-19
REC005976	7. Carita De Cielo		GRP0278							Spanish	SRC0002	medium	approved	2026-06-19	2026-06-19
REC005977	8. Amor Por Computadora		GRP0281							Spanish	SRC0002	medium	approved	2026-06-19	2026-06-19
REC005978	9. La Burra Y La Chiva		GRP0278							Spanish	SRC0002	medium	approved	2026-06-19	2026-06-19
REC005979	10. Mi Cumbion		GRP0278							Spanish	SRC0002	medium	approved	2026-06-19	2026-06-19
REC005980	12. Los Algodones		GRP0278							Spanish	SRC0002	medium	approved	2026-06-19	2026-06-19
REC005981	13. El Pescador Triste		GRP0278							Spanish	SRC0002	medium	approved	2026-06-19	2026-06-19
REC005982	14. El Telefono		GRP0278							Spanish	SRC0002	medium	approved	2026-06-19	2026-06-19
REC005983	15. Mi Primavera		GRP0278							Spanish	SRC0002	medium	approved	2026-06-19	2026-06-19
REC005984	16. La Revancha		GRP0281							Spanish	SRC0002	medium	approved	2026-06-19	2026-06-19
REC005985	17. Cinturita De Jabon		GRP0278							Spanish	SRC0002	medium	approved	2026-06-19	2026-06-19
REC005986	18. Fiesta De Cumpleaños		GRP0278							Spanish	SRC0002	medium	approved	2026-06-19	2026-06-19
REC005987	19. El Escorpion			PER000338						Spanish	SRC0002	medium	approved	2026-06-19	2026-06-19
REC005988	20. La Bruja		GRP0278							Spanish	SRC0002	medium	approved	2026-06-19	2026-06-19
REC005989	1. Que No Quede Huella		GRP0281							Spanish	SRC0002	medium	approved	2026-06-19	2026-06-19
REC005990	2. No Peliemos Tanto		GRP0281							Spanish	SRC0002	medium	approved	2026-06-19	2026-06-19
REC005991	3. El Lamento De Tu Voz		GRP0281							Spanish	SRC0002	medium	approved	2026-06-19	2026-06-19
REC005992	4. Limoncito Con Ron			PER000338						Spanish	SRC0002	medium	approved	2026-06-19	2026-06-19
REC005993	5. Borremos El Pasado			PER000338						Spanish	SRC0002	medium	approved	2026-06-19	2026-06-19
REC005994	6. El Baile Del Brinquito		GRP0281							Spanish	SRC0002	medium	approved	2026-06-19	2026-06-19
REC005995	7. Tengo Celos		GRP0285							Spanish	SRC0002	medium	approved	2026-06-19	2026-06-19
REC005996	8. Brisa Sala		GRP0285							Spanish	SRC0002	medium	approved	2026-06-19	2026-06-19
REC005997	9. El Ciclon		GRP0255							Spanish	SRC0002	medium	approved	2026-06-19	2026-06-19
REC005998	10. El Jardinero		GRP0278							Spanish	SRC0002	medium	approved	2026-06-19	2026-06-19
REC005999	11. La Hamaca Raya		GRP0292							Spanish	SRC0002	medium	approved	2026-06-19	2026-06-19
REC006000	12. Se Va La Vida		GRP0293							Spanish	SRC0002	medium	approved	2026-06-19	2026-06-19
REC006001	13. Muchachita Del Oriente		GRP0278							Spanish	SRC0002	medium	approved	2026-06-19	2026-06-19
REC006002	14. Ya Voy Hacia Ti		GRP0278							Spanish	SRC0002	medium	approved	2026-06-19	2026-06-19
REC006003	15. Lindo Clavelito		GRP0278							Spanish	SRC0002	medium	approved	2026-06-19	2026-06-19
REC006004	16. Negra Candela		GRP0278							Spanish	SRC0002	medium	approved	2026-06-19	2026-06-19
REC006005	17. No Me Alcanza		GRP0281							Spanish	SRC0002	medium	approved	2026-06-19	2026-06-19
REC006006	18. Veinte Años		GRP0281							Spanish	SRC0002	medium	approved	2026-06-19	2026-06-19
REC006007	19. La Ladrona		GRP0284							Spanish	SRC0002	medium	approved	2026-06-19	2026-06-19
REC006008	20. Provinciana		GRP0281							Spanish	SRC0002	medium	approved	2026-06-19	2026-06-19
