song_id	canonical_song_title	alternate_titles	composer	lyricist	country	language	source_id	confidence	review_status	created_at	updated_at
SONG004487	Bella es la Navida / Ricardo Ray					Spanish	SRC0002	medium	approved	2026-06-19	2026-06-19
SONG004488	1. La Cerveza					Spanish	SRC0002	medium	approved	2026-06-19	2026-06-19
SONG004489	2. Plegaria					Spanish	SRC0002	medium	approved	2026-06-19	2026-06-19
SONG004490	3. Ocho Dias					Spanish	SRC0002	medium	approved	2026-06-19	2026-06-19
SONG004491	5. Boquita De Caramelo					Spanish	SRC0002	medium	approved	2026-06-19	2026-06-19
SONG004492	6. Me Voy Pa Macondo					Spanish	SRC0002	medium	approved	2026-06-19	2026-06-19
SONG004493	7. Tabaco Y Ron					Spanish	SRC0002	medium	approved	2026-06-19	2026-06-19
SONG004494	8. Asi Empezaron Papa Y Mama					Spanish	SRC0002	medium	approved	2026-06-19	2026-06-19
SONG004495	9. La Conoci Un Domingo					Spanish	SRC0002	medium	approved	2026-06-19	2026-06-19
SONG004496	10. El Papelito Blanco					Spanish	SRC0002	medium	approved	2026-06-19	2026-06-19
SONG004497	11. Olvidemos El Pasado					Spanish	SRC0002	medium	approved	2026-06-19	2026-06-19
SONG004498	12. Cariñito					Spanish	SRC0002	medium	approved	2026-06-19	2026-06-19
SONG004499	13. Fiesta En Mi Pueblo					Spanish	SRC0002	medium	approved	2026-06-19	2026-06-19
SONG004500	14. Ojitos Hechiceros					Spanish	SRC0002	medium	approved	2026-06-19	2026-06-19
SONG004501	15. Quiero Que Me Des Tu Amor					Spanish	SRC0002	medium	approved	2026-06-19	2026-06-19
SONG004502	16. Los Cien Años De Macondo					Spanish	SRC0002	medium	approved	2026-06-19	2026-06-19
SONG004503	17. Vagabundo Soy					Spanish	SRC0002	medium	approved	2026-06-19	2026-06-19
SONG004504	18. La Colegiala					Spanish	SRC0002	medium	approved	2026-06-19	2026-06-19
SONG004505	19. Por Favor Olvidame					Spanish	SRC0002	medium	approved	2026-06-19	2026-06-19
SONG004506	20. Botellita De Ron					Spanish	SRC0002	medium	approved	2026-06-19	2026-06-19
SONG004507	1. Adonay					Spanish	SRC0002	medium	approved	2026-06-19	2026-06-19
SONG004508	2. El Preso					Spanish	SRC0002	medium	approved	2026-06-19	2026-06-19
SONG004509	3. Daniela					Spanish	SRC0002	medium	approved	2026-06-19	2026-06-19
SONG004510	4. Los Domingos					Spanish	SRC0002	medium	approved	2026-06-19	2026-06-19
SONG004511	5. Feliz Nochebuena					Spanish	SRC0002	medium	approved	2026-06-19	2026-06-19
SONG004512	6. Chan Con Chan					Spanish	SRC0002	medium	approved	2026-06-19	2026-06-19
SONG004513	7. La Misma Vaina					Spanish	SRC0002	medium	approved	2026-06-19	2026-06-19
SONG004514	8. Cantares De Navidad					Spanish	SRC0002	medium	approved	2026-06-19	2026-06-19
SONG004515	9. Muchachita Celosa					Spanish	SRC0002	medium	approved	2026-06-19	2026-06-19
SONG004516	10. Entre Que Si Y Que No					Spanish	SRC0002	medium	approved	2026-06-19	2026-06-19
SONG004517	11. Agua De Cu					Spanish	SRC0002	medium	approved	2026-06-19	2026-06-19
SONG004518	12. La Cinta Blanca					Spanish	SRC0002	medium	approved	2026-06-19	2026-06-19
SONG004519	13. Enamorado					Spanish	SRC0002	medium	approved	2026-06-19	2026-06-19
