recording_id	canonical_recording_title	canonical_song_id	primary_group_id	primary_performer_id	recording_genre_id	release_id	label_id	recording_year	country	language	source_id	confidence	review_status	created_at	updated_at
REC006017	Ocho Dias	SONG004593	GRP0278							Spanish	SRC0002	medium	approved	2026-06-19	2026-06-19
REC006018	Triste Diciembre	SONG004594	GRP0278							Spanish	SRC0002	medium	approved	2026-06-19	2026-06-19
REC006019	Boquita De Caramelo	SONG004595	GRP0278							Spanish	SRC0002	medium	approved	2026-06-19	2026-06-19
REC006020	Me Voy Pa Macondo	SONG004596	GRP0278							Spanish	SRC0002	medium	approved	2026-06-19	2026-06-19
REC006021	Tabaco Y Ron	SONG004597	GRP0281							Spanish	SRC0002	medium	approved	2026-06-19	2026-06-19
REC006022	Asi Empezaron Papa Y Mama	SONG004598	GRP0278							Spanish	SRC0002	medium	approved	2026-06-19	2026-06-19
REC006023	La Conoci Un Domingo	SONG004599	GRP0284							Spanish	SRC0002	medium	approved	2026-06-19	2026-06-19
REC006024	El Papelito Blanco	SONG004600	GRP0278							Spanish	SRC0002	medium	approved	2026-06-19	2026-06-19
REC006025	Olvidemos El Pasado	SONG004601	GRP0278							Spanish	SRC0002	medium	approved	2026-06-19	2026-06-19
REC006026	Cariñito	SONG004602	GRP0278							Spanish	SRC0002	medium	approved	2026-06-19	2026-06-19
REC006027	Fiesta En Mi Pueblo	SONG004603	GRP0278							Spanish	SRC0002	medium	approved	2026-06-19	2026-06-19
REC006028	Ojitos Hechiceros	SONG004604	GRP0281							Spanish	SRC0002	medium	approved	2026-06-19	2026-06-19
REC006029	Quiero Que Me Des Tu Amor	SONG004605	GRP0278							Spanish	SRC0002	medium	approved	2026-06-19	2026-06-19
REC006030	Los Cien Años De Macondo	SONG004606	GRP0278							Spanish	SRC0002	medium	approved	2026-06-19	2026-06-19
REC006031	Vagabundo Soy	SONG004607	GRP0281							Spanish	SRC0002	medium	approved	2026-06-19	2026-06-19
REC006032	La Colegiala	SONG004608	GRP0281							Spanish	SRC0002	medium	approved	2026-06-19	2026-06-19
REC006033	Por Favor Olvidame	SONG004609	GRP0281							Spanish	SRC0002	medium	approved	2026-06-19	2026-06-19
REC006034	Botellita De Ron	SONG004610	GRP0278							Spanish	SRC0002	medium	approved	2026-06-19	2026-06-19
REC006035	Adonay	SONG004611	GRP0278							Spanish	SRC0002	medium	approved	2026-06-19	2026-06-19
REC006036	El Preso	SONG004612	GRP0278							Spanish	SRC0002	medium	approved	2026-06-19	2026-06-19
REC006037	Daniela	SONG004613	GRP0278							Spanish	SRC0002	medium	approved	2026-06-19	2026-06-19
REC006038	Los Domingos	SONG004614	GRP0278							Spanish	SRC0002	medium	approved	2026-06-19	2026-06-19
REC006039	Chan Con Chan	SONG004615	GRP0278							Spanish	SRC0002	medium	approved	2026-06-19	2026-06-19
REC006040	La Misma Vaina	SONG004616	GRP0278							Spanish	SRC0002	medium	approved	2026-06-19	2026-06-19
REC006041	Cantares De Navidad	SONG004617	GRP0278							Spanish	SRC0002	medium	approved	2026-06-19	2026-06-19
REC006042	Muchachita Celosa	SONG004618	GRP0278							Spanish	SRC0002	medium	approved	2026-06-19	2026-06-19
REC006043	Entre Que Si Y Que No	SONG004619	GRP0278							Spanish	SRC0002	medium	approved	2026-06-19	2026-06-19
REC006044	Agua De Cu	SONG004620	GRP0278							Spanish	SRC0002	medium	approved	2026-06-19	2026-06-19
REC006045	La Cinta Blanca	SONG004621	GRP0278							Spanish	SRC0002	medium	approved	2026-06-19	2026-06-19
REC006046	Enamorado	SONG004622	GRP0278							Spanish	SRC0002	medium	approved	2026-06-19	2026-06-19
REC006047	Adios Adios Corazon	SONG004623	GRP0278							Spanish	SRC0002	medium	approved	2026-06-19	2026-06-19
REC006048	Pelaita	SONG004624	GRP0278							Spanish	SRC0002	medium	approved	2026-06-19	2026-06-19
REC006049	Sin Corazon En El Pecho	SONG004625	GRP0278							Spanish	SRC0002	medium	approved	2026-06-19	2026-06-19
REC006050	Carola	SONG004626	GRP0001							Spanish	SRC0002	medium	approved	2026-06-19	2026-06-19
REC006051	La Cuñadita	SONG004627	GRP0278							Spanish	SRC0002	medium	approved	2026-06-19	2026-06-19
REC006052	Cara Carita	SONG004628	GRP0281							Spanish	SRC0002	medium	approved	2026-06-19	2026-06-19
REC006053	El Lunarcito	SONG004629	GRP0278							Spanish	SRC0002	medium	approved	2026-06-19	2026-06-19
REC006054	Dile	SONG004630	GRP0278							Spanish	SRC0002	medium	approved	2026-06-19	2026-06-19
REC006055	Perdido Y Borracho	SONG004631	GRP0278							Spanish	SRC0002	medium	approved	2026-06-19	2026-06-19
REC006056	Donde Estas Mariana	SONG004632	GRP0278							Spanish	SRC0002	medium	approved	2026-06-19	2026-06-19
REC006057	Ya Para Que	SONG004633	GRP0278							Spanish	SRC0002	medium	approved	2026-06-19	2026-06-19
REC006058	Penas Por Un Amor	SONG004634	GRP0278							Spanish	SRC0002	medium	approved	2026-06-19	2026-06-19
REC006059	Linda Rosa	SONG004635	GRP0278							Spanish	SRC0002	medium	approved	2026-06-19	2026-06-19
REC006060	Que Regrese	SONG004636	GRP0278							Spanish	SRC0002	medium	approved	2026-06-19	2026-06-19
REC006061	Voy Cantando	SONG004637	GRP0278							Spanish	SRC0002	medium	approved	2026-06-19	2026-06-19
REC006062	El Casado Arrepentido	SONG004638	GRP0278							Spanish	SRC0002	medium	approved	2026-06-19	2026-06-19
REC006063	Cumbia Marinera	SONG004639	GRP0278							Spanish	SRC0002	medium	approved	2026-06-19	2026-06-19
REC006064	El Maestro	SONG004640	GRP0278							Spanish	SRC0002	medium	approved	2026-06-19	2026-06-19
REC006065	El Tizon	SONG004641	GRP0001							Spanish	SRC0002	medium	approved	2026-06-19	2026-06-19
REC006066	Manuelito Barrios	SONG004642	GRP0278							Spanish	SRC0002	medium	approved	2026-06-19	2026-06-19
REC006067	Casi Casi	SONG004643	GRP0278							Spanish	SRC0002	medium	approved	2026-06-19	2026-06-19
REC006068	Entonces Cuando	SONG004644	GRP0278							Spanish	SRC0002	medium	approved	2026-06-19	2026-06-19
REC006069	La Bandolera	SONG004645	GRP0278							Spanish	SRC0002	medium	approved	2026-06-19	2026-06-19
REC006070	Ya Se Marcho	SONG004646	GRP0278							Spanish	SRC0002	medium	approved	2026-06-19	2026-06-19
REC006071	Masculino Y Femenino	SONG004647	GRP0278							Spanish	SRC0002	medium	approved	2026-06-19	2026-06-19
REC006072	El Cangrejito Enamorado	SONG004648	GRP0278							Spanish	SRC0002	medium	approved	2026-06-19	2026-06-19
REC006073	Se La Llevo El Tren	SONG004649	GRP0278							Spanish	SRC0002	medium	approved	2026-06-19	2026-06-19
REC006074	Lorenza	SONG004650	GRP0278							Spanish	SRC0002	medium	approved	2026-06-19	2026-06-19
REC006075	Linda Muchachita	SONG004651	GRP0281							Spanish	SRC0002	medium	approved	2026-06-19	2026-06-19
REC006076	Carita De Cielo	SONG004652	GRP0278							Spanish	SRC0002	medium	approved	2026-06-19	2026-06-19
REC006077	Amor Por Computadora	SONG004653	GRP0281							Spanish	SRC0002	medium	approved	2026-06-19	2026-06-19
REC006078	La Burra Y La Chiva	SONG004654	GRP0278							Spanish	SRC0002	medium	approved	2026-06-19	2026-06-19
REC006079	Mi Cumbion	SONG004655	GRP0278							Spanish	SRC0002	medium	approved	2026-06-19	2026-06-19
REC006080	Mis Zapatos Viejos	SONG004656	GRP0278							Spanish	SRC0002	medium	approved	2026-06-19	2026-06-19
REC006081	Los Algodones	SONG004657	GRP0278							Spanish	SRC0002	medium	approved	2026-06-19	2026-06-19
REC006082	El Pescador Triste	SONG004658	GRP0278							Spanish	SRC0002	medium	approved	2026-06-19	2026-06-19
REC006083	El Telefono	SONG004659	GRP0278							Spanish	SRC0002	medium	approved	2026-06-19	2026-06-19
REC006084	Mi Primavera	SONG004660	GRP0278							Spanish	SRC0002	medium	approved	2026-06-19	2026-06-19
REC006085	La Revancha	SONG004661	GRP0281							Spanish	SRC0002	medium	approved	2026-06-19	2026-06-19
REC006086	Cinturita De Jabon	SONG004662	GRP0278							Spanish	SRC0002	medium	approved	2026-06-19	2026-06-19
REC006087	Fiesta De Cumpleaños	SONG004663	GRP0278							Spanish	SRC0002	medium	approved	2026-06-19	2026-06-19
REC006088	El Escorpion	SONG004664		PER000338						Spanish	SRC0002	medium	approved	2026-06-19	2026-06-19
REC006089	Que No Quede Huella	SONG004665	GRP0281							Spanish	SRC0002	medium	approved	2026-06-19	2026-06-19
REC006090	No Peliemos Tanto	SONG004666	GRP0281							Spanish	SRC0002	medium	approved	2026-06-19	2026-06-19
