unit_candidate_id	product_title	artist_name	artist_entity_type	candidate_title	existing_recording_id	existing_song_id	review_reason	matched_entity_type	matched_entity_id	matched_authority_name	recovery_status
UNIT0113-01-001	USB - Colección Música Colombiana	Varios Intérpretes	performer	Yo Tambien TuveVeinteAños			artist_not_matched_to_authority				entity_needed
UNIT0113-01-002	USB - Colección Música Colombiana	Varios Intérpretes	performer	Las Acacias	REC005601	SONG004252	recording_title_exists;song_title_exists;artist_not_matched_to_authority				entity_needed
UNIT0113-01-003	USB - Colección Música Colombiana	Varios Intérpretes	performer	Ayer Me Echaron Del Pueblo	REC005602	SONG004253	recording_title_exists;song_title_exists;artist_not_matched_to_authority				entity_needed
UNIT0113-01-004	USB - Colección Música Colombiana	Varios Intérpretes	performer	Un Recuerdo De Amor	REC005603	SONG004254	recording_title_exists;song_title_exists;artist_not_matched_to_authority				entity_needed
UNIT0113-01-005	USB - Colección Música Colombiana	Varios Intérpretes	performer	Grato Silencio	REC005604	SONG004255	recording_title_exists;song_title_exists;artist_not_matched_to_authority				entity_needed
UNIT0113-01-006	USB - Colección Música Colombiana	Varios Intérpretes	performer	Pesares	REC005605	SONG004256	recording_title_exists;song_title_exists;artist_not_matched_to_authority				entity_needed
UNIT0113-01-007	USB - Colección Música Colombiana	Varios Intérpretes	performer	Antioqueñita	REC005606	SONG004257	recording_title_exists;song_title_exists;artist_not_matched_to_authority				entity_needed
UNIT0113-01-008	USB - Colección Música Colombiana	Varios Intérpretes	performer	Tierra Labrantia	REC005607	SONG004258	recording_title_exists;song_title_exists;artist_not_matched_to_authority				entity_needed
UNIT0113-01-009	USB - Colección Música Colombiana	Varios Intérpretes	performer	Las Mirlas	REC005608	SONG004259	recording_title_exists;song_title_exists;artist_not_matched_to_authority				entity_needed
UNIT0113-01-010	USB - Colección Música Colombiana	Varios Intérpretes	performer	Huri	REC005591;REC005609	SONG004245	recording_title_exists;song_title_exists;artist_not_matched_to_authority				entity_needed
UNIT0113-04-001	USB - Colección 100 Exitos de Música Cubana	Varios Artistas	performer	El Carretero – Guillermo Portabales			source_tracklist_partial_or_estimated;artist_not_matched_to_authority				entity_needed
UNIT0113-04-002	USB - Colección 100 Exitos de Música Cubana	Varios Artistas	performer	Malao de Caña – La Sonora Matancera			source_tracklist_partial_or_estimated;artist_not_matched_to_authority				entity_needed
UNIT0113-04-003	USB - Colección 100 Exitos de Música Cubana	Varios Artistas	performer	El Que Siembra Su Maíz – Orquesta de Bebo Valdés			source_tracklist_partial_or_estimated;artist_not_matched_to_authority				entity_needed
UNIT0113-04-004	USB - Colección 100 Exitos de Música Cubana	Varios Artistas	performer	A San Lázaro (Babalú) – Celina y Reutilio			source_tracklist_partial_or_estimated;artist_not_matched_to_authority				entity_needed
UNIT0113-04-005	USB - Colección 100 Exitos de Música Cubana	Varios Artistas	performer	Lupita – Fruko y Orquesta			source_tracklist_partial_or_estimated;artist_not_matched_to_authority				entity_needed
UNIT0113-04-006	USB - Colección 100 Exitos de Música Cubana	Varios Artistas	performer	Yo Tengo Pena – Los Compadres			source_tracklist_partial_or_estimated;artist_not_matched_to_authority				entity_needed
UNIT0113-04-007	USB - Colección 100 Exitos de Música Cubana	Varios Artistas	performer	Mira Que Eres LInda – Roberto Ledesma			source_tracklist_partial_or_estimated;artist_not_matched_to_authority				entity_needed
UNIT0113-04-008	USB - Colección 100 Exitos de Música Cubana	Varios Artistas	performer	Alegre Petición – Trío Matamoros			source_tracklist_partial_or_estimated;artist_not_matched_to_authority				entity_needed
UNIT0113-04-009	USB - Colección 100 Exitos de Música Cubana	Varios Artistas	performer	Nuevamente – Orlando Contreras			source_tracklist_partial_or_estimated;artist_not_matched_to_authority				entity_needed
UNIT0113-04-010	USB - Colección 100 Exitos de Música Cubana	Varios Artistas	performer	Adiós Compay Gato – Los Guaracheros de Oriente			source_tracklist_partial_or_estimated;artist_not_matched_to_authority				entity_needed
UNIT0113-05-001	USB - Que Viva Diciembre	Varios Artistas	performer	Las Tapas	REC005630	SONG004275	recording_title_exists;song_title_exists;artist_not_matched_to_authority				entity_needed
UNIT0113-05-002	USB - Que Viva Diciembre	Varios Artistas	performer	Quiero Ser Feliz	REC005631	SONG004276	recording_title_exists;song_title_exists;artist_not_matched_to_authority				entity_needed
UNIT0113-05-003	USB - Que Viva Diciembre	Varios Artistas	performer	03 Amor Serrano Demo			artist_not_matched_to_authority				entity_needed
UNIT0113-05-004	USB - Que Viva Diciembre	Varios Artistas	performer	Plegaria	REC004074;REC004075;REC005633	SONG003054	recording_title_exists;song_title_exists;artist_not_matched_to_authority				entity_needed
UNIT0113-05-005	USB - Que Viva Diciembre	Varios Artistas	performer	Capullo De Rosa Blanca	REC005634	SONG004278	recording_title_exists;song_title_exists;artist_not_matched_to_authority				entity_needed
UNIT0113-05-006	USB - Que Viva Diciembre	Varios Artistas	performer	El Bailador	REC005577;REC005635	SONG004232	recording_title_exists;song_title_exists;artist_not_matched_to_authority				entity_needed
