unit_candidate_id	product_title	artist_name	artist_entity_type	candidate_title	existing_recording_id	existing_song_id	review_reason	matched_entity_type	matched_entity_id	matched_authority_name	recovery_status	target_primary_group_id	target_primary_performer_id	unit0148_status
UNIT0113-02-005	USB - Colección 100 Exitos | Helenita Vargas	Helenita Vargas	performer	Señora	REC004666;REC005614	SONG003498	recording_title_exists;song_title_exists;source_tracklist_partial_or_estimated;artist_not_matched_to_authority	performer	PER000343	Helenita Vargas	artist_authority_now_exists			ambiguous_multiple_existing_recording_ids
UNIT0113-02-006	USB - Colección 100 Exitos | Helenita Vargas	Helenita Vargas	performer	Mal Hombre	REC003167;REC005615	SONG002330	recording_title_exists;song_title_exists;source_tracklist_partial_or_estimated;artist_not_matched_to_authority	performer	PER000343	Helenita Vargas	artist_authority_now_exists			ambiguous_multiple_existing_recording_ids
UNIT0113-03-002	USB - Colección 100 Exitos de La Sonora Matancera	La Sonora Matancera	group	Quién Será	REC004413;REC004414;REC005551	SONG003305	recording_title_exists;song_title_exists;source_tracklist_partial_or_estimated;artist_not_matched_to_authority	group	GRP0286	La Sonora Matancera	artist_authority_now_exists			ambiguous_multiple_existing_recording_ids
UNIT0113-03-010	USB - Colección 100 Exitos de La Sonora Matancera	La Sonora Matancera	group	Historia de Un Amor	REC002285;REC002286;REC002287;REC005559	SONG001714	recording_title_exists;song_title_exists;source_tracklist_partial_or_estimated;artist_not_matched_to_authority	group	GRP0286	La Sonora Matancera	artist_authority_now_exists			ambiguous_multiple_existing_recording_ids
UNIT0113-07-002	USB - Colección Homenaje a Toño Fuentes	Toño Fuentes	performer	Huri	REC005591;REC005609	SONG004245	recording_title_exists;song_title_exists;source_tracklist_partial_or_estimated;artist_not_matched_to_authority	performer	PER000346	Toño Fuentes	artist_authority_now_exists			ambiguous_multiple_existing_recording_ids
UNIT0113-07-003	USB - Colección Homenaje a Toño Fuentes	Toño Fuentes	performer	La Cumparsita	REC002533;REC005592	SONG001886	recording_title_exists;song_title_exists;source_tracklist_partial_or_estimated;artist_not_matched_to_authority	performer	PER000346	Toño Fuentes	artist_authority_now_exists			ambiguous_multiple_existing_recording_ids
UNIT0113-07-007	USB - Colección Homenaje a Toño Fuentes	Toño Fuentes	performer	Prenda del Alma	REC004207;REC005596	SONG003157	recording_title_exists;song_title_exists;source_tracklist_partial_or_estimated;artist_not_matched_to_authority	performer	PER000346	Toño Fuentes	artist_authority_now_exists			ambiguous_multiple_existing_recording_ids
UNIT0113-07-010	USB - Colección Homenaje a Toño Fuentes	Toño Fuentes	performer	Quiéreme Mucho	REC004422;REC004423;REC005599	SONG003309	recording_title_exists;song_title_exists;source_tracklist_partial_or_estimated;artist_not_matched_to_authority	performer	PER000346	Toño Fuentes	artist_authority_now_exists			ambiguous_multiple_existing_recording_ids
UNIT0113-14-003	USB - Colección 100 Exitos de Pastor López	Pastor López	performer	Traicionera	REC005029;REC005692	SONG003788	recording_title_exists;song_title_exists;source_tracklist_partial_or_estimated;artist_not_matched_to_authority	performer	PER000345	Pastor López	artist_authority_now_exists			ambiguous_multiple_existing_recording_ids
UNIT0113-14-004	USB - Colección 100 Exitos de Pastor López	Pastor López	performer	EL Hijo Ausente	REC005674;REC005693	SONG004313	recording_title_exists;song_title_exists;source_tracklist_partial_or_estimated;artist_not_matched_to_authority	performer	PER000345	Pastor López	artist_authority_now_exists			ambiguous_multiple_existing_recording_ids
UNIT0113-14-010	USB - Colección 100 Exitos de Pastor López	Pastor López	performer	El Ausente	REC001372;REC001373;REC005699	SONG001044	recording_title_exists;song_title_exists;source_tracklist_partial_or_estimated;artist_not_matched_to_authority	performer	PER000345	Pastor López	artist_authority_now_exists			ambiguous_multiple_existing_recording_ids
