unit_candidate_id	product_title	artist_name	artist_entity_type	candidate_title	existing_recording_id	existing_song_id	review_reason	matched_entity_type	matched_entity_id	matched_authority_name	recovery_status	target_primary_group_id	target_primary_performer_id	unit0148_status
UNIT0113-02-001	USB - Colección 100 Exitos | Helenita Vargas	Helenita Vargas	performer	María de los Guardias	REC005610	SONG004260	recording_title_exists;song_title_exists;source_tracklist_partial_or_estimated;artist_not_matched_to_authority	performer	PER000343	Helenita Vargas	artist_authority_now_exists		PER000343	safe_primary_artist_update
UNIT0113-02-002	USB - Colección 100 Exitos | Helenita Vargas	Helenita Vargas	performer	Señor	REC005611	SONG004261	recording_title_exists;song_title_exists;source_tracklist_partial_or_estimated;artist_not_matched_to_authority	performer	PER000343	Helenita Vargas	artist_authority_now_exists		PER000343	safe_primary_artist_update
UNIT0113-02-003	USB - Colección 100 Exitos | Helenita Vargas	Helenita Vargas	performer	No Te Pido Más	REC005612	SONG004262	recording_title_exists;song_title_exists;source_tracklist_partial_or_estimated;artist_not_matched_to_authority	performer	PER000343	Helenita Vargas	artist_authority_now_exists		PER000343	safe_primary_artist_update
UNIT0113-02-004	USB - Colección 100 Exitos | Helenita Vargas	Helenita Vargas	performer	Castiga Tirano	REC005613	SONG004263	recording_title_exists;song_title_exists;source_tracklist_partial_or_estimated;artist_not_matched_to_authority	performer	PER000343	Helenita Vargas	artist_authority_now_exists		PER000343	safe_primary_artist_update
UNIT0113-02-007	USB - Colección 100 Exitos | Helenita Vargas	Helenita Vargas	performer	Propiedad Privada	REC005616	SONG004264	recording_title_exists;song_title_exists;source_tracklist_partial_or_estimated;artist_not_matched_to_authority	performer	PER000343	Helenita Vargas	artist_authority_now_exists		PER000343	safe_primary_artist_update
UNIT0113-02-008	USB - Colección 100 Exitos | Helenita Vargas	Helenita Vargas	performer	La Hija del Penal	REC005617	SONG004265	recording_title_exists;song_title_exists;source_tracklist_partial_or_estimated;artist_not_matched_to_authority	performer	PER000343	Helenita Vargas	artist_authority_now_exists		PER000343	safe_primary_artist_update
UNIT0113-02-009	USB - Colección 100 Exitos | Helenita Vargas	Helenita Vargas	performer	Me la Robaste	REC005618	SONG004266	recording_title_exists;song_title_exists;source_tracklist_partial_or_estimated;artist_not_matched_to_authority	performer	PER000343	Helenita Vargas	artist_authority_now_exists		PER000343	safe_primary_artist_update
UNIT0113-02-010	USB - Colección 100 Exitos | Helenita Vargas	Helenita Vargas	performer	Nos Estorbó la Ropa	REC005619	SONG004267	recording_title_exists;song_title_exists;source_tracklist_partial_or_estimated;artist_not_matched_to_authority	performer	PER000343	Helenita Vargas	artist_authority_now_exists		PER000343	safe_primary_artist_update
UNIT0113-03-001	USB - Colección 100 Exitos de La Sonora Matancera	La Sonora Matancera	group	El Sofá	REC005550	SONG004207	recording_title_exists;song_title_exists;source_tracklist_partial_or_estimated;artist_not_matched_to_authority	group	GRP0286	La Sonora Matancera	artist_authority_now_exists	GRP0286		safe_primary_artist_update
UNIT0113-03-003	USB - Colección 100 Exitos de La Sonora Matancera	La Sonora Matancera	group	Burundanga	REC005552	SONG004208	recording_title_exists;song_title_exists;source_tracklist_partial_or_estimated;artist_not_matched_to_authority	group	GRP0286	La Sonora Matancera	artist_authority_now_exists	GRP0286		safe_primary_artist_update
UNIT0113-03-004	USB - Colección 100 Exitos de La Sonora Matancera	La Sonora Matancera	group	Todo Me Gusta de Ti	REC005553	SONG004209	recording_title_exists;song_title_exists;source_tracklist_partial_or_estimated;artist_not_matched_to_authority	group	GRP0286	La Sonora Matancera	artist_authority_now_exists	GRP0286		safe_primary_artist_update
UNIT0113-03-005	USB - Colección 100 Exitos de La Sonora Matancera	La Sonora Matancera	group	El Mambo es Universal	REC005554	SONG004210	recording_title_exists;song_title_exists;source_tracklist_partial_or_estimated;artist_not_matched_to_authority	group	GRP0286	La Sonora Matancera	artist_authority_now_exists	GRP0286		safe_primary_artist_update
UNIT0113-03-006	USB - Colección 100 Exitos de La Sonora Matancera	La Sonora Matancera	group	Cuando Tú Seas Mía	REC005555	SONG004211	recording_title_exists;song_title_exists;source_tracklist_partial_or_estimated;artist_not_matched_to_authority	group	GRP0286	La Sonora Matancera	artist_authority_now_exists	GRP0286		safe_primary_artist_update
UNIT0113-03-007	USB - Colección 100 Exitos de La Sonora Matancera	La Sonora Matancera	group	Oye Mima	REC005556	SONG004212	recording_title_exists;song_title_exists;source_tracklist_partial_or_estimated;artist_not_matched_to_authority	group	GRP0286	La Sonora Matancera	artist_authority_now_exists	GRP0286		safe_primary_artist_update
UNIT0113-03-008	USB - Colección 100 Exitos de La Sonora Matancera	La Sonora Matancera	group	Desesperación	REC005557	SONG004213	recording_title_exists;song_title_exists;source_tracklist_partial_or_estimated;artist_not_matched_to_authority	group	GRP0286	La Sonora Matancera	artist_authority_now_exists	GRP0286		safe_primary_artist_update
