unit_candidate_id	source_id	source_row	release_title	product_title	release_url	artist_name	artist_entity_type	matched_performer_id	matched_group_id	track_number_in_source_extract	candidate_title	source_tracklist_status	source_extract_method	existing_recording_id	existing_song_id	candidate_status	review_reason
UNIT0113-04-001	SRC0002	4	USB - Colección 100 Exitos de Música Cubana	USB - Colección 100 Exitos de Música Cubana	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/usb-coleccion-100-exitos-de-musica-cubana/	Varios Artistas	performer			1	El Carretero – Guillermo Portabales	partial_10_of_15	description_tab			REVIEW_REQUIRED	source_tracklist_partial_or_estimated;artist_not_matched_to_authority
UNIT0113-04-002	SRC0002	4	USB - Colección 100 Exitos de Música Cubana	USB - Colección 100 Exitos de Música Cubana	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/usb-coleccion-100-exitos-de-musica-cubana/	Varios Artistas	performer			2	Malao de Caña – La Sonora Matancera	partial_10_of_15	description_tab			REVIEW_REQUIRED	source_tracklist_partial_or_estimated;artist_not_matched_to_authority
UNIT0113-04-003	SRC0002	4	USB - Colección 100 Exitos de Música Cubana	USB - Colección 100 Exitos de Música Cubana	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/usb-coleccion-100-exitos-de-musica-cubana/	Varios Artistas	performer			3	El Que Siembra Su Maíz – Orquesta de Bebo Valdés	partial_10_of_15	description_tab			REVIEW_REQUIRED	source_tracklist_partial_or_estimated;artist_not_matched_to_authority
UNIT0113-04-004	SRC0002	4	USB - Colección 100 Exitos de Música Cubana	USB - Colección 100 Exitos de Música Cubana	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/usb-coleccion-100-exitos-de-musica-cubana/	Varios Artistas	performer			4	A San Lázaro (Babalú) – Celina y Reutilio	partial_10_of_15	description_tab			REVIEW_REQUIRED	source_tracklist_partial_or_estimated;artist_not_matched_to_authority
UNIT0113-04-005	SRC0002	4	USB - Colección 100 Exitos de Música Cubana	USB - Colección 100 Exitos de Música Cubana	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/usb-coleccion-100-exitos-de-musica-cubana/	Varios Artistas	performer			5	Lupita – Fruko y Orquesta	partial_10_of_15	description_tab			REVIEW_REQUIRED	source_tracklist_partial_or_estimated;artist_not_matched_to_authority
UNIT0113-04-006	SRC0002	4	USB - Colección 100 Exitos de Música Cubana	USB - Colección 100 Exitos de Música Cubana	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/usb-coleccion-100-exitos-de-musica-cubana/	Varios Artistas	performer			6	Yo Tengo Pena – Los Compadres	partial_10_of_15	description_tab			REVIEW_REQUIRED	source_tracklist_partial_or_estimated;artist_not_matched_to_authority
UNIT0113-04-007	SRC0002	4	USB - Colección 100 Exitos de Música Cubana	USB - Colección 100 Exitos de Música Cubana	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/usb-coleccion-100-exitos-de-musica-cubana/	Varios Artistas	performer			7	Mira Que Eres LInda – Roberto Ledesma	partial_10_of_15	description_tab			REVIEW_REQUIRED	source_tracklist_partial_or_estimated;artist_not_matched_to_authority
UNIT0113-04-008	SRC0002	4	USB - Colección 100 Exitos de Música Cubana	USB - Colección 100 Exitos de Música Cubana	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/usb-coleccion-100-exitos-de-musica-cubana/	Varios Artistas	performer			8	Alegre Petición – Trío Matamoros	partial_10_of_15	description_tab			REVIEW_REQUIRED	source_tracklist_partial_or_estimated;artist_not_matched_to_authority
UNIT0113-04-009	SRC0002	4	USB - Colección 100 Exitos de Música Cubana	USB - Colección 100 Exitos de Música Cubana	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/usb-coleccion-100-exitos-de-musica-cubana/	Varios Artistas	performer			9	Nuevamente – Orlando Contreras	partial_10_of_15	description_tab			REVIEW_REQUIRED	source_tracklist_partial_or_estimated;artist_not_matched_to_authority
UNIT0113-04-010	SRC0002	4	USB - Colección 100 Exitos de Música Cubana	USB - Colección 100 Exitos de Música Cubana	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/usb-coleccion-100-exitos-de-musica-cubana/	Varios Artistas	performer			10	Adiós Compay Gato – Los Guaracheros de Oriente	partial_10_of_15	description_tab			REVIEW_REQUIRED	source_tracklist_partial_or_estimated;artist_not_matched_to_authority
