raw_candidate_title	clean_title	clean_artist	normalized_title	song_match_count	recording_match_count	authority_status	source_id	release_title	release_url
1. La Cerveza - Los Hispanos	La Cerveza	Los Hispanos	la cerveza	0	0	new_song_and_recording	SRC0002	USB - Colección 100 Exitos de Rodolfo Aicardi	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/coleccion-100-exitos-de-rodolfo-aicardi/
2. Plegaria - Rodolfo Aicardi Y Su Tipica Ra7	Plegaria	Rodolfo Aicardi Y Su Tipica Ra7	plegaria	0	0	new_song_and_recording	SRC0002	USB - Colección 100 Exitos de Rodolfo Aicardi	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/coleccion-100-exitos-de-rodolfo-aicardi/
3. Ocho Dias - Los Hispanos	Ocho Dias	Los Hispanos	ocho dias	0	0	new_song_and_recording	SRC0002	USB - Colección 100 Exitos de Rodolfo Aicardi	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/coleccion-100-exitos-de-rodolfo-aicardi/
4. Triste Diciembre -Los Hispanos	Triste Diciembre -Los Hispanos		triste diciembre	0	0	new_song_and_recording	SRC0002	USB - Colección 100 Exitos de Rodolfo Aicardi	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/coleccion-100-exitos-de-rodolfo-aicardi/
5. Boquita De Caramelo - Los Hispanos	Boquita De Caramelo	Los Hispanos	boquita de caramelo	0	0	new_song_and_recording	SRC0002	USB - Colección 100 Exitos de Rodolfo Aicardi	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/coleccion-100-exitos-de-rodolfo-aicardi/
6. Me Voy Pa Macondo - Los Hispanos	Me Voy Pa Macondo	Los Hispanos	me voy pa macondo	0	0	new_song_and_recording	SRC0002	USB - Colección 100 Exitos de Rodolfo Aicardi	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/coleccion-100-exitos-de-rodolfo-aicardi/
7. Tabaco Y Ron - Rodolfo Aicardi Y Su Tipica Ra7	Tabaco Y Ron	Rodolfo Aicardi Y Su Tipica Ra7	tabaco y ron	0	0	new_song_and_recording	SRC0002	USB - Colección 100 Exitos de Rodolfo Aicardi	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/coleccion-100-exitos-de-rodolfo-aicardi/
8. Asi Empezaron Papa Y Mama - Los Hispanos	Asi Empezaron Papa Y Mama	Los Hispanos	asi empezaron papa y mama	0	0	new_song_and_recording	SRC0002	USB - Colección 100 Exitos de Rodolfo Aicardi	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/coleccion-100-exitos-de-rodolfo-aicardi/
9. La Conoci Un Domingo - Rodolfo Aicardi Con El Grupo Monteadentro	La Conoci Un Domingo	Rodolfo Aicardi Con El Grupo Monteadentro	la conoci un domingo	0	0	new_song_and_recording	SRC0002	USB - Colección 100 Exitos de Rodolfo Aicardi	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/coleccion-100-exitos-de-rodolfo-aicardi/
10. El Papelito Blanco - Los Hispanos	El Papelito Blanco	Los Hispanos	el papelito blanco	0	0	new_song_and_recording	SRC0002	USB - Colección 100 Exitos de Rodolfo Aicardi	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/coleccion-100-exitos-de-rodolfo-aicardi/
