candidate_title	artist_name	source_id	release_title	candidate_status
La Cerveza	Los Hispanos	SRC0002	USB - Colección 100 Exitos de Rodolfo Aicardi	promotion_candidate
Plegaria	Rodolfo Aicardi Y Su Tipica Ra7	SRC0002	USB - Colección 100 Exitos de Rodolfo Aicardi	promotion_candidate
Ocho Dias	Los Hispanos	SRC0002	USB - Colección 100 Exitos de Rodolfo Aicardi	promotion_candidate
Triste Diciembre -Los Hispanos		SRC0002	USB - Colección 100 Exitos de Rodolfo Aicardi	promotion_candidate
Boquita De Caramelo	Los Hispanos	SRC0002	USB - Colección 100 Exitos de Rodolfo Aicardi	promotion_candidate
Me Voy Pa Macondo	Los Hispanos	SRC0002	USB - Colección 100 Exitos de Rodolfo Aicardi	promotion_candidate
Tabaco Y Ron	Rodolfo Aicardi Y Su Tipica Ra7	SRC0002	USB - Colección 100 Exitos de Rodolfo Aicardi	promotion_candidate
Asi Empezaron Papa Y Mama	Los Hispanos	SRC0002	USB - Colección 100 Exitos de Rodolfo Aicardi	promotion_candidate
La Conoci Un Domingo	Rodolfo Aicardi Con El Grupo Monteadentro	SRC0002	USB - Colección 100 Exitos de Rodolfo Aicardi	promotion_candidate
El Papelito Blanco	Los Hispanos	SRC0002	USB - Colección 100 Exitos de Rodolfo Aicardi	promotion_candidate
Olvidemos El Pasado	Los Hispanos	SRC0002	USB - Colección 100 Exitos de Rodolfo Aicardi	promotion_candidate
Cariñito	Los Hispanos	SRC0002	USB - Colección 100 Exitos de Rodolfo Aicardi	promotion_candidate
Fiesta En Mi Pueblo	Los Hispanos	SRC0002	USB - Colección 100 Exitos de Rodolfo Aicardi	promotion_candidate
Ojitos Hechiceros	Rodolfo Aicardi Y Su Tipica Ra7	SRC0002	USB - Colección 100 Exitos de Rodolfo Aicardi	promotion_candidate
Quiero Que Me Des Tu Amor	Los Hispanos	SRC0002	USB - Colección 100 Exitos de Rodolfo Aicardi	promotion_candidate
Los Cien Años De Macondo	Los Hispanos	SRC0002	USB - Colección 100 Exitos de Rodolfo Aicardi	promotion_candidate
Vagabundo Soy	Rodolfo Aicardi Y Su Tipica Ra7	SRC0002	USB - Colección 100 Exitos de Rodolfo Aicardi	promotion_candidate
La Colegiala	Rodolfo Aicardi Y Su Tipica Ra7	SRC0002	USB - Colección 100 Exitos de Rodolfo Aicardi	promotion_candidate
Por Favor Olvidame	Rodolfo Aicardi Y Su Tipica Ra7	SRC0002	USB - Colección 100 Exitos de Rodolfo Aicardi	promotion_candidate
Botellita De Ron	Los Hispanos	SRC0002	USB - Colección 100 Exitos de Rodolfo Aicardi	promotion_candidate
Adonay	Los Hispanos	SRC0002	USB - Colección 100 Exitos de Rodolfo Aicardi	promotion_candidate
El Preso	Los Hispanos	SRC0002	USB - Colección 100 Exitos de Rodolfo Aicardi	promotion_candidate
Daniela	Los Hispanos	SRC0002	USB - Colección 100 Exitos de Rodolfo Aicardi	promotion_candidate
Los Domingos	Los Hispanos	SRC0002	USB - Colección 100 Exitos de Rodolfo Aicardi	promotion_candidate
Feliz Nochebuena	Los Hispanos	SRC0002	USB - Colección 100 Exitos de Rodolfo Aicardi	promotion_candidate
Chan Con Chan	Los Hispanos	SRC0002	USB - Colección 100 Exitos de Rodolfo Aicardi	promotion_candidate
La Misma Vaina	Los Hispanos	SRC0002	USB - Colección 100 Exitos de Rodolfo Aicardi	promotion_candidate
Cantares De Navidad	Los Hispanos	SRC0002	USB - Colección 100 Exitos de Rodolfo Aicardi	promotion_candidate
Muchachita Celosa	Los Hispanos	SRC0002	USB - Colección 100 Exitos de Rodolfo Aicardi	promotion_candidate
Entre Que Si Y Que No	Los Hispanos	SRC0002	USB - Colección 100 Exitos de Rodolfo Aicardi	promotion_candidate
Agua De Cu	Los Hispanos	SRC0002	USB - Colección 100 Exitos de Rodolfo Aicardi	promotion_candidate
La Cinta Blanca	Los Hispanos	SRC0002	USB - Colección 100 Exitos de Rodolfo Aicardi	promotion_candidate
Enamorado	Los Hispanos	SRC0002	USB - Colección 100 Exitos de Rodolfo Aicardi	promotion_candidate
Ni Cuerpo Ni Corazon	Los Hispanos	SRC0002	USB - Colección 100 Exitos de Rodolfo Aicardi	promotion_candidate
Adios Adios Corazon	Los Hispanos	SRC0002	USB - Colección 100 Exitos de Rodolfo Aicardi	promotion_candidate
