candidate_title	source_id	release_title	candidate_status
La Cerveza	SRC0002	USB - Colección 100 Exitos de Rodolfo Aicardi	promotion_candidate
Plegaria	SRC0002	USB - Colección 100 Exitos de Rodolfo Aicardi	promotion_candidate
Ocho Dias	SRC0002	USB - Colección 100 Exitos de Rodolfo Aicardi	promotion_candidate
Triste Diciembre -Los Hispanos	SRC0002	USB - Colección 100 Exitos de Rodolfo Aicardi	promotion_candidate
Boquita De Caramelo	SRC0002	USB - Colección 100 Exitos de Rodolfo Aicardi	promotion_candidate
Me Voy Pa Macondo	SRC0002	USB - Colección 100 Exitos de Rodolfo Aicardi	promotion_candidate
Tabaco Y Ron	SRC0002	USB - Colección 100 Exitos de Rodolfo Aicardi	promotion_candidate
Asi Empezaron Papa Y Mama	SRC0002	USB - Colección 100 Exitos de Rodolfo Aicardi	promotion_candidate
La Conoci Un Domingo	SRC0002	USB - Colección 100 Exitos de Rodolfo Aicardi	promotion_candidate
El Papelito Blanco	SRC0002	USB - Colección 100 Exitos de Rodolfo Aicardi	promotion_candidate
Olvidemos El Pasado	SRC0002	USB - Colección 100 Exitos de Rodolfo Aicardi	promotion_candidate
Cariñito	SRC0002	USB - Colección 100 Exitos de Rodolfo Aicardi	promotion_candidate
Fiesta En Mi Pueblo	SRC0002	USB - Colección 100 Exitos de Rodolfo Aicardi	promotion_candidate
Ojitos Hechiceros	SRC0002	USB - Colección 100 Exitos de Rodolfo Aicardi	promotion_candidate
Quiero Que Me Des Tu Amor	SRC0002	USB - Colección 100 Exitos de Rodolfo Aicardi	promotion_candidate
Los Cien Años De Macondo	SRC0002	USB - Colección 100 Exitos de Rodolfo Aicardi	promotion_candidate
Vagabundo Soy	SRC0002	USB - Colección 100 Exitos de Rodolfo Aicardi	promotion_candidate
La Colegiala	SRC0002	USB - Colección 100 Exitos de Rodolfo Aicardi	promotion_candidate
Por Favor Olvidame	SRC0002	USB - Colección 100 Exitos de Rodolfo Aicardi	promotion_candidate
Botellita De Ron	SRC0002	USB - Colección 100 Exitos de Rodolfo Aicardi	promotion_candidate
Adonay	SRC0002	USB - Colección 100 Exitos de Rodolfo Aicardi	promotion_candidate
