recording_id	canonical_recording_title	canonical_song_id	primary_group_id	primary_performer_id	recording_genre_id	release_id	label_id	recording_year	country	language	source_id	confidence	review_status	created_at	updated_at
REC006106	La Cerveza	SONG004682	GRP0278							Spanish	SRC0002	medium	approved	2026-06-19	2026-06-19
REC006107	Plegaria	SONG004683	GRP0281							Spanish	SRC0002	medium	approved	2026-06-19	2026-06-19
REC006108	Ocho Dias	SONG004684	GRP0278							Spanish	SRC0002	medium	approved	2026-06-19	2026-06-19
REC006109	Triste Diciembre	SONG004685	GRP0278							Spanish	SRC0002	medium	approved	2026-06-19	2026-06-19
REC006110	Boquita De Caramelo	SONG004686	GRP0278							Spanish	SRC0002	medium	approved	2026-06-19	2026-06-19
REC006111	Me Voy Pa Macondo	SONG004687	GRP0278							Spanish	SRC0002	medium	approved	2026-06-19	2026-06-19
REC006112	Tabaco Y Ron	SONG004688	GRP0281							Spanish	SRC0002	medium	approved	2026-06-19	2026-06-19
REC006113	Asi Empezaron Papa Y Mama	SONG004689	GRP0278							Spanish	SRC0002	medium	approved	2026-06-19	2026-06-19
REC006114	La Conoci Un Domingo	SONG004690	GRP0284							Spanish	SRC0002	medium	approved	2026-06-19	2026-06-19
REC006115	El Papelito Blanco	SONG004691	GRP0278							Spanish	SRC0002	medium	approved	2026-06-19	2026-06-19
REC006116	Olvidemos El Pasado	SONG004692	GRP0278							Spanish	SRC0002	medium	approved	2026-06-19	2026-06-19
REC006117	Cariñito	SONG004693	GRP0278							Spanish	SRC0002	medium	approved	2026-06-19	2026-06-19
REC006118	Fiesta En Mi Pueblo	SONG004694	GRP0278							Spanish	SRC0002	medium	approved	2026-06-19	2026-06-19
REC006119	Ojitos Hechiceros	SONG004695	GRP0281							Spanish	SRC0002	medium	approved	2026-06-19	2026-06-19
REC006120	Quiero Que Me Des Tu Amor	SONG004696	GRP0278							Spanish	SRC0002	medium	approved	2026-06-19	2026-06-19
REC006121	Los Cien Años De Macondo	SONG004697	GRP0278							Spanish	SRC0002	medium	approved	2026-06-19	2026-06-19
REC006122	Vagabundo Soy	SONG004698	GRP0281							Spanish	SRC0002	medium	approved	2026-06-19	2026-06-19
REC006123	La Colegiala	SONG004699	GRP0281							Spanish	SRC0002	medium	approved	2026-06-19	2026-06-19
REC006124	Por Favor Olvidame	SONG004700	GRP0281							Spanish	SRC0002	medium	approved	2026-06-19	2026-06-19
REC006125	Botellita De Ron	SONG004701	GRP0278							Spanish	SRC0002	medium	approved	2026-06-19	2026-06-19
REC006126	Adonay	SONG004702	GRP0278							Spanish	SRC0002	medium	approved	2026-06-19	2026-06-19
REC006127	El Preso	SONG004703	GRP0278							Spanish	SRC0002	medium	approved	2026-06-19	2026-06-19
REC006128	Daniela	SONG004704	GRP0278							Spanish	SRC0002	medium	approved	2026-06-19	2026-06-19
REC006129	Los Domingos	SONG004705	GRP0278							Spanish	SRC0002	medium	approved	2026-06-19	2026-06-19
REC006130	Feliz Nochebuena	SONG004706	GRP0278							Spanish	SRC0002	medium	approved	2026-06-19	2026-06-19
REC006131	Chan Con Chan	SONG004707	GRP0278							Spanish	SRC0002	medium	approved	2026-06-19	2026-06-19
REC006132	La Misma Vaina	SONG004708	GRP0278							Spanish	SRC0002	medium	approved	2026-06-19	2026-06-19
REC006133	Cantares De Navidad	SONG004709	GRP0278							Spanish	SRC0002	medium	approved	2026-06-19	2026-06-19
REC006134	Muchachita Celosa	SONG004710	GRP0278							Spanish	SRC0002	medium	approved	2026-06-19	2026-06-19
REC006135	Entre Que Si Y Que No	SONG004711	GRP0278							Spanish	SRC0002	medium	approved	2026-06-19	2026-06-19
REC006136	Agua De Cu	SONG004712	GRP0278							Spanish	SRC0002	medium	approved	2026-06-19	2026-06-19
REC006137	La Cinta Blanca	SONG004713	GRP0278							Spanish	SRC0002	medium	approved	2026-06-19	2026-06-19
REC006138	Enamorado	SONG004714	GRP0278							Spanish	SRC0002	medium	approved	2026-06-19	2026-06-19
REC006139	Ni Cuerpo Ni Corazon	SONG004715	GRP0278							Spanish	SRC0002	medium	approved	2026-06-19	2026-06-19
REC006140	Adios Adios Corazon	SONG004716	GRP0278							Spanish	SRC0002	medium	approved	2026-06-19	2026-06-19
REC006141	Pelaita	SONG004717	GRP0278							Spanish	SRC0002	medium	approved	2026-06-19	2026-06-19
REC006142	Sin Corazon En El Pecho	SONG004718	GRP0278							Spanish	SRC0002	medium	approved	2026-06-19	2026-06-19
REC006143	Carola	SONG004719	GRP0255							Spanish	SRC0002	medium	approved	2026-06-19	2026-06-19
REC006144	La Cuñadita	SONG004720	GRP0278							Spanish	SRC0002	medium	approved	2026-06-19	2026-06-19
REC006145	Cara Carita	SONG004721	GRP0281							Spanish	SRC0002	medium	approved	2026-06-19	2026-06-19
REC006146	El Lunarcito	SONG004722	GRP0278							Spanish	SRC0002	medium	approved	2026-06-19	2026-06-19
REC006147	Dile	SONG004723	GRP0278							Spanish	SRC0002	medium	approved	2026-06-19	2026-06-19
REC006148	Yo No Fui	SONG004724	GRP0278							Spanish	SRC0002	medium	approved	2026-06-19	2026-06-19
REC006149	Perdido Y Borracho	SONG004725	GRP0278							Spanish	SRC0002	medium	approved	2026-06-19	2026-06-19
REC006150	La Suegra	SONG004726		PER000338						Spanish	SRC0002	medium	approved	2026-06-19	2026-06-19
REC006151	Donde Estas Mariana	SONG004727	GRP0278							Spanish	SRC0002	medium	approved	2026-06-19	2026-06-19
