song_id	canonical_song_title	alternate_titles	composer	lyricist	country	language	source_id	confidence	review_status	created_at	updated_at
SONG004682	La Cerveza					Spanish	SRC0002	medium	approved	2026-06-19	2026-06-19
SONG004683	Plegaria					Spanish	SRC0002	medium	approved	2026-06-19	2026-06-19
SONG004684	Ocho Dias					Spanish	SRC0002	medium	approved	2026-06-19	2026-06-19
SONG004685	Triste Diciembre					Spanish	SRC0002	medium	approved	2026-06-19	2026-06-19
SONG004686	Boquita De Caramelo					Spanish	SRC0002	medium	approved	2026-06-19	2026-06-19
SONG004687	Me Voy Pa Macondo					Spanish	SRC0002	medium	approved	2026-06-19	2026-06-19
SONG004688	Tabaco Y Ron					Spanish	SRC0002	medium	approved	2026-06-19	2026-06-19
SONG004689	Asi Empezaron Papa Y Mama					Spanish	SRC0002	medium	approved	2026-06-19	2026-06-19
SONG004690	La Conoci Un Domingo					Spanish	SRC0002	medium	approved	2026-06-19	2026-06-19
SONG004691	El Papelito Blanco					Spanish	SRC0002	medium	approved	2026-06-19	2026-06-19
SONG004692	Olvidemos El Pasado					Spanish	SRC0002	medium	approved	2026-06-19	2026-06-19
SONG004693	Cariñito					Spanish	SRC0002	medium	approved	2026-06-19	2026-06-19
SONG004694	Fiesta En Mi Pueblo					Spanish	SRC0002	medium	approved	2026-06-19	2026-06-19
SONG004695	Ojitos Hechiceros					Spanish	SRC0002	medium	approved	2026-06-19	2026-06-19
SONG004696	Quiero Que Me Des Tu Amor					Spanish	SRC0002	medium	approved	2026-06-19	2026-06-19
SONG004697	Los Cien Años De Macondo					Spanish	SRC0002	medium	approved	2026-06-19	2026-06-19
SONG004698	Vagabundo Soy					Spanish	SRC0002	medium	approved	2026-06-19	2026-06-19
SONG004699	La Colegiala					Spanish	SRC0002	medium	approved	2026-06-19	2026-06-19
SONG004700	Por Favor Olvidame					Spanish	SRC0002	medium	approved	2026-06-19	2026-06-19
SONG004701	Botellita De Ron					Spanish	SRC0002	medium	approved	2026-06-19	2026-06-19
SONG004702	Adonay					Spanish	SRC0002	medium	approved	2026-06-19	2026-06-19
SONG004703	El Preso					Spanish	SRC0002	medium	approved	2026-06-19	2026-06-19
SONG004704	Daniela					Spanish	SRC0002	medium	approved	2026-06-19	2026-06-19
SONG004705	Los Domingos					Spanish	SRC0002	medium	approved	2026-06-19	2026-06-19
SONG004706	Feliz Nochebuena					Spanish	SRC0002	medium	approved	2026-06-19	2026-06-19
SONG004707	Chan Con Chan					Spanish	SRC0002	medium	approved	2026-06-19	2026-06-19
SONG004708	La Misma Vaina					Spanish	SRC0002	medium	approved	2026-06-19	2026-06-19
SONG004709	Cantares De Navidad					Spanish	SRC0002	medium	approved	2026-06-19	2026-06-19
SONG004710	Muchachita Celosa					Spanish	SRC0002	medium	approved	2026-06-19	2026-06-19
SONG004711	Entre Que Si Y Que No					Spanish	SRC0002	medium	approved	2026-06-19	2026-06-19
SONG004712	Agua De Cu					Spanish	SRC0002	medium	approved	2026-06-19	2026-06-19
SONG004713	La Cinta Blanca					Spanish	SRC0002	medium	approved	2026-06-19	2026-06-19
SONG004714	Enamorado					Spanish	SRC0002	medium	approved	2026-06-19	2026-06-19
SONG004715	Ni Cuerpo Ni Corazon					Spanish	SRC0002	medium	approved	2026-06-19	2026-06-19
SONG004716	Adios Adios Corazon					Spanish	SRC0002	medium	approved	2026-06-19	2026-06-19
SONG004717	Pelaita					Spanish	SRC0002	medium	approved	2026-06-19	2026-06-19
SONG004718	Sin Corazon En El Pecho					Spanish	SRC0002	medium	approved	2026-06-19	2026-06-19
SONG004719	Carola					Spanish	SRC0002	medium	approved	2026-06-19	2026-06-19
SONG004720	La Cuñadita					Spanish	SRC0002	medium	approved	2026-06-19	2026-06-19
SONG004721	Cara Carita					Spanish	SRC0002	medium	approved	2026-06-19	2026-06-19
SONG004722	El Lunarcito					Spanish	SRC0002	medium	approved	2026-06-19	2026-06-19
SONG004723	Dile					Spanish	SRC0002	medium	approved	2026-06-19	2026-06-19
SONG004724	Yo No Fui					Spanish	SRC0002	medium	approved	2026-06-19	2026-06-19
SONG004725	Perdido Y Borracho					Spanish	SRC0002	medium	approved	2026-06-19	2026-06-19
SONG004726	La Suegra					Spanish	SRC0002	medium	approved	2026-06-19	2026-06-19
SONG004727	Donde Estas Mariana					Spanish	SRC0002	medium	approved	2026-06-19	2026-06-19
SONG004728	Ya Para Que					Spanish	SRC0002	medium	approved	2026-06-19	2026-06-19
SONG004729	Penas Por Un Amor					Spanish	SRC0002	medium	approved	2026-06-19	2026-06-19
SONG004730	Linda Rosa					Spanish	SRC0002	medium	approved	2026-06-19	2026-06-19
SONG004731	Te Castigo Haciendote Llorar					Spanish	SRC0002	medium	approved	2026-06-19	2026-06-19
SONG004732	Que Regrese					Spanish	SRC0002	medium	approved	2026-06-19	2026-06-19
SONG004733	Voy Cantando					Spanish	SRC0002	medium	approved	2026-06-19	2026-06-19
SONG004734	El Casado Arrepentido					Spanish	SRC0002	medium	approved	2026-06-19	2026-06-19
SONG004735	Cumbia Marinera					Spanish	SRC0002	medium	approved	2026-06-19	2026-06-19
