raw_source_id	source_id	source_name	source_url	acquisition_date	release_candidate_id	release_title	release_interpreter	release_genre	release_format	release_year	reference_number	side	track_number	global_track_number	raw_track_text	recording_title	artist_text	label_name	source_reference	evidence_text	confidence	review_status
SRC0002-B0001	SRC0002	Discos Fuentes	https://tiendadiscosfuentes.com/productos/14-canonazos-bailables/lp-14-canonazos-bailables-vol-65/	2026-06-17	SRC0002-B0001-REL001	14 Cañonazos Bailables Vol 65	Varios Intérpretes	Tropical – Bailable	LP Estereo 33 RPM | 170 Gramos	2025	202450	A	1	1	Baila Kolombia | Los Cumbia Stars, La Delio Valdez, Yeison Landero	Baila Kolombia	Los Cumbia Stars, La Delio Valdez, Yeison Landero	Discos Fuentes	https://tiendadiscosfuentes.com/productos/14-canonazos-bailables/lp-14-canonazos-bailables-vol-65/#track-A1	Discos Fuentes shop product page: release='14 Cañonazos Bailables Vol 65', side='A', track='1', raw_track='Baila Kolombia | Los Cumbia Stars, La Delio Valdez, Yeison Landero', reference='202450'	high	staged_for_review
SRC0002-B0001	SRC0002	Discos Fuentes	https://tiendadiscosfuentes.com/productos/14-canonazos-bailables/lp-14-canonazos-bailables-vol-65/	2026-06-17	SRC0002-B0001-REL001	14 Cañonazos Bailables Vol 65	Varios Intérpretes	Tropical – Bailable	LP Estereo 33 RPM | 170 Gramos	2025	202450	A	2	2	Perdona Si Te Ofendo | The Latin Brothers	Perdona Si Te Ofendo	The Latin Brothers	Discos Fuentes	https://tiendadiscosfuentes.com/productos/14-canonazos-bailables/lp-14-canonazos-bailables-vol-65/#track-A2	Discos Fuentes shop product page: release='14 Cañonazos Bailables Vol 65', side='A', track='2', raw_track='Perdona Si Te Ofendo | The Latin Brothers', reference='202450'	high	staged_for_review
SRC0002-B0001	SRC0002	Discos Fuentes	https://tiendadiscosfuentes.com/productos/14-canonazos-bailables/lp-14-canonazos-bailables-vol-65/	2026-06-17	SRC0002-B0001-REL001	14 Cañonazos Bailables Vol 65	Varios Intérpretes	Tropical – Bailable	LP Estereo 33 RPM | 170 Gramos	2025	202450	A	3	3	Desorden # 1 | VEBA	Desorden # 1	VEBA	Discos Fuentes	https://tiendadiscosfuentes.com/productos/14-canonazos-bailables/lp-14-canonazos-bailables-vol-65/#track-A3	Discos Fuentes shop product page: release='14 Cañonazos Bailables Vol 65', side='A', track='3', raw_track='Desorden # 1 | VEBA', reference='202450'	high	staged_for_review
SRC0002-B0001	SRC0002	Discos Fuentes	https://tiendadiscosfuentes.com/productos/14-canonazos-bailables/lp-14-canonazos-bailables-vol-65/	2026-06-17	SRC0002-B0001-REL001	14 Cañonazos Bailables Vol 65	Varios Intérpretes	Tropical – Bailable	LP Estereo 33 RPM | 170 Gramos	2025	202450	A	4	4	El Arrebato | AEME	El Arrebato	AEME	Discos Fuentes	https://tiendadiscosfuentes.com/productos/14-canonazos-bailables/lp-14-canonazos-bailables-vol-65/#track-A4	Discos Fuentes shop product page: release='14 Cañonazos Bailables Vol 65', side='A', track='4', raw_track='El Arrebato | AEME', reference='202450'	high	staged_for_review
SRC0002-B0001	SRC0002	Discos Fuentes	https://tiendadiscosfuentes.com/productos/14-canonazos-bailables/lp-14-canonazos-bailables-vol-65/	2026-06-17	SRC0002-B0001-REL001	14 Cañonazos Bailables Vol 65	Varios Intérpretes	Tropical – Bailable	LP Estereo 33 RPM | 170 Gramos	2025	202450	A	5	5	Enamorao | La Sonora Dinamita	Enamorao	La Sonora Dinamita	Discos Fuentes	https://tiendadiscosfuentes.com/productos/14-canonazos-bailables/lp-14-canonazos-bailables-vol-65/#track-A5	Discos Fuentes shop product page: release='14 Cañonazos Bailables Vol 65', side='A', track='5', raw_track='Enamorao | La Sonora Dinamita', reference='202450'	high	staged_for_review
SRC0002-B0001	SRC0002	Discos Fuentes	https://tiendadiscosfuentes.com/productos/14-canonazos-bailables/lp-14-canonazos-bailables-vol-65/	2026-06-17	SRC0002-B0001-REL001	14 Cañonazos Bailables Vol 65	Varios Intérpretes	Tropical – Bailable	LP Estereo 33 RPM | 170 Gramos	2025	202450	A	6	6	Nadie Se Muere | Los Corraleros De Majagual	Nadie Se Muere	Los Corraleros De Majagual	Discos Fuentes	https://tiendadiscosfuentes.com/productos/14-canonazos-bailables/lp-14-canonazos-bailables-vol-65/#track-A6	Discos Fuentes shop product page: release='14 Cañonazos Bailables Vol 65', side='A', track='6', raw_track='Nadie Se Muere | Los Corraleros De Majagual', reference='202450'	high	staged_for_review
SRC0002-B0001	SRC0002	Discos Fuentes	https://tiendadiscosfuentes.com/productos/14-canonazos-bailables/lp-14-canonazos-bailables-vol-65/	2026-06-17	SRC0002-B0001-REL001	14 Cañonazos Bailables Vol 65	Varios Intérpretes	Tropical – Bailable	LP Estereo 33 RPM | 170 Gramos	2025	202450	A	7	7	Arrocito En Bajo | Los Cumbia Stars	Arrocito En Bajo	Los Cumbia Stars	Discos Fuentes	https://tiendadiscosfuentes.com/productos/14-canonazos-bailables/lp-14-canonazos-bailables-vol-65/#track-A7	Discos Fuentes shop product page: release='14 Cañonazos Bailables Vol 65', side='A', track='7', raw_track='Arrocito En Bajo | Los Cumbia Stars', reference='202450'	high	staged_for_review
SRC0002-B0001	SRC0002	Discos Fuentes	https://tiendadiscosfuentes.com/productos/14-canonazos-bailables/lp-14-canonazos-bailables-vol-65/	2026-06-17	SRC0002-B0001-REL001	14 Cañonazos Bailables Vol 65	Varios Intérpretes	Tropical – Bailable	LP Estereo 33 RPM | 170 Gramos	2025	202450	B	1	8	Los Gaiteros | Esparragoza	Los Gaiteros	Esparragoza	Discos Fuentes	https://tiendadiscosfuentes.com/productos/14-canonazos-bailables/lp-14-canonazos-bailables-vol-65/#track-B1	Discos Fuentes shop product page: release='14 Cañonazos Bailables Vol 65', side='B', track='1', raw_track='Los Gaiteros | Esparragoza', reference='202450'	high	staged_for_review
SRC0002-B0001	SRC0002	Discos Fuentes	https://tiendadiscosfuentes.com/productos/14-canonazos-bailables/lp-14-canonazos-bailables-vol-65/	2026-06-17	SRC0002-B0001-REL001	14 Cañonazos Bailables Vol 65	Varios Intérpretes	Tropical – Bailable	LP Estereo 33 RPM | 170 Gramos	2025	202450	B	2	9	Costeo | Yandar Y Yostin, J Kalder	Costeo	Yandar Y Yostin, J Kalder	Discos Fuentes	https://tiendadiscosfuentes.com/productos/14-canonazos-bailables/lp-14-canonazos-bailables-vol-65/#track-B2	Discos Fuentes shop product page: release='14 Cañonazos Bailables Vol 65', side='B', track='2', raw_track='Costeo | Yandar Y Yostin, J Kalder', reference='202450'	high	staged_for_review
SRC0002-B0001	SRC0002	Discos Fuentes	https://tiendadiscosfuentes.com/productos/14-canonazos-bailables/lp-14-canonazos-bailables-vol-65/	2026-06-17	SRC0002-B0001-REL001	14 Cañonazos Bailables Vol 65	Varios Intérpretes	Tropical – Bailable	LP Estereo 33 RPM | 170 Gramos	2025	202450	B	3	10	Alegría Y Amor | Los 50 De Joselito	Alegría Y Amor	Los 50 De Joselito	Discos Fuentes	https://tiendadiscosfuentes.com/productos/14-canonazos-bailables/lp-14-canonazos-bailables-vol-65/#track-B3	Discos Fuentes shop product page: release='14 Cañonazos Bailables Vol 65', side='B', track='3', raw_track='Alegría Y Amor | Los 50 De Joselito', reference='202450'	high	staged_for_review
SRC0002-B0001	SRC0002	Discos Fuentes	https://tiendadiscosfuentes.com/productos/14-canonazos-bailables/lp-14-canonazos-bailables-vol-65/	2026-06-17	SRC0002-B0001-REL001	14 Cañonazos Bailables Vol 65	Varios Intérpretes	Tropical – Bailable	LP Estereo 33 RPM | 170 Gramos	2025	202450	B	4	11	Newyorquina Chimba | Santibel	Newyorquina Chimba	Santibel	Discos Fuentes	https://tiendadiscosfuentes.com/productos/14-canonazos-bailables/lp-14-canonazos-bailables-vol-65/#track-B4	Discos Fuentes shop product page: release='14 Cañonazos Bailables Vol 65', side='B', track='4', raw_track='Newyorquina Chimba | Santibel', reference='202450'	high	staged_for_review
SRC0002-B0001	SRC0002	Discos Fuentes	https://tiendadiscosfuentes.com/productos/14-canonazos-bailables/lp-14-canonazos-bailables-vol-65/	2026-06-17	SRC0002-B0001-REL001	14 Cañonazos Bailables Vol 65	Varios Intérpretes	Tropical – Bailable	LP Estereo 33 RPM | 170 Gramos	2025	202450	B	5	12	Cajita De Cumbia | Afrosound	Cajita De Cumbia	Afrosound	Discos Fuentes	https://tiendadiscosfuentes.com/productos/14-canonazos-bailables/lp-14-canonazos-bailables-vol-65/#track-B5	Discos Fuentes shop product page: release='14 Cañonazos Bailables Vol 65', side='B', track='5', raw_track='Cajita De Cumbia | Afrosound', reference='202450'	high	staged_for_review
SRC0002-B0001	SRC0002	Discos Fuentes	https://tiendadiscosfuentes.com/productos/14-canonazos-bailables/lp-14-canonazos-bailables-vol-65/	2026-06-17	SRC0002-B0001-REL001	14 Cañonazos Bailables Vol 65	Varios Intérpretes	Tropical – Bailable	LP Estereo 33 RPM | 170 Gramos	2025	202450	B	6	13	Tributo A Los Titanes | Los Conquistadores De La Salsa, Los Titanes	Tributo A Los Titanes	Los Conquistadores De La Salsa, Los Titanes	Discos Fuentes	https://tiendadiscosfuentes.com/productos/14-canonazos-bailables/lp-14-canonazos-bailables-vol-65/#track-B6	Discos Fuentes shop product page: release='14 Cañonazos Bailables Vol 65', side='B', track='6', raw_track='Tributo A Los Titanes | Los Conquistadores De La Salsa, Los Titanes', reference='202450'	high	staged_for_review
SRC0002-B0001	SRC0002	Discos Fuentes	https://tiendadiscosfuentes.com/productos/14-canonazos-bailables/lp-14-canonazos-bailables-vol-65/	2026-06-17	SRC0002-B0001-REL001	14 Cañonazos Bailables Vol 65	Varios Intérpretes	Tropical – Bailable	LP Estereo 33 RPM | 170 Gramos	2025	202450	B	7	14	Potra | Chesca, Maldy	Potra	Chesca, Maldy	Discos Fuentes	https://tiendadiscosfuentes.com/productos/14-canonazos-bailables/lp-14-canonazos-bailables-vol-65/#track-B7	Discos Fuentes shop product page: release='14 Cañonazos Bailables Vol 65', side='B', track='7', raw_track='Potra | Chesca, Maldy', reference='202450'	high	staged_for_review
