recording_id	canonical_recording_title	has_song	has_performer	has_group	has_artist_any	has_label	has_source	identification_complete	gap
REC000001	Pá Congrí	1	0	1	1	1	1	1	
REC000002	Coquito Acaramelado	1	0	1	1	1	1	1	
REC000003	!Ay! No No	1	0	0	0	1	1	0	artist
REC000004	15 De Septiembre	1	1	0	1	1	1	1	
REC000005	A Callarse	1	1	0	1	1	1	1	
REC000006	A Donde Iran	1	1	0	1	1	1	1	
REC000007	A Grito Abierto	1	1	0	1	1	1	1	
REC000008	A Huarachazo Limpio	1	0	1	1	1	1	1	
REC000009	A La Guerra Me Llevan	1	0	0	0	1	1	0	artist
REC000010	A La Guerra Me Llevan	1	0	0	0	1	1	0	artist
REC000011	A La Hora Del Rosario	1	1	0	1	1	1	1	
REC000012	A La Hora Del Rosario	1	1	0	1	1	1	1	
REC000013	A La Hora Del Rosario	1	1	0	1	1	1	1	
REC000014	A La Hora Del Rosario	1	1	0	1	1	1	1	
REC000015	A La Luz De Los Cocuyos	1	1	0	1	1	1	1	
REC000016	A La Mala	1	1	0	1	1	1	1	
REC000017	A La Orilla De Un Palmar	1	0	1	1	1	1	1	
REC000018	A La Orilla Del Mar	1	1	0	1	1	1	1	
REC000019	A La Orilla Del Mar	1	1	0	1	1	1	1	
REC000020	A La Orilla Del Mar	1	1	0	1	1	1	1	
REC000021	A La Orilla Del Mar	1	1	0	1	1	1	1	
REC000022	A La Orilla Del Mar	1	1	0	1	1	1	1	
REC000023	A La Orilla Del Mar	1	1	0	1	1	1	1	
REC000024	A Los Amigos Que Tengo	1	1	0	1	1	1	1	
REC000025	A Los Cuatro Vientos	1	0	0	0	1	1	0	artist
REC000026	A Los Cuatro Vientos	1	1	0	1	1	1	1	
REC000027	A Los Cuatro Vientos	1	1	0	1	1	1	1	
REC000028	A Los Cuatro Vientos	1	1	0	1	1	1	1	
REC000029	A Mano Estamos	1	0	1	1	1	1	1	
REC000030	A Mano Quedamos	1	0	1	1	1	1	1	
REC000031	A Mano Quedamos	1	0	1	1	1	1	1	
REC000032	A Medias De La Noche	1	1	0	1	1	1	1	
REC000033	A Mi Manera - My Way	1	0	1	1	1	1	1	
REC000034	A Mi No Me Interesa	1	1	0	1	1	1	1	
REC000035	A Orillas Del Papaloapan	1	1	0	1	1	1	1	
REC000036	A Pedazos	1	0	1	1	1	1	1	
REC000037	A Poco No	1	1	0	1	1	1	1	
REC000038	A Poco No	1	1	0	1	1	1	1	
REC000039	A Poco No	1	1	0	1	1	1	1	
REC000040	A Poco No	1	1	0	1	1	1	1	
REC000041	A Prision Perpetua	1	1	0	1	1	1	1	
REC000042	A Punto De Gritar	1	1	0	1	1	1	1	
REC000043	A Punto De Llorar	1	1	0	1	1	1	1	
REC000044	A Punto De Llorar	1	1	0	1	1	1	1	
REC000045	A Puño Limpio	1	1	0	1	1	1	1	
REC000046	A Rebozasos	1	0	0	0	1	1	0	artist
REC000047	A Rienda Suelta	1	1	0	1	1	1	1	
REC000048	A San Pedro	1	1	0	1	1	1	1	
REC000049	A Solas Contigo	1	1	0	1	1	1	1	
REC000050	A Su Salud	1	1	0	1	1	1	1	
REC000051	A Ti Que	1	1	0	1	1	1	1	
REC000052	A Todo Dar	1	1	0	1	1	1	1	
REC000053	A Todo Dar	1	1	0	1	1	1	1	
REC000054	A Todo Dar	1	1	0	1	1	1	1	
REC000055	A Traves De Mi Llanto	1	1	0	1	1	1	1	
REC000056	A Un Corazón	1	1	0	1	1	1	1	
REC000057	A Un Corazón	1	1	0	1	1	1	1	
REC000058	A Una Ola	1	1	0	1	1	1	1	
REC000059	A Venezuela	1	1	0	1	1	1	1	
REC000060	A Ver Que Pasa	1	1	0	1	1	1	1	
REC000061	Abranse Que Vengo Herido	1	1	0	1	1	1	1	
REC000062	Abre Tus Ojos	1	1	0	1	1	1	1	
REC000063	Aburrido Me Voy	1	1	0	1	1	1	1	
REC000064	Aburrido Me Voy	1	1	0	1	1	1	1	
REC000065	Aburrido Me Voy	1	1	0	1	1	1	1	
REC000066	Aca Nomas	1	0	0	0	1	1	0	artist
REC000067	Acabaste!	1	1	0	1	1	1	1	
