candidate_name	recordings_count	sample_recording_ids	sample_recording_titles	source_id	label_name	gemini_decision	gemini_notes	human_review_status
Acerina y su Danzonera	2	REC001953; REC003885	Elia; Orquesta Principal	SRC0001	Peerless			pending
Alarcon Leal Y La Tamaulipeca	6	REC000423; REC003613; REC004114; REC004690; REC004775	Aunque Pasen Los Años; Ni Plata Ni Cobre; Por Eso Lloro; Si, La Parranda Me Gusta; Solo Que La Mar Se Seque	SRC0001	Peerless			pending
Alegres De Terán Y Marcelo Y Aurelia	1	REC001511	El Corrido De Pedro Infante	SRC0001	Peerless			pending
Angelina Y Tono	26	REC000188; REC000602; REC000816; REC000941; REC000959	Alma Mia De Mi Grandota; Camioncito Flecha Roja; Compadecete Mujer; Corrido De Elena; Corrido De Rafaelita	SRC0001	Peerless			pending
Beatriz Adriana Y Pedro Infante	1	REC000701	Carta Y Contestacion De Eufemia	SRC0001	Peerless			pending
Beatriz Eugenia y Luis Lozano	1	REC002944	Las Mañanitas	SRC0001	Peerless			pending
Bertha Y Juan	2	REC001669; REC002311	El Jilguerillo; Hoy Te Digo Adios	SRC0001	Peerless			pending
Carlos Y Gela	2	REC000151; REC005120	Al Ver; Tu Santa Madre	SRC0001	Peerless			pending
Cirila Y Celedonio	2	REC000441; REC001790	Ay Cuanto Quiero A Mi Consuelito; El Potrancon	SRC0001	Peerless			pending
Cuates Castilla Y Ana Morena	2	REC001476; REC001685	El Chinito De La Habana; El Limpiabotas	SRC0001	Peerless			pending
Cuco Y Lupe	6	REC000669; REC000696; REC001560; REC001722; REC002081	Cariño Falso; Carta Fatal; El Diablo Y Yo; El Mosquito Americano; Esta Noche Me Emborracho	SRC0001	Peerless			pending
Duarte y sus Corsarios	2	REC001494; REC002863	El Compadre De Tololoche; La Vieja De Pancho	SRC0001	Peerless			pending
Dueto Adan Y Eva	22	REC000489; REC000843; REC000942; REC000954; REC001361	Barrio Alegre; Con Rabia Y Despecho; Corrido De Heraclio Bernal; Corrido De Nicolas Zurdo Flores; El Anillo Grabado	SRC0001	Peerless			pending
Dueto Aguila Y Sol	26	REC000110; REC000175; REC000182; REC000518; REC000603	Adrede; Alma Angelina; Alma De Mi Grandota; Besos De Papel; Camioncito Flecha Roja	SRC0001	Peerless			pending
Dueto Blanco Y Negro	8	REC000647; REC000648; REC000915; REC001024; REC004258	Cantinero; Cantinero; Corona De Espadas; Cuando Nadie Te Quiera; Puro Amor	SRC0001	Peerless			pending
Dueto Carlos Y Alicia	2	REC001938; REC002232	El Volado; Güera Color De Rosa	SRC0001	Peerless			pending
Dueto Sanchez Y Galvez	2	REC001626; REC003231	El Güero; Maria Teresa	SRC0001	Peerless			pending
Dueto Timbre Y Sobre	2	REC001531; REC003498	El Cuatro Lenguas; Mirando Arriba	SRC0001	Peerless			pending
