raw_source_id	raw_source_unit	raw_page	raw_row_in_page	source_id	source_reference	recording_path	raw_recording_title	recording_title	performer_name	composer_name	label_name	catalog_number	format	evidence_text	confidence	review_status
SRC-0010	frontera_peerless_ajax_full_0001	0	1	SRC0001	Frontera Collection Drupal Views AJAX /songs?f[0]=field_record_label_t:8216	/recordings/ay-no-no-0	!Ay! No No	!Ay! No No	Martin Y Malena	Albarrán, José	Peerless	3821	78	Frontera Peerless AJAX row: title='!Ay! No No', performer='Martin Y Malena', label='Peerless', catalog='3821', format='78', path='/recordings/ay-no-no-0'	high	raw_extracted
SRC-0010	frontera_peerless_ajax_full_0001	0	2	SRC0001	Frontera Collection Drupal Views AJAX /songs?f[0]=field_record_label_t:8216	/recordings/15-de-septiembre-3	15 De Septiembre	15 De Septiembre	Pedro Infante	Jiménez, José Alfredo	Peerless	3525	78	Frontera Peerless AJAX row: title='15 De Septiembre', performer='Pedro Infante', label='Peerless', catalog='3525', format='78', path='/recordings/15-de-septiembre-3'	high	raw_extracted
SRC-0010	frontera_peerless_ajax_full_0001	0	3	SRC0001	Frontera Collection Drupal Views AJAX /songs?f[0]=field_record_label_t:8216	/recordings/callarse	A Callarse	A Callarse	Raquel Domenech	Lopez Martin, Antonio	Peerless	7108	45	Frontera Peerless AJAX row: title='A Callarse', performer='Raquel Domenech', label='Peerless', catalog='7108', format='45', path='/recordings/callarse'	high	raw_extracted
SRC-0010	frontera_peerless_ajax_full_0001	0	4	SRC0001	Frontera Collection Drupal Views AJAX /songs?f[0]=field_record_label_t:8216	/recordings/donde-iran-1	A Donde Iran	A Donde Iran	Hermanos Zaizar	Mendiolea, Rodolfo	Peerless	LP-1980	33	Frontera Peerless AJAX row: title='A Donde Iran', performer='Hermanos Zaizar', label='Peerless', catalog='LP-1980', format='33', path='/recordings/donde-iran-1'	high	raw_extracted
SRC-0010	frontera_peerless_ajax_full_0001	0	5	SRC0001	Frontera Collection Drupal Views AJAX /songs?f[0]=field_record_label_t:8216	/recordings/grito-abierto-23	A Grito Abierto	A Grito Abierto	Prieta Linda		Peerless	4532-B	78	Frontera Peerless AJAX row: title='A Grito Abierto', performer='Prieta Linda', label='Peerless', catalog='4532-B', format='78', path='/recordings/grito-abierto-23'	high	raw_extracted
SRC-0010	frontera_peerless_ajax_full_0001	0	6	SRC0001	Frontera Collection Drupal Views AJAX /songs?f[0]=field_record_label_t:8216	/recordings/huarachazo-limpio-1	A Huarachazo Limpio	A Huarachazo Limpio	Mariachi Mexico De Pepe Villa	Cruz Pérez, Ascencion	Peerless	4709A	78	Frontera Peerless AJAX row: title='A Huarachazo Limpio', performer='Mariachi Mexico De Pepe Villa', label='Peerless', catalog='4709A', format='78', path='/recordings/huarachazo-limpio-1'	high	raw_extracted
SRC-0010	frontera_peerless_ajax_full_0001	0	7	SRC0001	Frontera Collection Drupal Views AJAX /songs?f[0]=field_record_label_t:8216	/recordings/la-guerra-me-llevan-17	A La Guerra Me Llevan	A La Guerra Me Llevan	Martin Y Eloisa		Peerless	1705	78	Frontera Peerless AJAX row: title='A La Guerra Me Llevan', performer='Martin Y Eloisa', label='Peerless', catalog='1705', format='78', path='/recordings/la-guerra-me-llevan-17'	high	raw_extracted
SRC-0010	frontera_peerless_ajax_full_0001	0	8	SRC0001	Frontera Collection Drupal Views AJAX /songs?f[0]=field_record_label_t:8216	/recordings/la-guerra-me-llevan-18	A La Guerra Me Llevan	A La Guerra Me Llevan	Martin Y Eloisa		Peerless	1974	78	Frontera Peerless AJAX row: title='A La Guerra Me Llevan', performer='Martin Y Eloisa', label='Peerless', catalog='1974', format='78', path='/recordings/la-guerra-me-llevan-18'	high	raw_extracted
SRC-0010	frontera_peerless_ajax_full_0001	0	9	SRC0001	Frontera Collection Drupal Views AJAX /songs?f[0]=field_record_label_t:8216	/recordings/la-hora-del-rosario-1	A La Hora Del Rosario	A La Hora Del Rosario	Lola Beltrán	Zafra, Roberto	Peerless	7359	45	Frontera Peerless AJAX row: title='A La Hora Del Rosario', performer='Lola Beltrán', label='Peerless', catalog='7359', format='45', path='/recordings/la-hora-del-rosario-1'	high	raw_extracted
SRC-0010	frontera_peerless_ajax_full_0001	0	10	SRC0001	Frontera Collection Drupal Views AJAX /songs?f[0]=field_record_label_t:8216	/recordings/la-hora-del-rosario-2	A La Hora Del Rosario	A La Hora Del Rosario	Lola Beltrán	Zafra, Roberto	Peerless	7359	78	Frontera Peerless AJAX row: title='A La Hora Del Rosario', performer='Lola Beltrán', label='Peerless', catalog='7359', format='78', path='/recordings/la-hora-del-rosario-2'	high	raw_extracted
SRC-0010	frontera_peerless_ajax_full_0001	0	11	SRC0001	Frontera Collection Drupal Views AJAX /songs?f[0]=field_record_label_t:8216	/recordings/la-hora-del-rosario-3	A La Hora Del Rosario	A La Hora Del Rosario	Lola Beltrán	Zafra, R.	Peerless	LD-579	33	Frontera Peerless AJAX row: title='A La Hora Del Rosario', performer='Lola Beltrán', label='Peerless', catalog='LD-579', format='33', path='/recordings/la-hora-del-rosario-3'	high	raw_extracted
SRC-0010	frontera_peerless_ajax_full_0001	0	12	SRC0001	Frontera Collection Drupal Views AJAX /songs?f[0]=field_record_label_t:8216	/recordings/la-hora-del-rosario-4	A La Hora Del Rosario	A La Hora Del Rosario	Lola Beltrán	Zafra, Robeto	Peerless	LD-1103	33	Frontera Peerless AJAX row: title='A La Hora Del Rosario', performer='Lola Beltrán', label='Peerless', catalog='LD-1103', format='33', path='/recordings/la-hora-del-rosario-4'	high	raw_extracted
