recording_id	recording_title	recording_path	performer_name	label_name	catalog_number	format	source_id	source_reference	confidence	review_status
REC000003	!Ay! No No	/recordings/ay-no-no-0	Martin Y Malena	Peerless	3821	78	SRC0001	Frontera Collection Drupal Views AJAX /songs?f[0]=field_record_label_t:8216	high	raw_extracted
REC000004	15 De Septiembre	/recordings/15-de-septiembre-3	Pedro Infante	Peerless	3525	78	SRC0001	Frontera Collection Drupal Views AJAX /songs?f[0]=field_record_label_t:8216	high	raw_extracted
REC000005	A Callarse	/recordings/callarse	Raquel Domenech	Peerless	7108	45	SRC0001	Frontera Collection Drupal Views AJAX /songs?f[0]=field_record_label_t:8216	high	raw_extracted
REC000006	A Donde Iran	/recordings/donde-iran-1	Hermanos Zaizar	Peerless	LP-1980	33	SRC0001	Frontera Collection Drupal Views AJAX /songs?f[0]=field_record_label_t:8216	high	raw_extracted
REC000007	A Grito Abierto	/recordings/grito-abierto-23	Prieta Linda	Peerless	4532-B	78	SRC0001	Frontera Collection Drupal Views AJAX /songs?f[0]=field_record_label_t:8216	high	raw_extracted
REC000008	A Huarachazo Limpio	/recordings/huarachazo-limpio-1	Mariachi Mexico De Pepe Villa	Peerless	4709A	78	SRC0001	Frontera Collection Drupal Views AJAX /songs?f[0]=field_record_label_t:8216	high	raw_extracted
REC000009	A La Guerra Me Llevan	/recordings/la-guerra-me-llevan-17	Martin Y Eloisa	Peerless	1705	78	SRC0001	Frontera Collection Drupal Views AJAX /songs?f[0]=field_record_label_t:8216	high	raw_extracted
REC000010	A La Guerra Me Llevan	/recordings/la-guerra-me-llevan-18	Martin Y Eloisa	Peerless	1974	78	SRC0001	Frontera Collection Drupal Views AJAX /songs?f[0]=field_record_label_t:8216	high	raw_extracted
REC000011	A La Hora Del Rosario	/recordings/la-hora-del-rosario-1	Lola Beltrán	Peerless	7359	45	SRC0001	Frontera Collection Drupal Views AJAX /songs?f[0]=field_record_label_t:8216	high	raw_extracted
REC000012	A La Hora Del Rosario	/recordings/la-hora-del-rosario-2	Lola Beltrán	Peerless	7359	78	SRC0001	Frontera Collection Drupal Views AJAX /songs?f[0]=field_record_label_t:8216	high	raw_extracted
REC000013	A La Hora Del Rosario	/recordings/la-hora-del-rosario-3	Lola Beltrán	Peerless	LD-579	33	SRC0001	Frontera Collection Drupal Views AJAX /songs?f[0]=field_record_label_t:8216	high	raw_extracted
REC000014	A La Hora Del Rosario	/recordings/la-hora-del-rosario-4	Lola Beltrán	Peerless	LD-1103	33	SRC0001	Frontera Collection Drupal Views AJAX /songs?f[0]=field_record_label_t:8216	high	raw_extracted
REC000015	A La Luz De Los Cocuyos	/recordings/la-luz-de-los-cocuyos-2	Lola Beltrán	Peerless	LD-579	33	SRC0001	Frontera Collection Drupal Views AJAX /songs?f[0]=field_record_label_t:8216	high	raw_extracted
REC000016	A La Mala	/recordings/la-mala-11	Juanita Escoto	Peerless	2609	78	SRC0001	Frontera Collection Drupal Views AJAX /songs?f[0]=field_record_label_t:8216	high	raw_extracted
REC000017	A La Orilla De Un Palmar	/recordings/la-orilla-de-un-palmar-21	Trio Tariacuri	Peerless	LPL-299	33	SRC0001	Frontera Collection Drupal Views AJAX /songs?f[0]=field_record_label_t:8216	high	raw_extracted
REC000018	A La Orilla Del Mar	/recordings/la-orilla-del-mar-17	Pedro Infante	Peerless	5019	78	SRC0001	Frontera Collection Drupal Views AJAX /songs?f[0]=field_record_label_t:8216	high	raw_extracted
REC000019	A La Orilla Del Mar	/recordings/la-orilla-del-mar-22	Pedro Infante	Peerless	EPIB-1	33	SRC0001	Frontera Collection Drupal Views AJAX /songs?f[0]=field_record_label_t:8216	high	raw_extracted
REC000020	A La Orilla Del Mar	/recordings/la-orilla-del-mar-23	Pedro Infante	Peerless	M-1061	33	SRC0001	Frontera Collection Drupal Views AJAX /songs?f[0]=field_record_label_t:8216	high	raw_extracted
REC000021	A La Orilla Del Mar	/recordings/la-orilla-del-mar-24	Pedro Infante	Peerless	S-1600	33	SRC0001	Frontera Collection Drupal Views AJAX /songs?f[0]=field_record_label_t:8216	high	raw_extracted
