recording_id	label_id	relationship_type	source_id	confidence	review_status
REC000003	LBL000002	recording_label	SRC0001	high	raw_extracted
REC000004	LBL000002	recording_label	SRC0001	high	raw_extracted
REC000005	LBL000002	recording_label	SRC0001	high	raw_extracted
REC000006	LBL000002	recording_label	SRC0001	high	raw_extracted
REC000007	LBL000002	recording_label	SRC0001	high	raw_extracted
REC000008	LBL000002	recording_label	SRC0001	high	raw_extracted
REC000009	LBL000002	recording_label	SRC0001	high	raw_extracted
REC000010	LBL000002	recording_label	SRC0001	high	raw_extracted
REC000011	LBL000002	recording_label	SRC0001	high	raw_extracted
REC000012	LBL000002	recording_label	SRC0001	high	raw_extracted
REC000013	LBL000002	recording_label	SRC0001	high	raw_extracted
REC000014	LBL000002	recording_label	SRC0001	high	raw_extracted
REC000015	LBL000002	recording_label	SRC0001	high	raw_extracted
REC000016	LBL000002	recording_label	SRC0001	high	raw_extracted
REC000017	LBL000002	recording_label	SRC0001	high	raw_extracted
REC000018	LBL000002	recording_label	SRC0001	high	raw_extracted
REC000019	LBL000002	recording_label	SRC0001	high	raw_extracted
REC000020	LBL000002	recording_label	SRC0001	high	raw_extracted
REC000021	LBL000002	recording_label	SRC0001	high	raw_extracted
REC000022	LBL000002	recording_label	SRC0001	high	raw_extracted
REC000023	LBL000002	recording_label	SRC0001	high	raw_extracted
REC000024	LBL000002	recording_label	SRC0001	high	raw_extracted
REC000025	LBL000002	recording_label	SRC0001	high	raw_extracted
REC000026	LBL000002	recording_label	SRC0001	high	raw_extracted
REC000027	LBL000002	recording_label	SRC0001	high	raw_extracted
REC000028	LBL000002	recording_label	SRC0001	high	raw_extracted
REC000029	LBL000002	recording_label	SRC0001	high	raw_extracted
REC000030	LBL000002	recording_label	SRC0001	high	raw_extracted
REC000031	LBL000002	recording_label	SRC0001	high	raw_extracted
REC000032	LBL000002	recording_label	SRC0001	high	raw_extracted
REC000033	LBL000002	recording_label	SRC0001	high	raw_extracted
REC000034	LBL000002	recording_label	SRC0001	high	raw_extracted
REC000035	LBL000002	recording_label	SRC0001	high	raw_extracted
