candidate_entity_name	candidate_entity_type
A. De Montenegro	unknown
Abel Domínguez	unknown
Acerina y su Danzonera	unknown
Adelita	unknown
Adrian Gallardo	unknown
Agueda Curiel	unknown
Agustín Lara	unknown
Alarcon Leal Y La Tamaulipeca	unknown
Alberto Dominguez	unknown
Alberto Suarez	unknown
Alegres De Terán Y Marcelo Y Aurelia	unknown
Alejandro De Montenegro	unknown
Alejandro Martinez	unknown
Alejandro Montenegro	unknown
Alex Sosa	unknown
Alfonso Bruschetta	unknown
Alfonso Ortiz Tirado	unknown
Alicia Maria	unknown
Amalia Macias	unknown
Amparo Montes	unknown
Ana María	unknown
Andrés Huesca	unknown
Angel Infante	unknown
Angel Montañez	unknown
Angelina Y Tono	unknown
Anselmo Alvarado	unknown
Antar Daly	unknown
Antinoco Garibay	unknown
Antonio Badu	unknown
Antonio Tanguma	unknown
Armando Blancarte	unknown
Banda De El Limon, Sinaloa	banda
Banda De Galeana Michoacan De Bonifacio Contreras	banda
Banda De Galeana, Michoacan	banda
Banda De Policía De Mexico	banda
Banda El Recodo De Cruz Lizárraga	banda
Banda Los Tamazulas	banda
Banda Los Tamazulas De Culiacan	banda
Banda Mochis De Porfirio Amarillas	banda
Banda Regional Sinaloense	banda
Banda Regional Sinaloense De Cruz Lizárraga	banda
Banda Regional Sinaloense Los Escamillas De Carlos Peña	banda
Banda Sinaloense De Mazatlan	banda
Banda Sinaloense Los Rubio De Mocorito	banda
Banda Tamazulas	banda
Beatriz Adriana	unknown
Beatriz Adriana Y Pedro Infante	unknown
Beatriz Eugenia	unknown
Beatriz Eugenia y Luis Lozano	unknown
Bertha Y Juan	unknown
Blas Salazar	unknown
Bob & Tony	unknown
Bulmaro Paleo	unknown
Carlos Alas Del Casino	unknown
Carlos Madrigal	unknown
Carlos Madrigal - Emilio Galvez	unknown
Carlos Spaventa	unknown
Carlos Valadez	unknown
Carlos Y Gela	unknown
Carmela	unknown
Carmen Cardenal	unknown
Carmen Del Real	unknown
Chabela Durán	unknown
Chagua González	unknown
Charro Gil	unknown
Chelo Silva	unknown
Chucho Monge	unknown
Chuy Luviano	unknown
Cirila Y Celedonio	unknown
Conchita Del Mar	unknown
Conjunto Africa	conjunto
Conjunto Armonico De Juan G. Esquivel	conjunto
Conjunto De Arpa Grande De Timoteo Mireles	conjunto
Conjunto De Cuerdas Y Arpa Grande De Antioco Garibay	conjunto
Conjunto De Cuerdas Y Arpa Grande De Antioco Garibay Y Leandro Corona	conjunto
Conjunto De Raúl Macías	conjunto
Conjunto Del Maestro Heliodoro Oseguera	conjunto
Conjunto Hermanos Fuentes	conjunto
Conjunto Los Abuelitos	conjunto
Conjunto Los Norteñitos De Atilano Aguilar	conjunto
Conjunto Medellin	conjunto
Conjunto Medellin De Lino Chávez	conjunto
Conjunto Peerless	conjunto
Conjunto San Benito Alegre	conjunto
Conjunto Tlalixcoyan	conjunto
Conjunto Veracruzano De Chucho G. Machuca	conjunto
Conjunto Veracruzano Villa Del Mar De Angel Valencia	conjunto
Cuarteto Armonico	unknown
Cuarteto Armonico - Hermanas Cora	unknown
Cuarteto Metropolitano De Felipe Bermejo	unknown
Cuarteto Orizaba	unknown
Cuarteto Ruffino	unknown
Cuates Castilla Y Ana Morena	unknown
Cuco Sanchez	unknown
Cuco Y Lupe	unknown
