group_id	canonical_group_name	group_type	source_id	confidence	review_status
GRP0007	Banda De El Limon, Sinaloa	banda	SRC0001	high	raw_extracted
GRP0008	Banda De Galeana Michoacan De Bonifacio Contreras	banda	SRC0001	high	raw_extracted
GRP0009	Banda De Galeana, Michoacan	banda	SRC0001	high	raw_extracted
GRP0010	Banda De Policía De Mexico	banda	SRC0001	high	raw_extracted
GRP0011	Banda El Recodo De Cruz Lizárraga	banda	SRC0001	high	raw_extracted
GRP0012	Banda Los Tamazulas	banda	SRC0001	high	raw_extracted
GRP0013	Banda Los Tamazulas De Culiacan	banda	SRC0001	high	raw_extracted
GRP0014	Banda Mochis De Porfirio Amarillas	banda	SRC0001	high	raw_extracted
GRP0015	Banda Regional Sinaloense	banda	SRC0001	high	raw_extracted
GRP0016	Banda Regional Sinaloense De Cruz Lizárraga	banda	SRC0001	high	raw_extracted
GRP0017	Banda Regional Sinaloense Los Escamillas De Carlos Peña	banda	SRC0001	high	raw_extracted
GRP0018	Banda Sinaloense De Mazatlan	banda	SRC0001	high	raw_extracted
GRP0019	Banda Sinaloense Los Rubio De Mocorito	banda	SRC0001	high	raw_extracted
GRP0020	Banda Tamazulas	banda	SRC0001	high	raw_extracted
GRP0021	Conjunto Africa	conjunto	SRC0001	high	raw_extracted
GRP0022	Conjunto Armonico De Juan G. Esquivel	conjunto	SRC0001	high	raw_extracted
GRP0023	Conjunto De Arpa Grande De Timoteo Mireles	conjunto	SRC0001	high	raw_extracted
GRP0024	Conjunto De Raúl Macías	conjunto	SRC0001	high	raw_extracted
GRP0025	Conjunto Del Maestro Heliodoro Oseguera	conjunto	SRC0001	high	raw_extracted
GRP0026	Conjunto Hermanos Fuentes	conjunto	SRC0001	high	raw_extracted
GRP0027	Conjunto Los Abuelitos	conjunto	SRC0001	high	raw_extracted
GRP0028	Conjunto Los Norteñitos De Atilano Aguilar	conjunto	SRC0001	high	raw_extracted
GRP0029	Conjunto Medellin	conjunto	SRC0001	high	raw_extracted
GRP0030	Conjunto Medellin De Lino Chávez	conjunto	SRC0001	high	raw_extracted
GRP0031	Conjunto Peerless	conjunto	SRC0001	high	raw_extracted
GRP0032	Conjunto San Benito Alegre	conjunto	SRC0001	high	raw_extracted
GRP0033	Conjunto Tlalixcoyan	conjunto	SRC0001	high	raw_extracted
GRP0034	Conjunto Veracruzano De Chucho G. Machuca	conjunto	SRC0001	high	raw_extracted
GRP0035	Conjunto Veracruzano Villa Del Mar De Angel Valencia	conjunto	SRC0001	high	raw_extracted
GRP0036	Dueto Alma Criolla	duo	SRC0001	high	raw_extracted
GRP0037	Dueto Alvarado	duo	SRC0001	high	raw_extracted
GRP0038	Dueto Azteca	duo	SRC0001	high	raw_extracted
GRP0039	Dueto Barcelata - Cortazar	duo	SRC0001	high	raw_extracted
GRP0040	Dueto Beltran	duo	SRC0001	high	raw_extracted
GRP0041	Dueto De La Laguna	duo	SRC0001	high	raw_extracted
GRP0042	Dueto Hermanos Estrella	duo	SRC0001	high	raw_extracted
GRP0043	Dueto Hermanos Huesca	duo	SRC0001	high	raw_extracted
GRP0044	Dueto Las Guerrilleras De La Frontera	duo	SRC0001	high	raw_extracted
GRP0045	Dueto Los Chamacones	duo	SRC0001	high	raw_extracted
GRP0046	Dueto Los Lechugueros	duo	SRC0001	high	raw_extracted
GRP0047	Dueto Los Sultanes	duo	SRC0001	high	raw_extracted
GRP0048	Dueto Los Valedores	duo	SRC0001	high	raw_extracted
GRP0049	Dueto Martinez - Gil	duo	SRC0001	high	raw_extracted
GRP0050	Dueto Miguel Aceves - Chelo Flores	duo	SRC0001	high	raw_extracted
GRP0051	Dueto Monterrey	duo	SRC0001	high	raw_extracted
GRP0052	Dueto Regiomontano	duo	SRC0001	high	raw_extracted
GRP0053	Dueto Romantico	duo	SRC0001	high	raw_extracted
GRP0054	Dueto Rubio	duo	SRC0001	high	raw_extracted
GRP0055	Dueto San Martin	duo	SRC0001	high	raw_extracted
GRP0056	Dueto San Miguel	duo	SRC0001	high	raw_extracted
GRP0057	Dueto Sanchez - Becerra	duo	SRC0001	high	raw_extracted
GRP0058	Dueto Sensacion	duo	SRC0001	high	raw_extracted
GRP0059	Dueto Sorpresa	duo	SRC0001	high	raw_extracted
GRP0060	Dueto Sánchez Galvez	duo	SRC0001	high	raw_extracted
GRP0061	Las Alteñas	group	SRC0001	high	raw_extracted
GRP0062	Las Calandrias	group	SRC0001	high	raw_extracted
GRP0063	Las Cancioneras Del Panuco	group	SRC0001	high	raw_extracted
GRP0064	Las Carrancistas	group	SRC0001	high	raw_extracted
GRP0065	Las Dos Rosas	group	SRC0001	high	raw_extracted
GRP0066	Las Estrellitas	group	SRC0001	high	raw_extracted
GRP0067	Las Golondrinas	group	SRC0001	high	raw_extracted
GRP0068	Las Guerrilleras	group	SRC0001	high	raw_extracted
GRP0069	Las Hermanas Aguila	group	SRC0001	high	raw_extracted
GRP0070	Las Hermanas Pulido	group	SRC0001	high	raw_extracted
GRP0071	Las Norteñitas	group	SRC0001	high	raw_extracted
GRP0072	Las Perlitas	group	SRC0001	high	raw_extracted
GRP0073	Las Potranquitas Del Norte	group	SRC0001	high	raw_extracted
GRP0074	Las Preferidas	group	SRC0001	high	raw_extracted
GRP0075	Las Virrey	group	SRC0001	high	raw_extracted
GRP0076	Los Abuelitos	group	SRC0001	high	raw_extracted
GRP0077	Los Alegres De Sabinas	group	SRC0001	high	raw_extracted
GRP0078	Los Alegres Laguneros	group	SRC0001	high	raw_extracted
GRP0079	Los Alegres de Terán	group	SRC0001	high	raw_extracted
GRP0080	Los Apson	group	SRC0001	high	raw_extracted
GRP0081	Los Broncos De Reynosa	group	SRC0001	high	raw_extracted
GRP0082	Los Cancioneros Del Bajío	group	SRC0001	high	raw_extracted
GRP0083	Los Cardenales	group	SRC0001	high	raw_extracted
GRP0084	Los Charangos	group	SRC0001	high	raw_extracted
GRP0085	Los Charros De Ameca	group	SRC0001	high	raw_extracted
GRP0086	Los Charros De Ameca De Roman Palomar	group	SRC0001	high	raw_extracted
GRP0087	Los Cinco Del Norte	group	SRC0001	high	raw_extracted
GRP0088	Los Corraleros De Majagual	group	SRC0001	high	raw_extracted
GRP0089	Los Criollos	group	SRC0001	high	raw_extracted
GRP0090	Los Dorados De Terán	group	SRC0001	high	raw_extracted
GRP0091	Los Dos	group	SRC0001	high	raw_extracted
GRP0092	Los Dos Luceritos	group	SRC0001	high	raw_extracted
GRP0093	Los Dos Palomos	group	SRC0001	high	raw_extracted
GRP0094	Los Duendes	group	SRC0001	high	raw_extracted
GRP0095	Los Elegantes	group	SRC0001	high	raw_extracted
GRP0096	Los Errantes	group	SRC0001	high	raw_extracted
GRP0097	Los Escamilla	group	SRC0001	high	raw_extracted
GRP0098	Los Galleros	group	SRC0001	high	raw_extracted
GRP0099	Los Gallos De Oro	group	SRC0001	high	raw_extracted
GRP0100	Los Halcones Del Norte	group	SRC0001	high	raw_extracted
GRP0101	Los Hermanos Bañuelos	group	SRC0001	high	raw_extracted
GRP0102	Los Jilgueros De La Loma	group	SRC0001	high	raw_extracted
GRP0103	Los Johnny Jets	group	SRC0001	high	raw_extracted
GRP0104	Los Lechugueros	group	SRC0001	high	raw_extracted
GRP0105	Los Llopis	group	SRC0001	high	raw_extracted
GRP0106	Los Lobos Del Norte	group	SRC0001	high	raw_extracted
GRP0107	Los Madrugadores Del Valle	group	SRC0001	high	raw_extracted
GRP0108	Los Margaritos	group	SRC0001	high	raw_extracted
GRP0109	Los Modernistas De Morelos	group	SRC0001	high	raw_extracted
GRP0110	Los Oros	group	SRC0001	high	raw_extracted
GRP0111	Los Pajarillos Del Norte	group	SRC0001	high	raw_extracted
GRP0112	Los Pajaritos Del Norte	group	SRC0001	high	raw_extracted
GRP0113	Los Palillos	group	SRC0001	high	raw_extracted
GRP0114	Los Panterones De Torreon	group	SRC0001	high	raw_extracted
GRP0115	Los Plateados De Nicandro Castillo	group	SRC0001	high	raw_extracted
GRP0116	Los Potros	group	SRC0001	high	raw_extracted
GRP0117	Los Quijotes	group	SRC0001	high	raw_extracted
GRP0118	Los Rancheritos Del Norte	group	SRC0001	high	raw_extracted
GRP0119	Los Rayos De Chuy Luviano	group	SRC0001	high	raw_extracted
GRP0120	Los Reno	group	SRC0001	high	raw_extracted
GRP0121	Los Sembradores Del Naranjo	group	SRC0001	high	raw_extracted
GRP0122	Los Seven Days	group	SRC0001	high	raw_extracted
GRP0123	Los Sicodelicos Del Norte	group	SRC0001	high	raw_extracted
GRP0124	Los Soberanos	group	SRC0001	high	raw_extracted
GRP0125	Los Solitarios	group	SRC0001	high	raw_extracted
GRP0126	Los Tecolines	group	SRC0001	high	raw_extracted
GRP0127	Los Tecolinos	group	SRC0001	high	raw_extracted
GRP0128	Los Teporingos	group	SRC0001	high	raw_extracted
GRP0129	Los Tequileros De Cesar Suedan	group	SRC0001	high	raw_extracted
GRP0130	Los Tres Vaqueros	group	SRC0001	high	raw_extracted
GRP0131	Los Trincas	group	SRC0001	high	raw_extracted
GRP0132	Los Trincos	group	SRC0001	high	raw_extracted
GRP0133	Los Triunfadores Del Norte	group	SRC0001	high	raw_extracted
GRP0134	Los Trovadores Del Palenque	group	SRC0001	high	raw_extracted
GRP0135	Los Trovadores Del Viejo Elpidio	group	SRC0001	high	raw_extracted
GRP0136	Los Trovadores Huastecos	group	SRC0001	high	raw_extracted
GRP0137	Los Trovadores Huastecos Del Viejo Elpidio	group	SRC0001	high	raw_extracted
GRP0138	Los Trovadores Plateados	group	SRC0001	high	raw_extracted
GRP0139	Los Trovadores Tropicales	group	SRC0001	high	raw_extracted
GRP0140	Los Trovadors Plateados	group	SRC0001	high	raw_extracted
GRP0141	Los Vagabundos Del Norte	group	SRC0001	high	raw_extracted
GRP0142	Los Xochimilcas	group	SRC0001	high	raw_extracted
GRP0143	Los Yumbos	group	SRC0001	high	raw_extracted
GRP0144	Mariachi Colimense	mariachi	SRC0001	high	raw_extracted
GRP0145	Mariachi De Alfredo Serna	mariachi	SRC0001	high	raw_extracted
GRP0146	Mariachi De Juan Güitrón	mariachi	SRC0001	high	raw_extracted
GRP0147	Mariachi De Roman Palomar	mariachi	SRC0001	high	raw_extracted
GRP0148	Mariachi Estrella	mariachi	SRC0001	high	raw_extracted
GRP0149	Mariachi Estrella De Boni Collazo	mariachi	SRC0001	high	raw_extracted
GRP0150	Mariachi Estrella De Bony Collazo	mariachi	SRC0001	high	raw_extracted
GRP0151	Mariachi Guadalajara	mariachi	SRC0001	high	raw_extracted
GRP0152	Mariachi Guadalajara De Silvestre Vargas	mariachi	SRC0001	high	raw_extracted
GRP0153	Mariachi Guadalaraja De Silvestre Vargas	mariachi	SRC0001	high	raw_extracted
GRP0154	Mariachi Güitrón	mariachi	SRC0001	high	raw_extracted
GRP0155	Mariachi Jalisco De Pepe Villa	mariachi	SRC0001	high	raw_extracted
