recording_id	performer_id	role	source_id	confidence	review_status
REC000004	PER000225	credited_performer	SRC0001	high	raw_extracted
REC000005	PER000236	credited_performer	SRC0001	high	raw_extracted
REC000006	PER000107	credited_performer	SRC0001	high	raw_extracted
REC000007	PER000231	credited_performer	SRC0001	high	raw_extracted
REC000011	PER000149	credited_performer	SRC0001	high	raw_extracted
REC000012	PER000149	credited_performer	SRC0001	high	raw_extracted
REC000013	PER000149	credited_performer	SRC0001	high	raw_extracted
REC000014	PER000149	credited_performer	SRC0001	high	raw_extracted
REC000015	PER000149	credited_performer	SRC0001	high	raw_extracted
REC000016	PER000130	credited_performer	SRC0001	high	raw_extracted
REC000018	PER000225	credited_performer	SRC0001	high	raw_extracted
REC000019	PER000225	credited_performer	SRC0001	high	raw_extracted
REC000020	PER000225	credited_performer	SRC0001	high	raw_extracted
REC000021	PER000225	credited_performer	SRC0001	high	raw_extracted
REC000022	PER000225	credited_performer	SRC0001	high	raw_extracted
REC000023	PER000225	credited_performer	SRC0001	high	raw_extracted
REC000024	PER000225	credited_performer	SRC0001	high	raw_extracted
REC000026	PER000225	credited_performer	SRC0001	high	raw_extracted
REC000027	PER000149	credited_performer	SRC0001	high	raw_extracted
REC000028	PER000225	credited_performer	SRC0001	high	raw_extracted
REC000032	PER000052	credited_performer	SRC0001	high	raw_extracted
REC000034	PER000094	credited_performer	SRC0001	high	raw_extracted
REC000035	PER000110	credited_performer	SRC0001	high	raw_extracted
REC000037	PER000149	credited_performer	SRC0001	high	raw_extracted
REC000038	PER000031	credited_performer	SRC0001	high	raw_extracted
REC000039	PER000149	credited_performer	SRC0001	high	raw_extracted
REC000040	PER000031	credited_performer	SRC0001	high	raw_extracted
REC000041	PER000131	credited_performer	SRC0001	high	raw_extracted
REC000042	PER000107	credited_performer	SRC0001	high	raw_extracted
REC000043	PER000149	credited_performer	SRC0001	high	raw_extracted
REC000044	PER000149	credited_performer	SRC0001	high	raw_extracted
REC000045	PER000249	credited_performer	SRC0001	high	raw_extracted
REC000047	PER000127	credited_performer	SRC0001	high	raw_extracted
REC000048	PER000265	credited_performer	SRC0001	high	raw_extracted
REC000049	PER000205	credited_performer	SRC0001	high	raw_extracted
REC000050	PER000131	credited_performer	SRC0001	high	raw_extracted
