song_id	performer_id	relationship_type	source_id	confidence	review_status
SONG000004	PER000225	derived_from_recording	SRC0003	high	approved
SONG000005	PER000236	derived_from_recording	SRC0003	high	approved
SONG000006	PER000107	derived_from_recording	SRC0003	high	approved
SONG000007	PER000231	derived_from_recording	SRC0003	high	approved
SONG000010	PER000149	derived_from_recording	SRC0003	high	approved
SONG000011	PER000149	derived_from_recording	SRC0003	high	approved
SONG000012	PER000130	derived_from_recording	SRC0003	high	approved
SONG000014	PER000225	derived_from_recording	SRC0003	high	approved
SONG000015	PER000225	derived_from_recording	SRC0003	high	approved
SONG000016	PER000149	derived_from_recording	SRC0003	high	approved
SONG000016	PER000225	derived_from_recording	SRC0003	high	approved
SONG000019	PER000052	derived_from_recording	SRC0003	high	approved
SONG000021	PER000094	derived_from_recording	SRC0003	high	approved
SONG000022	PER000110	derived_from_recording	SRC0003	high	approved
SONG000024	PER000031	derived_from_recording	SRC0003	high	approved
SONG000024	PER000149	derived_from_recording	SRC0003	high	approved
SONG000025	PER000131	derived_from_recording	SRC0003	high	approved
SONG000026	PER000107	derived_from_recording	SRC0003	high	approved
SONG000027	PER000149	derived_from_recording	SRC0003	high	approved
SONG000028	PER000249	derived_from_recording	SRC0003	high	approved
SONG000030	PER000127	derived_from_recording	SRC0003	high	approved
SONG000031	PER000265	derived_from_recording	SRC0003	high	approved
SONG000032	PER000205	derived_from_recording	SRC0003	high	approved
SONG000033	PER000131	derived_from_recording	SRC0003	high	approved
SONG000034	PER000107	derived_from_recording	SRC0003	high	approved
SONG000035	PER000174	derived_from_recording	SRC0003	high	approved
SONG000035	PER000225	derived_from_recording	SRC0003	high	approved
SONG000036	PER000052	derived_from_recording	SRC0003	high	approved
SONG000037	PER000127	derived_from_recording	SRC0003	high	approved
SONG000038	PER000164	derived_from_recording	SRC0003	high	approved
SONG000039	PER000261	derived_from_recording	SRC0003	high	approved
SONG000040	PER000139	derived_from_recording	SRC0003	high	approved
SONG000041	PER000225	derived_from_recording	SRC0003	high	approved
SONG000042	PER000238	derived_from_recording	SRC0003	high	approved
SONG000043	PER000149	derived_from_recording	SRC0003	high	approved
SONG000045	PER000178	derived_from_recording	SRC0003	high	approved
SONG000046	PER000249	derived_from_recording	SRC0003	high	approved
SONG000047	PER000031	derived_from_recording	SRC0003	high	approved
SONG000049	PER000205	derived_from_recording	SRC0003	high	approved
SONG000050	PER000052	derived_from_recording	SRC0003	high	approved
SONG000052	PER000127	derived_from_recording	SRC0003	high	approved
SONG000054	PER000249	derived_from_recording	SRC0003	high	approved
SONG000054	PER000250	derived_from_recording	SRC0003	high	approved
SONG000054	PER000274	derived_from_recording	SRC0003	high	approved
SONG000055	PER000094	derived_from_recording	SRC0003	high	approved
SONG000056	PER000052	derived_from_recording	SRC0003	high	approved
SONG000057	PER000052	derived_from_recording	SRC0003	high	approved
SONG000058	PER000176	derived_from_recording	SRC0003	high	approved
