recording_id	canonical_recording_title	canonical_song_id	label_id	source_id	recording_year	country	language	gap
REC000003	!Ay! No No	SONG000003	LBL000003	SRC0001				artist
REC000009	A La Guerra Me Llevan	SONG000009	LBL000003	SRC0001				artist
REC000010	A La Guerra Me Llevan	SONG000009	LBL000003	SRC0001				artist
REC000025	A Los Cuatro Vientos	SONG000016	LBL000003	SRC0001				artist
REC000046	A Rebozasos	SONG000029	LBL000003	SRC0001				artist
REC000066	Aca Nomas	SONG000044	LBL000003	SRC0001				artist
REC000074	Adelaida	SONG000051	LBL000003	SRC0001				artist
REC000076	Adelita	SONG000053	LBL000003	SRC0001				artist
REC000079	Adios	SONG000054	LBL000003	SRC0001				artist
REC000092	Adios Mi Chaparrita	SONG000062	LBL000003	SRC0001				artist
REC000098	Adios Mujer	SONG000066	LBL000003	SRC0001				artist
REC000110	Adrede	SONG000077	LBL000003	SRC0001				artist
REC000124	Ahora No Eres Mia	SONG000090	LBL000003	SRC0001				artist
REC000143	Al Patriotico 201	SONG000106	LBL000003	SRC0001				artist
REC000151	Al Ver	SONG000113	LBL000003	SRC0001				artist
REC000165	Algo Se Me Va	SONG000124	LBL000003	SRC0001				artist
REC000175	Alma Angelina	SONG000133	LBL000003	SRC0001				artist
REC000182	Alma De Mi Grandota	SONG000136	LBL000003	SRC0001				artist
REC000186	Alma Llanera	SONG000140	LBL000003	SRC0001				artist
REC000188	Alma Mia De Mi Grandota	SONG000141	LBL000003	SRC0001				artist
REC000206	Amapolita	SONG000156	LBL000003	SRC0001				artist
REC000209	Amargado De La Vida	SONG000159	LBL000003	SRC0001				artist
REC000215	Ambicion De Gloria	SONG000162	LBL000003	SRC0001				artist
REC000224	Amigo Pulque	SONG000169	LBL000003	SRC0001				artist
REC000238	Amor Con Amor Se Paga	SONG000183	LBL000003	SRC0001				artist
REC000253	Amor Del Alma	SONG000194	LBL000003	SRC0001				artist
REC000266	Amor Malvado	SONG000203	LBL000003	SRC0001				artist
REC000303	Amoroso	SONG000226	LBL000003	SRC0001				artist
REC000349	Apasionado	SONG000260	LBL000003	SRC0001				artist
REC000364	Arandas	SONG000274	LBL000003	SRC0001				artist
REC000368	Armisticio Coreano	SONG000277	LBL000003	SRC0001				artist
REC000377	Arreboles	SONG000285	LBL000003	SRC0001				artist
REC000386	Arrieros Somos	SONG000293	LBL000003	SRC0001				artist
REC000393	Asi	SONG000299	LBL000003	SRC0001				artist
REC000395	Asi Asi	SONG000300	LBL000003	SRC0001				artist
