category	value	count
source_id	SRC0001	552
label_id	LBL000003	552
song_id	SONG003377	3
song_id	SONG000009	2
song_id	SONG000467	2
song_id	SONG000493	2
song_id	SONG000714	2
song_id	SONG000725	2
song_id	SONG000817	2
song_id	SONG000992	2
song_id	SONG001079	2
song_id	SONG001143	2
song_id	SONG001825	2
song_id	SONG001958	2
song_id	SONG001977	2
song_id	SONG002057	2
song_id	SONG003742	2
song_id	SONG003790	2
song_id	SONG003849	2
song_id	SONG004127	2
song_id	SONG000003	1
song_id	SONG000016	1
song_id	SONG000029	1
song_id	SONG000044	1
song_id	SONG000051	1
song_id	SONG000053	1
song_id	SONG000054	1
song_id	SONG000062	1
song_id	SONG000066	1
song_id	SONG000077	1
song_id	SONG000090	1
song_id	SONG000106	1
song_id	SONG000113	1
song_id	SONG000124	1
song_id	SONG000133	1
song_id	SONG000136	1
song_id	SONG000140	1
song_id	SONG000141	1
song_id	SONG000156	1
song_id	SONG000159	1
song_id	SONG000162	1
song_id	SONG000169	1
song_id	SONG000183	1
song_id	SONG000194	1
song_id	SONG000203	1
song_id	SONG000226	1
song_id	SONG000260	1
song_id	SONG000274	1
song_id	SONG000277	1
song_id	SONG000285	1
song_id	SONG000293	1
song_id	SONG000299	1
