recording_id	recording_title	performer_name	label_name	catalog_number	source_id	source_reference	confidence	review_status
REC000003	!Ay! No No	Martin Y Malena	Peerless	3821	SRC0001	Frontera Collection Drupal Views AJAX /songs?f[0]=field_record_label_t:8216	high	raw_extracted
REC000009	A La Guerra Me Llevan	Martin Y Eloisa	Peerless	1705	SRC0001	Frontera Collection Drupal Views AJAX /songs?f[0]=field_record_label_t:8216	high	raw_extracted
REC000010	A La Guerra Me Llevan	Martin Y Eloisa	Peerless	1974	SRC0001	Frontera Collection Drupal Views AJAX /songs?f[0]=field_record_label_t:8216	high	raw_extracted
REC000025	A Los Cuatro Vientos	Lola Beltran Y Trio Hnos. Michel	Peerless	4602A	SRC0001	Frontera Collection Drupal Views AJAX /songs?f[0]=field_record_label_t:8216	high	raw_extracted
REC000046	A Rebozasos	Erendira Y Rene	Peerless	4809B	SRC0001	Frontera Collection Drupal Views AJAX /songs?f[0]=field_record_label_t:8216	high	raw_extracted
REC000066	Aca Nomas	Martin Y Malena	Peerless	2047	SRC0001	Frontera Collection Drupal Views AJAX /songs?f[0]=field_record_label_t:8216	high	raw_extracted
REC000074	Adelaida	Pepe Y Lulu	Peerless	4334-A	SRC0001	Frontera Collection Drupal Views AJAX /songs?f[0]=field_record_label_t:8216	high	raw_extracted
REC000076	Adelita	Martin Y Eloisa	Peerless	1926	SRC0001	Frontera Collection Drupal Views AJAX /songs?f[0]=field_record_label_t:8216	high	raw_extracted
REC000079	Adios	Orquesta De Juan Garcia Medeles	Peerless	3038	SRC0001	Frontera Collection Drupal Views AJAX /songs?f[0]=field_record_label_t:8216	high	raw_extracted
REC000098	Adios Mujer	Martin Y Malena	Peerless	2322	SRC0001	Frontera Collection Drupal Views AJAX /songs?f[0]=field_record_label_t:8216	high	raw_extracted
REC000110	Adrede	Dueto Aguila Y Sol	Peerless	8057-A	SRC0001	Frontera Collection Drupal Views AJAX /songs?f[0]=field_record_label_t:8216	high	raw_extracted
REC000124	Ahora No Eres Mia	Orquesta Cha, Cha, Cha Continental	Peerless	4680A	SRC0001	Frontera Collection Drupal Views AJAX /songs?f[0]=field_record_label_t:8216	high	raw_extracted
REC000143	Al Patriotico 201	Martin Y Malena	Peerless	2154	SRC0001	Frontera Collection Drupal Views AJAX /songs?f[0]=field_record_label_t:8216	high	raw_extracted
REC000151	Al Ver	Carlos Y Gela	Peerless	7944-A	SRC0001	Frontera Collection Drupal Views AJAX /songs?f[0]=field_record_label_t:8216	high	raw_extracted
REC000165	Algo Se Me Va	Mariachi Blanco Y Negro	Peerless	lp-1878	SRC0001	Frontera Collection Drupal Views AJAX /songs?f[0]=field_record_label_t:8216	high	raw_extracted
REC000175	Alma Angelina	Dueto Aguila Y Sol	Peerless	8184-B	SRC0001	Frontera Collection Drupal Views AJAX /songs?f[0]=field_record_label_t:8216	high	raw_extracted
REC000182	Alma De Mi Grandota	Dueto Aguila Y Sol	Peerless	8062-B	SRC0001	Frontera Collection Drupal Views AJAX /songs?f[0]=field_record_label_t:8216	high	raw_extracted
REC000186	Alma Llanera	Orquesta De Juan S. Garrido	Peerless	2306	SRC0001	Frontera Collection Drupal Views AJAX /songs?f[0]=field_record_label_t:8216	high	raw_extracted
REC000188	Alma Mia De Mi Grandota	Angelina Y Tono	Peerless	2237	SRC0001	Frontera Collection Drupal Views AJAX /songs?f[0]=field_record_label_t:8216	high	raw_extracted
REC000206	Amapolita	Laurita y Ray	Peerless	2568	SRC0001	Frontera Collection Drupal Views AJAX /songs?f[0]=field_record_label_t:8216	high	raw_extracted
REC000209	Amargado De La Vida	Martin Y Malena	Peerless	2825	SRC0001	Frontera Collection Drupal Views AJAX /songs?f[0]=field_record_label_t:8216	high	raw_extracted
REC000215	Ambicion De Gloria	Martin Y Malena	Peerless	2114	SRC0001	Frontera Collection Drupal Views AJAX /songs?f[0]=field_record_label_t:8216	high	raw_extracted
REC000224	Amigo Pulque	Laurita y Ray	Peerless	2553	SRC0001	Frontera Collection Drupal Views AJAX /songs?f[0]=field_record_label_t:8216	high	raw_extracted
REC000238	Amor Con Amor Se Paga	Martin Y Malena	Peerless	1928	SRC0001	Frontera Collection Drupal Views AJAX /songs?f[0]=field_record_label_t:8216	high	raw_extracted
REC000253	Amor Del Alma	Victor Cordero Y Martita	Peerless	3173	SRC0001	Frontera Collection Drupal Views AJAX /songs?f[0]=field_record_label_t:8216	high	raw_extracted
REC000266	Amor Malvado	Martin Y Malena	Peerless	2581	SRC0001	Frontera Collection Drupal Views AJAX /songs?f[0]=field_record_label_t:8216	high	raw_extracted
REC000303	Amoroso	Orquesta De Ramon Marquez	Peerless	4047	SRC0001	Frontera Collection Drupal Views AJAX /songs?f[0]=field_record_label_t:8216	high	raw_extracted
REC000349	Apasionado	Orquesta De Ramon Marquez	Peerless	4030	SRC0001	Frontera Collection Drupal Views AJAX /songs?f[0]=field_record_label_t:8216	high	raw_extracted
