candidate_performer_name	candidate_type	source_id	confidence	review_status
Martin Y Malena	recovered_from_frontera	SRC0001	high	recovered_candidate
Martin Y Eloisa	recovered_from_frontera	SRC0001	high	recovered_candidate
Lola Beltran Y Trio Hnos. Michel	recovered_from_frontera	SRC0001	high	recovered_candidate
Erendira Y Rene	recovered_from_frontera	SRC0001	high	recovered_candidate
Pepe Y Lulu	recovered_from_frontera	SRC0001	high	recovered_candidate
Orquesta De Juan Garcia Medeles	recovered_from_frontera	SRC0001	high	recovered_candidate
Dueto Aguila Y Sol	recovered_from_frontera	SRC0001	high	recovered_candidate
Orquesta Cha, Cha, Cha Continental	recovered_from_frontera	SRC0001	high	recovered_candidate
Carlos Y Gela	recovered_from_frontera	SRC0001	high	recovered_candidate
Mariachi Blanco Y Negro	recovered_from_frontera	SRC0001	high	recovered_candidate
Orquesta De Juan S. Garrido	recovered_from_frontera	SRC0001	high	recovered_candidate
Angelina Y Tono	recovered_from_frontera	SRC0001	high	recovered_candidate
Laurita y Ray	recovered_from_frontera	SRC0001	high	recovered_candidate
Victor Cordero Y Martita	recovered_from_frontera	SRC0001	high	recovered_candidate
Orquesta De Ramon Marquez	recovered_from_frontera	SRC0001	high	recovered_candidate
Orquesta Cubana De Domingo Vernier	recovered_from_frontera	SRC0001	high	recovered_candidate
Hermanos Zaizar - Prieta Linda	recovered_from_frontera	SRC0001	high	recovered_candidate
Cuarteto Armonico	recovered_from_frontera	SRC0001	high	recovered_candidate
Alarcon Leal Y La Tamaulipeca	recovered_from_frontera	SRC0001	high	recovered_candidate
Pimentel - Ledezma	recovered_from_frontera	SRC0001	high	recovered_candidate
Orquesta De Memo Salamanca	recovered_from_frontera	SRC0001	high	recovered_candidate
Cirila Y Celedonio	recovered_from_frontera	SRC0001	high	recovered_candidate
Martin Y Martita	recovered_from_frontera	SRC0001	high	recovered_candidate
Orquesta De Abel Domínguez	recovered_from_frontera	SRC0001	high	recovered_candidate
Dueto Adan Y Eva	recovered_from_frontera	SRC0001	high	recovered_candidate
Orquesta Hermanos Marquez	recovered_from_frontera	SRC0001	high	recovered_candidate
Emilio Tuero - Hnas. Aguila	recovered_from_frontera	SRC0001	high	recovered_candidate
Orquesta Tropical Maravilla	recovered_from_frontera	SRC0001	high	recovered_candidate
Orquesta De Noe Fajardo	recovered_from_frontera	SRC0001	high	recovered_candidate
Orquesta Tropical	recovered_from_frontera	SRC0001	high	recovered_candidate
Cuarteto Armonico - Hermanas Cora	recovered_from_frontera	SRC0001	high	recovered_candidate
Juan Arvizú - Mario Talavera	recovered_from_frontera	SRC0001	high	recovered_candidate
Dueto Blanco Y Negro	recovered_from_frontera	SRC0001	high	recovered_candidate
Cuco Y Lupe	recovered_from_frontera	SRC0001	high	recovered_candidate
Mariachi Oro Y Plata De Pepe Chávez	recovered_from_frontera	SRC0001	high	recovered_candidate
Beatriz Adriana Y Pedro Infante	recovered_from_frontera	SRC0001	high	recovered_candidate
Marimba Orquesta De Los Hermanos Paniagua	recovered_from_frontera	SRC0001	high	recovered_candidate
Orquesta De Miguel Angel Pazos	recovered_from_frontera	SRC0001	high	recovered_candidate
Orquesta De Antonio Escobar	recovered_from_frontera	SRC0001	high	recovered_candidate
Orquesta Marimba De Abel Dominguez	recovered_from_frontera	SRC0001	high	recovered_candidate
