recording_id	group_id	role	source_id	confidence	review_status
REC000025	GRP0204	primary_group	SRC0001	medium-high	staged
REC000079	GRP0205	primary_group	SRC0001	medium-high	staged
REC000124	GRP0206	primary_group	SRC0001	medium-high	staged
REC000165	GRP0207	primary_group	SRC0001	medium-high	staged
REC000186	GRP0208	primary_group	SRC0001	medium-high	staged
REC000303	GRP0209	primary_group	SRC0001	medium-high	staged
REC000349	GRP0209	primary_group	SRC0001	medium-high	staged
REC000368	GRP0210	primary_group	SRC0001	medium-high	staged
REC000393	GRP0211	primary_group	SRC0001	medium-high	staged
REC000395	GRP0211	primary_group	SRC0001	medium-high	staged
REC000430	GRP0212	primary_group	SRC0001	medium-high	staged
REC000470	GRP0213	primary_group	SRC0001	medium-high	staged
REC000473	GRP0208	primary_group	SRC0001	medium-high	staged
REC000523	GRP0214	primary_group	SRC0001	medium-high	staged
REC000530	GRP0209	primary_group	SRC0001	medium-high	staged
REC000532	GRP0215	primary_group	SRC0001	medium-high	staged
REC000569	GRP0216	primary_group	SRC0001	medium-high	staged
REC000571	GRP0217	primary_group	SRC0001	medium-high	staged
REC000612	GRP0218	primary_group	SRC0001	medium-high	staged
REC000639	GRP0212	primary_group	SRC0001	medium-high	staged
REC000681	GRP0208	primary_group	SRC0001	medium-high	staged
REC000682	GRP0219	primary_group	SRC0001	medium-high	staged
REC000716	GRP0219	primary_group	SRC0001	medium-high	staged
REC000730	GRP0220	primary_group	SRC0001	medium-high	staged
REC000736	GRP0221	primary_group	SRC0001	medium-high	staged
REC000738	GRP0221	primary_group	SRC0001	medium-high	staged
REC000763	GRP0219	primary_group	SRC0001	medium-high	staged
REC000785	GRP0222	primary_group	SRC0001	medium-high	staged
REC000786	GRP0223	primary_group	SRC0001	medium-high	staged
REC000791	GRP0224	primary_group	SRC0001	medium-high	staged
REC000800	GRP0211	primary_group	SRC0001	medium-high	staged
REC000822	GRP0212	primary_group	SRC0001	medium-high	staged
REC000881	GRP0211	primary_group	SRC0001	medium-high	staged
REC000885	GRP0211	primary_group	SRC0001	medium-high	staged
REC000888	GRP0225	primary_group	SRC0001	medium-high	staged
REC000923	GRP0226	primary_group	SRC0001	medium-high	staged
REC001095	GRP0213	primary_group	SRC0001	medium-high	staged
REC001107	GRP0227	primary_group	SRC0001	medium-high	staged
REC001172	GRP0205	primary_group	SRC0001	medium-high	staged
REC001207	GRP0212	primary_group	SRC0001	medium-high	staged
REC001246	GRP0228	primary_group	SRC0001	medium-high	staged
REC001263	GRP0211	primary_group	SRC0001	medium-high	staged
