song_id	group_id	relationship_type	source_id	confidence	review_status
SONG000016	GRP0204	derived_from_recovered_recording_group	SRC0001	medium-high	staged
SONG000054	GRP0205	derived_from_recovered_recording_group	SRC0001	medium-high	staged
SONG000090	GRP0206	derived_from_recovered_recording_group	SRC0001	medium-high	staged
SONG000124	GRP0207	derived_from_recovered_recording_group	SRC0001	medium-high	staged
SONG000140	GRP0208	derived_from_recovered_recording_group	SRC0001	medium-high	staged
SONG000226	GRP0209	derived_from_recovered_recording_group	SRC0001	medium-high	staged
SONG000260	GRP0209	derived_from_recovered_recording_group	SRC0001	medium-high	staged
SONG000277	GRP0210	derived_from_recovered_recording_group	SRC0001	medium-high	staged
SONG000299	GRP0211	derived_from_recovered_recording_group	SRC0001	medium-high	staged
SONG000300	GRP0211	derived_from_recovered_recording_group	SRC0001	medium-high	staged
SONG000324	GRP0212	derived_from_recovered_recording_group	SRC0001	medium-high	staged
SONG000358	GRP0213	derived_from_recovered_recording_group	SRC0001	medium-high	staged
SONG000361	GRP0208	derived_from_recovered_recording_group	SRC0001	medium-high	staged
SONG000394	GRP0214	derived_from_recovered_recording_group	SRC0001	medium-high	staged
SONG000400	GRP0209	derived_from_recovered_recording_group	SRC0001	medium-high	staged
SONG000402	GRP0215	derived_from_recovered_recording_group	SRC0001	medium-high	staged
SONG000438	GRP0216	derived_from_recovered_recording_group	SRC0001	medium-high	staged
SONG000440	GRP0217	derived_from_recovered_recording_group	SRC0001	medium-high	staged
SONG000475	GRP0218	derived_from_recovered_recording_group	SRC0001	medium-high	staged
SONG000487	GRP0212	derived_from_recovered_recording_group	SRC0001	medium-high	staged
SONG000516	GRP0208	derived_from_recovered_recording_group	SRC0001	medium-high	staged
SONG000517	GRP0219	derived_from_recovered_recording_group	SRC0001	medium-high	staged
SONG000538	GRP0219	derived_from_recovered_recording_group	SRC0001	medium-high	staged
SONG000550	GRP0220	derived_from_recovered_recording_group	SRC0001	medium-high	staged
