recording_id	performer_id	role	source_id	confidence	review_status
REC000386	PER000282	primary_performer	SRC0001	medium-high	staged
REC000427	PER000283	primary_performer	SRC0001	medium-high	staged
REC000525	PER000284	primary_performer	SRC0001	medium-high	staged
REC000624	PER000285	primary_performer	SRC0001	medium-high	staged
REC001298	PER000286	primary_performer	SRC0001	medium-high	staged
REC001695	PER000287	primary_performer	SRC0001	medium-high	staged
REC001703	PER000288	primary_performer	SRC0001	medium-high	staged
REC001921	PER000289	primary_performer	SRC0001	medium-high	staged
REC003058	PER000283	primary_performer	SRC0001	medium-high	staged
REC003331	PER000290	primary_performer	SRC0001	medium-high	staged
REC003415	PER000289	primary_performer	SRC0001	medium-high	staged
REC003461	PER000283	primary_performer	SRC0001	medium-high	staged
REC003485	PER000283	primary_performer	SRC0001	medium-high	staged
REC003860	PER000286	primary_performer	SRC0001	medium-high	staged
REC004581	PER000291	primary_performer	SRC0001	medium-high	staged
REC004668	PER000292	primary_performer	SRC0001	medium-high	staged
REC004960	PER000291	primary_performer	SRC0001	medium-high	staged
REC004969	PER000292	primary_performer	SRC0001	medium-high	staged
REC004974	PER000287	primary_performer	SRC0001	medium-high	staged
