song_id	performer_id	relationship_type	source_id	confidence	review_status
SONG000293	PER000282	derived_from_recovered_recording_performer	SRC0001	medium-high	staged
SONG000323	PER000283	derived_from_recovered_recording_performer	SRC0001	medium-high	staged
SONG000396	PER000284	derived_from_recovered_recording_performer	SRC0001	medium-high	staged
SONG000481	PER000285	derived_from_recovered_recording_performer	SRC0001	medium-high	staged
SONG000992	PER000286	derived_from_recovered_recording_performer	SRC0001	medium-high	staged
SONG001275	PER000287	derived_from_recovered_recording_performer	SRC0001	medium-high	staged
SONG001281	PER000288	derived_from_recovered_recording_performer	SRC0001	medium-high	staged
SONG001437	PER000289	derived_from_recovered_recording_performer	SRC0001	medium-high	staged
SONG002254	PER000283	derived_from_recovered_recording_performer	SRC0001	medium-high	staged
SONG002467	PER000290	derived_from_recovered_recording_performer	SRC0001	medium-high	staged
SONG002534	PER000289	derived_from_recovered_recording_performer	SRC0001	medium-high	staged
SONG002570	PER000283	derived_from_recovered_recording_performer	SRC0001	medium-high	staged
SONG002589	PER000283	derived_from_recovered_recording_performer	SRC0001	medium-high	staged
SONG002884	PER000286	derived_from_recovered_recording_performer	SRC0001	medium-high	staged
SONG003434	PER000291	derived_from_recovered_recording_performer	SRC0001	medium-high	staged
SONG003500	PER000292	derived_from_recovered_recording_performer	SRC0001	medium-high	staged
SONG003731	PER000291	derived_from_recovered_recording_performer	SRC0001	medium-high	staged
SONG003738	PER000292	derived_from_recovered_recording_performer	SRC0001	medium-high	staged
SONG003742	PER000287	derived_from_recovered_recording_performer	SRC0001	medium-high	staged
