recording_id	performer_id	role	source_id	confidence	review_status
REC000003	PER000324	primary_performer	SRC0001	medium	staged
REC000009	PER000323	primary_performer	SRC0001	medium	staged
REC000010	PER000323	primary_performer	SRC0001	medium	staged
REC000046	PER000310	primary_performer	SRC0001	medium	staged
REC000066	PER000324	primary_performer	SRC0001	medium	staged
REC000074	PER000327	primary_performer	SRC0001	medium	staged
REC000076	PER000323	primary_performer	SRC0001	medium	staged
REC000098	PER000324	primary_performer	SRC0001	medium	staged
REC000110	PER000304	primary_performer	SRC0001	medium	staged
REC000143	PER000324	primary_performer	SRC0001	medium	staged
REC000151	PER000299	primary_performer	SRC0001	medium	staged
REC000175	PER000304	primary_performer	SRC0001	medium	staged
REC000182	PER000304	primary_performer	SRC0001	medium	staged
REC000188	PER000295	primary_performer	SRC0001	medium	staged
REC000206	PER000314	primary_performer	SRC0001	medium	staged
REC000209	PER000324	primary_performer	SRC0001	medium	staged
REC000215	PER000324	primary_performer	SRC0001	medium	staged
REC000224	PER000314	primary_performer	SRC0001	medium	staged
REC000238	PER000324	primary_performer	SRC0001	medium	staged
REC000253	PER000332	primary_performer	SRC0001	medium	staged
REC000266	PER000324	primary_performer	SRC0001	medium	staged
REC000364	PER000323	primary_performer	SRC0001	medium	staged
REC000377	PER000324	primary_performer	SRC0001	medium	staged
REC000386	PER000282	primary_performer	SRC0001	medium	staged
REC000407	PER000323	primary_performer	SRC0001	medium	staged
REC000423	PER000293	primary_performer	SRC0001	medium	staged
REC000427	PER000283	primary_performer	SRC0001	medium	staged
REC000440	PER000324	primary_performer	SRC0001	medium	staged
REC000441	PER000300	primary_performer	SRC0001	medium	staged
REC000446	PER000325	primary_performer	SRC0001	medium	staged
REC000453	PER000323	primary_performer	SRC0001	medium	staged
REC000489	PER000303	primary_performer	SRC0001	medium	staged
REC000518	PER000304	primary_performer	SRC0001	medium	staged
REC000522	PER000314	primary_performer	SRC0001	medium	staged
REC000525	PER000284	primary_performer	SRC0001	medium	staged
REC000602	PER000295	primary_performer	SRC0001	medium	staged
REC000603	PER000304	primary_performer	SRC0001	medium	staged
REC000624	PER000285	primary_performer	SRC0001	medium	staged
REC000647	PER000305	primary_performer	SRC0001	medium	staged
REC000648	PER000305	primary_performer	SRC0001	medium	staged
