song_id	performer_id	relationship_type	source_id	confidence	review_status
SONG000003	PER000324	derived_from_updated_recording_artist	SRC0001	medium	staged
SONG000009	PER000323	derived_from_updated_recording_artist	SRC0001	medium	staged
SONG000029	PER000310	derived_from_updated_recording_artist	SRC0001	medium	staged
SONG000044	PER000324	derived_from_updated_recording_artist	SRC0001	medium	staged
SONG000051	PER000327	derived_from_updated_recording_artist	SRC0001	medium	staged
SONG000053	PER000323	derived_from_updated_recording_artist	SRC0001	medium	staged
SONG000066	PER000324	derived_from_updated_recording_artist	SRC0001	medium	staged
SONG000077	PER000304	derived_from_updated_recording_artist	SRC0001	medium	staged
SONG000106	PER000324	derived_from_updated_recording_artist	SRC0001	medium	staged
SONG000113	PER000299	derived_from_updated_recording_artist	SRC0001	medium	staged
SONG000133	PER000304	derived_from_updated_recording_artist	SRC0001	medium	staged
SONG000136	PER000304	derived_from_updated_recording_artist	SRC0001	medium	staged
SONG000141	PER000295	derived_from_updated_recording_artist	SRC0001	medium	staged
SONG000156	PER000314	derived_from_updated_recording_artist	SRC0001	medium	staged
SONG000159	PER000324	derived_from_updated_recording_artist	SRC0001	medium	staged
SONG000162	PER000324	derived_from_updated_recording_artist	SRC0001	medium	staged
SONG000169	PER000314	derived_from_updated_recording_artist	SRC0001	medium	staged
SONG000183	PER000324	derived_from_updated_recording_artist	SRC0001	medium	staged
SONG000194	PER000332	derived_from_updated_recording_artist	SRC0001	medium	staged
SONG000203	PER000324	derived_from_updated_recording_artist	SRC0001	medium	staged
SONG000274	PER000323	derived_from_updated_recording_artist	SRC0001	medium	staged
SONG000285	PER000324	derived_from_updated_recording_artist	SRC0001	medium	staged
SONG000309	PER000323	derived_from_updated_recording_artist	SRC0001	medium	staged
SONG000320	PER000293	derived_from_updated_recording_artist	SRC0001	medium	staged
SONG000333	PER000324	derived_from_updated_recording_artist	SRC0001	medium	staged
SONG000334	PER000300	derived_from_updated_recording_artist	SRC0001	medium	staged
SONG000338	PER000325	derived_from_updated_recording_artist	SRC0001	medium	staged
SONG000344	PER000323	derived_from_updated_recording_artist	SRC0001	medium	staged
SONG000371	PER000303	derived_from_updated_recording_artist	SRC0001	medium	staged
SONG000389	PER000304	derived_from_updated_recording_artist	SRC0001	medium	staged
SONG000393	PER000314	derived_from_updated_recording_artist	SRC0001	medium	staged
SONG000467	PER000295	derived_from_updated_recording_artist	SRC0001	medium	staged
SONG000467	PER000304	derived_from_updated_recording_artist	SRC0001	medium	staged
SONG000493	PER000305	derived_from_updated_recording_artist	SRC0001	medium	staged
SONG000510	PER000302	derived_from_updated_recording_artist	SRC0001	medium	staged
SONG000526	PER000302	derived_from_updated_recording_artist	SRC0001	medium	staged
SONG000529	PER000296	derived_from_updated_recording_artist	SRC0001	medium	staged
SONG000555	PER000323	derived_from_updated_recording_artist	SRC0001	medium	staged
SONG000559	PER000314	derived_from_updated_recording_artist	SRC0001	medium	staged
SONG000561	PER000314	derived_from_updated_recording_artist	SRC0001	medium	staged
SONG000572	PER000314	derived_from_updated_recording_artist	SRC0001	medium	staged
SONG000613	PER000312	derived_from_updated_recording_artist	SRC0001	medium	staged
SONG000617	PER000309	derived_from_updated_recording_artist	SRC0001	medium	staged
SONG000619	PER000295	derived_from_updated_recording_artist	SRC0001	medium	staged
SONG000631	PER000324	derived_from_updated_recording_artist	SRC0001	medium	staged
SONG000634	PER000324	derived_from_updated_recording_artist	SRC0001	medium	staged
SONG000642	PER000303	derived_from_updated_recording_artist	SRC0001	medium	staged
SONG000645	PER000322	derived_from_updated_recording_artist	SRC0001	medium	staged
SONG000663	PER000323	derived_from_updated_recording_artist	SRC0001	medium	staged
SONG000701	PER000305	derived_from_updated_recording_artist	SRC0001	medium	staged
SONG000704	PER000329	derived_from_updated_recording_artist	SRC0001	medium	staged
SONG000713	PER000329	derived_from_updated_recording_artist	SRC0001	medium	staged
SONG000714	PER000322	derived_from_updated_recording_artist	SRC0001	medium	staged
SONG000714	PER000324	derived_from_updated_recording_artist	SRC0001	medium	staged
SONG000721	PER000295	derived_from_updated_recording_artist	SRC0001	medium	staged
SONG000722	PER000303	derived_from_updated_recording_artist	SRC0001	medium	staged
SONG000725	PER000318	derived_from_updated_recording_artist	SRC0001	medium	staged
SONG000728	PER000324	derived_from_updated_recording_artist	SRC0001	medium	staged
SONG000732	PER000303	derived_from_updated_recording_artist	SRC0001	medium	staged
SONG000737	PER000295	derived_from_updated_recording_artist	SRC0001	medium	staged
SONG000740	PER000295	derived_from_updated_recording_artist	SRC0001	medium	staged
SONG000745	PER000324	derived_from_updated_recording_artist	SRC0001	medium	staged
SONG000748	PER000323	derived_from_updated_recording_artist	SRC0001	medium	staged
SONG000750	PER000295	derived_from_updated_recording_artist	SRC0001	medium	staged
SONG000752	PER000295	derived_from_updated_recording_artist	SRC0001	medium	staged
SONG000784	PER000305	derived_from_updated_recording_artist	SRC0001	medium	staged
SONG000788	PER000330	derived_from_updated_recording_artist	SRC0001	medium	staged
SONG000816	PER000323	derived_from_updated_recording_artist	SRC0001	medium	staged
SONG000817	PER000323	derived_from_updated_recording_artist	SRC0001	medium	staged
SONG000818	PER000315	derived_from_updated_recording_artist	SRC0001	medium	staged
SONG000819	PER000315	derived_from_updated_recording_artist	SRC0001	medium	staged
SONG000851	PER000324	derived_from_updated_recording_artist	SRC0001	medium	staged
SONG000904	PER000304	derived_from_updated_recording_artist	SRC0001	medium	staged
SONG000910	PER000323	derived_from_updated_recording_artist	SRC0001	medium	staged
SONG000955	PER000314	derived_from_updated_recording_artist	SRC0001	medium	staged
SONG000969	PER000315	derived_from_updated_recording_artist	SRC0001	medium	staged
SONG000972	PER000314	derived_from_updated_recording_artist	SRC0001	medium	staged
SONG000980	PER000323	derived_from_updated_recording_artist	SRC0001	medium	staged
SONG000989	PER000324	derived_from_updated_recording_artist	SRC0001	medium	staged
SONG000991	PER000323	derived_from_updated_recording_artist	SRC0001	medium	staged
SONG000992	PER000324	derived_from_updated_recording_artist	SRC0001	medium	staged
SONG000993	PER000304	derived_from_updated_recording_artist	SRC0001	medium	staged
SONG001005	PER000324	derived_from_updated_recording_artist	SRC0001	medium	staged
SONG001013	PER000314	derived_from_updated_recording_artist	SRC0001	medium	staged
SONG001014	PER000324	derived_from_updated_recording_artist	SRC0001	medium	staged
