unit_id	source_id	raw_artist	raw_release	raw_title	canonical_recording_title	canonical_song_title	primary_group_or_performer	label_name	evidence_source	evidence_status	confidence	review_status	notes
UNIT-0088	SRC0003	Bobby Valentín		Build staging candidates.	Build staging candidates.	Build staging candidates.	Bobby Valentín	Fania	reports/unit0086/UNIT0086_REY_DEL_BAJO_ACQUISITION_START.md	source_text_verified	medium	candidate	bulk extracted from existing Bobby Valentin harvest
UNIT-0088	SRC0003	Bobby Valentín		Capture release metadata.	Capture release metadata.	Capture release metadata.	Bobby Valentín	Fania	reports/unit0086/UNIT0086_REY_DEL_BAJO_ACQUISITION_START.md	source_text_verified	medium	candidate	bulk extracted from existing Bobby Valentin harvest
UNIT-0088	SRC0003	Bobby Valentín		Capture track titles.	Capture track titles.	Capture track titles.	Bobby Valentín	Fania	reports/unit0086/UNIT0086_REY_DEL_BAJO_ACQUISITION_START.md	source_text_verified	medium	candidate	bulk extracted from existing Bobby Valentin harvest
UNIT-0088	SRC0003	Bobby Valentín		Locate release evidence.	Locate release evidence.	Locate release evidence.	Bobby Valentín	Fania	reports/unit0086/UNIT0086_REY_DEL_BAJO_ACQUISITION_START.md	source_text_verified	medium	candidate	bulk extracted from existing Bobby Valentin harvest
UNIT-0088	SRC0003	Bobby Valentín		No promotion.	No promotion.	No promotion.	Bobby Valentín	Fania	reports/unit0086/UNIT0086_REY_DEL_BAJO_ACQUISITION_START.md	source_text_verified	medium	candidate	bulk extracted from existing Bobby Valentin harvest
UNIT-0088	SRC0003	Bobby Valentín	Rey Del Bajo	Aquí No Me Quedo	Aquí No Me Quedo	Aquí No Me Quedo	Bobby Valentín	Fania	authority/staging/unit0086/UNIT0086_BOBBY_VALENTIN_REY_DEL_BAJO_CANDIDATES.tsv	fania_text_verified	high	candidate	bulk extracted from existing Bobby Valentin harvest
UNIT-0088	SRC0003	Bobby Valentín	Rey Del Bajo	Coco Seco	Coco Seco	Coco Seco	Bobby Valentín	Fania	authority/staging/unit0086/UNIT0086_BOBBY_VALENTIN_REY_DEL_BAJO_CANDIDATES.tsv	fania_text_verified	high	candidate	bulk extracted from existing Bobby Valentin harvest
UNIT-0088	SRC0003	Bobby Valentín	Rey Del Bajo	Codazos	Codazos	Codazos	Bobby Valentín	Fania	authority/staging/unit0086/UNIT0086_BOBBY_VALENTIN_REY_DEL_BAJO_CANDIDATES.tsv	fania_text_verified	high	candidate	bulk extracted from existing Bobby Valentin harvest
UNIT-0088	SRC0003	Bobby Valentín	Rey Del Bajo	Cuando Te Vea	Cuando Te Vea	Cuando Te Vea	Bobby Valentín	Fania	authority/staging/unit0086/UNIT0086_BOBBY_VALENTIN_REY_DEL_BAJO_CANDIDATES.tsv	fania_text_verified	high	candidate	bulk extracted from existing Bobby Valentin harvest
UNIT-0088	SRC0003	Bobby Valentín	Rey Del Bajo	Espérame En El Cielo	Espérame En El Cielo	Espérame En El Cielo	Bobby Valentín	Fania	authority/staging/unit0086/UNIT0086_BOBBY_VALENTIN_REY_DEL_BAJO_CANDIDATES.tsv	fania_text_verified	high	candidate	bulk extracted from existing Bobby Valentin harvest
UNIT-0088	SRC0003	Bobby Valentín	Rey Del Bajo	Guaraguao	Guaraguao	Guaraguao	Bobby Valentín	Fania	authority/staging/unit0086/UNIT0086_BOBBY_VALENTIN_REY_DEL_BAJO_CANDIDATES.tsv	fania_text_verified	high	candidate	bulk extracted from existing Bobby Valentin harvest
UNIT-0088	SRC0003	Bobby Valentín	Rey Del Bajo	Hay Craneo	Hay Craneo	Hay Craneo	Bobby Valentín	Fania	authority/staging/unit0086/UNIT0086_BOBBY_VALENTIN_REY_DEL_BAJO_CANDIDATES.tsv	fania_text_verified	high	candidate	bulk extracted from existing Bobby Valentin harvest
UNIT-0088	SRC0003	Bobby Valentín	Rey Del Bajo	Mi Ritmo Es Bueno	Mi Ritmo Es Bueno	Mi Ritmo Es Bueno	Bobby Valentín	Fania	authority/staging/unit0086/UNIT0086_BOBBY_VALENTIN_REY_DEL_BAJO_CANDIDATES.tsv	fania_text_verified	high	candidate	bulk extracted from existing Bobby Valentin harvest
