unit_id	source_id	raw_artist	raw_release	raw_title	canonical_recording_title	canonical_song_title	primary_performer	label_name	track_position	release_year	evidence_source	source_url	evidence_status	confidence	review_status	notes
UNIT-0100	SRC0003	Ismael Miranda	Así Se Compone Un Son	Así Se Compone Un Son	Así Se Compone Un Son	Así Se Compone Un Son	Ismael Miranda	Fania	A1	1973	data/src0003/batch0002/SRC0003_BATCH0002_ASI_SE_COMPONE_UN_SON_TRACKLIST.tsv	https://fania.com/record/asi-se-compone-un-son/	source_verified	high	candidate	Ismael Miranda block 0001 source tracklist title
UNIT-0100	SRC0003	Ismael Miranda	Así Se Compone Un Son	Nicolás	Nicolás	Nicolás	Ismael Miranda	Fania	A2	1973	data/src0003/batch0002/SRC0003_BATCH0002_ASI_SE_COMPONE_UN_SON_TRACKLIST.tsv	https://fania.com/record/asi-se-compone-un-son/	source_verified	high	candidate	Ismael Miranda block 0001 source tracklist title
UNIT-0100	SRC0003	Ismael Miranda	Así Se Compone Un Son	Sálvame	Sálvame	Sálvame	Ismael Miranda	Fania	A3	1973	data/src0003/batch0002/SRC0003_BATCH0002_ASI_SE_COMPONE_UN_SON_TRACKLIST.tsv	https://fania.com/record/asi-se-compone-un-son/	source_verified	high	candidate	Ismael Miranda block 0001 source tracklist title
UNIT-0100	SRC0003	Ismael Miranda	Así Se Compone Un Son	Ahora Sí	Ahora Sí	Ahora Sí	Ismael Miranda	Fania	A4	1973	data/src0003/batch0002/SRC0003_BATCH0002_ASI_SE_COMPONE_UN_SON_TRACKLIST.tsv	https://fania.com/record/asi-se-compone-un-son/	source_verified	high	candidate	Ismael Miranda block 0001 source tracklist title
UNIT-0100	SRC0003	Ismael Miranda	Así Se Compone Un Son	Me Voy Pa' Colombia	Me Voy Pa' Colombia	Me Voy Pa' Colombia	Ismael Miranda	Fania	A5	1973	data/src0003/batch0002/SRC0003_BATCH0002_ASI_SE_COMPONE_UN_SON_TRACKLIST.tsv	https://fania.com/record/asi-se-compone-un-son/	source_verified	high	candidate	Ismael Miranda block 0001 source tracklist title
UNIT-0100	SRC0003	Ismael Miranda	Así Se Compone Un Son	Cuídate Bien	Cuídate Bien	Cuídate Bien	Ismael Miranda	Fania	B1	1973	data/src0003/batch0002/SRC0003_BATCH0002_ASI_SE_COMPONE_UN_SON_TRACKLIST.tsv	https://fania.com/record/asi-se-compone-un-son/	source_verified	high	candidate	Ismael Miranda block 0001 source tracklist title
UNIT-0100	SRC0003	Ismael Miranda	Así Se Compone Un Son	Mulence	Mulence	Mulence	Ismael Miranda	Fania	B2	1973	data/src0003/batch0002/SRC0003_BATCH0002_ASI_SE_COMPONE_UN_SON_TRACKLIST.tsv	https://fania.com/record/asi-se-compone-un-son/	source_verified	high	candidate	Ismael Miranda block 0001 source tracklist title
UNIT-0100	SRC0003	Ismael Miranda	Así Se Compone Un Son	Las Cuarentas	Las Cuarentas	Las Cuarentas	Ismael Miranda	Fania	B3	1973	data/src0003/batch0002/SRC0003_BATCH0002_ASI_SE_COMPONE_UN_SON_TRACKLIST.tsv	https://fania.com/record/asi-se-compone-un-son/	source_verified	high	candidate	Ismael Miranda block 0001 source tracklist title
UNIT-0100	SRC0003	Ismael Miranda	Así Se Compone Un Son	Sonerito	Sonerito	Sonerito	Ismael Miranda	Fania	B4	1973	data/src0003/batch0002/SRC0003_BATCH0002_ASI_SE_COMPONE_UN_SON_TRACKLIST.tsv	https://fania.com/record/asi-se-compone-un-son/	source_verified	high	candidate	Ismael Miranda block 0001 source tracklist title
UNIT-0100	SRC0003	Ismael Miranda	Así Se Compone Un Son	Ahora Que Estoy Sabroso	Ahora Que Estoy Sabroso	Ahora Que Estoy Sabroso	Ismael Miranda	Fania	B5	1973	data/src0003/batch0002/SRC0003_BATCH0002_ASI_SE_COMPONE_UN_SON_TRACKLIST.tsv	https://fania.com/record/asi-se-compone-un-son/	source_verified	high	candidate	Ismael Miranda block 0001 source tracklist title
UNIT-0100	SRC0003	Ismael Miranda	Este Es Ismael Miranda	La Cosa No Es Como Antes	La Cosa No Es Como Antes	La Cosa No Es Como Antes	Ismael Miranda	Fania	1	1975	data/src0003/batch0002/SRC0003_BATCH0002_ESTE_ES_ISMAEL_MIRANDA_TRACKLIST.tsv	https://ismaelmiranda.bandcamp.com/album/este-es-ismael-miranda	source_verified	high	candidate	Ismael Miranda block 0001 source tracklist title
UNIT-0100	SRC0003	Ismael Miranda	Este Es Ismael Miranda	Puerto Abandonado	Puerto Abandonado	Puerto Abandonado	Ismael Miranda	Fania	2	1975	data/src0003/batch0002/SRC0003_BATCH0002_ESTE_ES_ISMAEL_MIRANDA_TRACKLIST.tsv	https://ismaelmiranda.bandcamp.com/album/este-es-ismael-miranda	source_verified	high	candidate	Ismael Miranda block 0001 source tracklist title
UNIT-0100	SRC0003	Ismael Miranda	Este Es Ismael Miranda	Yo no Me Quejo	Yo no Me Quejo	Yo no Me Quejo	Ismael Miranda	Fania	3	1975	data/src0003/batch0002/SRC0003_BATCH0002_ESTE_ES_ISMAEL_MIRANDA_TRACKLIST.tsv	https://ismaelmiranda.bandcamp.com/album/este-es-ismael-miranda	source_verified	high	candidate	Ismael Miranda block 0001 source tracklist title
UNIT-0100	SRC0003	Ismael Miranda	Este Es Ismael Miranda	Cipriano Armenteros	Cipriano Armenteros	Cipriano Armenteros	Ismael Miranda	Fania	4	1975	data/src0003/batch0002/SRC0003_BATCH0002_ESTE_ES_ISMAEL_MIRANDA_TRACKLIST.tsv	https://ismaelmiranda.bandcamp.com/album/este-es-ismael-miranda	source_verified	high	candidate	Ismael Miranda block 0001 source tracklist title
UNIT-0100	SRC0003	Ismael Miranda	Este Es Ismael Miranda	Madre	Madre	Madre	Ismael Miranda	Fania	5	1975	data/src0003/batch0002/SRC0003_BATCH0002_ESTE_ES_ISMAEL_MIRANDA_TRACKLIST.tsv	https://ismaelmiranda.bandcamp.com/album/este-es-ismael-miranda	source_verified	high	candidate	Ismael Miranda block 0001 source tracklist title
UNIT-0100	SRC0003	Ismael Miranda	Este Es Ismael Miranda	María Luisa	María Luisa	María Luisa	Ismael Miranda	Fania	6	1975	data/src0003/batch0002/SRC0003_BATCH0002_ESTE_ES_ISMAEL_MIRANDA_TRACKLIST.tsv	https://ismaelmiranda.bandcamp.com/album/este-es-ismael-miranda	source_verified	high	candidate	Ismael Miranda block 0001 source tracklist title
UNIT-0100	SRC0003	Ismael Miranda	Este Es Ismael Miranda	En Mi Viejo San Juan	En Mi Viejo San Juan	En Mi Viejo San Juan	Ismael Miranda	Fania	7	1975	data/src0003/batch0002/SRC0003_BATCH0002_ESTE_ES_ISMAEL_MIRANDA_TRACKLIST.tsv	https://ismaelmiranda.bandcamp.com/album/este-es-ismael-miranda	source_verified	high	candidate	Ismael Miranda block 0001 source tracklist title
