unit_id	source_id	raw_artist	raw_release	raw_title	canonical_recording_title	canonical_song_title	primary_performer	label_name	track_position	release_year	evidence_source	source_url	evidence_status	confidence	review_status	notes
UNIT-0102	SRC0003	Ray Barretto	Acid	El Nuevo Barretto	El Nuevo Barretto	El Nuevo Barretto	Ray Barretto	Fania	A1	1968	data/src0003/batch0002/SRC0003_BATCH0002_ACID_TRACKLIST.tsv	https://raybarretto.bandcamp.com/album/acid	source_verified	high	candidate	SRC0003 block 0003 source tracklist title
UNIT-0102	SRC0003	Ray Barretto	Acid	Mercy, Mercy Baby	Mercy, Mercy Baby	Mercy, Mercy Baby	Ray Barretto	Fania	A2	1968	data/src0003/batch0002/SRC0003_BATCH0002_ACID_TRACKLIST.tsv	https://raybarretto.bandcamp.com/album/acid	source_verified	high	candidate	SRC0003 block 0003 source tracklist title
UNIT-0102	SRC0003	Ray Barretto	Acid	Acid	Acid	Acid	Ray Barretto	Fania	A3	1968	data/src0003/batch0002/SRC0003_BATCH0002_ACID_TRACKLIST.tsv	https://raybarretto.bandcamp.com/album/acid	source_verified	high	candidate	SRC0003 block 0003 source tracklist title
UNIT-0102	SRC0003	Ray Barretto	Acid	A Deeper Shade Of Soul	A Deeper Shade Of Soul	A Deeper Shade Of Soul	Ray Barretto	Fania	A4	1968	data/src0003/batch0002/SRC0003_BATCH0002_ACID_TRACKLIST.tsv	https://raybarretto.bandcamp.com/album/acid	source_verified	high	candidate	SRC0003 block 0003 source tracklist title
UNIT-0102	SRC0003	Ray Barretto	Acid	Soul Drummers	Soul Drummers	Soul Drummers	Ray Barretto	Fania	B1	1968	data/src0003/batch0002/SRC0003_BATCH0002_ACID_TRACKLIST.tsv	https://raybarretto.bandcamp.com/album/acid	source_verified	high	candidate	SRC0003 block 0003 source tracklist title
UNIT-0102	SRC0003	Ray Barretto	Acid	Sola Te Dejaré	Sola Te Dejaré	Sola Te Dejaré	Ray Barretto	Fania	B2	1968	data/src0003/batch0002/SRC0003_BATCH0002_ACID_TRACKLIST.tsv	https://raybarretto.bandcamp.com/album/acid	source_verified	high	candidate	SRC0003 block 0003 source tracklist title
UNIT-0102	SRC0003	Ray Barretto	Acid	The Teacher Of Love	The Teacher Of Love	The Teacher Of Love	Ray Barretto	Fania	B3	1968	data/src0003/batch0002/SRC0003_BATCH0002_ACID_TRACKLIST.tsv	https://raybarretto.bandcamp.com/album/acid	source_verified	high	candidate	SRC0003 block 0003 source tracklist title
UNIT-0102	SRC0003	Ray Barretto	Acid	Espíritu Libre	Espíritu Libre	Espíritu Libre	Ray Barretto	Fania	B4	1968	data/src0003/batch0002/SRC0003_BATCH0002_ACID_TRACKLIST.tsv	https://raybarretto.bandcamp.com/album/acid	source_verified	high	candidate	SRC0003 block 0003 source tracklist title
UNIT-0102	SRC0003	Orchestra Harlow	Salsa	No Quiero	No Quiero	No Quiero	Orchestra Harlow	Fania	A1	1974	data/src0003/batch0002/SRC0003_BATCH0002_SALSA_LARRY_HARLOW_TRACKLIST.tsv	https://fania.com/eras/orquesta-harlow-salsa/	source_verified	high	candidate	SRC0003 block 0003 source tracklist title
UNIT-0102	SRC0003	Orchestra Harlow	Salsa	La Cartera	La Cartera	La Cartera	Orchestra Harlow	Fania	A2	1974	data/src0003/batch0002/SRC0003_BATCH0002_SALSA_LARRY_HARLOW_TRACKLIST.tsv	https://fania.com/eras/orquesta-harlow-salsa/	source_verified	high	candidate	SRC0003 block 0003 source tracklist title
UNIT-0102	SRC0003	Orchestra Harlow	Salsa	Popo Pa' Mi	Popo Pa' Mi	Popo Pa' Mi	Orchestra Harlow	Fania	A3	1974	data/src0003/batch0002/SRC0003_BATCH0002_SALSA_LARRY_HARLOW_TRACKLIST.tsv	https://fania.com/eras/orquesta-harlow-salsa/	source_verified	high	candidate	SRC0003 block 0003 source tracklist title
UNIT-0102	SRC0003	Orchestra Harlow	Salsa	El Paso De Encarnacion	El Paso De Encarnacion	El Paso De Encarnacion	Orchestra Harlow	Fania	B1	1974	data/src0003/batch0002/SRC0003_BATCH0002_SALSA_LARRY_HARLOW_TRACKLIST.tsv	https://fania.com/eras/orquesta-harlow-salsa/	source_verified	high	candidate	SRC0003 block 0003 source tracklist title
UNIT-0102	SRC0003	Orchestra Harlow	Salsa	No Hay Amigo	No Hay Amigo	No Hay Amigo	Orchestra Harlow	Fania	B2	1974	data/src0003/batch0002/SRC0003_BATCH0002_SALSA_LARRY_HARLOW_TRACKLIST.tsv	https://fania.com/eras/orquesta-harlow-salsa/	source_verified	high	candidate	SRC0003 block 0003 source tracklist title
