scan_id	file_path	file_name	file_artist_guess	file_title_guess	tag_artist	tag_title	tag_album	candidate_artist	candidate_title	match_status	recording_hits	song_hits	best_recording_id	best_song_id	best_performer	best_release	fpcalc_status	fingerprint_status
858c16e1436be225	/home/remo-speed/Music/P_MUS_07_PILOT_001/01. Orientales De Paramonga - La Danza Del Mono.mp3	01. Orientales De Paramonga - La Danza Del Mono.mp3	Orientales De Paramonga	La Danza Del Mono	Orientales De Paramonga	La Danza Del Mono		Orientales De Paramonga	La Danza Del Mono	known_recording_title	1	1	REC005527	SONG004188		LP - Cumbia y Nada Más	available	skipped_fast_scan
7c52a82c4d75512e	/home/remo-speed/Music/Revisar/101 Mix Baladas/002. Abba - Chiquitita.mp3	002. Abba - Chiquitita.mp3	Abba	Chiquitita	Abba	Chiquitita		Abba	Chiquitita	known_recording_title	1	1	REC000752	SONG000571			available	skipped_fast_scan
350de0965935b291	/home/remo-speed/Music/Revisar/101 Mix Baladas/010. Luz Ayda - Manana.mp3	010. Luz Ayda - Manana.mp3	Luz Ayda	Manana	Luz Ayda	Mañana	Luz Ayda	Luz Ayda	Mañana	known_recording_title	2	1	REC003252	SONG002400	Pedro Infante		available	skipped_fast_scan
f342c9bb67a17936	/home/remo-speed/Music/Revisar/101 Mix Baladas/018. Buddy Richard - Por Ti.mp3	018. Buddy Richard - Por Ti.mp3	Buddy Richard	Por Ti	Buddy Richard	Por Ti		Buddy Richard	Por Ti	known_recording_title	2	1	REC004155	SONG003122	Beatriz Adriana		available	skipped_fast_scan
6c3af2a6a9d7865a	/home/remo-speed/Music/Revisar/101 Mix C01/01. Orientales De Paramonga - La Danza Del Mono.mp3	01. Orientales De Paramonga - La Danza Del Mono.mp3	Orientales De Paramonga	La Danza Del Mono	Orientales De Paramonga	La Danza Del Mono		Orientales De Paramonga	La Danza Del Mono	known_recording_title	1	1	REC005527	SONG004188		LP - Cumbia y Nada Más	available	skipped_fast_scan
12b9e2a4ddad870f	/home/remo-speed/Music/Revisar/101 Mix C02/12. La Malagueña.mp3	12. La Malagueña.mp3		La Malagueña	Jocelyne	La Malagueña		Jocelyne	La Malagueña	known_recording_title	3	1	REC002630	SONG001950			available	skipped_fast_scan
a3f914a780d6c291	/home/remo-speed/Music/Revisar/101 Mix Varios 2308 Vol 1/01. Pedro Laza - Cumbia Del Monte.mp3	01. Pedro Laza - Cumbia Del Monte.mp3	Pedro Laza	Cumbia Del Monte	Cumbia del monte	La montaña		Cumbia del monte	La montaña	known_recording_title	1	1	REC002671	SONG001980	Memo Salamanca		available	skipped_fast_scan
0dc7ba31f80ad940	/home/remo-speed/Music/Revisar/101 Salsa Guateque y Guaguanco/019. Coco Seco.mp3	019. Coco Seco.mp3		Coco Seco		Coco Seco			Coco Seco	known_recording_title	2	1	REC005811	SONG004443			available	skipped_fast_scan
47da9fd0290cc199	/home/remo-speed/Music/Revisar/101 Top Salsa Dura Antigua/001. La Cartera.mp3	001. La Cartera.mp3		La Cartera		La Cartera			La Cartera	known_recording_title	1	1	REC005894	SONG004470	Orchestra Harlow	Salsa	available	skipped_fast_scan
ed2f4cd127da947d	/home/remo-speed/Music/Revisar/102 Mix Baladas/023. Los Amaya - Vete.mp3	023. Los Amaya - Vete.mp3	Los Amaya	Vete	Los Amaya	Vete		Los Amaya	Vete	known_recording_title	1	1	REC005289	SONG003992	Mario Alberto Rodríguez		available	skipped_fast_scan
