plan_action	staging_root	sha256	source	size_bytes	filename	source_path	source_directory	dry_run_status	notes
stage_optiplex_unique_for_bosgame_review	/srv/storage/PROJECT_DATA/INFRASTRUCTURE_REORGANIZATION/staging/photo_review/from_optiplex_unique_sha256	00279be432b7bff33a245b2f61cc349f4090f24641f59afbdbc544259a56d738	optiplex	3318501	78475732042__A3B669D3-DB8E-4065-836F-0F10DB450751.HEIC	/home/remospeed/Media/Fotos/iPhone/omer’s iPhone/Recents/78475732042__A3B669D3-DB8E-4065-836F-0F10DB450751.HEIC	/home/remospeed/Media/Fotos/iPhone/omer’s iPhone/Recents	planned_only_no_copy	candidate_for_manual_review_no_migration_approved
stage_optiplex_unique_for_bosgame_review	/srv/storage/PROJECT_DATA/INFRASTRUCTURE_REORGANIZATION/staging/photo_review/from_optiplex_unique_sha256	0053eb3e4a4e4bdb3c79e58f7b19018afa2da738820b40857de2b3fb84d77996	optiplex	39442994	IMG_8580.MOV	/home/remospeed/Media/Fotos/iPhone/omer’s iPhone/Recents/IMG_8580.MOV	/home/remospeed/Media/Fotos/iPhone/omer’s iPhone/Recents	planned_only_no_copy	candidate_for_manual_review_no_migration_approved
stage_optiplex_unique_for_bosgame_review	/srv/storage/PROJECT_DATA/INFRASTRUCTURE_REORGANIZATION/staging/photo_review/from_optiplex_unique_sha256	006f1822d79b69c6f0f18b2bdd14081182245270b6d1cf0545684bdff8b1346c	optiplex	175954	IMG_7788.JPG	/home/remospeed/Media/Fotos/iPhone/omer’s iPhone/Recents/IMG_7788.JPG	/home/remospeed/Media/Fotos/iPhone/omer’s iPhone/Recents	planned_only_no_copy	candidate_for_manual_review_no_migration_approved
stage_optiplex_unique_for_bosgame_review	/srv/storage/PROJECT_DATA/INFRASTRUCTURE_REORGANIZATION/staging/photo_review/from_optiplex_unique_sha256	007d0c9ae94dca7c1fbe3459314bb5832aff1266e29381fbeb22854c1ff0719d	optiplex	3677307	IMG_8005.PNG	/home/remospeed/Media/Fotos/iPhone/omer’s iPhone/Recents/IMG_8005.PNG	/home/remospeed/Media/Fotos/iPhone/omer’s iPhone/Recents	planned_only_no_copy	candidate_for_manual_review_no_migration_approved
stage_optiplex_unique_for_bosgame_review	/srv/storage/PROJECT_DATA/INFRASTRUCTURE_REORGANIZATION/staging/photo_review/from_optiplex_unique_sha256	00fa37ac276901addceb064ddf8c883cdc3a5e126fb6fc9796cb4f6af89e0951	optiplex	4655322	IMG_8276.MOV	/home/remospeed/Media/Fotos/iPhone/omer’s iPhone/Recents/IMG_8276.MOV	/home/remospeed/Media/Fotos/iPhone/omer’s iPhone/Recents	planned_only_no_copy	candidate_for_manual_review_no_migration_approved
stage_optiplex_unique_for_bosgame_review	/srv/storage/PROJECT_DATA/INFRASTRUCTURE_REORGANIZATION/staging/photo_review/from_optiplex_unique_sha256	0120508eede2203a4d4e97b665c570f62b9688cbfa3c5cb10fd5afb78d5790c6	optiplex	1757025	IMG_4584.HEIC	/home/remospeed/Media/Fotos/iPhone/omer’s iPhone/Recents/IMG_4584.HEIC	/home/remospeed/Media/Fotos/iPhone/omer’s iPhone/Recents	planned_only_no_copy	candidate_for_manual_review_no_migration_approved
stage_optiplex_unique_for_bosgame_review	/srv/storage/PROJECT_DATA/INFRASTRUCTURE_REORGANIZATION/staging/photo_review/from_optiplex_unique_sha256	0120ccc2b3f472006c6dc37c234bfdc17eb88e76fc915f53c5dbce99d099c29f	optiplex	89588	IMG_7910.JPG	/home/remospeed/Media/Fotos/iPhone/omer’s iPhone/Recents/IMG_7910.JPG	/home/remospeed/Media/Fotos/iPhone/omer’s iPhone/Recents	planned_only_no_copy	candidate_for_manual_review_no_migration_approved
stage_optiplex_unique_for_bosgame_review	/srv/storage/PROJECT_DATA/INFRASTRUCTURE_REORGANIZATION/staging/photo_review/from_optiplex_unique_sha256	0121ac8dc3664b6a884058b0eaf81c448d8898f6063ef559e37a1f7c60b35699	optiplex	1633874	IMG_8902.HEIC	/home/remospeed/Media/Fotos/iPhone/omer’s iPhone/Recents/IMG_8902.HEIC	/home/remospeed/Media/Fotos/iPhone/omer’s iPhone/Recents	planned_only_no_copy	candidate_for_manual_review_no_migration_approved
stage_optiplex_unique_for_bosgame_review	/srv/storage/PROJECT_DATA/INFRASTRUCTURE_REORGANIZATION/staging/photo_review/from_optiplex_unique_sha256	017641e51496c176814f8b534cd56a915c3dee2adc88872c329e17cfd7f50720	optiplex	1360104	2023-07-03 103037.heic	/home/remospeed/Media/Fotos/Fotos/From：iPhone/2023-07-03 103037.heic	/home/remospeed/Media/Fotos/Fotos/From：iPhone	planned_only_no_copy	candidate_for_manual_review_no_migration_approved
stage_optiplex_unique_for_bosgame_review	/srv/storage/PROJECT_DATA/INFRASTRUCTURE_REORGANIZATION/staging/photo_review/from_optiplex_unique_sha256	01ae2d0d0d1ac2b925efbb26224863742407586acbc9a11198e9870f65e6f661	optiplex	660221	IMG_4682.HEIC	/home/remospeed/Media/Fotos/iPhone/omer’s iPhone/Recents/IMG_4682.HEIC	/home/remospeed/Media/Fotos/iPhone/omer’s iPhone/Recents	planned_only_no_copy	candidate_for_manual_review_no_migration_approved
