recording_id	group_id	role	source_id	confidence	review_status
REC000001	GRP0001	primary_group	SRC0003	high	approved
REC000002	GRP0001	primary_group	SRC0003	high	approved
REC000008	GRP0162	primary_group	SRC0001	high	raw_extracted
REC000017	GRP0201	primary_group	SRC0001	high	raw_extracted
REC000029	GRP0071	primary_group	SRC0001	high	raw_extracted
REC000030	GRP0071	primary_group	SRC0001	high	raw_extracted
REC000031	GRP0071	primary_group	SRC0001	high	raw_extracted
REC000033	GRP0099	primary_group	SRC0001	high	raw_extracted
REC000036	GRP0103	primary_group	SRC0001	high	raw_extracted
REC000071	GRP0098	primary_group	SRC0001	high	raw_extracted
REC000077	GRP0154	primary_group	SRC0001	high	raw_extracted
REC000080	GRP0126	primary_group	SRC0001	high	raw_extracted
REC000089	GRP0014	primary_group	SRC0001	high	raw_extracted
REC000093	GRP0121	primary_group	SRC0001	high	raw_extracted
REC000101	GRP0081	primary_group	SRC0001	high	raw_extracted
REC000105	GRP0126	primary_group	SRC0001	high	raw_extracted
REC000107	GRP0014	primary_group	SRC0001	high	raw_extracted
REC000112	GRP0135	primary_group	SRC0001	high	raw_extracted
REC000119	GRP0081	primary_group	SRC0001	high	raw_extracted
REC000120	GRP0126	primary_group	SRC0001	high	raw_extracted
REC000126	GRP0067	primary_group	SRC0001	high	raw_extracted
REC000129	GRP0079	primary_group	SRC0001	high	raw_extracted
REC000140	GRP0110	primary_group	SRC0001	high	raw_extracted
REC000141	GRP0184	primary_group	SRC0001	high	raw_extracted
REC000147	GRP0098	primary_group	SRC0001	high	raw_extracted
REC000149	GRP0081	primary_group	SRC0001	high	raw_extracted
REC000153	GRP0081	primary_group	SRC0001	high	raw_extracted
REC000154	GRP0126	primary_group	SRC0001	high	raw_extracted
REC000159	GRP0162	primary_group	SRC0001	high	raw_extracted
REC000160	GRP0025	primary_group	SRC0001	high	raw_extracted
REC000164	GRP0145	primary_group	SRC0001	high	raw_extracted
REC000166	GRP0163	primary_group	SRC0001	high	raw_extracted
REC000172	GRP0094	primary_group	SRC0001	high	raw_extracted
REC000174	GRP0051	primary_group	SRC0001	high	raw_extracted
REC000180	GRP0094	primary_group	SRC0001	high	raw_extracted
REC000184	GRP0172	primary_group	SRC0001	high	raw_extracted
REC000190	GRP0151	primary_group	SRC0001	high	raw_extracted
REC000191	GRP0152	primary_group	SRC0001	high	raw_extracted
REC000193	GRP0199	primary_group	SRC0001	high	raw_extracted
REC000196	GRP0161	primary_group	SRC0001	high	raw_extracted
REC000198	GRP0139	primary_group	SRC0001	high	raw_extracted
REC000201	GRP0188	primary_group	SRC0001	high	raw_extracted
REC000208	GRP0162	primary_group	SRC0001	high	raw_extracted
REC000211	GRP0051	primary_group	SRC0001	high	raw_extracted
REC000217	GRP0109	primary_group	SRC0001	high	raw_extracted
REC000228	GRP0178	primary_group	SRC0001	high	raw_extracted
REC000234	GRP0069	primary_group	SRC0001	high	raw_extracted
REC000236	GRP0190	primary_group	SRC0001	high	raw_extracted
REC000237	GRP0185	primary_group	SRC0001	high	raw_extracted
REC000244	GRP0146	primary_group	SRC0001	high	raw_extracted
REC000245	GRP0116	primary_group	SRC0001	high	raw_extracted
REC000246	GRP0081	primary_group	SRC0001	high	raw_extracted
REC000252	GRP0191	primary_group	SRC0001	high	raw_extracted
REC000258	GRP0062	primary_group	SRC0001	high	raw_extracted
REC000261	GRP0120	primary_group	SRC0001	high	raw_extracted
REC000262	GRP0166	primary_group	SRC0001	high	raw_extracted
REC000264	GRP0142	primary_group	SRC0001	high	raw_extracted
REC000265	GRP0079	primary_group	SRC0001	high	raw_extracted
REC000269	GRP0142	primary_group	SRC0001	high	raw_extracted
REC000280	GRP0146	primary_group	SRC0001	high	raw_extracted
REC000281	GRP0190	primary_group	SRC0001	high	raw_extracted
REC000288	GRP0128	primary_group	SRC0001	high	raw_extracted
REC000290	GRP0183	primary_group	SRC0001	high	raw_extracted
REC000298	GRP0128	primary_group	SRC0001	high	raw_extracted
REC000299	GRP0081	primary_group	SRC0001	high	raw_extracted
REC000301	GRP0014	primary_group	SRC0001	high	raw_extracted
REC000304	GRP0196	primary_group	SRC0001	high	raw_extracted
REC000305	GRP0126	primary_group	SRC0001	high	raw_extracted
REC000306	GRP0075	primary_group	SRC0001	high	raw_extracted
REC000308	GRP0081	primary_group	SRC0001	high	raw_extracted
REC000322	GRP0183	primary_group	SRC0001	high	raw_extracted
REC000331	GRP0174	primary_group	SRC0001	high	raw_extracted
REC000337	GRP0079	primary_group	SRC0001	high	raw_extracted
REC000343	GRP0127	primary_group	SRC0001	high	raw_extracted
REC000347	GRP0145	primary_group	SRC0001	high	raw_extracted
REC000348	GRP0162	primary_group	SRC0001	high	raw_extracted
REC000351	GRP0196	primary_group	SRC0001	high	raw_extracted
REC000354	GRP0183	primary_group	SRC0001	high	raw_extracted
REC000357	GRP0067	primary_group	SRC0001	high	raw_extracted
REC000359	GRP0183	primary_group	SRC0001	high	raw_extracted
REC000363	GRP0128	primary_group	SRC0001	high	raw_extracted
REC000366	GRP0094	primary_group	SRC0001	high	raw_extracted
REC000367	GRP0081	primary_group	SRC0001	high	raw_extracted
REC000370	GRP0081	primary_group	SRC0001	high	raw_extracted
REC000371	GRP0081	primary_group	SRC0001	high	raw_extracted
REC000372	GRP0190	primary_group	SRC0001	high	raw_extracted
REC000375	GRP0099	primary_group	SRC0001	high	raw_extracted
REC000376	GRP0073	primary_group	SRC0001	high	raw_extracted
REC000382	GRP0065	primary_group	SRC0001	high	raw_extracted
REC000383	GRP0009	primary_group	SRC0001	high	raw_extracted
REC000391	GRP0190	primary_group	SRC0001	high	raw_extracted
REC000396	GRP0063	primary_group	SRC0001	high	raw_extracted
REC000402	GRP0184	primary_group	SRC0001	high	raw_extracted
REC000406	GRP0155	primary_group	SRC0001	high	raw_extracted
REC000410	GRP0078	primary_group	SRC0001	high	raw_extracted
REC000418	GRP0155	primary_group	SRC0001	high	raw_extracted
REC000426	GRP0186	primary_group	SRC0001	high	raw_extracted
REC000429	GRP0106	primary_group	SRC0001	high	raw_extracted
REC000431	GRP0081	primary_group	SRC0001	high	raw_extracted
REC000432	GRP0081	primary_group	SRC0001	high	raw_extracted
REC000433	GRP0056	primary_group	SRC0001	high	raw_extracted
REC000434	GRP0154	primary_group	SRC0001	high	raw_extracted
REC000436	GRP0106	primary_group	SRC0001	high	raw_extracted
REC000439	GRP0103	primary_group	SRC0001	high	raw_extracted
REC000443	GRP0155	primary_group	SRC0001	high	raw_extracted
REC000445	GRP0121	primary_group	SRC0001	high	raw_extracted
REC000451	GRP0183	primary_group	SRC0001	high	raw_extracted
REC000454	GRP0183	primary_group	SRC0001	high	raw_extracted
REC000460	GRP0151	primary_group	SRC0001	high	raw_extracted
REC000461	GRP0152	primary_group	SRC0001	high	raw_extracted
REC000463	GRP0188	primary_group	SRC0001	high	raw_extracted
REC000465	GRP0057	primary_group	SRC0001	high	raw_extracted
REC000474	GRP0157	primary_group	SRC0001	high	raw_extracted
REC000475	GRP0157	primary_group	SRC0001	high	raw_extracted
REC000482	GRP0033	primary_group	SRC0001	high	raw_extracted
REC000483	GRP0033	primary_group	SRC0001	high	raw_extracted
REC000484	GRP0033	primary_group	SRC0001	high	raw_extracted
REC000487	GRP0081	primary_group	SRC0001	high	raw_extracted
REC000488	GRP0062	primary_group	SRC0001	high	raw_extracted
REC000491	GRP0081	primary_group	SRC0001	high	raw_extracted
REC000492	GRP0105	primary_group	SRC0001	high	raw_extracted
REC000493	GRP0081	primary_group	SRC0001	high	raw_extracted
REC000495	GRP0142	primary_group	SRC0001	high	raw_extracted
REC000497	GRP0190	primary_group	SRC0001	high	raw_extracted
REC000508	GRP0020	primary_group	SRC0001	high	raw_extracted
REC000512	GRP0081	primary_group	SRC0001	high	raw_extracted
REC000516	GRP0196	primary_group	SRC0001	high	raw_extracted
REC000517	GRP0190	primary_group	SRC0001	high	raw_extracted
REC000519	GRP0126	primary_group	SRC0001	high	raw_extracted
REC000520	GRP0166	primary_group	SRC0001	high	raw_extracted
REC000521	GRP0190	primary_group	SRC0001	high	raw_extracted
REC000524	GRP0119	primary_group	SRC0001	high	raw_extracted
REC000527	GRP0190	primary_group	SRC0001	high	raw_extracted
REC000529	GRP0027	primary_group	SRC0001	high	raw_extracted
REC000534	GRP0121	primary_group	SRC0001	high	raw_extracted
REC000537	GRP0158	primary_group	SRC0001	high	raw_extracted
REC000538	GRP0142	primary_group	SRC0001	high	raw_extracted
REC000539	GRP0081	primary_group	SRC0001	high	raw_extracted
REC000543	GRP0111	primary_group	SRC0001	high	raw_extracted
REC000546	GRP0142	primary_group	SRC0001	high	raw_extracted
REC000548	GRP0142	primary_group	SRC0001	high	raw_extracted
REC000549	GRP0176	primary_group	SRC0001	high	raw_extracted
REC000551	GRP0081	primary_group	SRC0001	high	raw_extracted
REC000555	GRP0201	primary_group	SRC0001	high	raw_extracted
REC000557	GRP0190	primary_group	SRC0001	high	raw_extracted
REC000558	GRP0183	primary_group	SRC0001	high	raw_extracted
REC000562	GRP0151	primary_group	SRC0001	high	raw_extracted
REC000563	GRP0152	primary_group	SRC0001	high	raw_extracted
REC000566	GRP0021	primary_group	SRC0001	high	raw_extracted
REC000568	GRP0196	primary_group	SRC0001	high	raw_extracted
REC000570	GRP0063	primary_group	SRC0001	high	raw_extracted
REC000574	GRP0129	primary_group	SRC0001	high	raw_extracted
REC000576	GRP0190	primary_group	SRC0001	high	raw_extracted
REC000579	GRP0073	primary_group	SRC0001	high	raw_extracted
REC000581	GRP0073	primary_group	SRC0001	high	raw_extracted
REC000582	GRP0184	primary_group	SRC0001	high	raw_extracted
REC000588	GRP0064	primary_group	SRC0001	high	raw_extracted
REC000589	GRP0201	primary_group	SRC0001	high	raw_extracted
REC000598	GRP0081	primary_group	SRC0001	high	raw_extracted
REC000599	GRP0185	primary_group	SRC0001	high	raw_extracted
REC000600	GRP0086	primary_group	SRC0001	high	raw_extracted
REC000604	GRP0081	primary_group	SRC0001	high	raw_extracted
REC000606	GRP0152	primary_group	SRC0001	high	raw_extracted
REC000626	GRP0036	primary_group	SRC0001	high	raw_extracted
REC000627	GRP0155	primary_group	SRC0001	high	raw_extracted
REC000629	GRP0184	primary_group	SRC0001	high	raw_extracted
REC000635	GRP0126	primary_group	SRC0001	high	raw_extracted
REC000637	GRP0126	primary_group	SRC0001	high	raw_extracted
REC000641	GRP0116	primary_group	SRC0001	high	raw_extracted
REC000646	GRP0104	primary_group	SRC0001	high	raw_extracted
REC000649	GRP0074	primary_group	SRC0001	high	raw_extracted
REC000650	GRP0035	primary_group	SRC0001	high	raw_extracted
REC000655	GRP0131	primary_group	SRC0001	high	raw_extracted
REC000657	GRP0012	primary_group	SRC0001	high	raw_extracted
REC000658	GRP0131	primary_group	SRC0001	high	raw_extracted
REC000659	GRP0081	primary_group	SRC0001	high	raw_extracted
REC000662	GRP0051	primary_group	SRC0001	high	raw_extracted
REC000665	GRP0126	primary_group	SRC0001	high	raw_extracted
REC000670	GRP0078	primary_group	SRC0001	high	raw_extracted
REC000684	GRP0166	primary_group	SRC0001	high	raw_extracted
REC000688	GRP0103	primary_group	SRC0001	high	raw_extracted
REC000689	GRP0071	primary_group	SRC0001	high	raw_extracted
REC000695	GRP0190	primary_group	SRC0001	high	raw_extracted
REC000697	GRP0142	primary_group	SRC0001	high	raw_extracted
REC000706	GRP0184	primary_group	SRC0001	high	raw_extracted
REC000707	GRP0083	primary_group	SRC0001	high	raw_extracted
REC000709	GRP0081	primary_group	SRC0001	high	raw_extracted
REC000710	GRP0081	primary_group	SRC0001	high	raw_extracted
REC000713	GRP0055	primary_group	SRC0001	high	raw_extracted
REC000715	GRP0190	primary_group	SRC0001	high	raw_extracted
REC000717	GRP0137	primary_group	SRC0001	high	raw_extracted
REC000719	GRP0157	primary_group	SRC0001	high	raw_extracted
REC000720	GRP0142	primary_group	SRC0001	high	raw_extracted
REC000725	GRP0126	primary_group	SRC0001	high	raw_extracted
REC000727	GRP0081	primary_group	SRC0001	high	raw_extracted
REC000728	GRP0081	primary_group	SRC0001	high	raw_extracted
REC000729	GRP0024	primary_group	SRC0001	high	raw_extracted
REC000731	GRP0169	primary_group	SRC0001	high	raw_extracted
REC000740	GRP0197	primary_group	SRC0001	high	raw_extracted
REC000744	GRP0166	primary_group	SRC0001	high	raw_extracted
REC000747	GRP0049	primary_group	SRC0001	high	raw_extracted
REC000749	GRP0103	primary_group	SRC0001	high	raw_extracted
REC000750	GRP0079	primary_group	SRC0001	high	raw_extracted
REC000752	GRP0058	primary_group	SRC0001	high	raw_extracted
REC000755	GRP0172	primary_group	SRC0001	high	raw_extracted
REC000758	GRP0140	primary_group	SRC0001	high	raw_extracted
REC000761	GRP0192	primary_group	SRC0001	high	raw_extracted
