recording_id	song_id	relationship_type	source_id	confidence	review_status
REC000001	SONG000001	primary_song	SRC0003	high	approved
REC000002	SONG000002	primary_song	SRC0003	high	approved
REC000003	SONG000003	exact_title	SRC0003	high	approved
REC000004	SONG000004	exact_title	SRC0003	high	approved
REC000005	SONG000005	exact_title	SRC0003	high	approved
REC000006	SONG000006	exact_title	SRC0003	high	approved
REC000007	SONG000007	exact_title	SRC0003	high	approved
REC000008	SONG000008	exact_title	SRC0003	high	approved
REC000009	SONG000009	exact_title	SRC0003	high	approved
REC000010	SONG000009	exact_title	SRC0003	high	approved
REC000011	SONG000010	exact_title	SRC0003	high	approved
REC000012	SONG000010	exact_title	SRC0003	high	approved
REC000013	SONG000010	exact_title	SRC0003	high	approved
REC000014	SONG000010	exact_title	SRC0003	high	approved
REC000015	SONG000011	exact_title	SRC0003	high	approved
REC000016	SONG000012	exact_title	SRC0003	high	approved
REC000017	SONG000013	exact_title	SRC0003	high	approved
REC000018	SONG000014	exact_title	SRC0003	high	approved
REC000019	SONG000014	exact_title	SRC0003	high	approved
REC000020	SONG000014	exact_title	SRC0003	high	approved
REC000021	SONG000014	exact_title	SRC0003	high	approved
REC000022	SONG000014	exact_title	SRC0003	high	approved
REC000023	SONG000014	exact_title	SRC0003	high	approved
REC000024	SONG000015	exact_title	SRC0003	high	approved
REC000025	SONG000016	exact_title	SRC0003	high	approved
REC000026	SONG000016	exact_title	SRC0003	high	approved
REC000027	SONG000016	exact_title	SRC0003	high	approved
REC000028	SONG000016	exact_title	SRC0003	high	approved
REC000029	SONG000017	exact_title	SRC0003	high	approved
REC000030	SONG000018	exact_title	SRC0003	high	approved
REC000031	SONG000018	exact_title	SRC0003	high	approved
REC000032	SONG000019	exact_title	SRC0003	high	approved
REC000033	SONG000020	exact_title	SRC0003	high	approved
REC000034	SONG000021	exact_title	SRC0003	high	approved
REC000035	SONG000022	exact_title	SRC0003	high	approved
REC000036	SONG000023	exact_title	SRC0003	high	approved
REC000037	SONG000024	exact_title	SRC0003	high	approved
REC000038	SONG000024	exact_title	SRC0003	high	approved
REC000039	SONG000024	exact_title	SRC0003	high	approved
REC000040	SONG000024	exact_title	SRC0003	high	approved
REC000041	SONG000025	exact_title	SRC0003	high	approved
REC000042	SONG000026	exact_title	SRC0003	high	approved
REC000043	SONG000027	exact_title	SRC0003	high	approved
REC000044	SONG000027	exact_title	SRC0003	high	approved
REC000045	SONG000028	exact_title	SRC0003	high	approved
REC000046	SONG000029	exact_title	SRC0003	high	approved
REC000047	SONG000030	exact_title	SRC0003	high	approved
REC000048	SONG000031	exact_title	SRC0003	high	approved
REC000049	SONG000032	exact_title	SRC0003	high	approved
REC000050	SONG000033	exact_title	SRC0003	high	approved
REC000051	SONG000034	exact_title	SRC0003	high	approved
REC000052	SONG000035	exact_title	SRC0003	high	approved
REC000053	SONG000035	exact_title	SRC0003	high	approved
REC000054	SONG000035	exact_title	SRC0003	high	approved
REC000055	SONG000036	exact_title	SRC0003	high	approved
REC000056	SONG000037	exact_title	SRC0003	high	approved
REC000057	SONG000037	exact_title	SRC0003	high	approved
REC000058	SONG000038	exact_title	SRC0003	high	approved
REC000059	SONG000039	exact_title	SRC0003	high	approved
REC000060	SONG000040	exact_title	SRC0003	high	approved
REC000061	SONG000041	exact_title	SRC0003	high	approved
REC000062	SONG000042	exact_title	SRC0003	high	approved
REC000063	SONG000043	exact_title	SRC0003	high	approved
REC000064	SONG000043	exact_title	SRC0003	high	approved
REC000065	SONG000043	exact_title	SRC0003	high	approved
REC000066	SONG000044	exact_title	SRC0003	high	approved
REC000067	SONG000045	exact_title	SRC0003	high	approved
REC000068	SONG000046	exact_title	SRC0003	high	approved
REC000069	SONG000047	exact_title	SRC0003	high	approved
REC000070	SONG000047	exact_title	SRC0003	high	approved
REC000071	SONG000048	exact_title	SRC0003	high	approved
REC000072	SONG000049	exact_title	SRC0003	high	approved
REC000073	SONG000050	exact_title	SRC0003	high	approved
REC000074	SONG000051	exact_title	SRC0003	high	approved
REC000075	SONG000052	exact_title	SRC0003	high	approved
REC000076	SONG000053	exact_title	SRC0003	high	approved
REC000077	SONG000053	exact_title	SRC0003	high	approved
REC000078	SONG000054	exact_title	SRC0003	high	approved
REC000079	SONG000054	exact_title	SRC0003	high	approved
REC000080	SONG000054	exact_title	SRC0003	high	approved
REC000081	SONG000054	exact_title	SRC0003	high	approved
REC000082	SONG000054	exact_title	SRC0003	high	approved
REC000083	SONG000054	exact_title	SRC0003	high	approved
REC000084	SONG000055	exact_title	SRC0003	high	approved
REC000085	SONG000056	exact_title	SRC0003	high	approved
REC000086	SONG000057	exact_title	SRC0003	high	approved
REC000087	SONG000058	exact_title	SRC0003	high	approved
REC000088	SONG000059	exact_title	SRC0003	high	approved
REC000089	SONG000060	exact_title	SRC0003	high	approved
REC000090	SONG000060	exact_title	SRC0003	high	approved
REC000091	SONG000061	exact_title	SRC0003	high	approved
REC000092	SONG000062	exact_title	SRC0003	high	approved
REC000093	SONG000063	exact_title	SRC0003	high	approved
REC000094	SONG000064	exact_title	SRC0003	high	approved
REC000095	SONG000065	exact_title	SRC0003	high	approved
REC000096	SONG000065	exact_title	SRC0003	high	approved
REC000097	SONG000065	exact_title	SRC0003	high	approved
REC000098	SONG000066	exact_title	SRC0003	high	approved
REC000099	SONG000067	exact_title	SRC0003	high	approved
REC000100	SONG000068	exact_title	SRC0003	high	approved
REC000101	SONG000069	exact_title	SRC0003	high	approved
REC000102	SONG000070	exact_title	SRC0003	high	approved
REC000103	SONG000071	exact_title	SRC0003	high	approved
REC000104	SONG000072	exact_title	SRC0003	high	approved
REC000105	SONG000073	exact_title	SRC0003	high	approved
REC000106	SONG000074	exact_title	SRC0003	high	approved
REC000107	SONG000075	exact_title	SRC0003	high	approved
REC000108	SONG000076	exact_title	SRC0003	high	approved
REC000109	SONG000076	exact_title	SRC0003	high	approved
REC000110	SONG000077	exact_title	SRC0003	high	approved
REC000111	SONG000078	exact_title	SRC0003	high	approved
REC000112	SONG000079	exact_title	SRC0003	high	approved
REC000113	SONG000080	exact_title	SRC0003	high	approved
REC000114	SONG000081	exact_title	SRC0003	high	approved
REC000115	SONG000081	exact_title	SRC0003	high	approved
REC000116	SONG000082	exact_title	SRC0003	high	approved
REC000117	SONG000083	exact_title	SRC0003	high	approved
REC000118	SONG000084	exact_title	SRC0003	high	approved
REC000119	SONG000085	exact_title	SRC0003	high	approved
REC000120	SONG000086	exact_title	SRC0003	high	approved
REC000121	SONG000087	exact_title	SRC0003	high	approved
REC000122	SONG000088	exact_title	SRC0003	high	approved
REC000123	SONG000089	exact_title	SRC0003	high	approved
REC000124	SONG000090	exact_title	SRC0003	high	approved
REC000125	SONG000091	exact_title	SRC0003	high	approved
REC000126	SONG000092	exact_title	SRC0003	high	approved
REC000127	SONG000093	exact_title	SRC0003	high	approved
REC000128	SONG000094	exact_title	SRC0003	high	approved
REC000129	SONG000095	exact_title	SRC0003	high	approved
REC000130	SONG000096	exact_title	SRC0003	high	approved
REC000131	SONG000097	exact_title	SRC0003	high	approved
REC000132	SONG000098	exact_title	SRC0003	high	approved
REC000133	SONG000098	exact_title	SRC0003	high	approved
REC000134	SONG000099	exact_title	SRC0003	high	approved
REC000135	SONG000100	exact_title	SRC0003	high	approved
REC000136	SONG000101	exact_title	SRC0003	high	approved
REC000137	SONG000101	exact_title	SRC0003	high	approved
REC000138	SONG000102	exact_title	SRC0003	high	approved
REC000139	SONG000103	exact_title	SRC0003	high	approved
REC000140	SONG000104	exact_title	SRC0003	high	approved
REC000141	SONG000105	exact_title	SRC0003	high	approved
REC000142	SONG000105	exact_title	SRC0003	high	approved
REC000143	SONG000106	exact_title	SRC0003	high	approved
REC000144	SONG000107	exact_title	SRC0003	high	approved
REC000145	SONG000107	exact_title	SRC0003	high	approved
REC000146	SONG000108	exact_title	SRC0003	high	approved
REC000147	SONG000109	exact_title	SRC0003	high	approved
REC000148	SONG000110	exact_title	SRC0003	high	approved
REC000149	SONG000111	exact_title	SRC0003	high	approved
REC000150	SONG000112	exact_title	SRC0003	high	approved
REC000151	SONG000113	exact_title	SRC0003	high	approved
REC000152	SONG000114	exact_title	SRC0003	high	approved
REC000153	SONG000115	exact_title	SRC0003	high	approved
REC000154	SONG000116	exact_title	SRC0003	high	approved
REC000155	SONG000116	exact_title	SRC0003	high	approved
REC000156	SONG000117	exact_title	SRC0003	high	approved
REC000157	SONG000118	exact_title	SRC0003	high	approved
REC000158	SONG000118	exact_title	SRC0003	high	approved
REC000159	SONG000119	exact_title	SRC0003	high	approved
REC000160	SONG000120	exact_title	SRC0003	high	approved
REC000161	SONG000121	exact_title	SRC0003	high	approved
REC000162	SONG000122	exact_title	SRC0003	high	approved
REC000163	SONG000122	exact_title	SRC0003	high	approved
REC000164	SONG000123	exact_title	SRC0003	high	approved
REC000165	SONG000124	exact_title	SRC0003	high	approved
REC000166	SONG000125	exact_title	SRC0003	high	approved
REC000167	SONG000126	exact_title	SRC0003	high	approved
REC000168	SONG000127	exact_title	SRC0003	high	approved
REC000169	SONG000128	exact_title	SRC0003	high	approved
REC000170	SONG000128	exact_title	SRC0003	high	approved
REC000171	SONG000129	exact_title	SRC0003	high	approved
REC000172	SONG000130	exact_title	SRC0003	high	approved
REC000173	SONG000131	exact_title	SRC0003	high	approved
REC000174	SONG000132	exact_title	SRC0003	high	approved
REC000175	SONG000133	exact_title	SRC0003	high	approved
REC000176	SONG000133	exact_title	SRC0003	high	approved
REC000177	SONG000133	exact_title	SRC0003	high	approved
REC000178	SONG000134	exact_title	SRC0003	high	approved
REC000179	SONG000135	exact_title	SRC0003	high	approved
REC000180	SONG000135	exact_title	SRC0003	high	approved
REC000181	SONG000135	exact_title	SRC0003	high	approved
REC000182	SONG000136	exact_title	SRC0003	high	approved
REC000183	SONG000137	exact_title	SRC0003	high	approved
REC000184	SONG000138	exact_title	SRC0003	high	approved
REC000185	SONG000139	exact_title	SRC0003	high	approved
REC000186	SONG000140	exact_title	SRC0003	high	approved
REC000187	SONG000140	exact_title	SRC0003	high	approved
REC000188	SONG000141	exact_title	SRC0003	high	approved
REC000189	SONG000142	exact_title	SRC0003	high	approved
REC000190	SONG000143	exact_title	SRC0003	high	approved
REC000191	SONG000143	exact_title	SRC0003	high	approved
REC000192	SONG000144	exact_title	SRC0003	high	approved
REC000193	SONG000144	exact_title	SRC0003	high	approved
REC000194	SONG000145	exact_title	SRC0003	high	approved
REC000195	SONG000146	exact_title	SRC0003	high	approved
REC000196	SONG000147	exact_title	SRC0003	high	approved
REC000197	SONG000148	exact_title	SRC0003	high	approved
REC000198	SONG000149	exact_title	SRC0003	high	approved
REC000199	SONG000150	exact_title	SRC0003	high	approved
REC000200	SONG000151	exact_title	SRC0003	high	approved
REC000201	SONG000152	exact_title	SRC0003	high	approved
REC000202	SONG000153	exact_title	SRC0003	high	approved
REC000203	SONG000153	exact_title	SRC0003	high	approved
REC000204	SONG000154	exact_title	SRC0003	high	approved
REC000205	SONG000155	exact_title	SRC0003	high	approved
REC000206	SONG000156	exact_title	SRC0003	high	approved
REC000207	SONG000157	exact_title	SRC0003	high	approved
REC000208	SONG000158	exact_title	SRC0003	high	approved
REC000209	SONG000159	exact_title	SRC0003	high	approved
REC000210	SONG000159	exact_title	SRC0003	high	approved
REC000211	SONG000160	exact_title	SRC0003	high	approved
REC000212	SONG000161	exact_title	SRC0003	high	approved
REC000213	SONG000161	exact_title	SRC0003	high	approved
REC000214	SONG000161	exact_title	SRC0003	high	approved
REC000215	SONG000162	exact_title	SRC0003	high	approved
REC000216	SONG000163	exact_title	SRC0003	high	approved
REC000217	SONG000164	exact_title	SRC0003	high	approved
REC000218	SONG000165	exact_title	SRC0003	high	approved
REC000219	SONG000166	exact_title	SRC0003	high	approved
REC000220	SONG000166	exact_title	SRC0003	high	approved
REC000221	SONG000167	exact_title	SRC0003	high	approved
REC000222	SONG000167	exact_title	SRC0003	high	approved
REC000223	SONG000168	exact_title	SRC0003	high	approved
REC000224	SONG000169	exact_title	SRC0003	high	approved
REC000225	SONG000170	exact_title	SRC0003	high	approved
REC000226	SONG000171	exact_title	SRC0003	high	approved
REC000227	SONG000172	exact_title	SRC0003	high	approved
REC000228	SONG000173	exact_title	SRC0003	high	approved
REC000229	SONG000174	exact_title	SRC0003	high	approved
REC000230	SONG000175	exact_title	SRC0003	high	approved
REC000231	SONG000176	exact_title	SRC0003	high	approved
REC000232	SONG000177	exact_title	SRC0003	high	approved
REC000233	SONG000178	exact_title	SRC0003	high	approved
REC000234	SONG000179	exact_title	SRC0003	high	approved
REC000235	SONG000180	exact_title	SRC0003	high	approved
REC000236	SONG000181	exact_title	SRC0003	high	approved
REC000237	SONG000182	exact_title	SRC0003	high	approved
REC000238	SONG000183	exact_title	SRC0003	high	approved
REC000239	SONG000184	exact_title	SRC0003	high	approved
REC000240	SONG000185	exact_title	SRC0003	high	approved
REC000241	SONG000186	exact_title	SRC0003	high	approved
REC000242	SONG000186	exact_title	SRC0003	high	approved
REC000243	SONG000187	exact_title	SRC0003	high	approved
REC000244	SONG000188	exact_title	SRC0003	high	approved
REC000245	SONG000188	exact_title	SRC0003	high	approved
REC000246	SONG000188	exact_title	SRC0003	high	approved
REC000247	SONG000189	exact_title	SRC0003	high	approved
REC000248	SONG000190	exact_title	SRC0003	high	approved
REC000249	SONG000190	exact_title	SRC0003	high	approved
REC000250	SONG000191	exact_title	SRC0003	high	approved
REC000251	SONG000192	exact_title	SRC0003	high	approved
REC000252	SONG000193	exact_title	SRC0003	high	approved
REC000253	SONG000194	exact_title	SRC0003	high	approved
REC000254	SONG000194	exact_title	SRC0003	high	approved
REC000255	SONG000194	exact_title	SRC0003	high	approved
REC000256	SONG000194	exact_title	SRC0003	high	approved
REC000257	SONG000195	exact_title	SRC0003	high	approved
REC000258	SONG000196	exact_title	SRC0003	high	approved
REC000259	SONG000197	exact_title	SRC0003	high	approved
REC000260	SONG000198	exact_title	SRC0003	high	approved
REC000261	SONG000199	exact_title	SRC0003	high	approved
REC000262	SONG000200	exact_title	SRC0003	high	approved
REC000263	SONG000201	exact_title	SRC0003	high	approved
REC000264	SONG000201	exact_title	SRC0003	high	approved
REC000265	SONG000202	exact_title	SRC0003	high	approved
REC000266	SONG000203	exact_title	SRC0003	high	approved
REC000267	SONG000204	exact_title	SRC0003	high	approved
REC000268	SONG000205	exact_title	SRC0003	high	approved
REC000269	SONG000205	exact_title	SRC0003	high	approved
REC000270	SONG000205	exact_title	SRC0003	high	approved
REC000271	SONG000206	exact_title	SRC0003	high	approved
REC000272	SONG000207	exact_title	SRC0003	high	approved
REC000273	SONG000207	exact_title	SRC0003	high	approved
REC000274	SONG000208	exact_title	SRC0003	high	approved
REC000275	SONG000209	exact_title	SRC0003	high	approved
REC000276	SONG000210	exact_title	SRC0003	high	approved
REC000277	SONG000211	exact_title	SRC0003	high	approved
REC000278	SONG000211	exact_title	SRC0003	high	approved
REC000279	SONG000211	exact_title	SRC0003	high	approved
REC000280	SONG000212	exact_title	SRC0003	high	approved
REC000281	SONG000213	exact_title	SRC0003	high	approved
REC000282	SONG000214	exact_title	SRC0003	high	approved
REC000283	SONG000215	exact_title	SRC0003	high	approved
REC000284	SONG000215	exact_title	SRC0003	high	approved
REC000285	SONG000215	exact_title	SRC0003	high	approved
REC000286	SONG000216	exact_title	SRC0003	high	approved
REC000287	SONG000217	exact_title	SRC0003	high	approved
REC000288	SONG000218	exact_title	SRC0003	high	approved
REC000289	SONG000219	exact_title	SRC0003	high	approved
REC000290	SONG000220	exact_title	SRC0003	high	approved
REC000291	SONG000220	exact_title	SRC0003	high	approved
REC000292	SONG000220	exact_title	SRC0003	high	approved
REC000293	SONG000220	exact_title	SRC0003	high	approved
REC000294	SONG000220	exact_title	SRC0003	high	approved
REC000295	SONG000220	exact_title	SRC0003	high	approved
REC000296	SONG000221	exact_title	SRC0003	high	approved
REC000297	SONG000222	exact_title	SRC0003	high	approved
REC000298	SONG000223	exact_title	SRC0003	high	approved
REC000299	SONG000223	exact_title	SRC0003	high	approved
REC000300	SONG000224	exact_title	SRC0003	high	approved
REC000301	SONG000225	exact_title	SRC0003	high	approved
REC000302	SONG000225	exact_title	SRC0003	high	approved
REC000303	SONG000226	exact_title	SRC0003	high	approved
REC000304	SONG000227	exact_title	SRC0003	high	approved
REC000305	SONG000228	exact_title	SRC0003	high	approved
REC000306	SONG000229	exact_title	SRC0003	high	approved
REC000307	SONG000230	exact_title	SRC0003	high	approved
REC000308	SONG000231	exact_title	SRC0003	high	approved
REC000309	SONG000232	exact_title	SRC0003	high	approved
REC000310	SONG000232	exact_title	SRC0003	high	approved
REC000311	SONG000232	exact_title	SRC0003	high	approved
REC000312	SONG000232	exact_title	SRC0003	high	approved
REC000313	SONG000233	exact_title	SRC0003	high	approved
REC000314	SONG000233	exact_title	SRC0003	high	approved
REC000315	SONG000234	exact_title	SRC0003	high	approved
REC000316	SONG000235	exact_title	SRC0003	high	approved
REC000317	SONG000235	exact_title	SRC0003	high	approved
REC000318	SONG000235	exact_title	SRC0003	high	approved
REC000319	SONG000236	exact_title	SRC0003	high	approved
REC000320	SONG000237	exact_title	SRC0003	high	approved
REC000321	SONG000238	exact_title	SRC0003	high	approved
REC000322	SONG000238	exact_title	SRC0003	high	approved
REC000323	SONG000238	exact_title	SRC0003	high	approved
REC000324	SONG000239	exact_title	SRC0003	high	approved
REC000325	SONG000240	exact_title	SRC0003	high	approved
REC000326	SONG000241	exact_title	SRC0003	high	approved
REC000327	SONG000242	exact_title	SRC0003	high	approved
REC000328	SONG000242	exact_title	SRC0003	high	approved
REC000329	SONG000242	exact_title	SRC0003	high	approved
REC000330	SONG000243	exact_title	SRC0003	high	approved
REC000331	SONG000244	exact_title	SRC0003	high	approved
REC000332	SONG000245	exact_title	SRC0003	high	approved
REC000333	SONG000246	exact_title	SRC0003	high	approved
REC000334	SONG000247	exact_title	SRC0003	high	approved
REC000335	SONG000248	exact_title	SRC0003	high	approved
REC000336	SONG000249	exact_title	SRC0003	high	approved
REC000337	SONG000250	exact_title	SRC0003	high	approved
REC000338	SONG000251	exact_title	SRC0003	high	approved
REC000339	SONG000252	exact_title	SRC0003	high	approved
REC000340	SONG000252	exact_title	SRC0003	high	approved
REC000341	SONG000252	exact_title	SRC0003	high	approved
REC000342	SONG000253	exact_title	SRC0003	high	approved
REC000343	SONG000254	exact_title	SRC0003	high	approved
REC000344	SONG000255	exact_title	SRC0003	high	approved
REC000345	SONG000256	exact_title	SRC0003	high	approved
REC000346	SONG000257	exact_title	SRC0003	high	approved
REC000347	SONG000258	exact_title	SRC0003	high	approved
REC000348	SONG000259	exact_title	SRC0003	high	approved
REC000349	SONG000260	exact_title	SRC0003	high	approved
REC000350	SONG000261	exact_title	SRC0003	high	approved
REC000351	SONG000262	exact_title	SRC0003	high	approved
REC000352	SONG000263	exact_title	SRC0003	high	approved
REC000353	SONG000264	exact_title	SRC0003	high	approved
REC000354	SONG000265	exact_title	SRC0003	high	approved
REC000355	SONG000266	exact_title	SRC0003	high	approved
REC000356	SONG000267	exact_title	SRC0003	high	approved
REC000357	SONG000268	exact_title	SRC0003	high	approved
REC000358	SONG000269	exact_title	SRC0003	high	approved
REC000359	SONG000270	exact_title	SRC0003	high	approved
REC000360	SONG000271	exact_title	SRC0003	high	approved
REC000361	SONG000272	exact_title	SRC0003	high	approved
REC000362	SONG000272	exact_title	SRC0003	high	approved
REC000363	SONG000273	exact_title	SRC0003	high	approved
REC000364	SONG000274	exact_title	SRC0003	high	approved
REC000365	SONG000274	exact_title	SRC0003	high	approved
REC000366	SONG000275	exact_title	SRC0003	high	approved
REC000367	SONG000276	exact_title	SRC0003	high	approved
REC000368	SONG000277	exact_title	SRC0003	high	approved
REC000369	SONG000278	exact_title	SRC0003	high	approved
REC000370	SONG000279	exact_title	SRC0003	high	approved
REC000371	SONG000279	exact_title	SRC0003	high	approved
REC000372	SONG000280	exact_title	SRC0003	high	approved
REC000373	SONG000281	exact_title	SRC0003	high	approved
REC000374	SONG000282	exact_title	SRC0003	high	approved
REC000375	SONG000283	exact_title	SRC0003	high	approved
REC000376	SONG000284	exact_title	SRC0003	high	approved
REC000377	SONG000285	exact_title	SRC0003	high	approved
REC000378	SONG000286	exact_title	SRC0003	high	approved
REC000379	SONG000286	exact_title	SRC0003	high	approved
REC000380	SONG000287	exact_title	SRC0003	high	approved
REC000381	SONG000288	exact_title	SRC0003	high	approved
REC000382	SONG000289	exact_title	SRC0003	high	approved
REC000383	SONG000290	exact_title	SRC0003	high	approved
REC000384	SONG000291	exact_title	SRC0003	high	approved
REC000385	SONG000292	exact_title	SRC0003	high	approved
REC000386	SONG000293	exact_title	SRC0003	high	approved
REC000387	SONG000294	exact_title	SRC0003	high	approved
REC000388	SONG000295	exact_title	SRC0003	high	approved
REC000389	SONG000296	exact_title	SRC0003	high	approved
REC000390	SONG000297	exact_title	SRC0003	high	approved
REC000391	SONG000298	exact_title	SRC0003	high	approved
REC000392	SONG000299	exact_title	SRC0003	high	approved
REC000393	SONG000299	exact_title	SRC0003	high	approved
REC000394	SONG000299	exact_title	SRC0003	high	approved
REC000395	SONG000300	exact_title	SRC0003	high	approved
REC000396	SONG000301	exact_title	SRC0003	high	approved
REC000397	SONG000302	exact_title	SRC0003	high	approved
REC000398	SONG000302	exact_title	SRC0003	high	approved
REC000399	SONG000303	exact_title	SRC0003	high	approved
REC000400	SONG000304	exact_title	SRC0003	high	approved
REC000401	SONG000305	exact_title	SRC0003	high	approved
REC000402	SONG000306	exact_title	SRC0003	high	approved
REC000403	SONG000307	exact_title	SRC0003	high	approved
REC000404	SONG000307	exact_title	SRC0003	high	approved
REC000405	SONG000308	exact_title	SRC0003	high	approved
REC000406	SONG000308	exact_title	SRC0003	high	approved
REC000407	SONG000309	exact_title	SRC0003	high	approved
REC000408	SONG000310	exact_title	SRC0003	high	approved
REC000409	SONG000311	exact_title	SRC0003	high	approved
REC000410	SONG000312	exact_title	SRC0003	high	approved
REC000411	SONG000313	exact_title	SRC0003	high	approved
REC000412	SONG000313	exact_title	SRC0003	high	approved
REC000413	SONG000314	exact_title	SRC0003	high	approved
REC000414	SONG000314	exact_title	SRC0003	high	approved
REC000415	SONG000315	exact_title	SRC0003	high	approved
REC000416	SONG000316	exact_title	SRC0003	high	approved
REC000417	SONG000316	exact_title	SRC0003	high	approved
REC000418	SONG000317	exact_title	SRC0003	high	approved
REC000419	SONG000317	exact_title	SRC0003	high	approved
REC000420	SONG000318	exact_title	SRC0003	high	approved
REC000421	SONG000318	exact_title	SRC0003	high	approved
REC000422	SONG000319	exact_title	SRC0003	high	approved
REC000423	SONG000320	exact_title	SRC0003	high	approved
REC000424	SONG000321	exact_title	SRC0003	high	approved
REC000425	SONG000321	exact_title	SRC0003	high	approved
REC000426	SONG000322	exact_title	SRC0003	high	approved
REC000427	SONG000323	exact_title	SRC0003	high	approved
REC000428	SONG000324	exact_title	SRC0003	high	approved
REC000429	SONG000324	exact_title	SRC0003	high	approved
REC000430	SONG000324	exact_title	SRC0003	high	approved
REC000431	SONG000325	exact_title	SRC0003	high	approved
REC000432	SONG000325	exact_title	SRC0003	high	approved
REC000433	SONG000326	exact_title	SRC0003	high	approved
REC000434	SONG000327	exact_title	SRC0003	high	approved
REC000435	SONG000328	exact_title	SRC0003	high	approved
REC000436	SONG000329	exact_title	SRC0003	high	approved
REC000437	SONG000330	exact_title	SRC0003	high	approved
REC000438	SONG000331	exact_title	SRC0003	high	approved
REC000439	SONG000332	exact_title	SRC0003	high	approved
REC000440	SONG000333	exact_title	SRC0003	high	approved
REC000441	SONG000334	exact_title	SRC0003	high	approved
REC000442	SONG000335	exact_title	SRC0003	high	approved
REC000443	SONG000335	exact_title	SRC0003	high	approved
REC000444	SONG000336	exact_title	SRC0003	high	approved
REC000445	SONG000337	exact_title	SRC0003	high	approved
REC000446	SONG000338	exact_title	SRC0003	high	approved
REC000447	SONG000339	exact_title	SRC0003	high	approved
REC000448	SONG000340	exact_title	SRC0003	high	approved
REC000449	SONG000340	exact_title	SRC0003	high	approved
REC000450	SONG000341	exact_title	SRC0003	high	approved
REC000451	SONG000342	exact_title	SRC0003	high	approved
REC000452	SONG000343	exact_title	SRC0003	high	approved
REC000453	SONG000344	exact_title	SRC0003	high	approved
REC000454	SONG000345	exact_title	SRC0003	high	approved
REC000455	SONG000346	exact_title	SRC0003	high	approved
REC000456	SONG000347	exact_title	SRC0003	high	approved
REC000457	SONG000347	exact_title	SRC0003	high	approved
REC000458	SONG000347	exact_title	SRC0003	high	approved
REC000459	SONG000348	exact_title	SRC0003	high	approved
REC000460	SONG000349	exact_title	SRC0003	high	approved
REC000461	SONG000349	exact_title	SRC0003	high	approved
REC000462	SONG000350	exact_title	SRC0003	high	approved
REC000463	SONG000351	exact_title	SRC0003	high	approved
REC000464	SONG000352	exact_title	SRC0003	high	approved
REC000465	SONG000353	exact_title	SRC0003	high	approved
REC000466	SONG000354	exact_title	SRC0003	high	approved
REC000467	SONG000355	exact_title	SRC0003	high	approved
REC000468	SONG000356	exact_title	SRC0003	high	approved
REC000469	SONG000357	exact_title	SRC0003	high	approved
REC000470	SONG000358	exact_title	SRC0003	high	approved
REC000471	SONG000359	exact_title	SRC0003	high	approved
REC000472	SONG000360	exact_title	SRC0003	high	approved
REC000473	SONG000361	exact_title	SRC0003	high	approved
REC000474	SONG000362	exact_title	SRC0003	high	approved
REC000475	SONG000362	exact_title	SRC0003	high	approved
REC000476	SONG000363	exact_title	SRC0003	high	approved
REC000477	SONG000364	exact_title	SRC0003	high	approved
REC000478	SONG000365	exact_title	SRC0003	high	approved
REC000479	SONG000365	exact_title	SRC0003	high	approved
REC000480	SONG000365	exact_title	SRC0003	high	approved
REC000481	SONG000366	exact_title	SRC0003	high	approved
REC000482	SONG000366	exact_title	SRC0003	high	approved
REC000483	SONG000366	exact_title	SRC0003	high	approved
REC000484	SONG000366	exact_title	SRC0003	high	approved
REC000485	SONG000367	exact_title	SRC0003	high	approved
REC000486	SONG000368	exact_title	SRC0003	high	approved
REC000487	SONG000369	exact_title	SRC0003	high	approved
REC000488	SONG000370	exact_title	SRC0003	high	approved
REC000489	SONG000371	exact_title	SRC0003	high	approved
REC000490	SONG000372	exact_title	SRC0003	high	approved
REC000491	SONG000373	exact_title	SRC0003	high	approved
REC000492	SONG000374	exact_title	SRC0003	high	approved
REC000493	SONG000375	exact_title	SRC0003	high	approved
REC000494	SONG000376	exact_title	SRC0003	high	approved
REC000495	SONG000377	exact_title	SRC0003	high	approved
REC000496	SONG000378	exact_title	SRC0003	high	approved
REC000497	SONG000379	exact_title	SRC0003	high	approved
REC000498	SONG000380	exact_title	SRC0003	high	approved
REC000499	SONG000381	exact_title	SRC0003	high	approved
REC000500	SONG000382	exact_title	SRC0003	high	approved
REC000501	SONG000382	exact_title	SRC0003	high	approved
REC000502	SONG000382	exact_title	SRC0003	high	approved
REC000503	SONG000382	exact_title	SRC0003	high	approved
REC000504	SONG000382	exact_title	SRC0003	high	approved
REC000505	SONG000383	exact_title	SRC0003	high	approved
REC000506	SONG000383	exact_title	SRC0003	high	approved
