song_id	group_id	relationship_type	source_id	confidence	review_status
SONG000001	GRP0001	derived_from_recording	SRC0003	high	approved
SONG000002	GRP0001	derived_from_recording	SRC0003	high	approved
SONG000008	GRP0162	derived_from_recording	SRC0003	high	approved
SONG000013	GRP0201	derived_from_recording	SRC0003	high	approved
SONG000017	GRP0071	derived_from_recording	SRC0003	high	approved
SONG000018	GRP0071	derived_from_recording	SRC0003	high	approved
SONG000020	GRP0099	derived_from_recording	SRC0003	high	approved
SONG000023	GRP0103	derived_from_recording	SRC0003	high	approved
SONG000048	GRP0098	derived_from_recording	SRC0003	high	approved
SONG000053	GRP0154	derived_from_recording	SRC0003	high	approved
SONG000054	GRP0126	derived_from_recording	SRC0003	high	approved
SONG000060	GRP0014	derived_from_recording	SRC0003	high	approved
SONG000063	GRP0121	derived_from_recording	SRC0003	high	approved
SONG000069	GRP0081	derived_from_recording	SRC0003	high	approved
SONG000073	GRP0126	derived_from_recording	SRC0003	high	approved
SONG000075	GRP0014	derived_from_recording	SRC0003	high	approved
SONG000079	GRP0135	derived_from_recording	SRC0003	high	approved
SONG000085	GRP0081	derived_from_recording	SRC0003	high	approved
SONG000086	GRP0126	derived_from_recording	SRC0003	high	approved
SONG000092	GRP0067	derived_from_recording	SRC0003	high	approved
SONG000095	GRP0079	derived_from_recording	SRC0003	high	approved
SONG000104	GRP0110	derived_from_recording	SRC0003	high	approved
SONG000105	GRP0184	derived_from_recording	SRC0003	high	approved
SONG000109	GRP0098	derived_from_recording	SRC0003	high	approved
SONG000111	GRP0081	derived_from_recording	SRC0003	high	approved
SONG000115	GRP0081	derived_from_recording	SRC0003	high	approved
SONG000116	GRP0126	derived_from_recording	SRC0003	high	approved
SONG000119	GRP0162	derived_from_recording	SRC0003	high	approved
SONG000120	GRP0025	derived_from_recording	SRC0003	high	approved
SONG000123	GRP0145	derived_from_recording	SRC0003	high	approved
SONG000125	GRP0163	derived_from_recording	SRC0003	high	approved
SONG000130	GRP0094	derived_from_recording	SRC0003	high	approved
SONG000132	GRP0051	derived_from_recording	SRC0003	high	approved
SONG000135	GRP0094	derived_from_recording	SRC0003	high	approved
SONG000138	GRP0172	derived_from_recording	SRC0003	high	approved
SONG000143	GRP0151	derived_from_recording	SRC0003	high	approved
SONG000143	GRP0152	derived_from_recording	SRC0003	high	approved
SONG000144	GRP0199	derived_from_recording	SRC0003	high	approved
SONG000147	GRP0161	derived_from_recording	SRC0003	high	approved
SONG000149	GRP0139	derived_from_recording	SRC0003	high	approved
SONG000152	GRP0188	derived_from_recording	SRC0003	high	approved
SONG000158	GRP0162	derived_from_recording	SRC0003	high	approved
SONG000160	GRP0051	derived_from_recording	SRC0003	high	approved
SONG000164	GRP0109	derived_from_recording	SRC0003	high	approved
SONG000173	GRP0178	derived_from_recording	SRC0003	high	approved
SONG000179	GRP0069	derived_from_recording	SRC0003	high	approved
SONG000181	GRP0190	derived_from_recording	SRC0003	high	approved
SONG000182	GRP0185	derived_from_recording	SRC0003	high	approved
SONG000188	GRP0081	derived_from_recording	SRC0003	high	approved
SONG000188	GRP0116	derived_from_recording	SRC0003	high	approved
SONG000188	GRP0146	derived_from_recording	SRC0003	high	approved
SONG000193	GRP0191	derived_from_recording	SRC0003	high	approved
SONG000196	GRP0062	derived_from_recording	SRC0003	high	approved
SONG000199	GRP0120	derived_from_recording	SRC0003	high	approved
SONG000200	GRP0166	derived_from_recording	SRC0003	high	approved
SONG000201	GRP0142	derived_from_recording	SRC0003	high	approved
SONG000202	GRP0079	derived_from_recording	SRC0003	high	approved
SONG000205	GRP0142	derived_from_recording	SRC0003	high	approved
SONG000212	GRP0146	derived_from_recording	SRC0003	high	approved
SONG000213	GRP0190	derived_from_recording	SRC0003	high	approved
SONG000218	GRP0128	derived_from_recording	SRC0003	high	approved
SONG000220	GRP0183	derived_from_recording	SRC0003	high	approved
SONG000223	GRP0081	derived_from_recording	SRC0003	high	approved
SONG000223	GRP0128	derived_from_recording	SRC0003	high	approved
SONG000225	GRP0014	derived_from_recording	SRC0003	high	approved
SONG000227	GRP0196	derived_from_recording	SRC0003	high	approved
SONG000228	GRP0126	derived_from_recording	SRC0003	high	approved
SONG000229	GRP0075	derived_from_recording	SRC0003	high	approved
SONG000231	GRP0081	derived_from_recording	SRC0003	high	approved
SONG000238	GRP0183	derived_from_recording	SRC0003	high	approved
SONG000244	GRP0174	derived_from_recording	SRC0003	high	approved
SONG000250	GRP0079	derived_from_recording	SRC0003	high	approved
SONG000254	GRP0127	derived_from_recording	SRC0003	high	approved
SONG000258	GRP0145	derived_from_recording	SRC0003	high	approved
SONG000259	GRP0162	derived_from_recording	SRC0003	high	approved
SONG000262	GRP0196	derived_from_recording	SRC0003	high	approved
SONG000265	GRP0183	derived_from_recording	SRC0003	high	approved
SONG000268	GRP0067	derived_from_recording	SRC0003	high	approved
SONG000270	GRP0183	derived_from_recording	SRC0003	high	approved
SONG000273	GRP0128	derived_from_recording	SRC0003	high	approved
SONG000275	GRP0094	derived_from_recording	SRC0003	high	approved
SONG000276	GRP0081	derived_from_recording	SRC0003	high	approved
SONG000279	GRP0081	derived_from_recording	SRC0003	high	approved
SONG000280	GRP0190	derived_from_recording	SRC0003	high	approved
SONG000283	GRP0099	derived_from_recording	SRC0003	high	approved
SONG000284	GRP0073	derived_from_recording	SRC0003	high	approved
SONG000289	GRP0065	derived_from_recording	SRC0003	high	approved
SONG000290	GRP0009	derived_from_recording	SRC0003	high	approved
SONG000298	GRP0190	derived_from_recording	SRC0003	high	approved
SONG000301	GRP0063	derived_from_recording	SRC0003	high	approved
SONG000306	GRP0184	derived_from_recording	SRC0003	high	approved
SONG000308	GRP0155	derived_from_recording	SRC0003	high	approved
SONG000312	GRP0078	derived_from_recording	SRC0003	high	approved
SONG000317	GRP0155	derived_from_recording	SRC0003	high	approved
SONG000322	GRP0186	derived_from_recording	SRC0003	high	approved
SONG000324	GRP0106	derived_from_recording	SRC0003	high	approved
SONG000325	GRP0081	derived_from_recording	SRC0003	high	approved
SONG000326	GRP0056	derived_from_recording	SRC0003	high	approved
SONG000327	GRP0154	derived_from_recording	SRC0003	high	approved
SONG000329	GRP0106	derived_from_recording	SRC0003	high	approved
SONG000332	GRP0103	derived_from_recording	SRC0003	high	approved
SONG000335	GRP0155	derived_from_recording	SRC0003	high	approved
SONG000337	GRP0121	derived_from_recording	SRC0003	high	approved
SONG000342	GRP0183	derived_from_recording	SRC0003	high	approved
SONG000345	GRP0183	derived_from_recording	SRC0003	high	approved
SONG000349	GRP0151	derived_from_recording	SRC0003	high	approved
SONG000349	GRP0152	derived_from_recording	SRC0003	high	approved
SONG000351	GRP0188	derived_from_recording	SRC0003	high	approved
SONG000353	GRP0057	derived_from_recording	SRC0003	high	approved
SONG000362	GRP0157	derived_from_recording	SRC0003	high	approved
SONG000366	GRP0033	derived_from_recording	SRC0003	high	approved
SONG000369	GRP0081	derived_from_recording	SRC0003	high	approved
SONG000370	GRP0062	derived_from_recording	SRC0003	high	approved
SONG000373	GRP0081	derived_from_recording	SRC0003	high	approved
SONG000374	GRP0105	derived_from_recording	SRC0003	high	approved
SONG000375	GRP0081	derived_from_recording	SRC0003	high	approved
SONG000377	GRP0142	derived_from_recording	SRC0003	high	approved
SONG000379	GRP0190	derived_from_recording	SRC0003	high	approved
SONG000383	GRP0020	derived_from_recording	SRC0003	high	approved
SONG000385	GRP0081	derived_from_recording	SRC0003	high	approved
SONG000387	GRP0196	derived_from_recording	SRC0003	high	approved
SONG000388	GRP0190	derived_from_recording	SRC0003	high	approved
SONG000390	GRP0126	derived_from_recording	SRC0003	high	approved
SONG000391	GRP0166	derived_from_recording	SRC0003	high	approved
SONG000392	GRP0190	derived_from_recording	SRC0003	high	approved
SONG000395	GRP0119	derived_from_recording	SRC0003	high	approved
SONG000397	GRP0190	derived_from_recording	SRC0003	high	approved
SONG000399	GRP0027	derived_from_recording	SRC0003	high	approved
SONG000404	GRP0121	derived_from_recording	SRC0003	high	approved
SONG000407	GRP0158	derived_from_recording	SRC0003	high	approved
SONG000408	GRP0142	derived_from_recording	SRC0003	high	approved
SONG000409	GRP0081	derived_from_recording	SRC0003	high	approved
SONG000413	GRP0111	derived_from_recording	SRC0003	high	approved
SONG000416	GRP0142	derived_from_recording	SRC0003	high	approved
SONG000418	GRP0142	derived_from_recording	SRC0003	high	approved
SONG000419	GRP0176	derived_from_recording	SRC0003	high	approved
SONG000421	GRP0081	derived_from_recording	SRC0003	high	approved
SONG000425	GRP0201	derived_from_recording	SRC0003	high	approved
SONG000427	GRP0190	derived_from_recording	SRC0003	high	approved
SONG000428	GRP0183	derived_from_recording	SRC0003	high	approved
SONG000432	GRP0151	derived_from_recording	SRC0003	high	approved
SONG000432	GRP0152	derived_from_recording	SRC0003	high	approved
SONG000435	GRP0021	derived_from_recording	SRC0003	high	approved
SONG000437	GRP0196	derived_from_recording	SRC0003	high	approved
SONG000439	GRP0063	derived_from_recording	SRC0003	high	approved
SONG000443	GRP0129	derived_from_recording	SRC0003	high	approved
SONG000445	GRP0190	derived_from_recording	SRC0003	high	approved
SONG000448	GRP0073	derived_from_recording	SRC0003	high	approved
SONG000450	GRP0073	derived_from_recording	SRC0003	high	approved
SONG000451	GRP0184	derived_from_recording	SRC0003	high	approved
SONG000457	GRP0064	derived_from_recording	SRC0003	high	approved
SONG000458	GRP0201	derived_from_recording	SRC0003	high	approved
SONG000463	GRP0081	derived_from_recording	SRC0003	high	approved
SONG000464	GRP0185	derived_from_recording	SRC0003	high	approved
SONG000465	GRP0086	derived_from_recording	SRC0003	high	approved
SONG000468	GRP0081	derived_from_recording	SRC0003	high	approved
SONG000470	GRP0152	derived_from_recording	SRC0003	high	approved
SONG000481	GRP0036	derived_from_recording	SRC0003	high	approved
SONG000481	GRP0155	derived_from_recording	SRC0003	high	approved
SONG000481	GRP0184	derived_from_recording	SRC0003	high	approved
SONG000483	GRP0126	derived_from_recording	SRC0003	high	approved
SONG000485	GRP0126	derived_from_recording	SRC0003	high	approved
SONG000489	GRP0116	derived_from_recording	SRC0003	high	approved
SONG000492	GRP0104	derived_from_recording	SRC0003	high	approved
SONG000494	GRP0074	derived_from_recording	SRC0003	high	approved
SONG000495	GRP0035	derived_from_recording	SRC0003	high	approved
SONG000500	GRP0131	derived_from_recording	SRC0003	high	approved
SONG000502	GRP0012	derived_from_recording	SRC0003	high	approved
SONG000503	GRP0131	derived_from_recording	SRC0003	high	approved
SONG000504	GRP0081	derived_from_recording	SRC0003	high	approved
SONG000506	GRP0051	derived_from_recording	SRC0003	high	approved
SONG000508	GRP0126	derived_from_recording	SRC0003	high	approved
SONG000511	GRP0078	derived_from_recording	SRC0003	high	approved
SONG000519	GRP0166	derived_from_recording	SRC0003	high	approved
SONG000522	GRP0103	derived_from_recording	SRC0003	high	approved
SONG000523	GRP0071	derived_from_recording	SRC0003	high	approved
SONG000526	GRP0142	derived_from_recording	SRC0003	high	approved
SONG000526	GRP0190	derived_from_recording	SRC0003	high	approved
SONG000530	GRP0184	derived_from_recording	SRC0003	high	approved
SONG000531	GRP0083	derived_from_recording	SRC0003	high	approved
SONG000533	GRP0081	derived_from_recording	SRC0003	high	approved
SONG000536	GRP0055	derived_from_recording	SRC0003	high	approved
SONG000537	GRP0190	derived_from_recording	SRC0003	high	approved
SONG000539	GRP0137	derived_from_recording	SRC0003	high	approved
SONG000541	GRP0157	derived_from_recording	SRC0003	high	approved
SONG000542	GRP0142	derived_from_recording	SRC0003	high	approved
SONG000547	GRP0126	derived_from_recording	SRC0003	high	approved
SONG000548	GRP0081	derived_from_recording	SRC0003	high	approved
SONG000549	GRP0024	derived_from_recording	SRC0003	high	approved
SONG000549	GRP0081	derived_from_recording	SRC0003	high	approved
SONG000551	GRP0169	derived_from_recording	SRC0003	high	approved
SONG000560	GRP0197	derived_from_recording	SRC0003	high	approved
SONG000563	GRP0166	derived_from_recording	SRC0003	high	approved
SONG000566	GRP0049	derived_from_recording	SRC0003	high	approved
SONG000568	GRP0103	derived_from_recording	SRC0003	high	approved
SONG000569	GRP0079	derived_from_recording	SRC0003	high	approved
SONG000571	GRP0058	derived_from_recording	SRC0003	high	approved
SONG000574	GRP0172	derived_from_recording	SRC0003	high	approved
SONG000575	GRP0140	derived_from_recording	SRC0003	high	approved
SONG000576	GRP0192	derived_from_recording	SRC0003	high	approved
SONG000578	GRP0081	derived_from_recording	SRC0003	high	approved
SONG000579	GRP0081	derived_from_recording	SRC0003	high	approved
SONG000582	GRP0162	derived_from_recording	SRC0003	high	approved
SONG000584	GRP0098	derived_from_recording	SRC0003	high	approved
SONG000587	GRP0131	derived_from_recording	SRC0003	high	approved
SONG000589	GRP0166	derived_from_recording	SRC0003	high	approved
SONG000590	GRP0166	derived_from_recording	SRC0003	high	approved
SONG000593	GRP0106	derived_from_recording	SRC0003	high	approved
SONG000599	GRP0188	derived_from_recording	SRC0003	high	approved
SONG000611	GRP0067	derived_from_recording	SRC0003	high	approved
SONG000615	GRP0106	derived_from_recording	SRC0003	high	approved
SONG000616	GRP0185	derived_from_recording	SRC0003	high	approved
SONG000620	GRP0069	derived_from_recording	SRC0003	high	approved
SONG000624	GRP0073	derived_from_recording	SRC0003	high	approved
SONG000627	GRP0132	derived_from_recording	SRC0003	high	approved
SONG000638	GRP0047	derived_from_recording	SRC0003	high	approved
SONG000639	GRP0197	derived_from_recording	SRC0003	high	approved
SONG000648	GRP0186	derived_from_recording	SRC0003	high	approved
SONG000650	GRP0124	derived_from_recording	SRC0003	high	approved
SONG000651	GRP0094	derived_from_recording	SRC0003	high	approved
SONG000653	GRP0099	derived_from_recording	SRC0003	high	approved
SONG000654	GRP0081	derived_from_recording	SRC0003	high	approved
SONG000655	GRP0186	derived_from_recording	SRC0003	high	approved
SONG000657	GRP0144	derived_from_recording	SRC0003	high	approved
SONG000658	GRP0144	derived_from_recording	SRC0003	high	approved
SONG000660	GRP0174	derived_from_recording	SRC0003	high	approved
SONG000661	GRP0055	derived_from_recording	SRC0003	high	approved
SONG000665	GRP0072	derived_from_recording	SRC0003	high	approved
SONG000666	GRP0190	derived_from_recording	SRC0003	high	approved
SONG000670	GRP0093	derived_from_recording	SRC0003	high	approved
SONG000673	GRP0164	derived_from_recording	SRC0003	high	approved
SONG000679	GRP0172	derived_from_recording	SRC0003	high	approved
SONG000685	GRP0178	derived_from_recording	SRC0003	high	approved
SONG000686	GRP0190	derived_from_recording	SRC0003	high	approved
SONG000687	GRP0190	derived_from_recording	SRC0003	high	approved
SONG000689	GRP0051	derived_from_recording	SRC0003	high	approved
SONG000693	GRP0072	derived_from_recording	SRC0003	high	approved
