batch_recording_id	batch_song_id	confidence	evidence_text	relationship_type	review_status	source_id	source_reference
SRC0002-B0005-REC001	SRC0002-B0005-SONG001	high	Discos Fuentes shop product page: release='Colección 100 Parranderas del Siglo', track='1', raw_track='Echele Agua a la Sopa'	track_title_match	staged_for_review	SRC0002	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/coleccion-100-parranderas-del-siglo/#track-1
SRC0002-B0005-REC002	SRC0002-B0005-SONG002	high	Discos Fuentes shop product page: release='Colección 100 Parranderas del Siglo', track='2', raw_track='El Enredo'	track_title_match	staged_for_review	SRC0002	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/coleccion-100-parranderas-del-siglo/#track-2
SRC0002-B0005-REC003	SRC0002-B0005-SONG003	high	Discos Fuentes shop product page: release='Colección 100 Parranderas del Siglo', track='3', raw_track='El Duende Alegre'	track_title_match	staged_for_review	SRC0002	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/coleccion-100-parranderas-del-siglo/#track-3
SRC0002-B0005-REC004	SRC0002-B0005-SONG004	high	Discos Fuentes shop product page: release='Colección 100 Parranderas del Siglo', track='4', raw_track='La Encomienda'	track_title_match	staged_for_review	SRC0002	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/coleccion-100-parranderas-del-siglo/#track-4
SRC0002-B0005-REC005	SRC0002-B0005-SONG005	high	Discos Fuentes shop product page: release='Colección 100 Parranderas del Siglo', track='5', raw_track='La Dulce Toma'	track_title_match	staged_for_review	SRC0002	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/coleccion-100-parranderas-del-siglo/#track-5
SRC0002-B0005-REC006	SRC0002-B0005-SONG006	high	Discos Fuentes shop product page: release='Colección 100 Parranderas del Siglo', track='6', raw_track='La Boquitrompona'	track_title_match	staged_for_review	SRC0002	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/coleccion-100-parranderas-del-siglo/#track-6
SRC0002-B0005-REC007	SRC0002-B0005-SONG007	high	Discos Fuentes shop product page: release='Colección 100 Parranderas del Siglo', track='7', raw_track='Que lo Diga Ella'	track_title_match	staged_for_review	SRC0002	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/coleccion-100-parranderas-del-siglo/#track-7
SRC0002-B0005-REC008	SRC0002-B0005-SONG008	high	Discos Fuentes shop product page: release='Colección 100 Parranderas del Siglo', track='8', raw_track='Las Piponchas'	track_title_match	staged_for_review	SRC0002	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/coleccion-100-parranderas-del-siglo/#track-8
SRC0002-B0005-REC009	SRC0002-B0005-SONG009	high	Discos Fuentes shop product page: release='Colección 100 Parranderas del Siglo', track='9', raw_track='Ya Voy Toño'	track_title_match	staged_for_review	SRC0002	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/coleccion-100-parranderas-del-siglo/#track-9
SRC0002-B0005-REC010	SRC0002-B0005-SONG010	high	Discos Fuentes shop product page: release='Colección 100 Parranderas del Siglo', track='10', raw_track='Mi Novia de Malas'	track_title_match	staged_for_review	SRC0002	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/coleccion-100-parranderas-del-siglo/#track-10
