artist_candidate_id	batch_recording_id	confidence	evidence_text	raw_artist_text	relationship_type	review_status	source_id	source_reference
SRC0003-B0001-ART001	SRC0003-B0001-REC001	high	Fania official shop product page: release='Siembra', track='A1', raw_track='Plástico'	Willie Colón	credited_artist_candidate	staged_for_review	SRC0003	https://fania.com/products/willie-colon-ruben-blades-siembra-1#track-A1
SRC0003-B0001-ART002	SRC0003-B0001-REC001	high	Fania official shop product page: release='Siembra', track='A1', raw_track='Plástico'	Rubén Blades	credited_artist_candidate	staged_for_review	SRC0003	https://fania.com/products/willie-colon-ruben-blades-siembra-1#track-A1
SRC0003-B0001-ART001	SRC0003-B0001-REC002	high	Fania official shop product page: release='Siembra', track='A2', raw_track='Buscando Guayaba'	Willie Colón	credited_artist_candidate	staged_for_review	SRC0003	https://fania.com/products/willie-colon-ruben-blades-siembra-1#track-A2
SRC0003-B0001-ART002	SRC0003-B0001-REC002	high	Fania official shop product page: release='Siembra', track='A2', raw_track='Buscando Guayaba'	Rubén Blades	credited_artist_candidate	staged_for_review	SRC0003	https://fania.com/products/willie-colon-ruben-blades-siembra-1#track-A2
SRC0003-B0001-ART001	SRC0003-B0001-REC003	high	Fania official shop product page: release='Siembra', track='A3', raw_track='Pedro Navaja'	Willie Colón	credited_artist_candidate	staged_for_review	SRC0003	https://fania.com/products/willie-colon-ruben-blades-siembra-1#track-A3
SRC0003-B0001-ART002	SRC0003-B0001-REC003	high	Fania official shop product page: release='Siembra', track='A3', raw_track='Pedro Navaja'	Rubén Blades	credited_artist_candidate	staged_for_review	SRC0003	https://fania.com/products/willie-colon-ruben-blades-siembra-1#track-A3
SRC0003-B0001-ART001	SRC0003-B0001-REC004	high	Fania official shop product page: release='Siembra', track='B1', raw_track='María Lionza'	Willie Colón	credited_artist_candidate	staged_for_review	SRC0003	https://fania.com/products/willie-colon-ruben-blades-siembra-1#track-B1
SRC0003-B0001-ART002	SRC0003-B0001-REC004	high	Fania official shop product page: release='Siembra', track='B1', raw_track='María Lionza'	Rubén Blades	credited_artist_candidate	staged_for_review	SRC0003	https://fania.com/products/willie-colon-ruben-blades-siembra-1#track-B1
SRC0003-B0001-ART001	SRC0003-B0001-REC005	high	Fania official shop product page: release='Siembra', track='B2', raw_track='Ojos'	Willie Colón	credited_artist_candidate	staged_for_review	SRC0003	https://fania.com/products/willie-colon-ruben-blades-siembra-1#track-B2
SRC0003-B0001-ART002	SRC0003-B0001-REC005	high	Fania official shop product page: release='Siembra', track='B2', raw_track='Ojos'	Rubén Blades	credited_artist_candidate	staged_for_review	SRC0003	https://fania.com/products/willie-colon-ruben-blades-siembra-1#track-B2
SRC0003-B0001-ART001	SRC0003-B0001-REC006	high	Fania official shop product page: release='Siembra', track='B3', raw_track='Dime'	Willie Colón	credited_artist_candidate	staged_for_review	SRC0003	https://fania.com/products/willie-colon-ruben-blades-siembra-1#track-B3
SRC0003-B0001-ART002	SRC0003-B0001-REC006	high	Fania official shop product page: release='Siembra', track='B3', raw_track='Dime'	Rubén Blades	credited_artist_candidate	staged_for_review	SRC0003	https://fania.com/products/willie-colon-ruben-blades-siembra-1#track-B3
SRC0003-B0001-ART001	SRC0003-B0001-REC007	high	Fania official shop product page: release='Siembra', track='B4', raw_track='Siembra'	Willie Colón	credited_artist_candidate	staged_for_review	SRC0003	https://fania.com/products/willie-colon-ruben-blades-siembra-1#track-B4
