recording_id	canonical_recording_title	canonical_song_id	source_id	label_id	candidate_path	candidate_performer_name	candidate_label_name	candidate_catalog_number	candidate_format	candidate_confidence	candidate_review_status	song_performer_evidence	song_group_evidence	same_catalog_nonblank_artists	same_catalog_peer_rows	recovery_decision	recovered_artist_type	recovered_artist_id	recovered_artist_name	evidence_basis
REC000092	Adios Mi Chaparrita	SONG000062	SRC0001	LBL000003	/recordings/adios-mi-chaparrita-34		Peerless	LPL-402	33	medium	needs_review				REC000092:Adios Mi Chaparrita:<blank>:LPL-402:33:medium:needs_review; REC000572:Calla Jilguero:<blank>:LPL-402:33:medium:needs_review; REC001076:Cuatro Vidas:<blank>:LPL-402:33:medium:needs_review; REC001276:Dos Arbolitos:<blank>:LPL-402:33:medium:needs_review; REC001737:El Novillo Despuntado:<blank>:LPL-402:33:medium:needs_review; REC001769:El Pastor:<blank>:LPL-402:33:medium:needs_review; REC001802:El Quelite:<blank>:LPL-402:33:medium:needs_review; REC002212:Granito De Arena:<blank>:LPL-402:33:medium:needs_review; REC002644:La Mancornadora:<blank>:LPL-402:33:medium:needs_review; REC004037:Peregrina:<blank>:LPL-402:33:medium:needs_review; REC004077:Plegaria Guadalupana:<blank>:LPL-402:33:medium:needs_review; REC004460:Rayando El Sol:<blank>:LPL-402:33:medium:needs_review	no_promotion_current_evidence_insufficient				source candidate performer is blank; no nonblank same-catalog artist in current repo data
REC000412	Asomate A Mi Alma	SONG000313	SRC0001	LBL000003	/recordings/asomate-mi-alma-3		Peerless	6201	45	medium	needs_review	PER000139:La Prieta Linda:derived_from_recording:SRC0003:high:approved		Los Charros De Ameca De Roman Palomar	REC000412:Asomate A Mi Alma:<blank>:6201:45:medium:needs_review; REC002366:Jacaranda:Los Charros De Ameca De Roman Palomar:6201:45:high:raw_extracted	promote_recording_group	group	GRP0086	Los Charros De Ameca De Roman Palomar	same label/catalog/format as REC002366; Peerless 6201 45 counterpart source row names Los Charros De Ameca De Roman Palomar
REC000572	Calla Jilguero	SONG000441	SRC0001	LBL000003	/recordings/calla-jilguero		Peerless	LPL-402	33	medium	needs_review				REC000092:Adios Mi Chaparrita:<blank>:LPL-402:33:medium:needs_review; REC000572:Calla Jilguero:<blank>:LPL-402:33:medium:needs_review; REC001076:Cuatro Vidas:<blank>:LPL-402:33:medium:needs_review; REC001276:Dos Arbolitos:<blank>:LPL-402:33:medium:needs_review; REC001737:El Novillo Despuntado:<blank>:LPL-402:33:medium:needs_review; REC001769:El Pastor:<blank>:LPL-402:33:medium:needs_review; REC001802:El Quelite:<blank>:LPL-402:33:medium:needs_review; REC002212:Granito De Arena:<blank>:LPL-402:33:medium:needs_review; REC002644:La Mancornadora:<blank>:LPL-402:33:medium:needs_review; REC004037:Peregrina:<blank>:LPL-402:33:medium:needs_review; REC004077:Plegaria Guadalupana:<blank>:LPL-402:33:medium:needs_review; REC004460:Rayando El Sol:<blank>:LPL-402:33:medium:needs_review	no_promotion_current_evidence_insufficient				source candidate performer is blank; no nonblank same-catalog artist in current repo data
REC001076	Cuatro Vidas	SONG000817	SRC0001	LBL000003	/recordings/cuatro-vidas-61		Peerless	LPL-402	33	medium	needs_review	PER000008:Agueda Curiel:derived_from_recording:SRC0003:high:approved; PER000225:Pedro Infante:derived_from_recording:SRC0003:high:approved; PER000323:Martin Y Eloisa:derived_from_updated_recording_artist:SRC0001:medium:approved	GRP0155:Mariachi Jalisco De Pepe Villa:derived_from_recording:SRC0003:high:approved		REC000092:Adios Mi Chaparrita:<blank>:LPL-402:33:medium:needs_review; REC000572:Calla Jilguero:<blank>:LPL-402:33:medium:needs_review; REC001076:Cuatro Vidas:<blank>:LPL-402:33:medium:needs_review; REC001276:Dos Arbolitos:<blank>:LPL-402:33:medium:needs_review; REC001737:El Novillo Despuntado:<blank>:LPL-402:33:medium:needs_review; REC001769:El Pastor:<blank>:LPL-402:33:medium:needs_review; REC001802:El Quelite:<blank>:LPL-402:33:medium:needs_review; REC002212:Granito De Arena:<blank>:LPL-402:33:medium:needs_review; REC002644:La Mancornadora:<blank>:LPL-402:33:medium:needs_review; REC004037:Peregrina:<blank>:LPL-402:33:medium:needs_review; REC004077:Plegaria Guadalupana:<blank>:LPL-402:33:medium:needs_review; REC004460:Rayando El Sol:<blank>:LPL-402:33:medium:needs_review	no_promotion_current_evidence_insufficient				source candidate performer is blank; no nonblank same-catalog artist in current repo data
REC001276	Dos Arbolitos	SONG000976	SRC0001	LBL000003	/recordings/dos-arbolitos-28		Peerless	LPL-402	33	medium	needs_review	PER000177:Marco Antonio Vazquez:derived_from_recording:SRC0003:high:approved; PER000225:Pedro Infante:derived_from_recording:SRC0003:high:approved	GRP0184:Trio Hermanos Michel:derived_from_recording:SRC0003:high:approved		REC000092:Adios Mi Chaparrita:<blank>:LPL-402:33:medium:needs_review; REC000572:Calla Jilguero:<blank>:LPL-402:33:medium:needs_review; REC001076:Cuatro Vidas:<blank>:LPL-402:33:medium:needs_review; REC001276:Dos Arbolitos:<blank>:LPL-402:33:medium:needs_review; REC001737:El Novillo Despuntado:<blank>:LPL-402:33:medium:needs_review; REC001769:El Pastor:<blank>:LPL-402:33:medium:needs_review; REC001802:El Quelite:<blank>:LPL-402:33:medium:needs_review; REC002212:Granito De Arena:<blank>:LPL-402:33:medium:needs_review; REC002644:La Mancornadora:<blank>:LPL-402:33:medium:needs_review; REC004037:Peregrina:<blank>:LPL-402:33:medium:needs_review; REC004077:Plegaria Guadalupana:<blank>:LPL-402:33:medium:needs_review; REC004460:Rayando El Sol:<blank>:LPL-402:33:medium:needs_review	no_promotion_current_evidence_insufficient				source candidate performer is blank; no nonblank same-catalog artist in current repo data
REC001737	El Novillo Despuntado	SONG001304	SRC0001	LBL000003	/recordings/el-novillo-despuntado-34		Peerless	LPL-402	33	medium	needs_review	PER000176:Manuelita Arriola:derived_from_recording:SRC0003:high:approved			REC000092:Adios Mi Chaparrita:<blank>:LPL-402:33:medium:needs_review; REC000572:Calla Jilguero:<blank>:LPL-402:33:medium:needs_review; REC001076:Cuatro Vidas:<blank>:LPL-402:33:medium:needs_review; REC001276:Dos Arbolitos:<blank>:LPL-402:33:medium:needs_review; REC001737:El Novillo Despuntado:<blank>:LPL-402:33:medium:needs_review; REC001769:El Pastor:<blank>:LPL-402:33:medium:needs_review; REC001802:El Quelite:<blank>:LPL-402:33:medium:needs_review; REC002212:Granito De Arena:<blank>:LPL-402:33:medium:needs_review; REC002644:La Mancornadora:<blank>:LPL-402:33:medium:needs_review; REC004037:Peregrina:<blank>:LPL-402:33:medium:needs_review; REC004077:Plegaria Guadalupana:<blank>:LPL-402:33:medium:needs_review; REC004460:Rayando El Sol:<blank>:LPL-402:33:medium:needs_review	no_promotion_current_evidence_insufficient				source candidate performer is blank; no nonblank same-catalog artist in current repo data
REC001769	El Pastor	SONG001329	SRC0001	LBL000003	/recordings/el-pastor-16		Peerless	LPL-402	33	medium	needs_review				REC000092:Adios Mi Chaparrita:<blank>:LPL-402:33:medium:needs_review; REC000572:Calla Jilguero:<blank>:LPL-402:33:medium:needs_review; REC001076:Cuatro Vidas:<blank>:LPL-402:33:medium:needs_review; REC001276:Dos Arbolitos:<blank>:LPL-402:33:medium:needs_review; REC001737:El Novillo Despuntado:<blank>:LPL-402:33:medium:needs_review; REC001769:El Pastor:<blank>:LPL-402:33:medium:needs_review; REC001802:El Quelite:<blank>:LPL-402:33:medium:needs_review; REC002212:Granito De Arena:<blank>:LPL-402:33:medium:needs_review; REC002644:La Mancornadora:<blank>:LPL-402:33:medium:needs_review; REC004037:Peregrina:<blank>:LPL-402:33:medium:needs_review; REC004077:Plegaria Guadalupana:<blank>:LPL-402:33:medium:needs_review; REC004460:Rayando El Sol:<blank>:LPL-402:33:medium:needs_review	no_promotion_current_evidence_insufficient				source candidate performer is blank; no nonblank same-catalog artist in current repo data
REC001802	El Quelite	SONG001354	SRC0001	LBL000003	/recordings/el-quelite-64		Peerless	LPL-402	33	medium	needs_review		GRP0012:Banda Los Tamazulas:derived_from_recording:SRC0003:high:approved		REC000092:Adios Mi Chaparrita:<blank>:LPL-402:33:medium:needs_review; REC000572:Calla Jilguero:<blank>:LPL-402:33:medium:needs_review; REC001076:Cuatro Vidas:<blank>:LPL-402:33:medium:needs_review; REC001276:Dos Arbolitos:<blank>:LPL-402:33:medium:needs_review; REC001737:El Novillo Despuntado:<blank>:LPL-402:33:medium:needs_review; REC001769:El Pastor:<blank>:LPL-402:33:medium:needs_review; REC001802:El Quelite:<blank>:LPL-402:33:medium:needs_review; REC002212:Granito De Arena:<blank>:LPL-402:33:medium:needs_review; REC002644:La Mancornadora:<blank>:LPL-402:33:medium:needs_review; REC004037:Peregrina:<blank>:LPL-402:33:medium:needs_review; REC004077:Plegaria Guadalupana:<blank>:LPL-402:33:medium:needs_review; REC004460:Rayando El Sol:<blank>:LPL-402:33:medium:needs_review	no_promotion_current_evidence_insufficient				source candidate performer is blank; no nonblank same-catalog artist in current repo data
REC002212	Granito De Arena	SONG001656	SRC0001	LBL000003	/recordings/granito-de-arena-2		Peerless	LPL-402	33	medium	needs_review				REC000092:Adios Mi Chaparrita:<blank>:LPL-402:33:medium:needs_review; REC000572:Calla Jilguero:<blank>:LPL-402:33:medium:needs_review; REC001076:Cuatro Vidas:<blank>:LPL-402:33:medium:needs_review; REC001276:Dos Arbolitos:<blank>:LPL-402:33:medium:needs_review; REC001737:El Novillo Despuntado:<blank>:LPL-402:33:medium:needs_review; REC001769:El Pastor:<blank>:LPL-402:33:medium:needs_review; REC001802:El Quelite:<blank>:LPL-402:33:medium:needs_review; REC002212:Granito De Arena:<blank>:LPL-402:33:medium:needs_review; REC002644:La Mancornadora:<blank>:LPL-402:33:medium:needs_review; REC004037:Peregrina:<blank>:LPL-402:33:medium:needs_review; REC004077:Plegaria Guadalupana:<blank>:LPL-402:33:medium:needs_review; REC004460:Rayando El Sol:<blank>:LPL-402:33:medium:needs_review	no_promotion_current_evidence_insufficient				source candidate performer is blank; no nonblank same-catalog artist in current repo data
REC002644	La Mancornadora	SONG001958	SRC0001	LBL000003	/recordings/la-mancornadora-103		Peerless	LPL-402	33	medium	needs_review	PER000325:Martin Y Martita:derived_from_updated_recording_artist:SRC0001:medium:approved	GRP0049:Dueto Martinez - Gil:derived_from_recording:SRC0003:high:approved		REC000092:Adios Mi Chaparrita:<blank>:LPL-402:33:medium:needs_review; REC000572:Calla Jilguero:<blank>:LPL-402:33:medium:needs_review; REC001076:Cuatro Vidas:<blank>:LPL-402:33:medium:needs_review; REC001276:Dos Arbolitos:<blank>:LPL-402:33:medium:needs_review; REC001737:El Novillo Despuntado:<blank>:LPL-402:33:medium:needs_review; REC001769:El Pastor:<blank>:LPL-402:33:medium:needs_review; REC001802:El Quelite:<blank>:LPL-402:33:medium:needs_review; REC002212:Granito De Arena:<blank>:LPL-402:33:medium:needs_review; REC002644:La Mancornadora:<blank>:LPL-402:33:medium:needs_review; REC004037:Peregrina:<blank>:LPL-402:33:medium:needs_review; REC004077:Plegaria Guadalupana:<blank>:LPL-402:33:medium:needs_review; REC004460:Rayando El Sol:<blank>:LPL-402:33:medium:needs_review	no_promotion_current_evidence_insufficient				source candidate performer is blank; no nonblank same-catalog artist in current repo data
