recording_id	recording_title	catalog_number	label_id	source_id	performer_text	group_text	release_id	confidence	candidate_path	candidate_format	candidate_review_status	composer_text	existing_relationships	title_variants_searched	same_song_recordings	same_title_recordings	song_performer_relationships	song_group_relationships	same_catalog_nonblank_artists	same_catalog_source_rows	classification	evidence_summary	recommended_next_authority_source
REC000092	Adios Mi Chaparrita	LPL-402	LBL000003	SRC0001				medium	/recordings/adios-mi-chaparrita-34	33	needs_review	Fernández Esperón, Ignacio	recording_song:SONG000062:exact_title:high:approved; recording_label:LBL000002:recording_label:medium:needs_review; recording_source:SRC0001:Frontera Collection Drupal Views AJAX /songs?f[0]=field_record_label_t:8216:medium:needs_review	Adios Mi Chaparrita; adios chaparrita; adios mi chaparrita	REC000092:Adios Mi Chaparrita:artist_missing:medium					REC000092:Adios Mi Chaparrita:<blank>:LPL-402:33:medium:needs_review; REC000572:Calla Jilguero:<blank>:LPL-402:33:medium:needs_review; REC001076:Cuatro Vidas:<blank>:LPL-402:33:medium:needs_review; REC001276:Dos Arbolitos:<blank>:LPL-402:33:medium:needs_review; REC001737:El Novillo Despuntado:<blank>:LPL-402:33:medium:needs_review; REC001769:El Pastor:<blank>:LPL-402:33:medium:needs_review; REC001802:El Quelite:<blank>:LPL-402:33:medium:needs_review; REC002212:Granito De Arena:<blank>:LPL-402:33:medium:needs_review; REC002644:La Mancornadora:<blank>:LPL-402:33:medium:needs_review; REC004037:Peregrina:<blank>:LPL-402:33:medium:needs_review; REC004077:Plegaria Guadalupana:<blank>:LPL-402:33:medium:needs_review; REC004460:Rayando El Sol:<blank>:LPL-402:33:medium:needs_review	INSUFFICIENT_SOURCE_DATA	source candidate performer is blank and repository has no song-level or same-catalog artist evidence	Frontera recording detail page, UCLA/Strachwitz archive authority record, or Peerless catalog/discography
REC000572	Calla Jilguero	LPL-402	LBL000003	SRC0001				medium	/recordings/calla-jilguero	33	needs_review	Martinez Abades	recording_song:SONG000441:exact_title:high:approved; recording_label:LBL000002:recording_label:medium:needs_review; recording_source:SRC0001:Frontera Collection Drupal Views AJAX /songs?f[0]=field_record_label_t:8216:medium:needs_review	Calla Jilguero; calla jilguero	REC000572:Calla Jilguero:artist_missing:medium					REC000092:Adios Mi Chaparrita:<blank>:LPL-402:33:medium:needs_review; REC000572:Calla Jilguero:<blank>:LPL-402:33:medium:needs_review; REC001076:Cuatro Vidas:<blank>:LPL-402:33:medium:needs_review; REC001276:Dos Arbolitos:<blank>:LPL-402:33:medium:needs_review; REC001737:El Novillo Despuntado:<blank>:LPL-402:33:medium:needs_review; REC001769:El Pastor:<blank>:LPL-402:33:medium:needs_review; REC001802:El Quelite:<blank>:LPL-402:33:medium:needs_review; REC002212:Granito De Arena:<blank>:LPL-402:33:medium:needs_review; REC002644:La Mancornadora:<blank>:LPL-402:33:medium:needs_review; REC004037:Peregrina:<blank>:LPL-402:33:medium:needs_review; REC004077:Plegaria Guadalupana:<blank>:LPL-402:33:medium:needs_review; REC004460:Rayando El Sol:<blank>:LPL-402:33:medium:needs_review	INSUFFICIENT_SOURCE_DATA	source candidate performer is blank and repository has no song-level or same-catalog artist evidence	Frontera recording detail page, UCLA/Strachwitz archive authority record, or Peerless catalog/discography
REC001076	Cuatro Vidas	LPL-402	LBL000003	SRC0001				medium	/recordings/cuatro-vidas-61	33	needs_review	Carrera, J.	recording_song:SONG000817:exact_title:high:approved; recording_label:LBL000002:recording_label:medium:needs_review; recording_source:SRC0001:Frontera Collection Drupal Views AJAX /songs?f[0]=field_record_label_t:8216:medium:needs_review	Cuatro Vidas; cuatro vidas	REC001073:Cuatro Vidas:artist_present:high; REC001074:Cuatro Vidas:artist_present:high; REC001075:Cuatro Vidas:artist_present:high; REC001076:Cuatro Vidas:artist_missing:medium; REC001077:Cuatro Vidas:artist_present:high	REC001073:Cuatro Vidas:artist_present:high; REC001074:Cuatro Vidas:artist_present:high; REC001075:Cuatro Vidas:artist_present:high; REC001077:Cuatro Vidas:artist_present:high	PER000008:Agueda Curiel:derived_from_recording:SRC0003:high:approved; PER000225:Pedro Infante:derived_from_recording:SRC0003:high:approved; PER000323:Martin Y Eloisa:derived_from_updated_recording_artist:SRC0001:medium:approved	GRP0155:Mariachi Jalisco De Pepe Villa:derived_from_recording:SRC0003:high:approved		REC000092:Adios Mi Chaparrita:<blank>:LPL-402:33:medium:needs_review; REC000572:Calla Jilguero:<blank>:LPL-402:33:medium:needs_review; REC001076:Cuatro Vidas:<blank>:LPL-402:33:medium:needs_review; REC001276:Dos Arbolitos:<blank>:LPL-402:33:medium:needs_review; REC001737:El Novillo Despuntado:<blank>:LPL-402:33:medium:needs_review; REC001769:El Pastor:<blank>:LPL-402:33:medium:needs_review; REC001802:El Quelite:<blank>:LPL-402:33:medium:needs_review; REC002212:Granito De Arena:<blank>:LPL-402:33:medium:needs_review; REC002644:La Mancornadora:<blank>:LPL-402:33:medium:needs_review; REC004037:Peregrina:<blank>:LPL-402:33:medium:needs_review; REC004077:Plegaria Guadalupana:<blank>:LPL-402:33:medium:needs_review; REC004460:Rayando El Sol:<blank>:LPL-402:33:medium:needs_review	DUPLICATE_CANDIDATE	same title/song has other artist-identified recording candidates, but this candidate is a separate blank-performer source row	Frontera recording detail page for this path plus label discography to determine whether duplicate or distinct take
REC001276	Dos Arbolitos	LPL-402	LBL000003	SRC0001				medium	/recordings/dos-arbolitos-28	33	needs_review	Martinez, Gil	recording_song:SONG000976:exact_title:high:approved; recording_label:LBL000002:recording_label:medium:needs_review; recording_source:SRC0001:Frontera Collection Drupal Views AJAX /songs?f[0]=field_record_label_t:8216:medium:needs_review	Dos Arbolitos; dos arbolitos	REC001275:Dos Arbolitos:artist_present:high; REC001276:Dos Arbolitos:artist_missing:medium; REC001277:Dos Arbolitos:artist_present:high; REC001278:Dos Arbolitos:artist_present:high	REC001275:Dos Arbolitos:artist_present:high; REC001277:Dos Arbolitos:artist_present:high; REC001278:Dos Arbolitos:artist_present:high	PER000177:Marco Antonio Vazquez:derived_from_recording:SRC0003:high:approved; PER000225:Pedro Infante:derived_from_recording:SRC0003:high:approved	GRP0184:Trio Hermanos Michel:derived_from_recording:SRC0003:high:approved		REC000092:Adios Mi Chaparrita:<blank>:LPL-402:33:medium:needs_review; REC000572:Calla Jilguero:<blank>:LPL-402:33:medium:needs_review; REC001076:Cuatro Vidas:<blank>:LPL-402:33:medium:needs_review; REC001276:Dos Arbolitos:<blank>:LPL-402:33:medium:needs_review; REC001737:El Novillo Despuntado:<blank>:LPL-402:33:medium:needs_review; REC001769:El Pastor:<blank>:LPL-402:33:medium:needs_review; REC001802:El Quelite:<blank>:LPL-402:33:medium:needs_review; REC002212:Granito De Arena:<blank>:LPL-402:33:medium:needs_review; REC002644:La Mancornadora:<blank>:LPL-402:33:medium:needs_review; REC004037:Peregrina:<blank>:LPL-402:33:medium:needs_review; REC004077:Plegaria Guadalupana:<blank>:LPL-402:33:medium:needs_review; REC004460:Rayando El Sol:<blank>:LPL-402:33:medium:needs_review	DUPLICATE_CANDIDATE	same title/song has other artist-identified recording candidates, but this candidate is a separate blank-performer source row	Frontera recording detail page for this path plus label discography to determine whether duplicate or distinct take
REC001737	El Novillo Despuntado	LPL-402	LBL000003	SRC0001				medium	/recordings/el-novillo-despuntado-34	33	needs_review	Fernández Esperón, Ignacio	recording_song:SONG001304:exact_title:high:approved; recording_label:LBL000002:recording_label:medium:needs_review; recording_source:SRC0001:Frontera Collection Drupal Views AJAX /songs?f[0]=field_record_label_t:8216:medium:needs_review	El Novillo Despuntado; el novillo despuntado	REC001736:El Novillo Despuntado:artist_present:high; REC001737:El Novillo Despuntado:artist_missing:medium	REC001736:El Novillo Despuntado:artist_present:high	PER000176:Manuelita Arriola:derived_from_recording:SRC0003:high:approved			REC000092:Adios Mi Chaparrita:<blank>:LPL-402:33:medium:needs_review; REC000572:Calla Jilguero:<blank>:LPL-402:33:medium:needs_review; REC001076:Cuatro Vidas:<blank>:LPL-402:33:medium:needs_review; REC001276:Dos Arbolitos:<blank>:LPL-402:33:medium:needs_review; REC001737:El Novillo Despuntado:<blank>:LPL-402:33:medium:needs_review; REC001769:El Pastor:<blank>:LPL-402:33:medium:needs_review; REC001802:El Quelite:<blank>:LPL-402:33:medium:needs_review; REC002212:Granito De Arena:<blank>:LPL-402:33:medium:needs_review; REC002644:La Mancornadora:<blank>:LPL-402:33:medium:needs_review; REC004037:Peregrina:<blank>:LPL-402:33:medium:needs_review; REC004077:Plegaria Guadalupana:<blank>:LPL-402:33:medium:needs_review; REC004460:Rayando El Sol:<blank>:LPL-402:33:medium:needs_review	DUPLICATE_CANDIDATE	same title/song has other artist-identified recording candidates, but this candidate is a separate blank-performer source row	Frontera recording detail page for this path plus label discography to determine whether duplicate or distinct take
REC001769	El Pastor	LPL-402	LBL000003	SRC0001				medium	/recordings/el-pastor-16	33	needs_review	Castilla, Cuates	recording_song:SONG001329:exact_title:high:approved; recording_label:LBL000002:recording_label:medium:needs_review; recording_source:SRC0001:Frontera Collection Drupal Views AJAX /songs?f[0]=field_record_label_t:8216:medium:needs_review	El Pastor; el pastor	REC001769:El Pastor:artist_missing:medium					REC000092:Adios Mi Chaparrita:<blank>:LPL-402:33:medium:needs_review; REC000572:Calla Jilguero:<blank>:LPL-402:33:medium:needs_review; REC001076:Cuatro Vidas:<blank>:LPL-402:33:medium:needs_review; REC001276:Dos Arbolitos:<blank>:LPL-402:33:medium:needs_review; REC001737:El Novillo Despuntado:<blank>:LPL-402:33:medium:needs_review; REC001769:El Pastor:<blank>:LPL-402:33:medium:needs_review; REC001802:El Quelite:<blank>:LPL-402:33:medium:needs_review; REC002212:Granito De Arena:<blank>:LPL-402:33:medium:needs_review; REC002644:La Mancornadora:<blank>:LPL-402:33:medium:needs_review; REC004037:Peregrina:<blank>:LPL-402:33:medium:needs_review; REC004077:Plegaria Guadalupana:<blank>:LPL-402:33:medium:needs_review; REC004460:Rayando El Sol:<blank>:LPL-402:33:medium:needs_review	INSUFFICIENT_SOURCE_DATA	source candidate performer is blank and repository has no song-level or same-catalog artist evidence	Frontera recording detail page, UCLA/Strachwitz archive authority record, or Peerless catalog/discography
REC001802	El Quelite	LPL-402	LBL000003	SRC0001				medium	/recordings/el-quelite-64	33	needs_review		recording_song:SONG001354:exact_title:high:approved; recording_label:LBL000002:recording_label:medium:needs_review; recording_source:SRC0001:Frontera Collection Drupal Views AJAX /songs?f[0]=field_record_label_t:8216:medium:needs_review	El Quelite; el quelite	REC001802:El Quelite:artist_missing:medium; REC001803:El Quelite:artist_present:high	REC001803:El Quelite:artist_present:high		GRP0012:Banda Los Tamazulas:derived_from_recording:SRC0003:high:approved		REC000092:Adios Mi Chaparrita:<blank>:LPL-402:33:medium:needs_review; REC000572:Calla Jilguero:<blank>:LPL-402:33:medium:needs_review; REC001076:Cuatro Vidas:<blank>:LPL-402:33:medium:needs_review; REC001276:Dos Arbolitos:<blank>:LPL-402:33:medium:needs_review; REC001737:El Novillo Despuntado:<blank>:LPL-402:33:medium:needs_review; REC001769:El Pastor:<blank>:LPL-402:33:medium:needs_review; REC001802:El Quelite:<blank>:LPL-402:33:medium:needs_review; REC002212:Granito De Arena:<blank>:LPL-402:33:medium:needs_review; REC002644:La Mancornadora:<blank>:LPL-402:33:medium:needs_review; REC004037:Peregrina:<blank>:LPL-402:33:medium:needs_review; REC004077:Plegaria Guadalupana:<blank>:LPL-402:33:medium:needs_review; REC004460:Rayando El Sol:<blank>:LPL-402:33:medium:needs_review	DUPLICATE_CANDIDATE	same title/song has other artist-identified recording candidates, but this candidate is a separate blank-performer source row	Frontera recording detail page for this path plus label discography to determine whether duplicate or distinct take
REC002212	Granito De Arena	LPL-402	LBL000003	SRC0001				medium	/recordings/granito-de-arena-2	33	needs_review	Carrillo, J.	recording_song:SONG001656:exact_title:high:approved; recording_label:LBL000002:recording_label:medium:needs_review; recording_source:SRC0001:Frontera Collection Drupal Views AJAX /songs?f[0]=field_record_label_t:8216:medium:needs_review	Granito De Arena; granito de arena	REC002212:Granito De Arena:artist_missing:medium					REC000092:Adios Mi Chaparrita:<blank>:LPL-402:33:medium:needs_review; REC000572:Calla Jilguero:<blank>:LPL-402:33:medium:needs_review; REC001076:Cuatro Vidas:<blank>:LPL-402:33:medium:needs_review; REC001276:Dos Arbolitos:<blank>:LPL-402:33:medium:needs_review; REC001737:El Novillo Despuntado:<blank>:LPL-402:33:medium:needs_review; REC001769:El Pastor:<blank>:LPL-402:33:medium:needs_review; REC001802:El Quelite:<blank>:LPL-402:33:medium:needs_review; REC002212:Granito De Arena:<blank>:LPL-402:33:medium:needs_review; REC002644:La Mancornadora:<blank>:LPL-402:33:medium:needs_review; REC004037:Peregrina:<blank>:LPL-402:33:medium:needs_review; REC004077:Plegaria Guadalupana:<blank>:LPL-402:33:medium:needs_review; REC004460:Rayando El Sol:<blank>:LPL-402:33:medium:needs_review	INSUFFICIENT_SOURCE_DATA	source candidate performer is blank and repository has no song-level or same-catalog artist evidence	Frontera recording detail page, UCLA/Strachwitz archive authority record, or Peerless catalog/discography
REC002644	La Mancornadora	LPL-402	LBL000003	SRC0001				medium	/recordings/la-mancornadora-103	33	needs_review	Esquivel, Manuel	recording_song:SONG001958:exact_title:high:approved; recording_label:LBL000002:recording_label:medium:needs_review; recording_source:SRC0001:Frontera Collection Drupal Views AJAX /songs?f[0]=field_record_label_t:8216:medium:needs_review	La Mancornadora; la mancornadora	REC002642:La Mancornadora:artist_present:high; REC002643:La Mancornadora:artist_present:high; REC002644:La Mancornadora:artist_missing:medium	REC002642:La Mancornadora:artist_present:high; REC002643:La Mancornadora:artist_present:high	PER000325:Martin Y Martita:derived_from_updated_recording_artist:SRC0001:medium:approved	GRP0049:Dueto Martinez - Gil:derived_from_recording:SRC0003:high:approved		REC000092:Adios Mi Chaparrita:<blank>:LPL-402:33:medium:needs_review; REC000572:Calla Jilguero:<blank>:LPL-402:33:medium:needs_review; REC001076:Cuatro Vidas:<blank>:LPL-402:33:medium:needs_review; REC001276:Dos Arbolitos:<blank>:LPL-402:33:medium:needs_review; REC001737:El Novillo Despuntado:<blank>:LPL-402:33:medium:needs_review; REC001769:El Pastor:<blank>:LPL-402:33:medium:needs_review; REC001802:El Quelite:<blank>:LPL-402:33:medium:needs_review; REC002212:Granito De Arena:<blank>:LPL-402:33:medium:needs_review; REC002644:La Mancornadora:<blank>:LPL-402:33:medium:needs_review; REC004037:Peregrina:<blank>:LPL-402:33:medium:needs_review; REC004077:Plegaria Guadalupana:<blank>:LPL-402:33:medium:needs_review; REC004460:Rayando El Sol:<blank>:LPL-402:33:medium:needs_review	DUPLICATE_CANDIDATE	same title/song has other artist-identified recording candidates, but this candidate is a separate blank-performer source row	Frontera recording detail page for this path plus label discography to determine whether duplicate or distinct take
REC004037	Peregrina	LPL-402	LBL000003	SRC0001				medium	/recordings/peregrina-22	33	needs_review	Palmerin, Ricardo	recording_song:SONG003022:exact_title:high:approved; recording_label:LBL000002:recording_label:medium:needs_review; recording_source:SRC0001:Frontera Collection Drupal Views AJAX /songs?f[0]=field_record_label_t:8216:medium:needs_review	Peregrina; peregrina	REC004037:Peregrina:artist_missing:medium					REC000092:Adios Mi Chaparrita:<blank>:LPL-402:33:medium:needs_review; REC000572:Calla Jilguero:<blank>:LPL-402:33:medium:needs_review; REC001076:Cuatro Vidas:<blank>:LPL-402:33:medium:needs_review; REC001276:Dos Arbolitos:<blank>:LPL-402:33:medium:needs_review; REC001737:El Novillo Despuntado:<blank>:LPL-402:33:medium:needs_review; REC001769:El Pastor:<blank>:LPL-402:33:medium:needs_review; REC001802:El Quelite:<blank>:LPL-402:33:medium:needs_review; REC002212:Granito De Arena:<blank>:LPL-402:33:medium:needs_review; REC002644:La Mancornadora:<blank>:LPL-402:33:medium:needs_review; REC004037:Peregrina:<blank>:LPL-402:33:medium:needs_review; REC004077:Plegaria Guadalupana:<blank>:LPL-402:33:medium:needs_review; REC004460:Rayando El Sol:<blank>:LPL-402:33:medium:needs_review	INSUFFICIENT_SOURCE_DATA	source candidate performer is blank and repository has no song-level or same-catalog artist evidence	Frontera recording detail page, UCLA/Strachwitz archive authority record, or Peerless catalog/discography
