release_title	product_title	release_url	artist_name	format	track_count	tracklist_available	estimated_recordings	estimated_songs	estimated_artist_relationships	source_rank	already_processed	notes
USB - Colección Música Colombiana	USB - Colección Música Colombiana	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/usb-coleccion-100-canciones-musica-colombiana/	Varios Intérpretes	USB	5	Y	5	5	5	LOW	N	stated_content=; visible_track_items=5
USB - Colección 100 Exitos | Helenita Vargas	USB - Colección 100 Exitos | Helenita Vargas	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/usb-coleccion-100-exitos-helenita-vargas/	Helenita Vargas	USB	15	Y	15	15	15	MEDIUM	N	stated_content=; visible_track_items=15
USB - Colección 100 Exitos de La Sonora Matancera	USB - Colección 100 Exitos de La Sonora Matancera	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/usb-coleccion-100-exitos-de-la-sonora-matancera/	La Sonora Matancera	USB	15	Y	15	15	15	HIGH	N	stated_content=; visible_track_items=15
USB - Colección 100 Exitos de Música Cubana	USB - Colección 100 Exitos de Música Cubana	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/usb-coleccion-100-exitos-de-musica-cubana/	Música Cubana	USB	15	Y	15	15	15	MEDIUM	N	stated_content=; visible_track_items=15
USB - Que Viva Diciembre	USB - Que Viva Diciembre	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/usb-que-viva-diciembre/	Varios Intérpretes	USB	5	Y	5	5	5	LOW	N	stated_content=; visible_track_items=5
USB - Colección 100 Exitos del Siglo | Joe Arroyo	USB - Colección 100 Exitos del Siglo | Joe Arroyo	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/usb-coleccion-100-exitos-del-siglo-joe-arroyo/	Joe Arroyo	USB	15	Y	15	15	15	HIGH	N	stated_content=; visible_track_items=15
USB - Colección Homenaje a Toño Fuentes	USB - Colección Homenaje a Toño Fuentes	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/usb-coleccion-homenaje-a-tono-fuentes/		USB	15	Y	15	15	15	HIGH	N	stated_content=; visible_track_items=15
USB - Colección 100 Exitos | Cuatro Grandes de la Música Tropical	USB - Colección 100 Exitos | Cuatro Grandes de la Música Tropical	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/usb-coleccion-100-exitos-cuatro-grandes-de-la-musica-tropical/	Cuatro Grandes de la Música Tropical	USB	15	Y	15	15	15	HIGH	N	stated_content=; visible_track_items=15
USB - Colección 100 Cumbias, Porros y Gaitas del Siglo	USB - Colección 100 Cumbias, Porros y Gaitas del Siglo	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/usb-coleccion-100-cumbias-porros-y-gaitas-del-siglo/	Varios Intérpretes	USB	15	Y	15	15	15	MEDIUM	N	stated_content=; visible_track_items=15
USB - Colección 100 Canciones Infantiles	USB - Colección 100 Canciones Infantiles	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/coleccion-100-canciones-infantiles/	Varios Intérpretes	USB	15	Y	15	15	15	MEDIUM	N	stated_content=; visible_track_items=15
